INCKEYNO,FISNO,SIRA,STHAR_TARIH,ODEKOD,OFSET,ORAN,ODEME_TARIHI,ODEME_TUTARI_TL,ODEME_TUTAR_USD
100025,SIP23000011,3,2023-01-04,OD08,90,0.4,2023-04-04,105814.56,5628.434
100026,SIP23000011,4,2023-01-04,OD08,0,0.2,2023-01-04,97341.312,5177.7294
100026,SIP23000011,4,2023-01-04,OD08,45,0.4,2023-02-18,194682.624,10355.4587
100026,SIP23000011,4,2023-01-04,OD08,90,0.4,2023-04-04,194682.624,10355.4587
100027,SIP23000012,1,2023-01-04,OD02,30,1,2023-02-03,210648.744,11204.7204
100028,SIP23000013,1,2023-01-04,OD08,0,0.2,2023-01-04,17054.7216,907.166
100028,SIP23000013,1,2023-01-04,OD08,45,0.4,2023-02-18,34109.4432,1814.3321
100028,SIP23000013,1,2023-01-04,OD08,90,0.4,2023-04-04,34109.4432,1814.3321
100029,SIP23000013,2,2023-01-04,OD08,0,0.2,2023-01-04,46697.9184,2483.9318
100029,SIP23000013,2,2023-01-04,OD08,45,0.4,2023-02-18,93395.8368,4967.8637
100029,SIP23000013,2,2023-01-04,OD08,90,0.4,2023-04-04,93395.8368,4967.8637
100030,SIP23000014,1,2023-01-04,OD02,30,1,2023-02-03,30932.856,1645.3647
100031,SIP23000015,1,2023-01-04,OD01,0,1,2023-01-04,509713.44,27112.417
100032,SIP23000015,2,2023-01-04,OD01,0,1,2023-01-04,1722996,91648.7234
100033,STK23000002,1,2023-01-04,OD07,60,0,2023-03-05,0,0
100033,STK23000002,1,2023-01-04,OD07,120,1,2023-05-04,607465.8,32312.0106
100034,STK23000002,2,2023-01-04,OD07,60,0,2023-03-05,0,0
100034,STK23000002,2,2023-01-04,OD07,120,1,2023-05-04,48856.6368,2598.7573
100035,STK23000002,3,2023-01-04,OD07,60,0,2023-03-05,0,0
100035,STK23000002,3,2023-01-04,OD07,120,1,2023-05-04,19280.7936,1025.5741
100036,STK23000003,1,2023-01-04,OD06,0,0.5,2023-01-04,23585.472,1254.5464
100036,STK23000003,1,2023-01-04,OD06,45,0.5,2023-02-18,23585.472,1254.5464
100037,STK23000004,1,2023-01-05,OD05,0,0.3,2023-01-05,12732.2366,677.2466
100037,STK23000004,1,2023-01-05,OD05,60,0.7,2023-03-06,29708.5522,1580.2421
100038,SIP23000016,1,2023-01-05,OD06,0,0.5,2023-01-05,32312.2608,1718.7373
100038,SIP23000016,1,2023-01-05,OD06,45,0.5,2023-02-19,32312.2608,1718.7373
100039,SIP23000017,1,2023-01-05,OD01,0,1,2023-01-05,268039.008,14257.394
100040,SIP23000018,1,2023-01-05,OD01,0,1,2023-01-05,909530.64,48379.2894
100041,SIP23000019,1,2023-01-06,OD02,30,1,2023-02-05,580547.04,30880.1617
100042,SIP23000020,1,2023-01-06,OD05,0,0.3,2023-01-06,3688.3966,196.1913
100042,SIP23000020,1,2023-01-06,OD05,60,0.7,2023-03-07,8606.2586,457.7797
100043,SIP23000021,1,2023-01-09,OD08,0,0.2,2023-01-09,56594.568,3010.3494
100043,SIP23000021,1,2023-01-09,OD08,45,0.4,2023-02-23,113189.136,6020.6987
100043,SIP23000021,1,2023-01-09,OD08,90,0.4,2023-04-09,113189.136,6020.6987
100044,SIP23000021,2,2023-01-09,OD08,0,0.2,2023-01-09,197042.8416,10481.0022
100044,SIP23000021,2,2023-01-09,OD08,45,0.4,2023-02-23,394085.6832,20962.0044
100044,SIP23000021,2,2023-01-09,OD08,90,0.4,2023-04-09,394085.6832,20962.0044
100045,SIP23000022,1,2023-01-09,OD02,30,1,2023-02-08,111676.32,5940.2298
100046,SIP23000022,2,2023-01-09,OD02,30,1,2023-02-08,113861.808,6056.4791
100047,SIP23000023,1,2023-01-09,OD01,0,1,2023-01-09,56975.856,3030.6306
100048,SIP23000023,2,2023-01-09,OD01,0,1,2023-01-09,4921060,261758.5106
100049,SIP23000024,1,2023-01-09,OD04,90,1,2023-04-09,580833.12,30895.3787
100050,SIP23000025,1,2023-01-09,OD07,60,0,2023-03-10,0,0
100050,SIP23000025,1,2023-01-09,OD07,120,1,2023-05-09,2855404.8,151883.234
100051,SIP23000026,1,2023-01-09,OD07,60,0,2023-03-10,0,0
100051,SIP23000026,1,2023-01-09,OD07,120,1,2023-05-09,266553,14178.3511
100052,STK23000005,1,2023-01-10,OD06,0,0.5,2023-01-10,100374.144,5339.0502
100052,STK23000005,1,2023-01-10,OD06,45,0.5,2023-02-24,100374.144,5339.0502
100053,STK23000005,2,2023-01-10,OD06,0,0.5,2023-01-10,25447.3488,1353.5824
100053,STK23000005,2,2023-01-10,OD06,45,0.5,2023-02-24,25447.3488,1353.5824
100054,STK23000005,3,2023-01-10,OD06,0,0.5,2023-01-10,1316320,70017.0213
100054,STK23000005,3,2023-01-10,OD06,45,0.5,2023-02-24,1316320,70017.0213
100055,SIP23000027,1,2023-01-10,OD06,0,0.5,2023-01-10,503761.968,26795.8494
100055,SIP23000027,1,2023-01-10,OD06,45,0.5,2023-02-24,503761.968,26795.8494
100056,SIP23000027,2,2023-01-10,OD06,0,0.5,2023-01-10,174439.92,9278.7191
100056,SIP23000027,2,2023-01-10,OD06,45,0.5,2023-02-24,174439.92,9278.7191
100057,SIP23000027,3,2023-01-10,OD06,0,0.5,2023-01-10,59383.764,3158.7109
100057,SIP23000027,3,2023-01-10,OD06,45,0.5,2023-02-24,59383.764,3158.7109
100058,STKB23000002,1,2023-01-10,OD07,60,0,2023-03-11,0,0
100058,STKB23000002,1,2023-01-10,OD07,120,1,2023-05-10,218076.72,11599.8255
100059,STKB23000002,2,2023-01-10,OD07,60,0,2023-03-11,0,0
100059,STKB23000002,2,2023-01-10,OD07,120,1,2023-05-10,986994.816,52499.7243
100060,STKB23000002,3,2023-01-10,OD07,60,0,2023-03-11,0,0
100060,STKB23000002,3,2023-01-10,OD07,120,1,2023-05-10,446246.64,23736.5234
100061,SIP23000028,1,2023-01-10,OD08,0,0.2,2023-01-10,45508.296,2420.654
100061,SIP23000028,1,2023-01-10,OD08,45,0.4,2023-02-24,91016.592,4841.3081
100061,SIP23000028,1,2023-01-10,OD08,90,0.4,2023-04-10,91016.592,4841.3081
100062,SIP23000029,1,2023-01-10,OD04,90,1,2023-04-10,49804.464,2649.1736
100063,SIP23000029,2,2023-01-10,OD04,90,1,2023-04-10,556822.4,29618.2128
100064,SIP23000029,3,2023-01-10,OD04,90,1,2023-04-10,235814.04,12543.3
100065,SIP23000030,1,2023-01-11,OD04,90,1,2023-04-11,95797.008,5095.5855
100066,SIP23000030,2,2023-01-11,OD04,90,1,2023-04-11,213578.784,11360.5736
100067,SIP23000030,3,2023-01-11,OD04,90,1,2023-04-11,400564.5,21306.6223
100068,STK23000006,1,2023-01-11,OD05,0,0.3,2023-01-11,101846.088,5417.3451
100068,STK23000006,1,2023-01-11,OD05,60,0.7,2023-03-12,237640.872,12640.4719
100069,STK23000007,1,2023-01-11,OD01,0,1,2023-01-11,635030.64,33778.2255
100070,SIP23000031,1,2023-01-12,OD01,0,1,2023-01-12,1599289.2,85068.5745
100071,STKB23000003,1,2023-01-12,OD01,0,1,2023-01-12,9355.248,497.6196
100072,STKB23000003,2,2023-01-12,OD01,0,1,2023-01-12,218251.56,11609.1255
100073,SIP23000032,1,2023-01-12,OD08,0,0.2,2023-01-12,17582.4288,935.2356
100073,SIP23000032,1,2023-01-12,OD08,45,0.4,2023-02-26,35164.8576,1870.4711
100073,SIP23000032,1,2023-01-12,OD08,90,0.4,2023-04-12,35164.8576,1870.4711
100074,SIP23000033,1,2023-01-12,OD01,0,1,2023-01-12,137592.4,7318.7447
100075,SIP23000034,1,2023-01-12,OD08,0,0.2,2023-01-12,202400.64,10765.9915
100075,SIP23000034,1,2023-01-12,OD08,45,0.4,2023-02-26,404801.28,21531.983
100075,SIP23000034,1,2023-01-12,OD08,90,0.4,2023-04-12,404801.28,21531.983
100076,STKB23000004,1,2023-01-12,OD04,90,1,2023-04-12,38742.8112,2060.7878
100077,STKB23000004,2,2023-01-12,OD04,90,1,2023-04-12,150339.792,7996.7974
100078,SIP23000035,1,2023-01-12,OD02,30,1,2023-02-11,846922.752,45049.0826
100079,SIP23000035,2,2023-01-12,OD02,30,1,2023-02-11,319424.16,16990.6468
100080,SIP23000036,1,2023-01-12,OD08,0,0.2,2023-01-12,46491.8976,2472.9733
100080,SIP23000036,1,2023-01-12,OD08,45,0.4,2023-02-26,92983.7952,4945.9466
100080,SIP23000036,1,2023-01-12,OD08,90,0.4,2023-04-12,92983.7952,4945.9466
100081,SIP23000036,2,2023-01-12,OD08,0,0.2,2023-01-12,2922.2856,155.4407
100081,SIP23000036,2,2023-01-12,OD08,45,0.4,2023-02-26,5844.5712,310.8814
100081,SIP23000036,2,2023-01-12,OD08,90,0.4,2023-04-12,5844.5712,310.8814
100082,SIP23000036,3,2023-01-12,OD08,0,0.2,2023-01-12,67409.964,3585.6364
100082,SIP23000036,3,2023-01-12,OD08,45,0.4,2023-02-26,134819.928,7171.2728
100082,SIP23000036,3,2023-01-12,OD08,90,0.4,2023-04-12,134819.928,7171.2728
100083,SIP23000036,4,2023-01-12,OD08,0,0.2,2023-01-12,59402.8032,3159.7236
100083,SIP23000036,4,2023-01-12,OD08,45,0.4,2023-02-26,118805.6064,6319.4471
100083,SIP23000036,4,2023-01-12,OD08,90,0.4,2023-04-12,118805.6064,6319.4471
100084,SIP23000037,1,2023-01-12,OD02,30,1,2023-02-11,44013.4272,2341.1397
100085,SIP23000037,2,2023-01-12,OD02,30,1,2023-02-11,65854.92,3502.9213
100086,SIP23000037,3,2023-01-12,OD02,30,1,2023-02-11,592660.8,31524.5106
100087,STKB23000005,1,2023-01-12,OD06,0,0.5,2023-01-12,137383.56,7307.6362
100087,STKB23000005,1,2023-01-12,OD06,45,0.5,2023-02-26,137383.56,7307.6362
100088,SIP23000038,1,2023-01-12,OD08,0,0.2,2023-01-12,10595.399,563.5851
100088,SIP23000038,1,2023-01-12,OD08,45,0.4,2023-02-26,21190.7981,1127.1701
100088,SIP23000038,1,2023-01-12,OD08,90,0.4,2023-04-12,21190.7981,1127.1701
100089,SIP23000038,2,2023-01-12,OD08,0,0.2,2023-01-12,41639.832,2214.8847
100089,SIP23000038,2,2023-01-12,OD08,45,0.4,2023-02-26,83279.664,4429.7694
100089,SIP23000038,2,2023-01-12,OD08,90,0.4,2023-04-12,83279.664,4429.7694
100090,SIP23000038,3,2023-01-12,OD08,0,0.2,2023-01-12,155762.7264,8285.2514
100090,SIP23000038,3,2023-01-12,OD08,45,0.4,2023-02-26,311525.4528,16570.5028
100090,SIP23000038,3,2023-01-12,OD08,90,0.4,2023-04-12,311525.4528,16570.5028
100091,SIP23000039,1,2023-01-16,OD01,0,1,2023-01-16,78053.544,4151.7843
100092,SIP23000040,1,2023-01-16,OD03,60,1,2023-03-17,70971.36,3775.0723
100093,SIP23000040,2,2023-01-16,OD03,60,1,2023-03-17,86064.84,4577.917
100094,SIP23000040,3,2023-01-16,OD03,60,1,2023-03-17,6006.2832,319.4831
100095,SIP23000041,1,2023-01-17,OD01,0,1,2023-01-17,2276888.4,121111.0851
100096,STK23000008,1,2023-01-17,OD02,30,1,2023-02-16,30146.3712,1603.5304
100097,SIP23000042,1,2023-01-17,OD01,0,1,2023-01-17,14124.9744,751.3284
100098,SIP23000043,1,2023-01-17,OD07,60,0,2023-03-18,0,0
100098,SIP23000043,1,2023-01-17,OD07,120,1,2023-05-17,276221.376,14692.6264
100099,SIP23000044,1,2023-01-17,OD08,0,0.2,2023-01-17,8822.8829,469.3023
100099,SIP23000044,1,2023-01-17,OD08,45,0.4,2023-03-03,17645.7658,938.6046
100099,SIP23000044,1,2023-01-17,OD08,90,0.4,2023-04-17,17645.7658,938.6046
100100,SIP23000045,1,2023-01-18,OD01,0,1,2023-01-18,28272.2976,1503.8456
100101,SIP23000046,1,2023-01-18,OD07,60,0,2023-03-19,0,0
100101,SIP23000046,1,2023-01-18,OD07,120,1,2023-05-18,614997.84,32712.6511
100102,SIP23000046,2,2023-01-18,OD07,60,0,2023-03-19,0,0
100102,SIP23000046,2,2023-01-18,OD07,120,1,2023-05-18,77897.844,4143.5023
100103,SIP23000047,1,2023-01-18,OD01,0,1,2023-01-18,355382.7,18903.3351
100104,STK23000009,1,2023-01-19,OD08,0,0.2,2023-01-19,74697.7824,3973.2863
100104,STK23000009,1,2023-01-19,OD08,45,0.4,2023-03-05,149395.5648,7946.5726
100104,STK23000009,1,2023-01-19,OD08,90,0.4,2023-04-19,149395.5648,7946.5726
100105,SIP23000048,1,2023-01-19,OD08,0,0.2,2023-01-19,9555.4272,508.2674
100105,SIP23000048,1,2023-01-19,OD08,45,0.4,2023-03-05,19110.8544,1016.5348
100105,SIP23000048,1,2023-01-19,OD08,90,0.4,2023-04-19,19110.8544,1016.5348
100106,STKB23000006,1,2023-01-19,OD06,0,0.5,2023-01-19,20876.49,1110.4516
100106,STKB23000006,1,2023-01-19,OD06,45,0.5,2023-03-05,20876.49,1110.4516
100107,SIP23000049,1,2023-01-19,OD03,60,1,2023-03-20,79013.2896,4202.8346
100108,SIP23000050,1,2023-01-19,OD08,0,0.2,2023-01-19,27197.1792,1446.6585
100108,SIP23000050,1,2023-01-19,OD08,45,0.4,2023-03-05,54394.3584,2893.3169
100108,SIP23000050,1,2023-01-19,OD08,90,0.4,2023-04-19,54394.3584,2893.3169
100109,SIP23000051,1,2023-01-19,OD04,90,1,2023-04-19,301913,16059.2021
100110,SIP23000051,2,2023-01-19,OD04,90,1,2023-04-19,143652,7641.0638
100111,SIP23000052,1,2023-01-19,OD04,90,1,2023-04-19,528224.1,28097.0266
100112,SIP23000052,2,2023-01-19,OD04,90,1,2023-04-19,125697.72,6686.0489
100113,SIP23000052,3,2023-01-19,OD04,90,1,2023-04-19,255989.76,13616.4766
100114,SIP23000053,1,2023-01-20,OD02,30,1,2023-02-19,210451.14,11194.2096
100115,SIP23000054,1,2023-01-20,OD05,0,0.3,2023-01-20,11077.398,589.2233
100115,SIP23000054,1,2023-01-20,OD05,60,0.7,2023-03-21,25847.262,1374.8544
100116,SIP23000054,2,2023-01-20,OD05,0,0.3,2023-01-20,117775.7712,6264.6687
100116,SIP23000054,2,2023-01-20,OD05,60,0.7,2023-03-21,274810.1328,14617.5603
100117,SIP23000054,3,2023-01-20,OD05,0,0.3,2023-01-20,12830.1624,682.4554
100117,SIP23000054,3,2023-01-20,OD05,60,0.7,2023-03-21,29937.0456,1592.396
100118,SIP23000055,1,2023-01-20,OD05,0,0.3,2023-01-20,67183.14,3573.5713
100118,SIP23000055,1,2023-01-20,OD05,60,0.7,2023-03-21,156760.66,8338.333
100119,SIP23000055,2,2023-01-20,OD05,0,0.3,2023-01-20,52003.728,2766.1557
100119,SIP23000055,2,2023-01-20,OD05,60,0.7,2023-03-21,121342.032,6454.3634
100120,SIP23000055,3,2023-01-20,OD05,0,0.3,2023-01-20,233611.416,12426.1391
100120,SIP23000055,3,2023-01-20,OD05,60,0.7,2023-03-21,545093.304,28994.3247
100121,SIP23000055,4,2023-01-20,OD05,0,0.3,2023-01-20,28645.9027,1523.7182
100121,SIP23000055,4,2023-01-20,OD05,60,0.7,2023-03-21,66840.4397,3555.3425
100122,SIP23000056,1,2023-01-20,OD06,0,0.5,2023-01-20,58969.08,3136.6532
100122,SIP23000056,1,2023-01-20,OD06,45,0.5,2023-03-06,58969.08,3136.6532
100123,SIP23000057,1,2023-01-20,OD07,60,0,2023-03-21,0,0
100123,SIP23000057,1,2023-01-20,OD07,120,1,2023-05-20,193915.872,10314.674
100124,SIP23000057,2,2023-01-20,OD07,60,0,2023-03-21,0,0
100124,SIP23000057,2,2023-01-20,OD07,120,1,2023-05-20,1503581.6,79977.7447
100125,SIP23000058,1,2023-01-20,OD05,0,0.3,2023-01-20,698466.72,37152.4851
100125,SIP23000058,1,2023-01-20,OD05,60,0.7,2023-03-21,1629755.68,86689.1319
100126,SIP23000058,2,2023-01-20,OD05,0,0.3,2023-01-20,4205.9844,223.7226
100126,SIP23000058,2,2023-01-20,OD05,60,0.7,2023-03-21,9813.9636,522.0193
100127,STK23000010,1,2023-01-23,OD05,0,0.3,2023-01-23,13722.5772,729.9243
100127,STK23000010,1,2023-01-23,OD05,60,0.7,2023-03-24,32019.3468,1703.1567
100128,SIP23000059,1,2023-01-23,OD03,60,1,2023-03-24,261178.176,13892.4562
100129,SIP23000060,1,2023-01-23,OD02,30,1,2023-02-22,141158.16,7508.4128
100130,SIP23000060,2,2023-01-23,OD02,30,1,2023-02-22,285557.28,15189.217
100131,SIP23000060,3,2023-01-23,OD02,30,1,2023-02-22,126722.76,6740.5723
100132,SIP23000060,4,2023-01-23,OD02,30,1,2023-02-22,167716.8,8921.1064
100133,SIP23000061,1,2023-01-23,OD04,90,1,2023-04-23,247350.624,13156.9481
100134,SIP23000061,2,2023-01-23,OD04,90,1,2023-04-23,335925.96,17868.4021
100135,SIP23000062,1,2023-01-23,OD05,0,0.3,2023-01-23,12623.6448,671.4705
100135,SIP23000062,1,2023-01-23,OD05,60,0.7,2023-03-24,29455.1712,1566.7644
100136,SIP23000063,1,2023-01-23,OD04,90,1,2023-04-23,19171.4544,1019.7582
100137,SIP23000063,2,2023-01-23,OD04,90,1,2023-04-23,104173.128,5541.1238
100138,SIP23000064,1,2023-01-24,OD08,0,0.2,2023-01-24,32686.8,1738.6596
100138,SIP23000064,1,2023-01-24,OD08,45,0.4,2023-03-10,65373.6,3477.3191
100138,SIP23000064,1,2023-01-24,OD08,90,0.4,2023-04-24,65373.6,3477.3191
100139,SIP23000064,2,2023-01-24,OD08,0,0.2,2023-01-24,199507.68,10612.1106
100139,SIP23000064,2,2023-01-24,OD08,45,0.4,2023-03-10,399015.36,21224.2213
100139,SIP23000064,2,2023-01-24,OD08,90,0.4,2023-04-24,399015.36,21224.2213
100140,SIP23000064,3,2023-01-24,OD08,0,0.2,2023-01-24,97351.872,5178.2911
100140,SIP23000064,3,2023-01-24,OD08,45,0.4,2023-03-10,194703.744,10356.5821
100140,SIP23000064,3,2023-01-24,OD08,90,0.4,2023-04-24,194703.744,10356.5821
100141,SIP23000065,1,2023-01-24,OD08,0,0.2,2023-01-24,100404.1728,5340.6475
100141,SIP23000065,1,2023-01-24,OD08,45,0.4,2023-03-10,200808.3456,10681.295
100141,SIP23000065,1,2023-01-24,OD08,90,0.4,2023-04-24,200808.3456,10681.295
100142,SIP23000065,2,2023-01-24,OD08,0,0.2,2023-01-24,86870.94,4620.7947
100142,SIP23000065,2,2023-01-24,OD08,45,0.4,2023-03-10,173741.88,9241.5894
100142,SIP23000065,2,2023-01-24,OD08,90,0.4,2023-04-24,173741.88,9241.5894
100143,SIP23000065,3,2023-01-24,OD08,0,0.2,2023-01-24,186264.192,9907.6698
100143,SIP23000065,3,2023-01-24,OD08,45,0.4,2023-03-10,372528.384,19815.3396
100143,SIP23000065,3,2023-01-24,OD08,90,0.4,2023-04-24,372528.384,19815.3396
100144,SIP23000066,1,2023-01-24,OD08,0,0.2,2023-01-24,23225.124,1235.3789
100144,SIP23000066,1,2023-01-24,OD08,45,0.4,2023-03-10,46450.248,2470.7579
100144,SIP23000066,1,2023-01-24,OD08,90,0.4,2023-04-24,46450.248,2470.7579
100145,SIP23000067,1,2023-01-24,OD08,0,0.2,2023-01-24,37785.816,2009.8838
100145,SIP23000067,1,2023-01-24,OD08,45,0.4,2023-03-10,75571.632,4019.7677
100145,SIP23000067,1,2023-01-24,OD08,90,0.4,2023-04-24,75571.632,4019.7677
100146,SIP23000068,1,2023-01-24,OD02,30,1,2023-02-23,85718.736,4559.5072
100147,SIP23000069,1,2023-01-24,OD05,0,0.3,2023-01-24,3979.5106,211.6761
100147,SIP23000069,1,2023-01-24,OD05,60,0.7,2023-03-25,9285.5246,493.9109
100148,SIP23000069,2,2023-01-24,OD05,0,0.3,2023-01-24,31009.7592,1649.4553
100148,SIP23000069,2,2023-01-24,OD05,60,0.7,2023-03-25,72356.1048,3848.729
100149,SIP23000070,1,2023-01-24,OD06,0,0.5,2023-01-24,518931.72,27602.7511
100149,SIP23000070,1,2023-01-24,OD06,45,0.5,2023-03-10,518931.72,27602.7511
100150,SIP23000071,1,2023-01-25,OD04,90,1,2023-04-25,136992.3,7286.8245
100151,SIP23000072,1,2023-01-25,OD02,30,1,2023-02-24,40131.2016,2134.6384
100152,SIP23000072,2,2023-01-25,OD02,30,1,2023-02-24,853679.52,45408.4851
100153,SIP23000073,1,2023-01-25,OD05,0,0.3,2023-01-25,4560.894,242.6007
100153,SIP23000073,1,2023-01-25,OD05,60,0.7,2023-03-26,10642.086,566.0684
100154,SIP23000073,2,2023-01-25,OD05,0,0.3,2023-01-25,4780.3198,254.2723
100154,SIP23000073,2,2023-01-25,OD05,60,0.7,2023-03-26,11154.0794,593.3021
100155,SIP23000074,1,2023-01-25,OD07,60,0,2023-03-26,0,0
100155,SIP23000074,1,2023-01-25,OD07,120,1,2023-05-25,30108.8016,1601.532
100156,SIP23000074,2,2023-01-25,OD07,60,0,2023-03-26,0,0
100156,SIP23000074,2,2023-01-25,OD07,120,1,2023-05-25,135449.76,7204.7745
100157,SIP23000075,1,2023-01-25,OD07,60,0,2023-03-26,0,0
100157,SIP23000075,1,2023-01-25,OD07,120,1,2023-05-25,1057648.128,56257.8791
100158,SIP23000075,2,2023-01-25,OD07,60,0,2023-03-26,0,0
100158,SIP23000075,2,2023-01-25,OD07,120,1,2023-05-25,428203.62,22776.7883
100159,SIP23000075,3,2023-01-25,OD07,60,0,2023-03-26,0,0
100159,SIP23000075,3,2023-01-25,OD07,120,1,2023-05-25,27871.2288,1482.5122
100160,SIP23000075,4,2023-01-25,OD07,60,0,2023-03-26,0,0
100160,SIP23000075,4,2023-01-25,OD07,120,1,2023-05-25,1367259.84,72726.5872
100161,SIP23000076,1,2023-01-25,OD02,30,1,2023-02-24,1441631.232,76682.5123
100162,SIP23000076,2,2023-01-25,OD02,30,1,2023-02-24,1298578.08,69073.3021
100163,STK23000011,1,2023-01-26,OD05,0,0.3,2023-01-26,20133.1764,1070.9136
100163,STK23000011,1,2023-01-26,OD05,60,0.7,2023-03-27,46977.4116,2498.7985
100164,SIP23000077,1,2023-01-26,OD02,30,1,2023-02-25,126259.6,6715.9362
100165,SIP23000078,1,2023-01-26,OD01,0,1,2023-01-26,33261,1769.2021
100166,SIP23000079,1,2023-01-26,OD07,60,0,2023-03-27,0,0
100166,SIP23000079,1,2023-01-26,OD07,120,1,2023-05-26,453230.4,24108
100167,SIP23000080,1,2023-01-27,OD08,0,0.2,2023-01-27,2918.605,155.2449
100167,SIP23000080,1,2023-01-27,OD08,45,0.4,2023-03-13,5837.2099,310.4899
100167,SIP23000080,1,2023-01-27,OD08,90,0.4,2023-04-27,5837.2099,310.4899
100168,SIP23000081,1,2023-01-27,OD04,90,1,2023-04-27,637572.24,33913.417
100169,STKB23000007,1,2023-01-27,OD07,60,0,2023-03-28,0,0
100169,STKB23000007,1,2023-01-27,OD07,120,1,2023-05-27,45673.38,2429.4351
100170,STKB23000007,2,2023-01-27,OD07,60,0,2023-03-28,0,0
100170,STKB23000007,2,2023-01-27,OD07,120,1,2023-05-27,311206.32,16553.5277
