STOK_KODU,CARI_KOD,FISNO,TARIH,MIKTAR1,MIKTAR2,NET_FIYAT,STHAR_GCKOD,STHAR_HTUR,DOLAR_KURU,STHAR_ACIKLAMA,EKALAN,EKALAN1,TUTAR_USD,ODE_GUN,YIL,AY,HAFTA
H00013,320.01.0001,IRS23700038,2023-02-15,120,120,29.3139,1,YERLİ,20.0167,Numune kabul,H,Şartlı kabul,175.7367,60,2023,2,7
H00013,320.01.0001,IRS23700039,2023-04-12,10000,10000,29.5162,1,YERLİ,22.45,İthalat dosyası,H,Şartlı kabul,13147.5278,60,2023,4,15
H00004,320.01.0001,IRS23700040,2023-01-24,120,0.12,12.3448,1,YERLİ,18.8,Numune kabul,H,Şartlı kabul,78.7966,45,2023,1,4
H00013,320.01.0015,IRS23700041,2023-01-25,2000,2000,33.8014,1,İTHAL,18.8,İthalat dosyası,H,,3595.8936,45,2023,1,4
D00008,320.01.0026,IRS23700042,2023-04-14,1000,1000,206.7864,1,YERLİ,22.45,Numune kabul,H,Şartlı kabul,9210.9755,60,2023,4,15
H00005,320.01.0026,IRS23700043,2023-01-22,500,0.5,29.6886,1,YERLİ,18.8,İthalat dosyası,H,,789.5904,0,2023,1,3
D00010,320.01.0026,IRS23700044,2023-04-14,500,500,169.9269,1,YERLİ,22.45,Sevk irsaliyesi,E,Kalite onaylı,3784.5635,30,2023,4,15
D00005,320.01.0010,IRS23700046,2023-01-30,5000,5000,172.311,1,YERLİ,18.8,Numune kabul,H,Şartlı kabul,45827.3936,60,2023,1,5
D00011,320.01.0004,IRS23700047,2023-04-22,250,250,38.9661,1,YERLİ,22.45,Mal kabul,H,Şartlı kabul,433.9209,0,2023,4,16
H00008,320.01.0004,IRS23700048,2023-03-15,5000,5,11.1673,1,YERLİ,21.2333,Numune kabul,E,,2629.6666,45,2023,3,11
H00006,320.01.0006,IRS23700049,2023-03-23,10000,10,54.3273,1,YERLİ,21.2333,Sevk irsaliyesi,E,Kalite onaylı,25585.8957,30,2023,3,12
H00010,320.01.0004,IRS23700050,2023-03-02,1000,1,15.3047,1,YERLİ,21.2333,Kısmi teslim,E,,720.7876,45,2023,3,9
H00013,320.01.0047,IRS23700051,2023-03-18,500,500,31.0541,1,YERLİ,21.2333,Mal kabul,H,Şartlı kabul,731.2594,0,2023,3,11
H00005,320.01.0047,IRS23700052,2023-01-30,10000,10,26.1153,1,YERLİ,18.8,İthalat dosyası,E,Şartlı kabul,13891.117,30,2023,1,5
D00008,320.01.0001,IRS23700053,2023-02-27,500,500,203.0417,1,YERLİ,20.0167,Numune kabul,H,Kalite onaylı,5071.8075,60,2023,2,9
H00005,320.01.0015,IRS23700055,2023-02-09,5000,5,26.5275,1,İTHAL,20.0167,İthalat dosyası,H,Kalite onaylı,6626.342,30,2023,2,6
H00001,320.01.0015,IRS23700056,2023-01-22,250,0.25,26.3067,1,İTHAL,18.8,Kısmi teslim,H,,349.8231,0,2023,1,3
D00008,320.01.0015,IRS23700057,2023-04-21,500,500,189.2081,1,İTHAL,22.45,İthalat dosyası,H,Şartlı kabul,4213.9889,30,2023,4,16
D00011,320.01.0010,IRS23700058,2023-04-25,10000,10000,46.8341,1,YERLİ,22.45,Mal kabul,H,,20861.5145,60,2023,4,17
D00001,320.01.0010,IRS23700059,2023-01-31,250,250,166.2342,1,YERLİ,18.8,Numune kabul,E,,2210.5612,60,2023,1,5
H00014,320.01.0001,IRS23700060,2023-01-26,1000,1,44.7359,1,YERLİ,18.8,Numune kabul,E,Şartlı kabul,2379.5691,0,2023,1,4
H00006,320.01.0001,IRS23700061,2023-02-03,10000,10,60.6879,1,YERLİ,20.0167,İthalat dosyası,H,Şartlı kabul,30318.6339,90,2023,2,5
H00007,320.01.0008,IRS23700062,2023-02-03,1000,1,54.0548,1,YERLİ,20.0167,Sevk irsaliyesi,E,Şartlı kabul,2700.4851,90,2023,2,5
H00004,320.01.0008,IRS23700063,2023-03-10,1000,1,13.2891,1,YERLİ,21.2333,Sevk irsaliyesi,E,Kalite onaylı,625.8613,45,2023,3,10
H00009,320.01.0018,IRS23700064,2023-04-18,1000,1,13.3496,1,İTHAL,22.45,Mal kabul,E,Kalite onaylı,594.637,30,2023,4,16
H00003,320.01.0018,IRS23700065,2023-02-14,5000,5,18.528,1,İTHAL,20.0167,Numune kabul,E,Şartlı kabul,4628.1355,60,2023,2,7
D00004,320.01.0021,IRS23700066,2023-02-24,10000,10000,13.8009,1,İTHAL,20.0167,Kısmi teslim,E,Kalite onaylı,6894.6929,0,2023,2,8
D00008,320.01.0021,IRS23700067,2023-01-25,5000,5000,191.2584,1,İTHAL,18.8,Numune kabul,H,,50866.5957,45,2023,1,4
D00005,320.01.0054,IRS23700068,2023-04-21,2000,2000,144.0065,1,YERLİ,22.45,Kısmi teslim,H,,12829.0869,60,2023,4,16
H00006,320.01.0054,IRS23700069,2023-02-22,5000,5,57.7891,1,YERLİ,20.0167,Kısmi teslim,E,,14435.2216,30,2023,2,8
H00008,320.01.0002,IRS23700070,2023-02-08,1000,1,12.5594,1,YERLİ,20.0167,Kısmi teslim,E,,627.4461,90,2023,2,6
D00011,320.01.0002,IRS23700071,2023-03-01,500,500,47.8824,1,YERLİ,21.2333,Kısmi teslim,E,,1127.5308,45,2023,3,9
D00012,320.01.0035,IRS23700072,2023-03-08,2000,2000,95.9117,1,YERLİ,21.2333,Kısmi teslim,H,,9034.0833,0,2023,3,10
D00009,320.01.0035,IRS23700073,2023-02-02,120,120,41.9138,1,YERLİ,20.0167,Kısmi teslim,H,,251.273,60,2023,2,5
D00011,320.01.0035,IRS23700074,2023-03-11,125,125,41.9471,1,YERLİ,21.2333,İthalat dosyası,H,,246.9417,60,2023,3,10
H00006,320.01.0053,IRS23700075,2023-02-21,10000,10,51.8245,1,YERLİ,20.0167,Kısmi teslim,E,,25890.6313,0,2023,2,8
D00008,320.01.0011,IRS23700076,2023-02-20,2000,2000,172.1711,1,YERLİ,20.0167,İthalat dosyası,E,Şartlı kabul,17202.7457,30,2023,2,8
H00001,320.01.0031,IRS23700077,2023-01-29,10000,10,28.8122,1,YERLİ,18.8,Numune kabul,H,Kalite onaylı,15325.6383,30,2023,1,4
H00010,320.01.0031,IRS23700078,2023-04-18,10000,10,14.4474,1,YERLİ,22.45,Sevk irsaliyesi,E,,6435.3675,45,2023,4,16
D00007,320.01.0051,IRS23700079,2023-02-14,2000,2000,82.3702,1,YERLİ,20.0167,Kısmi teslim,H,Şartlı kabul,8230.1478,45,2023,2,7
D00003,320.01.0051,IRS23700080,2023-02-10,5000,5000,170.2012,1,YERLİ,20.0167,İthalat dosyası,H,Şartlı kabul,42514.8001,90,2023,2,6
D00008,320.01.0051,IRS23700081,2023-03-19,5000,5000,202.3321,1,YERLİ,21.2333,Mal kabul,H,Şartlı kabul,47644.9963,30,2023,3,11
D00004,320.01.0031,IRS23700082,2023-02-14,500,500,13.2625,1,YERLİ,20.0167,Numune kabul,H,,331.2859,30,2023,2,7
H00005,320.01.0001,IRS23700083,2023-02-27,120,0.12,28.9986,1,YERLİ,20.0167,Numune kabul,H,,173.8464,90,2023,2,9
D00010,320.01.0005,IRS23700084,2023-02-21,250,250,179.8598,1,İTHAL,20.0167,Numune kabul,H,Kalite onaylı,2246.3718,60,2023,2,8
H00010,320.01.0005,IRS23700085,2023-03-10,250,0.25,15.4108,1,İTHAL,21.2333,Numune kabul,H,Şartlı kabul,181.4461,60,2023,3,10
H00001,320.01.0005,IRS23700086,2023-02-05,10000,10,30.435,1,İTHAL,20.0167,Kısmi teslim,E,Şartlı kabul,15204.804,90,2023,2,5
D00009,320.01.0004,IRS23700087,2023-02-20,10000,10000,42.0254,1,YERLİ,20.0167,Numune kabul,H,Şartlı kabul,20995.169,45,2023,2,8
D00006,320.01.0034,IRS23700088,2023-04-02,5000,5000,96.7962,1,İTHAL,22.45,Mal kabul,E,Şartlı kabul,21558.1737,30,2023,4,13
H00011,320.01.0034,IRS23700089,2023-02-16,250,0.25,33.1,1,İTHAL,20.0167,Mal kabul,H,,413.4048,45,2023,2,7
D00007,320.01.0001,IRS23700090,2023-05-04,120,120,79.9278,1,YERLİ,23.6667,İthalat dosyası,E,Şartlı kabul,405.2671,0,2023,5,18
H00010,320.01.0001,IRS23700091,2023-03-29,250,0.25,14.7867,1,YERLİ,21.2333,Sevk irsaliyesi,E,Kalite onaylı,174.098,45,2023,3,13
H00014,320.01.0004,IRS23700092,2023-04-09,1000,1,53.5704,1,YERLİ,22.45,Mal kabul,H,,2386.2094,0,2023,4,14
H00015,320.01.0004,IRS23700093,2023-02-15,250,0.25,15.1576,1,YERLİ,20.0167,Mal kabul,E,Kalite onaylı,189.3119,30,2023,2,7
H00010,320.01.0004,IRS23700094,2023-02-27,1000,1,15.6284,1,YERLİ,20.0167,Kısmi teslim,H,Şartlı kabul,780.7681,90,2023,2,9
H00007,320.01.0001,IRS23700095,2023-02-12,500,0.5,62.3054,1,YERLİ,20.0167,Sevk irsaliyesi,H,Kalite onaylı,1556.3355,30,2023,2,6
H00016,320.01.0001,IRS23700096,2023-03-08,500,500,24.1069,1,YERLİ,21.2333,Mal kabul,H,Kalite onaylı,567.6673,90,2023,3,10
D00002,320.01.0001,IRS23700097,2023-02-07,2000,2000,81.8962,1,YERLİ,20.0167,Sevk irsaliyesi,E,Kalite onaylı,8182.7874,90,2023,2,6
H00004,320.01.0001,IRS23700098,2023-02-09,1000,1,12.5558,1,YERLİ,20.0167,İthalat dosyası,E,,627.2662,90,2023,2,6
D00008,320.01.0001,IRS23700099,2023-02-27,500,500,174.3464,1,YERLİ,20.0167,Numune kabul,E,Kalite onaylı,4355.0236,60,2023,2,9
D00012,320.01.0001,IRS23700100,2023-02-23,5000,5000,79.3748,1,YERLİ,20.0167,Kısmi teslim,E,Şartlı kabul,19827.1443,30,2023,2,8
H00011,320.01.0001,IRS23700101,2023-02-23,2000,2,31.5192,1,YERLİ,20.0167,Numune kabul,H,Şartlı kabul,3149.2903,0,2023,2,8
H00011,320.01.0001,IRS23700102,2023-04-07,250,0.25,31.4459,1,YERLİ,22.45,Mal kabul,H,Kalite onaylı,350.1771,0,2023,4,14
H00014,320.01.0001,IRS23700103,2023-04-09,5000,5,47.2709,1,YERLİ,22.45,Numune kabul,E,,10528.0401,90,2023,4,14
D00007,320.01.0040,IRS23700104,2023-03-13,5000,5000,81.1048,1,YERLİ,21.2333,Sevk irsaliyesi,E,,19098.4915,30,2023,3,11
H00005,320.01.0012,IRS23700105,2023-02-13,10000,10,30.0947,1,YERLİ,20.0167,İthalat dosyası,H,Şartlı kabul,15034.7959,30,2023,2,7
H00014,320.01.0012,IRS23700106,2023-03-01,500,0.5,51.4901,1,YERLİ,21.2333,Numune kabul,H,Kalite onaylı,1212.4846,0,2023,3,9
H00010,320.01.0003,IRS23700107,2023-05-05,2000,2,15.4576,1,YERLİ,23.6667,Mal kabul,E,,1306.2742,45,2023,5,18
H00003,320.01.0003,IRS23700108,2023-03-21,250,0.25,19.5301,1,YERLİ,21.2333,İthalat dosyası,H,,229.9466,90,2023,3,12
D00011,320.01.0003,IRS23700109,2023-02-19,2000,2000,47.7653,1,YERLİ,20.0167,Numune kabul,H,Kalite onaylı,4772.5449,60,2023,2,7
H00002,320.01.0040,IRS23700110,2023-03-15,10000,10,54.5128,1,YERLİ,21.2333,İthalat dosyası,H,Şartlı kabul,25673.2585,0,2023,3,11
H00015,320.01.0009,IRS23700111,2023-02-26,250,0.25,15.9456,1,İTHAL,20.0167,Mal kabul,E,,199.1537,30,2023,2,8
H00003,320.01.0009,IRS23700112,2023-02-22,2500,2.5,18.8206,1,İTHAL,20.0167,Kısmi teslim,H,,2350.6122,0,2023,2,8
D00001,320.01.0009,IRS23700113,2023-04-29,10000,10000,164.3315,1,İTHAL,22.45,Sevk irsaliyesi,E,Kalite onaylı,73198.8864,45,2023,4,17
H00001,320.01.0002,IRS23700114,2023-02-18,5000,5,30.452,1,YERLİ,20.0167,Numune kabul,E,Kalite onaylı,7606.6484,60,2023,2,7
D00005,320.01.0021,IRS23700115,2023-04-01,2000,2000,153.6274,1,İTHAL,22.45,İthalat dosyası,H,Kalite onaylı,13686.1826,0,2023,4,13
H00006,320.01.0021,IRS23700116,2023-03-06,120,0.12,55.2137,1,İTHAL,21.2333,Numune kabul,E,Şartlı kabul,312.0402,0,2023,3,10
H00013,320.01.0005,IRS23700117,2023-05-12,500,500,32.3395,1,İTHAL,23.6667,Numune kabul,H,Kalite onaylı,683.2279,45,2023,5,19
H00003,320.01.0005,IRS23700118,2023-02-14,250,0.25,21.3924,1,İTHAL,20.0167,Kısmi teslim,H,Kalite onaylı,267.1819,45,2023,2,7
H00011,320.01.0005,IRS23700119,2023-03-16,1000,1,32.0895,1,İTHAL,21.2333,İthalat dosyası,E,Şartlı kabul,1511.2818,60,2023,3,11
D00001,320.01.0005,IRS23700120,2023-05-08,10000,10000,176.5845,1,İTHAL,23.6667,Sevk irsaliyesi,H,Kalite onaylı,74613.0639,45,2023,5,19
D00010,320.01.0054,IRS23700121,2023-04-05,120,120,181.4226,1,YERLİ,22.45,Sevk irsaliyesi,H,Kalite onaylı,969.7422,45,2023,4,14
D00002,320.01.0054,IRS23700122,2023-03-04,250,250,104.721,1,YERLİ,21.2333,Numune kabul,H,Kalite onaylı,1232.9807,90,2023,3,9
H00010,320.01.0054,IRS23700123,2023-02-24,1000,1,14.2739,1,YERLİ,20.0167,İthalat dosyası,H,Kalite onaylı,713.0996,30,2023,2,8
D00006,320.01.0035,IRS23700124,2023-03-25,1000,1000,111.2456,1,YERLİ,21.2333,Numune kabul,E,Şartlı kabul,5239.2045,90,2023,3,12
D00009,320.01.0005,IRS23700125,2023-02-24,2000,2000,41.466,1,İTHAL,20.0167,İthalat dosyası,H,Kalite onaylı,4143.1405,60,2023,2,8
H00006,320.01.0005,IRS23700126,2023-04-08,5000,5,54.837,1,İTHAL,22.45,Mal kabul,H,Kalite onaylı,12213.1403,60,2023,4,14
H00015,320.01.0016,IRS23700127,2023-05-05,250,0.25,15.6633,1,İTHAL,23.6667,Sevk irsaliyesi,H,,165.4572,60,2023,5,18
H00015,320.01.0016,IRS23700129,2023-04-13,2000,2,14.5553,1,İTHAL,22.45,İthalat dosyası,E,Kalite onaylı,1296.686,60,2023,4,15
D00006,320.01.0022,IRS23700130,2023-03-27,1000,1000,108.3569,1,İTHAL,21.2333,Mal kabul,H,,5103.1587,30,2023,3,13
H00016,320.01.0022,IRS23700131,2023-05-10,5000,5000,30.3232,1,İTHAL,23.6667,Numune kabul,H,Kalite onaylı,6406.3008,60,2023,5,19
D00005,320.01.0022,IRS23700132,2023-03-12,10000,10000,182.9956,1,İTHAL,21.2333,Mal kabul,H,,86183.3064,60,2023,3,10
H00008,320.01.0004,IRS23700133,2023-02-18,2000,2,14.2621,1,YERLİ,20.0167,Kısmi teslim,E,,1425.0201,60,2023,2,7
H00014,320.01.0004,IRS23700134,2023-04-14,250,0.25,58.9194,1,YERLİ,22.45,İthalat dosyası,H,Kalite onaylı,656.118,30,2023,4,15
D00003,320.01.0004,IRS23700135,2023-02-19,250,250,155.0735,1,YERLİ,20.0167,İthalat dosyası,E,Şartlı kabul,1936.8015,0,2023,2,7
H00007,320.01.0055,IRS23700136,2023-03-08,5000,5,55.0467,1,YERLİ,21.2333,Numune kabul,E,Şartlı kabul,12962.3516,45,2023,3,10
D00009,320.01.0017,IRS23700137,2023-03-25,2000,2000,43.0612,1,YERLİ,21.2333,Numune kabul,E,Şartlı kabul,4056.0064,30,2023,3,12
H00011,320.01.0017,IRS23700138,2023-05-11,120,0.12,30.8889,1,YERLİ,23.6667,Sevk irsaliyesi,E,,156.6196,60,2023,5,19
H00002,320.01.0017,IRS23700139,2023-05-05,2000,2,54.637,1,YERLİ,23.6667,Numune kabul,E,Şartlı kabul,4617.2048,60,2023,5,18
H00011,320.01.0015,IRS23700140,2023-03-29,5000,5,34.8382,1,İTHAL,21.2333,Numune kabul,E,Kalite onaylı,8203.6706,90,2023,3,13
H00001,320.01.0015,IRS23700141,2023-02-27,10000,10,28.786,1,İTHAL,20.0167,İthalat dosyası,H,Kalite onaylı,14380.9919,30,2023,2,9
D00003,320.01.0017,IRS23700142,2023-04-06,120,120,188.5544,1,YERLİ,22.45,Sevk irsaliyesi,H,Kalite onaylı,1007.8632,0,2023,4,14
H00007,320.01.0018,IRS23700143,2023-05-15,5000,5,69.3198,1,İTHAL,23.6667,Sevk irsaliyesi,E,,14645.0075,30,2023,5,20
H00003,320.01.0018,IRS23700144,2023-03-13,1000,1,19.8119,1,İTHAL,21.2333,İthalat dosyası,E,,933.058,90,2023,3,11
H00001,320.01.0018,IRS23700145,2023-02-22,1000,1,33.9889,1,İTHAL,20.0167,Mal kabul,H,Şartlı kabul,1698.0271,45,2023,2,8
D00005,320.01.0002,IRS23700146,2023-02-28,500,500,163.4733,1,YERLİ,20.0167,Sevk irsaliyesi,H,Şartlı kabul,4083.4228,90,2023,2,9
H00006,320.01.0050,IRS23700147,2023-03-06,2000,2,67.1723,1,YERLİ,21.2333,Numune kabul,E,,6327.0712,90,2023,3,10
H00012,320.01.0004,IRS23700148,2023-03-03,500,500,59.4008,1,YERLİ,21.2333,İthalat dosyası,E,,1398.7651,45,2023,3,9
D00004,320.01.0004,IRS23700149,2023-04-19,120,120,14.5506,1,YERLİ,22.45,Mal kabul,H,,77.776,45,2023,4,16
D00002,320.01.0011,IRS23700150,2023-03-01,2000,2000,95.3472,1,YERLİ,21.2333,Kısmi teslim,E,Kalite onaylı,8980.9121,30,2023,3,9
H00016,320.01.0019,IRS23700151,2023-03-01,2000,2000,27.7833,1,YERLİ,21.2333,Mal kabul,E,,2616.9554,30,2023,3,9
H00009,320.01.0019,IRS23700152,2023-03-05,120,0.12,12.593,1,YERLİ,21.2333,İthalat dosyası,E,Kalite onaylı,71.1693,0,2023,3,9
H00003,320.01.0019,IRS23700153,2023-03-25,1000,1,20.4919,1,YERLİ,21.2333,Mal kabul,E,Kalite onaylı,965.0831,30,2023,3,12
D00012,320.01.0003,IRS23700154,2023-05-14,250,250,100.9908,1,YERLİ,23.6667,Kısmi teslim,H,Şartlı kabul,1066.8027,45,2023,5,19
H00016,320.01.0003,IRS23700155,2023-03-13,5000,5000,24.597,1,YERLİ,21.2333,Mal kabul,E,Kalite onaylı,5792.0813,45,2023,3,11
H00012,320.01.0002,IRS23700156,2023-03-21,120,120,65.4772,1,YERLİ,21.2333,Kısmi teslim,H,Şartlı kabul,370.0444,30,2023,3,12
D00012,320.01.0002,IRS23700157,2023-03-02,10000,10000,84.314,1,YERLİ,21.2333,Kısmi teslim,H,Şartlı kabul,39708.3826,45,2023,3,9
D00012,320.01.0017,IRS23700158,2023-03-04,120,120,88.7831,1,YERLİ,21.2333,Numune kabul,H,Şartlı kabul,501.7577,45,2023,3,9
D00009,320.01.0005,IRS23700159,2023-05-12,5000,5000,41.4592,1,İTHAL,23.6667,Kısmi teslim,E,Şartlı kabul,8758.9736,0,2023,5,19
D00004,320.01.0007,IRS23700160,2023-03-26,250,250,15.1288,1,İTHAL,21.2333,Numune kabul,E,Şartlı kabul,178.1259,0,2023,3,12
H00005,320.01.0007,IRS23700161,2023-05-12,5000,5,29.0542,1,İTHAL,23.6667,Sevk irsaliyesi,H,Kalite onaylı,6138.2026,90,2023,5,19
H00002,320.01.0007,IRS23700162,2023-05-16,500,0.5,55.8137,1,İTHAL,23.6667,Numune kabul,E,Kalite onaylı,1179.161,0,2023,5,20
D00002,320.01.0011,IRS23700163,2023-03-04,1000,1000,89.4747,1,YERLİ,21.2333,Mal kabul,E,Kalite onaylı,4213.8857,0,2023,3,9
D00006,320.01.0003,IRS23700164,2023-02-23,250,250,113.2414,1,YERLİ,20.0167,Kısmi teslim,H,Kalite onaylı,1414.3365,90,2023,2,8
H00007,320.01.0003,IRS23700165,2023-03-22,120,0.12,60.1139,1,YERLİ,21.2333,Mal kabul,H,Kalite onaylı,339.7337,30,2023,3,12
D00012,320.01.0003,IRS23700166,2023-04-02,10000,10000,100.1309,1,YERLİ,22.45,Kısmi teslim,H,Şartlı kabul,44601.7372,60,2023,4,13
D00005,320.01.0042,IRS23700167,2023-03-16,500,500,175.5812,1,YERLİ,21.2333,Sevk irsaliyesi,E,Şartlı kabul,4134.5716,90,2023,3,11
H00004,320.01.0042,IRS23700168,2023-03-08,2000,2,12.772,1,YERLİ,21.2333,Mal kabul,H,Kalite onaylı,1203.016,0,2023,3,10
H00012,320.01.0042,IRS23700169,2023-05-27,250,250,65.2029,1,YERLİ,23.6667,Numune kabul,E,,688.7621,0,2023,5,21
D00003,320.01.0046,IRS23700170,2023-03-19,10000,10000,191.3986,1,YERLİ,21.2333,Sevk irsaliyesi,H,,90140.7695,60,2023,3,11
D00007,320.01.0046,IRS23700171,2023-04-06,5000,5000,87.661,1,YERLİ,22.45,Kısmi teslim,E,Kalite onaylı,19523.608,60,2023,4,14
H00014,320.01.0003,IRS23700173,2023-04-17,250,0.25,55.3918,1,YERLİ,22.45,Kısmi teslim,E,Şartlı kabul,616.8352,45,2023,4,16
H00004,320.01.0044,IRS23700174,2023-03-20,5000,5,14.8231,1,YERLİ,21.2333,Kısmi teslim,E,Şartlı kabul,3490.5314,30,2023,3,12
H00001,320.01.0044,IRS23700175,2023-05-27,2000,2,32.9211,1,YERLİ,23.6667,Sevk irsaliyesi,H,,2782.0609,45,2023,5,21
H00003,320.01.0017,IRS23700176,2023-03-07,500,0.5,20.7182,1,YERLİ,21.2333,Sevk irsaliyesi,E,Kalite onaylı,487.8705,60,2023,3,10
D00007,320.01.0025,IRS23700177,2023-03-21,1000,1000,71.7869,1,YERLİ,21.2333,İthalat dosyası,H,,3380.864,45,2023,3,12
