INCKEYNO,STHAR_TARIH,FISNO,SIRA,STOK_KODU,STHAR_CARIKOD,STHAR_GCMIK,STHAR_NF,ALINAN,STHAR_HTUR,TERMIN,SIPARIS_TARIHINDEN_GECEN_GUN,TERMINE_KALAN_GUN,KALAN,STHAR_GCKOD,DOLAR_KURU,STHAR_KOD1,STHAR_KOD2,TUTAR_USD,DURUM,YIL,AY,HAFTA
700016,2023-01-06,SAS23000012,1,H00004,320.01.0002,500,38.358,500,YERLİ,2023-02-20,1301,,0,2,18.8,02,HM1,1020.1596,KAPALI,2023,1,1
700017,2023-01-06,SAS23000012,2,H00011,320.01.0002,250,22.188,250,YERLİ,2023-03-07,1301,,0,2,18.8,02,HM1,295.0532,KAPALI,2023,1,1
700018,2023-01-06,SAS23000012,3,D00007,320.01.0002,5000,44.0795,5000,YERLİ,2023-01-27,1301,,0,2,18.8,03,DG1,11723.2713,KAPALI,2023,1,1
700019,2023-01-09,SAS23000013,1,H00003,320.01.0020,10000,45.5491,10000,YERLİ,2023-02-08,1298,,0,2,18.8,02,HM1,24228.2447,KAPALI,2023,1,2
700020,2023-01-09,SAS23000013,2,H00002,320.01.0020,500,11.4093,500,YERLİ,2023-01-24,1298,,0,2,18.8,02,HM1,303.4388,KAPALI,2023,1,2
700021,2023-01-09,SAS23000014,1,H00003,320.01.0037,250,44.8003,250,İTHAL,2023-02-23,1298,,0,2,18.8,02,HM1,595.7487,KAPALI,2023,1,2
700022,2023-01-09,SAS23000014,2,H00008,320.01.0037,120,35.7008,120,İTHAL,2023-03-10,1298,,0,2,18.8,02,HM1,227.8774,KAPALI,2023,1,2
700023,2023-01-09,SAS23000015,1,H00014,320.01.0004,250,21.7061,250,YERLİ,2023-03-10,1298,,0,2,18.8,02,HM1,288.6449,KAPALI,2023,1,2
700024,2023-01-10,SAS23000016,1,D00011,320.01.0009,10000,5.0721,10000,YERLİ,2023-03-11,1297,,0,2,18.8,03,DG1,2697.9255,KAPALI,2023,1,2
700025,2023-01-10,SAS23000016,2,H00008,320.01.0009,500,37.5617,500,YERLİ,2023-01-25,1297,,0,2,18.8,02,HM1,998.9814,KAPALI,2023,1,2
700026,2023-01-10,SAS23000017,1,H00010,320.01.0012,10000,12.924,10000,YERLİ,2023-01-25,1297,,0,2,18.8,02,HM1,6874.4681,KAPALI,2023,1,2
700027,2023-01-10,SAS23000018,1,D00001,320.01.0001,5000,18.7884,5000,YERLİ,2023-03-11,1297,,0,2,18.8,03,DG1,4996.9149,KAPALI,2023,1,2
700028,2023-01-10,SAS23000018,2,D00004,320.01.0001,5000,36.5904,5000,YERLİ,2023-01-31,1297,,0,2,18.8,03,DG1,9731.4894,KAPALI,2023,1,2
700029,2023-01-10,SAS23000019,1,D00005,320.01.0023,2000,170.3123,2000,İTHAL,2023-04-10,1297,,0,2,18.8,03,DG1,18118.3298,KAPALI,2023,1,2
700030,2023-01-11,SAS23000020,1,H00013,320.01.0002,500,49.3262,500,YERLİ,2023-01-26,1296,,0,2,18.8,02,HM1,1311.867,KAPALI,2023,1,2
700031,2023-01-11,SAS23000020,2,H00002,320.01.0002,500,11.5774,500,YERLİ,2023-01-21,1296,,0,2,18.8,02,HM1,307.9096,KAPALI,2023,1,2
700032,2023-01-11,SAS23000020,3,D00003,320.01.0002,10000,182.6168,10000,YERLİ,2023-01-26,1296,,0,2,18.8,03,DG1,97136.5957,KAPALI,2023,1,2
700033,2023-01-11,SAS23000021,1,H00003,320.01.0007,5000,46.6939,5000,YERLİ,2023-01-21,1296,,0,2,18.8,02,HM1,12418.5904,KAPALI,2023,1,2
700034,2023-01-11,SAS23000021,2,H00004,320.01.0007,120,43.3643,120,YERLİ,2023-04-11,1296,,0,2,18.8,02,HM1,276.7934,KAPALI,2023,1,2
700035,2023-01-11,SAS23000022,1,H00014,320.01.0008,120,19.4864,120,YERLİ,2023-02-10,1296,,0,2,18.8,02,HM1,124.3813,KAPALI,2023,1,2
700036,2023-01-12,SAS23000023,1,D00003,320.01.0030,120,187.7887,120,YERLİ,2023-02-26,1295,,0,2,18.8,03,DG1,1198.6513,KAPALI,2023,1,2
700037,2023-01-12,SAS23000023,2,H00006,320.01.0030,500,59.6507,500,YERLİ,2023-02-11,1295,,0,2,18.8,02,HM1,1586.4548,KAPALI,2023,1,2
700038,2023-01-12,SAS23000024,1,H00008,320.01.0001,120,35.1009,120,YERLİ,2023-04-12,1295,,0,2,18.8,02,HM1,224.0483,KAPALI,2023,1,2
700039,2023-01-12,SAS23000024,2,D00004,320.01.0001,120,41.1467,120,YERLİ,2023-02-02,1295,,0,2,18.8,03,DG1,262.6385,KAPALI,2023,1,2
700040,2023-01-12,SAS23000024,3,H00015,320.01.0001,120,23.3036,120,YERLİ,2023-04-12,1295,,0,2,18.8,02,HM1,148.7464,KAPALI,2023,1,2
700041,2023-01-13,SAS23000025,1,H00010,320.01.0003,120,14.3411,120,İTHAL,2023-02-03,1294,,0,2,18.8,02,HM1,91.5389,KAPALI,2023,1,2
700042,2023-01-13,SAS23000025,2,H00016,320.01.0003,500,43.0899,500,İTHAL,2023-01-28,1294,,0,2,18.8,02,HM1,1146.008,KAPALI,2023,1,2
700043,2023-01-13,SAS23000025,3,H00015,320.01.0003,250,24.7604,250,İTHAL,2023-01-23,1294,,0,2,18.8,02,HM1,329.2606,KAPALI,2023,1,2
700044,2023-01-13,SAS23000026,1,D00009,320.01.0012,2000,138.2844,2000,YERLİ,2023-01-23,1294,,0,2,18.8,03,DG1,14711.1064,KAPALI,2023,1,2
700045,2023-01-13,SAS23000027,1,H00009,320.01.0001,500,49.5406,500,YERLİ,2023-03-14,1294,,0,2,18.8,02,HM1,1317.5691,KAPALI,2023,1,2
700046,2023-01-13,SAS23000028,1,D00004,320.01.0001,10000,36.1748,10000,YERLİ,2023-02-27,1294,,0,2,18.8,03,DG1,19241.9149,KAPALI,2023,1,2
700047,2023-01-13,SAS23000028,2,H00002,320.01.0001,1000,12.263,1000,YERLİ,2023-03-14,1294,,0,2,18.8,02,HM1,652.2872,KAPALI,2023,1,2
700048,2023-01-16,SAS23000029,1,H00010,320.01.0041,5000,11.5239,5000,İTHAL,2023-03-17,1291,,0,2,18.8,02,HM1,3064.867,KAPALI,2023,1,3
700049,2023-01-16,SAS23000030,1,D00009,320.01.0006,250,147.6345,250,YERLİ,2023-02-15,1291,,0,2,18.8,03,DG1,1963.2247,KAPALI,2023,1,3
700050,2023-01-16,SAS23000031,1,H00010,320.01.0050,1000,12.0005,1000,YERLİ,2023-01-31,1291,,0,2,18.8,02,HM1,638.3245,KAPALI,2023,1,3
700051,2023-01-16,SAS23000031,2,H00008,320.01.0050,10000,34.9763,10000,YERLİ,2023-03-02,1291,,0,2,18.8,02,HM1,18604.4149,KAPALI,2023,1,3
700052,2023-01-17,SAS23000032,1,H00011,320.01.0006,5000,20.4052,5000,YERLİ,2023-02-01,1290,,0,2,18.8,02,HM1,5426.9149,KAPALI,2023,1,3
700053,2023-01-17,SAS23000033,1,H00008,320.01.0018,1000,31.4076,1000,YERLİ,2023-02-07,1290,,0,2,18.8,02,HM1,1670.617,KAPALI,2023,1,3
700054,2023-01-17,SAS23000033,2,D00007,320.01.0018,120,42.4829,120,YERLİ,2023-03-18,1290,,0,2,18.8,03,DG1,271.1674,KAPALI,2023,1,3
700055,2023-01-17,SAS23000033,3,D00005,320.01.0018,500,146.9333,500,YERLİ,2023-04-17,1290,,0,2,18.8,03,DG1,3907.8005,KAPALI,2023,1,3
700056,2023-01-17,SAS23000034,1,H00001,320.01.0029,10000,31.5595,10000,YERLİ,2023-03-18,1290,,0,2,18.8,02,HM1,16786.9681,KAPALI,2023,1,3
700057,2023-01-17,SAS23000034,2,H00009,320.01.0029,500,39.9846,500,YERLİ,2023-01-27,1290,,0,2,18.8,02,HM1,1063.4202,KAPALI,2023,1,3
700058,2023-01-17,SAS23000035,1,H00001,320.01.0032,120,30.8601,120,YERLİ,2023-02-07,1290,,0,2,18.8,02,HM1,196.9794,KAPALI,2023,1,3
700059,2023-01-17,SAS23000035,2,D00012,320.01.0032,500,71.6122,500,YERLİ,2023-04-17,1290,,0,2,18.8,03,DG1,1904.5798,KAPALI,2023,1,3
700060,2023-01-17,SAS23000035,3,D00002,320.01.0032,10000,32.8016,10000,YERLİ,2023-04-17,1290,,0,2,18.8,03,DG1,17447.6596,KAPALI,2023,1,3
700061,2023-01-18,SAS23000036,1,H00003,320.01.0021,120,40.5635,120,YERLİ,2023-04-18,1289,,0,2,18.8,02,HM1,258.916,KAPALI,2023,1,3
700062,2023-01-18,SAS23000036,2,H00011,320.01.0021,2000,20.7775,2000,YERLİ,2023-02-17,1289,,0,2,18.8,02,HM1,2210.3723,KAPALI,2023,1,3
700063,2023-01-18,SAS23000037,1,H00009,320.01.0019,120,42.9932,120,YERLİ,2023-02-02,1289,,0,2,18.8,02,HM1,274.4247,KAPALI,2023,1,3
700064,2023-01-18,SAS23000037,2,H00012,320.01.0019,5000,18.0713,5000,YERLİ,2023-02-17,1289,,0,2,18.8,02,HM1,4806.1968,KAPALI,2023,1,3
700065,2023-01-19,SAS23000038,1,D00004,320.01.0003,2000,41.3305,2000,İTHAL,2023-03-05,1288,,0,2,18.8,03,DG1,4396.8617,KAPALI,2023,1,3
700066,2023-01-20,SAS23000039,1,D00006,320.01.0014,120,169.899,120,YERLİ,2023-02-04,1287,,0,2,18.8,03,DG1,1084.4617,KAPALI,2023,1,3
700067,2023-01-20,SAS23000040,1,H00002,320.01.0004,1000,11.6328,500,YERLİ,2023-01-30,1287,-1277,500,2,18.8,02,HM1,618.766,ACIK,2023,1,3
700068,2023-01-20,SAS23000041,1,H00008,320.01.0015,1000,34.8056,0,YERLİ,2023-02-10,1287,-1266,1000,2,18.8,02,HM1,1851.3617,ACIK,2023,1,3
700069,2023-01-20,SAS23000042,1,H00013,320.01.0008,1000,54.375,1000,YERLİ,2023-04-20,1287,,0,2,18.8,02,HM1,2892.2872,KAPALI,2023,1,3
700070,2023-01-23,SAS23000043,1,H00011,320.01.0037,500,21.1149,500,İTHAL,2023-02-02,1284,,0,2,18.8,02,HM1,561.5665,KAPALI,2023,1,4
700071,2023-01-23,SAS23000044,1,D00003,320.01.0010,250,179.3394,250,YERLİ,2023-02-22,1284,,0,2,18.8,03,DG1,2384.8324,KAPALI,2023,1,4
700072,2023-01-23,SAS23000044,2,H00016,320.01.0010,10000,50.4162,10000,YERLİ,2023-02-22,1284,,0,2,18.8,02,HM1,26817.1277,KAPALI,2023,1,4
700073,2023-01-24,SAS23000045,1,D00003,320.01.0001,500,166.3733,500,YERLİ,2023-03-10,1283,,0,2,18.8,03,DG1,4424.8218,KAPALI,2023,1,4
700074,2023-01-24,SAS23000045,2,H00008,320.01.0001,500,33.0507,500,YERLİ,2023-02-14,1283,,0,2,18.8,02,HM1,879.008,KAPALI,2023,1,4
700075,2023-01-24,SAS23000046,1,H00014,320.01.0001,10000,17.8226,10000,YERLİ,2023-03-10,1283,,0,2,18.8,02,HM1,9480.1064,KAPALI,2023,1,4
700076,2023-01-25,SAS23000047,1,D00010,320.01.0013,10000,126.0217,10000,YERLİ,2023-02-15,1282,,0,2,18.8,03,DG1,67032.8191,KAPALI,2023,1,4
700077,2023-01-25,SAS23000047,2,H00007,320.01.0013,5000,28.026,5000,YERLİ,2023-04-25,1282,,0,2,18.8,02,HM1,7453.7234,KAPALI,2023,1,4
700078,2023-01-26,SAS23000048,1,H00006,320.01.0007,500,58.5991,0,YERLİ,2023-02-05,1281,-1271,500,2,18.8,02,HM1,1558.4867,ACIK,2023,1,4
700079,2023-01-26,SAS23000048,2,D00012,320.01.0007,120,69.2337,120,YERLİ,2023-02-25,1281,,0,2,18.8,03,DG1,441.9172,KAPALI,2023,1,4
700080,2023-01-26,SAS23000049,1,H00010,320.01.0004,10000,11.8807,10000,YERLİ,2023-02-16,1281,,0,2,18.8,02,HM1,6319.5213,KAPALI,2023,1,4
700081,2023-01-26,SAS23000049,2,H00009,320.01.0004,5000,44.3418,5000,YERLİ,2023-04-26,1281,,0,2,18.8,02,HM1,11793.0319,KAPALI,2023,1,4
700082,2023-01-26,SAS23000050,1,H00003,320.01.0008,10000,43.2596,0,YERLİ,2023-04-26,1281,-1191,10000,2,18.8,02,HM1,23010.4255,ACIK,2023,1,4
700083,2023-01-26,SAS23000051,1,H00007,320.01.0009,500,27.1819,500,YERLİ,2023-03-27,1281,,0,2,18.8,02,HM1,722.9229,KAPALI,2023,1,4
700084,2023-01-26,SAS23000051,2,D00012,320.01.0009,2000,79.009,2000,YERLİ,2023-02-16,1281,,0,2,18.8,03,DG1,8405.2128,KAPALI,2023,1,4
700085,2023-01-26,SAS23000052,1,D00012,320.01.0001,10000,79.1835,10000,YERLİ,2023-03-27,1281,,0,2,18.8,03,DG1,42118.883,KAPALI,2023,1,4
700086,2023-01-26,SAS23000052,2,H00009,320.01.0001,5000,48.032,5000,YERLİ,2023-02-10,1281,,0,2,18.8,02,HM1,12774.4681,KAPALI,2023,1,4
700087,2023-01-26,SAS23000052,3,H00012,320.01.0001,2000,18.2824,2000,YERLİ,2023-02-05,1281,,0,2,18.8,02,HM1,1944.9362,KAPALI,2023,1,4
700088,2023-01-27,SAS23000053,1,D00010,320.01.0009,10000,109.278,10000,YERLİ,2023-02-11,1280,,0,2,18.8,03,DG1,58126.5957,KAPALI,2023,1,4
700089,2023-01-27,SAS23000054,1,H00003,320.01.0024,500,39.3134,500,YERLİ,2023-03-13,1280,,0,2,18.8,02,HM1,1045.5691,KAPALI,2023,1,4
700090,2023-01-27,SAS23000055,1,D00009,320.01.0002,120,134.0655,120,YERLİ,2023-02-17,1280,,0,2,18.8,03,DG1,855.7372,KAPALI,2023,1,4
700091,2023-01-27,SAS23000056,1,D00008,320.01.0017,2000,164.1464,2000,YERLİ,2023-02-06,1280,,0,2,18.8,03,DG1,17462.383,KAPALI,2023,1,4
700092,2023-01-30,SAS23000057,1,H00014,320.01.0021,120,21.0062,120,YERLİ,2023-03-16,1277,,0,2,18.8,02,HM1,134.0821,KAPALI,2023,1,5
700093,2023-01-30,SAS23000057,2,D00008,320.01.0021,5000,190.4827,5000,YERLİ,2023-02-20,1277,,0,2,18.8,03,DG1,50660.2926,KAPALI,2023,1,5
700094,2023-01-30,SAS23000057,3,H00007,320.01.0021,250,23.695,250,YERLİ,2023-02-20,1277,,0,2,18.8,02,HM1,315.0931,KAPALI,2023,1,5
700095,2023-01-31,SAS23000058,1,D00011,320.01.0055,120,5.951,120,İTHAL,2023-02-21,1276,,0,2,18.8,03,DG1,37.9851,KAPALI,2023,1,5
700096,2023-01-31,SAS23000058,2,D00009,320.01.0055,10000,138.7703,10000,İTHAL,2023-05-01,1276,,0,2,18.8,03,DG1,73813.9894,KAPALI,2023,1,5
700097,2023-01-31,SAS23000059,1,H00014,320.01.0011,10000,21.3944,10000,YERLİ,2023-02-21,1276,,0,2,18.8,02,HM1,11380,KAPALI,2023,1,5
700098,2023-01-31,SAS23000059,2,H00012,320.01.0011,2000,15.9328,2000,YERLİ,2023-02-10,1276,,0,2,18.8,02,HM1,1694.9787,KAPALI,2023,1,5
700099,2023-01-31,SAS23000059,3,D00005,320.01.0011,250,176.6162,0,YERLİ,2023-03-02,1276,-1246,250,2,18.8,03,DG1,2348.6197,ACIK,2023,1,5
700100,2023-02-01,SAS23000060,1,D00009,320.01.0033,5000,133.9217,0,YERLİ,2023-02-22,1275,-1254,5000,2,20.0167,03,DG1,33452.4922,ACIK,2023,2,5
700101,2023-02-01,SAS23000060,2,D00001,320.01.0033,10000,20.788,5000,YERLİ,2023-04-02,1275,-1215,5000,2,20.0167,03,DG1,10385.3283,ACIK,2023,2,5
700102,2023-02-01,SAS23000061,1,H00008,320.01.0001,250,41.2553,250,YERLİ,2023-03-18,1275,,0,2,20.0167,02,HM1,515.261,KAPALI,2023,2,5
700103,2023-02-01,SAS23000062,1,H00011,320.01.0006,10000,24.3027,10000,YERLİ,2023-04-02,1275,,0,2,20.0167,02,HM1,12141.2121,KAPALI,2023,2,5
700104,2023-02-01,SAS23000062,2,H00008,320.01.0006,120,37.787,120,YERLİ,2023-04-02,1275,,0,2,20.0167,02,HM1,226.5328,KAPALI,2023,2,5
700105,2023-02-01,SAS23000063,1,H00010,320.01.0001,500,13.6687,500,YERLİ,2023-03-03,1275,,0,2,20.0167,02,HM1,341.4324,KAPALI,2023,2,5
700106,2023-02-02,SAS23000064,1,H00014,320.01.0008,2000,21.8311,2000,YERLİ,2023-04-03,1274,,0,2,20.0167,02,HM1,2181.2886,KAPALI,2023,2,5
700107,2023-02-02,SAS23000065,1,H00015,320.01.0001,1000,23.4451,1000,YERLİ,2023-03-04,1274,,0,2,20.0167,02,HM1,1171.277,KAPALI,2023,2,5
700108,2023-02-02,SAS23000065,2,D00009,320.01.0001,2000,159.9594,2000,YERLİ,2023-05-03,1274,,0,2,20.0167,03,DG1,15982.5945,KAPALI,2023,2,5
700109,2023-02-02,SAS23000066,1,D00010,320.01.0023,250,118.081,250,İTHAL,2023-02-17,1274,,0,2,20.0167,03,DG1,1474.7811,KAPALI,2023,2,5
700110,2023-02-03,SAS23000067,1,H00001,320.01.0003,10000,28.3863,10000,İTHAL,2023-03-05,1273,,0,2,20.0167,02,HM1,14181.3086,KAPALI,2023,2,5
700111,2023-02-03,SAS23000067,2,D00003,320.01.0003,250,162.226,250,İTHAL,2023-02-18,1273,,0,2,20.0167,03,DG1,2026.1332,KAPALI,2023,2,5
700112,2023-02-03,SAS23000067,3,H00009,320.01.0003,250,44.5243,250,İTHAL,2023-02-18,1273,,0,2,20.0167,02,HM1,556.0894,KAPALI,2023,2,5
700113,2023-02-03,SAS23000068,1,H00001,320.01.0004,5000,34.9723,5000,YERLİ,2023-02-24,1273,,0,2,20.0167,02,HM1,8735.7806,KAPALI,2023,2,5
700114,2023-02-06,SAS23000069,1,D00004,320.01.0024,1000,39.3183,0,YERLİ,2023-03-08,1270,-1240,1000,2,20.0167,03,DG1,1964.2748,ACIK,2023,2,6
700115,2023-02-06,SAS23000069,2,H00004,320.01.0024,250,42.9575,250,YERLİ,2023-02-21,1270,,0,2,20.0167,02,HM1,536.5208,KAPALI,2023,2,6
700116,2023-02-06,SAS23000070,1,H00009,320.01.0045,120,50.2375,120,YERLİ,2023-04-07,1270,,0,2,20.0167,02,HM1,301.1735,KAPALI,2023,2,6
700117,2023-02-06,SAS23000070,2,H00015,320.01.0045,120,26.2465,120,YERLİ,2023-03-23,1270,,0,2,20.0167,02,HM1,157.3476,KAPALI,2023,2,6
700118,2023-02-06,SAS23000070,3,D00003,320.01.0045,1000,187.781,1000,YERLİ,2023-02-16,1270,,0,2,20.0167,03,DG1,9381.2167,KAPALI,2023,2,6
700119,2023-02-06,SAS23000071,1,D00011,320.01.0042,120,5.274,120,YERLİ,2023-03-08,1270,,0,2,20.0167,03,DG1,31.6176,KAPALI,2023,2,6
700120,2023-02-06,SAS23000072,1,D00007,320.01.0010,250,44.5792,250,YERLİ,2023-03-08,1270,,0,2,20.0167,03,DG1,556.7751,KAPALI,2023,2,6
700121,2023-02-07,SAS23000073,1,D00011,320.01.0003,5000,5.8271,5000,İTHAL,2023-04-08,1269,,0,2,20.0167,03,DG1,1455.5596,KAPALI,2023,2,6
700122,2023-02-07,SAS23000073,2,D00011,320.01.0003,120,5.7541,120,İTHAL,2023-02-17,1269,,0,2,20.0167,03,DG1,34.4958,KAPALI,2023,2,6
700123,2023-02-07,SAS23000074,1,D00001,320.01.0006,10000,22.5899,10000,YERLİ,2023-02-17,1269,,0,2,20.0167,03,DG1,11285.5266,KAPALI,2023,2,6
700124,2023-02-07,SAS23000074,2,D00012,320.01.0006,1000,85.1641,1000,YERLİ,2023-02-22,1269,,0,2,20.0167,03,DG1,4254.6524,KAPALI,2023,2,6
700125,2023-02-07,SAS23000075,1,H00013,320.01.0006,2000,61.4678,2000,YERLİ,2023-02-28,1269,,0,2,20.0167,02,HM1,6141.6517,KAPALI,2023,2,6
700126,2023-02-07,SAS23000075,2,D00007,320.01.0006,5000,51.3248,5000,YERLİ,2023-05-08,1269,,0,2,20.0167,03,DG1,12820.4949,KAPALI,2023,2,6
700127,2023-02-08,SAS23000076,1,D00005,320.01.0002,120,185.1603,120,YERLİ,2023-03-25,1268,,0,2,20.0167,03,DG1,1110.0349,KAPALI,2023,2,6
700128,2023-02-08,SAS23000077,1,H00005,320.01.0002,2000,32.7008,2000,YERLİ,2023-03-25,1268,,0,2,20.0167,02,HM1,3267.3518,KAPALI,2023,2,6
700129,2023-02-08,SAS23000077,2,D00012,320.01.0002,1000,83.7254,1000,YERLİ,2023-03-01,1268,,0,2,20.0167,03,DG1,4182.7774,KAPALI,2023,2,6
700130,2023-02-08,SAS23000077,3,H00006,320.01.0002,250,58.3269,250,YERLİ,2023-05-09,1268,,0,2,20.0167,02,HM1,728.478,KAPALI,2023,2,6
700131,2023-02-08,SAS23000078,1,D00011,320.01.0020,5000,5.5174,5000,YERLİ,2023-03-10,1268,,0,2,20.0167,03,DG1,1378.1992,KAPALI,2023,2,6
700132,2023-02-09,SAS23000079,1,D00010,320.01.0023,250,110.0283,250,İTHAL,2023-03-02,1267,,0,2,20.0167,03,DG1,1374.2063,KAPALI,2023,2,6
700133,2023-02-09,SAS23000080,1,H00015,320.01.0048,10000,26.4709,10000,YERLİ,2023-02-24,1267,,0,2,20.0167,02,HM1,13224.4076,KAPALI,2023,2,6
700134,2023-02-09,SAS23000081,1,H00001,320.01.0031,1000,33.6757,1000,YERLİ,2023-05-10,1267,,0,2,20.0167,02,HM1,1682.3802,KAPALI,2023,2,6
700135,2023-02-09,SAS23000081,2,H00012,320.01.0031,5000,20.9058,5000,YERLİ,2023-05-10,1267,,0,2,20.0167,02,HM1,5222.0896,KAPALI,2023,2,6
700136,2023-02-10,SAS23000082,1,H00007,320.01.0008,10000,27.4394,10000,YERLİ,2023-04-11,1266,,0,2,20.0167,02,HM1,13708.2536,KAPALI,2023,2,6
700137,2023-02-10,SAS23000082,2,H00003,320.01.0008,500,44.039,500,YERLİ,2023-02-20,1266,,0,2,20.0167,02,HM1,1100.0565,KAPALI,2023,2,6
700138,2023-02-10,SAS23000083,1,D00009,320.01.0007,500,147.5636,500,YERLİ,2023-02-20,1266,,0,2,20.0167,03,DG1,3686.0122,KAPALI,2023,2,6
700139,2023-02-10,SAS23000083,2,H00001,320.01.0007,2000,33.8408,2000,YERLİ,2023-02-20,1266,,0,2,20.0167,02,HM1,3381.2567,KAPALI,2023,2,6
700140,2023-02-13,SAS23000084,1,H00007,320.01.0002,5000,26.9834,5000,YERLİ,2023-03-30,1263,,0,2,20.0167,02,HM1,6740.2219,KAPALI,2023,2,7
700141,2023-02-13,SAS23000084,2,H00009,320.01.0002,500,48.6186,500,YERLİ,2023-02-28,1263,,0,2,20.0167,02,HM1,1214.4509,KAPALI,2023,2,7
700142,2023-02-13,SAS23000084,3,H00011,320.01.0002,1000,24.4658,1000,YERLİ,2023-03-06,1263,,0,2,20.0167,02,HM1,1222.2694,KAPALI,2023,2,7
700143,2023-02-13,SAS23000085,1,H00014,320.01.0002,1000,19.1122,1000,YERLİ,2023-03-15,1263,,0,2,20.0167,02,HM1,954.8127,KAPALI,2023,2,7
700144,2023-02-13,SAS23000085,2,D00010,320.01.0002,120,130.928,120,YERLİ,2023-03-06,1263,,0,2,20.0167,03,DG1,784.9126,KAPALI,2023,2,7
700145,2023-02-13,SAS23000086,1,H00016,320.01.0052,10000,55.9719,10000,YERLİ,2023-05-14,1263,,0,2,20.0167,02,HM1,27962.6012,KAPALI,2023,2,7
700146,2023-02-13,SAS23000087,1,D00005,320.01.0001,2000,160.1454,2000,YERLİ,2023-03-15,1263,,0,2,20.0167,03,DG1,16001.179,KAPALI,2023,2,7
700147,2023-02-13,SAS23000087,2,H00004,320.01.0001,250,46.9514,250,YERLİ,2023-04-14,1263,,0,2,20.0167,02,HM1,586.4029,KAPALI,2023,2,7
700148,2023-02-13,SAS23000087,3,D00002,320.01.0001,10000,39.8969,10000,YERLİ,2023-03-15,1263,,0,2,20.0167,03,DG1,19931.8069,KAPALI,2023,2,7
700149,2023-02-14,SAS23000088,1,D00001,320.01.0019,10000,21.157,10000,YERLİ,2023-03-16,1262,,0,2,20.0167,03,DG1,10569.6743,KAPALI,2023,2,7
700150,2023-02-14,SAS23000088,2,H00007,320.01.0019,250,29.1894,250,YERLİ,2023-03-01,1262,,0,2,20.0167,02,HM1,364.5631,KAPALI,2023,2,7
700151,2023-02-14,SAS23000089,1,D00006,320.01.0046,120,175.1947,120,YERLİ,2023-02-24,1262,,0,2,20.0167,03,DG1,1050.2912,KAPALI,2023,2,7
