INCKEYNO,STHAR_TARIH,FISNO,SIRA,STOK_KODU,STHAR_CARIKOD,STHAR_GCMIK,STHAR_NF,GONDERILEN,KALAN,SIPARIS_TEMSILCI,DEPARTMAN,STHAR_GCKOD,DOLAR_KURU,STHAR_KOD1,STHAR_KOD2,TUTAR_USD,DURUM,YIL,AY,HAFTA,ODEKOD,ODEME_ACIKLAMA,PESINAT_ORANI,VADE_GUNU,PESIN_TUTAR,VADELI_TUTAR,RPT,KACINCI_SIPARIS
100028,2023-01-04,SIP23000013,1,M00044,120.01.0002,240,355.3067,240,0,Nurhan T.,YURT_ICI,1,18.8,SK15,KA2,4535.8302,KAPALI,2023,1,1,OD08,Akreditif,0.2,75,907.166,3628.6642,1,2
100029,2023-01-04,SIP23000013,2,M00004,120.01.0002,720,324.2911,720,0,Nurhan T.,YURT_ICI,1,18.8,SK02,KA1,12419.6591,KAPALI,2023,1,1,OD08,Akreditif,0.2,75,2483.9318,9935.7273,0,2
100030,2023-01-04,SIP23000014,1,M00001,120.01.0011,144,214.8115,144,0,Bahar Ö.,YURT_ICI,1,18.8,SK01,KA6,1645.3647,KAPALI,2023,1,1,OD02,30 Gün Vadeli,0,30,0,1645.3647,1,2
100031,2023-01-04,SIP23000015,1,M00001,120.01.0028,2400,212.3806,2400,0,Selim K.,YURT_ICI,1,18.8,SK01,KA6,27112.417,KAPALI,2023,1,1,OD01,Peşin,1,0,27112.417,0,1,1
100032,2023-01-04,SIP23000015,2,M00218,120.01.0028,4800,358.9575,4800,0,Selim K.,YURT_ICI,1,18.8,SK01,KA4,91648.7234,KAPALI,2023,1,1,OD01,Peşin,1,0,91648.7234,0,1,1
100033,2023-01-04,STK23000002,1,M00057,120.01.0010,3000,202.4886,3000,0,Nurhan T.,YURT_ICI,1,18.8,SK12,KA1,32312.0106,KAPALI,2023,1,1,OD07,120 Gün Vadeli,0,120,0,32312.0106,0,1
100034,2023-01-04,STK23000002,2,M00028,120.01.0010,288,169.6411,169.96,118.04,Nurhan T.,YURT_ICI,1,18.8,SK10,KA5,2598.7573,ACIK,2023,1,1,OD07,120 Gün Vadeli,0,120,0,2598.7573,1,1
100035,2023-01-04,STK23000002,3,M00045,120.01.0010,288,66.9472,288,0,Nurhan T.,YURT_ICI,1,18.8,SK15,KA3,1025.5741,KAPALI,2023,1,1,OD07,120 Gün Vadeli,0,120,0,1025.5741,1,1
100036,2023-01-04,STK23000003,1,M00148,120.01.0015,576,81.894,576,0,Selim K.,YURT_ICI,1,18.8,SK10,KA3,2509.0928,KAPALI,2023,1,1,OD06,%50 Peşin + 45 Gün,0.5,45,1254.5464,1254.5464,0,2
100037,2023-01-05,STK23000004,1,M00040,120.01.0038,144,294.7277,144,0,Selim K.,YURT_ICI,1,18.8,SK14,KA5,2257.4888,KAPALI,2023,1,1,OD05,%30 Peşin + 60 Gün,0.3,60,677.2466,1580.2422,0,1
100038,2023-01-05,SIP23000016,1,M00176,120.01.0007,288,224.3907,288,0,Bahar Ö.,YURT_ICI,1,18.8,SK01,KA1,3437.4746,KAPALI,2023,1,1,OD06,%50 Peşin + 45 Gün,0.5,45,1718.7373,1718.7373,0,1
100039,2023-01-05,SIP23000017,1,M00001,120.01.0015,1440,186.1382,1440,0,Selim K.,YURT_ICI,1,18.8,SK01,KA6,14257.394,KAPALI,2023,1,1,OD01,Peşin,1,0,14257.394,0,1,3
100040,2023-01-05,SIP23000018,1,M00003,120.01.0034,7200,126.3237,7200,0,Bahar Ö.,YURT_ICI,1,18.8,SK01,KA3,48379.2894,KAPALI,2023,1,1,OD01,Peşin,1,0,48379.2894,0,1,1
100041,2023-01-06,SIP23000019,1,M00002,120.01.0002,2400,241.8946,2400,0,Nurhan T.,YURT_ICI,1,18.8,SK01,KA1,30880.1617,KAPALI,2023,1,1,OD02,30 Gün Vadeli,0,30,0,30880.1617,0,3
100042,2023-01-06,SIP23000020,1,M00039,120.01.0023,72,170.7591,72,0,Cem A.,YURT_ICI,1,18.8,SK13,KA2,653.971,KAPALI,2023,1,1,OD05,%30 Peşin + 60 Gün,0.3,60,196.1913,457.7797,1,1
100043,2023-01-09,SIP23000021,1,M00010,120.01.0019,1200,235.8107,1200,0,Selim K.,YURT_ICI,1,18.8,SK04,KA6,15051.7468,KAPALI,2023,1,2,OD08,Akreditif,0.2,75,3010.3494,12041.3974,1,1
100044,2023-01-09,SIP23000021,2,M00012,120.01.0019,3840,256.5662,3840,0,Selim K.,YURT_ICI,1,18.8,SK04,KA6,52405.0111,KAPALI,2023,1,2,OD08,Akreditif,0.2,75,10481.0022,41924.0089,1,1
100045,2023-01-09,SIP23000022,1,M00031,120.01.0006,1200,93.0636,1200,0,Selim K.,YURT_ICI,1,18.8,SK11,KA3,5940.2298,KAPALI,2023,1,2,OD02,30 Gün Vadeli,0,30,0,5940.2298,1,1
100046,2023-01-09,SIP23000022,2,M00023,120.01.0006,1440,79.0707,1440,0,Selim K.,YURT_ICI,1,18.8,SK08,KA3,6056.4791,KAPALI,2023,1,2,OD02,30 Gün Vadeli,0,30,0,6056.4791,1,1
100047,2023-01-09,SIP23000023,1,M00159,120.01.0052,480,118.6997,480,0,Bahar Ö.,YURT_ICI,1,18.8,SK11,KA5,3030.6306,KAPALI,2023,1,2,OD01,Peşin,1,0,3030.6306,0,0,1
100048,2023-01-09,SIP23000023,2,M00011,120.01.0052,20000,246.053,20000,0,Bahar Ö.,YURT_ICI,1,18.8,SK04,KA4,261758.5106,KAPALI,2023,1,2,OD01,Peşin,1,0,261758.5106,0,0,1
100049,2023-01-09,SIP23000024,1,M00007,120.01.0014,4800,121.0069,4800,0,Kaan M.,BASKILI,1,18.8,SK03,KA3,30895.3787,KAPALI,2023,1,2,OD04,90 Gün Vadeli,0,90,0,30895.3787,1,1
100050,2023-01-09,SIP23000025,1,M00010,120.01.0001,12000,237.9504,12000,0,Bahar Ö.,YURT_ICI,1,18.8,SK04,KA6,151883.234,KAPALI,2023,1,2,OD07,120 Gün Vadeli,0,120,0,151883.234,0,2
100051,2023-01-09,SIP23000026,1,M00031,120.01.0005,3000,88.851,3000,0,Elif S.,YURT_DISI,1,18.8,SK11,KA3,14178.3511,KAPALI,2023,1,2,OD07,120 Gün Vadeli,0,120,0,14178.3511,1,2
100052,2023-01-10,STK23000005,1,M00001,120.01.0012,960,209.1128,960,0,Cem A.,YURT_ICI,1,18.8,SK01,KA6,10678.1004,KAPALI,2023,1,2,OD06,%50 Peşin + 45 Gün,0.5,45,5339.0502,5339.0502,1,1
100053,2023-01-10,STK23000005,2,M00109,120.01.0012,288,176.7177,288,0,Cem A.,YURT_ICI,1,18.8,SK01,KA3,2707.1648,KAPALI,2023,1,2,OD06,%50 Peşin + 45 Gün,0.5,45,1353.5824,1353.5824,1,1
100054,2023-01-10,STK23000005,3,M00162,120.01.0012,8000,329.08,8000,0,Cem A.,YURT_ICI,1,18.8,SK07,KA1,140034.0426,KAPALI,2023,1,2,OD06,%50 Peşin + 45 Gün,0.5,45,70017.0213,70017.0213,1,1
100055,2023-01-10,SIP23000027,1,M00053,120.01.0054,2880,349.8347,2880,0,Cem A.,YURT_ICI,1,18.8,SK01,KA1,53591.6987,KAPALI,2023,1,2,OD06,%50 Peşin + 45 Gün,0.5,45,26795.8494,26795.8494,1,1
100056,2023-01-10,SIP23000027,2,M00039,120.01.0054,2400,145.3666,2400,0,Cem A.,YURT_ICI,1,18.8,SK13,KA2,18557.4383,KAPALI,2023,1,2,OD06,%50 Peşin + 45 Gün,0.5,45,9278.7192,9278.7192,1,1
100057,2023-01-10,SIP23000027,3,M00186,120.01.0054,360,329.9098,360,0,Cem A.,YURT_ICI,1,18.8,SK02,KA4,6317.4217,KAPALI,2023,1,2,OD06,%50 Peşin + 45 Gün,0.5,45,3158.7108,3158.7108,1,1
100058,2023-01-10,STKB23000002,1,M00175,120.01.0070,2400,90.8653,2400,0,Kaan M.,BASKILI,1,18.8,SK05,KA2,11599.8255,KAPALI,2023,1,2,OD07,120 Gün Vadeli,0,120,0,11599.8255,1,1
100059,2023-01-10,STKB23000002,2,M00002,120.01.0070,3840,257.0299,3840,0,Kaan M.,BASKILI,1,18.8,SK01,KA1,52499.7243,KAPALI,2023,1,2,OD07,120 Gün Vadeli,0,120,0,52499.7243,1,1
100060,2023-01-10,STKB23000002,3,M00001,120.01.0070,2400,185.9361,2400,0,Kaan M.,BASKILI,1,18.8,SK01,KA6,23736.5234,KAPALI,2023,1,2,OD07,120 Gün Vadeli,0,120,0,23736.5234,0,1
100061,2023-01-10,SIP23000028,1,M00009,120.01.0002,1200,189.6179,1200,0,Nurhan T.,YURT_ICI,1,18.8,SK03,KA3,12103.2702,KAPALI,2023,1,2,OD08,Akreditif,0.2,75,2420.654,9682.6162,0,4
100062,2023-01-10,SIP23000029,1,M00001,120.01.0037,240,207.5186,240,0,Deniz Y.,YURT_DISI,1,18.8,SK01,KA6,2649.1736,KAPALI,2023,1,2,OD04,90 Gün Vadeli,0,90,0,2649.1736,1,1
100063,2023-01-10,SIP23000029,2,M00006,120.01.0037,8000,69.6028,6090.35,1909.65,Deniz Y.,YURT_DISI,1,18.8,SK02,KA3,29618.2128,ACIK,2023,1,2,OD04,90 Gün Vadeli,0,90,0,29618.2128,0,1
100064,2023-01-10,SIP23000029,3,M00003,120.01.0037,1800,131.0078,1800,0,Deniz Y.,YURT_DISI,1,18.8,SK01,KA3,12543.3,KAPALI,2023,1,2,OD04,90 Gün Vadeli,0,90,0,12543.3,1,1
100065,2023-01-11,SIP23000030,1,M00008,120.01.0001,360,266.1028,360,0,Bahar Ö.,YURT_ICI,1,18.8,SK03,KA4,5095.5855,KAPALI,2023,1,2,OD04,90 Gün Vadeli,0,90,0,5095.5855,1,3
100066,2023-01-11,SIP23000030,2,M00005,120.01.0001,960,222.4779,960,0,Bahar Ö.,YURT_ICI,1,18.8,SK02,KA6,11360.5736,KAPALI,2023,1,2,OD04,90 Gün Vadeli,0,90,0,11360.5736,1,3
100067,2023-01-11,SIP23000030,3,M00003,120.01.0001,3000,133.5215,3000,0,Bahar Ö.,YURT_ICI,1,18.8,SK01,KA3,21306.6223,KAPALI,2023,1,2,OD04,90 Gün Vadeli,0,90,0,21306.6223,1,3
100068,2023-01-11,STK23000006,1,M00083,120.01.0011,1200,282.9058,1200,0,Bahar Ö.,YURT_ICI,1,18.8,SK02,KA3,18057.817,KAPALI,2023,1,2,OD05,%30 Peşin + 60 Gün,0.3,60,5417.3451,12640.4719,1,3
100069,2023-01-11,STK23000007,1,M00031,120.01.0056,7200,88.1987,7200,0,Nurhan T.,YURT_ICI,1,18.8,SK11,KA3,33778.2255,KAPALI,2023,1,2,OD01,Peşin,1,0,33778.2255,0,0,2
100070,2023-01-12,SIP23000031,1,M00007,120.01.0011,12000,133.2741,12000,0,Bahar Ö.,YURT_ICI,1,18.8,SK03,KA3,85068.5745,KAPALI,2023,1,2,OD01,Peşin,1,0,85068.5745,0,0,4
100071,2023-01-12,STKB23000003,1,M00237,120.01.0022,360,25.9868,360,0,Cem A.,YURT_ICI,1,18.8,SK01,KA3,497.6196,KAPALI,2023,1,2,OD01,Peşin,1,0,497.6196,0,1,1
100072,2023-01-12,STKB23000003,2,M00009,120.01.0022,1200,181.8763,1200,0,Cem A.,YURT_ICI,1,18.8,SK03,KA3,11609.1255,KAPALI,2023,1,2,OD01,Peşin,1,0,11609.1255,0,1,1
100073,2023-01-12,SIP23000032,1,M00007,120.01.0001,720,122.1002,720,0,Bahar Ö.,YURT_ICI,1,18.8,SK03,KA3,4676.1779,KAPALI,2023,1,2,OD08,Akreditif,0.2,75,935.2356,3740.9423,1,4
100074,2023-01-12,SIP23000033,1,M00006,120.01.0013,2000,68.7962,2000,0,Bahar Ö.,YURT_ICI,1,18.8,SK02,KA3,7318.7447,KAPALI,2023,1,2,OD01,Peşin,1,0,7318.7447,0,1,1
100075,2023-01-12,SIP23000034,1,M00004,120.01.0001,2880,351.39,2880,0,Bahar Ö.,YURT_ICI,1,18.8,SK02,KA1,53829.9574,KAPALI,2023,1,2,OD08,Akreditif,0.2,75,10765.9915,43063.9659,1,5
100076,2023-01-12,STKB23000004,1,M00042,120.01.0049,144,269.0473,144,0,Cem A.,YURT_ICI,1,18.8,SK14,KA4,2060.7878,KAPALI,2023,1,2,OD04,90 Gün Vadeli,0,90,0,2060.7878,0,1
100077,2023-01-12,STKB23000004,2,M00004,120.01.0049,480,313.2079,438.43,41.57,Cem A.,YURT_ICI,1,18.8,SK02,KA1,7996.7974,ACIK,2023,1,2,OD04,90 Gün Vadeli,0,90,0,7996.7974,0,1
100078,2023-01-12,SIP23000035,1,M00004,120.01.0001,2880,294.0704,2880,0,Bahar Ö.,YURT_ICI,1,18.8,SK02,KA1,45049.0826,KAPALI,2023,1,2,OD02,30 Gün Vadeli,0,30,0,45049.0826,1,6
100079,2023-01-12,SIP23000035,2,M00125,120.01.0001,2400,133.0934,2400,0,Bahar Ö.,YURT_ICI,1,18.8,SK07,KA5,16990.6468,KAPALI,2023,1,2,OD02,30 Gün Vadeli,0,30,0,16990.6468,1,6
100080,2023-01-12,SIP23000036,1,M00015,120.01.0018,1440,161.4302,1440,0,Elif S.,YURT_DISI,1,18.8,SK05,KA5,12364.8664,KAPALI,2023,1,2,OD08,Akreditif,0.2,75,2472.9733,9891.8931,1,1
100081,2023-01-12,SIP23000036,2,M00001,120.01.0018,72,202.9365,72,0,Elif S.,YURT_DISI,1,18.8,SK01,KA6,777.2036,KAPALI,2023,1,2,OD08,Akreditif,0.2,75,155.4407,621.7629,0,1
100082,2023-01-12,SIP23000036,3,M00009,120.01.0018,1800,187.2499,1800,0,Elif S.,YURT_DISI,1,18.8,SK03,KA3,17928.1819,KAPALI,2023,1,2,OD08,Akreditif,0.2,75,3585.6364,14342.5455,1,1
100083,2023-01-12,SIP23000036,4,M00002,120.01.0018,960,309.3896,960,0,Elif S.,YURT_DISI,1,18.8,SK01,KA1,15798.6179,KAPALI,2023,1,2,OD08,Akreditif,0.2,75,3159.7236,12638.8943,0,1
100084,2023-01-12,SIP23000037,1,M00062,120.01.0015,288,152.8244,288,0,Selim K.,YURT_ICI,1,18.8,SK05,KA5,2341.1397,KAPALI,2023,1,2,OD02,30 Gün Vadeli,0,30,0,2341.1397,0,4
100085,2023-01-12,SIP23000037,2,M00014,120.01.0015,1200,54.8791,1200,0,Selim K.,YURT_ICI,1,18.8,SK05,KA4,3502.9213,KAPALI,2023,1,2,OD02,30 Gün Vadeli,0,30,0,3502.9213,1,4
100086,2023-01-12,SIP23000037,3,M00003,120.01.0015,4800,123.471,4800,0,Selim K.,YURT_ICI,1,18.8,SK01,KA3,31524.5106,KAPALI,2023,1,2,OD02,30 Gün Vadeli,0,30,0,31524.5106,1,4
100087,2023-01-12,STKB23000005,1,M00219,120.01.0005,1200,228.9726,1200,0,Elif S.,YURT_DISI,1,18.8,SK02,KA2,14615.2723,KAPALI,2023,1,2,OD06,%50 Peşin + 45 Gün,0.5,45,7307.6362,7307.6362,1,3
100088,2023-01-12,SIP23000038,1,M00227,120.01.0047,288,183.9479,288,0,Selim K.,YURT_ICI,1,18.8,SK03,KA2,2817.9253,KAPALI,2023,1,2,OD08,Akreditif,0.2,75,563.5851,2254.3402,1,2
100089,2023-01-12,SIP23000038,2,M00009,120.01.0047,1200,173.4993,1200,0,Selim K.,YURT_ICI,1,18.8,SK03,KA3,11074.4234,KAPALI,2023,1,2,OD08,Akreditif,0.2,75,2214.8847,8859.5387,0,2
100090,2023-01-12,SIP23000038,3,M00021,120.01.0047,1920,405.6321,1920,0,Selim K.,YURT_ICI,1,18.8,SK07,KA2,41426.257,KAPALI,2023,1,2,OD08,Akreditif,0.2,75,8285.2514,33141.0056,0,2
100091,2023-01-16,SIP23000039,1,M00001,120.01.0005,360,216.8154,360,0,Elif S.,YURT_DISI,1,18.8,SK01,KA6,4151.7843,KAPALI,2023,1,3,OD01,Peşin,1,0,4151.7843,0,1,4
100092,2023-01-16,SIP23000040,1,M00006,120.01.0011,1200,59.1428,1200,0,Bahar Ö.,YURT_ICI,1,18.8,SK02,KA3,3775.0723,KAPALI,2023,1,3,OD03,60 Gün Vadeli,0,60,0,3775.0723,1,5
100093,2023-01-16,SIP23000040,2,M00006,120.01.0011,1200,71.7207,1200,0,Bahar Ö.,YURT_ICI,1,18.8,SK02,KA3,4577.917,KAPALI,2023,1,3,OD03,60 Gün Vadeli,0,60,0,4577.917,1,5
100094,2023-01-16,SIP23000040,3,M00059,120.01.0011,144,41.7103,144,0,Bahar Ö.,YURT_ICI,1,18.8,SK16,KA3,319.4831,KAPALI,2023,1,3,OD03,60 Gün Vadeli,0,60,0,319.4831,0,5
100095,2023-01-17,SIP23000041,1,M00290,120.01.0058,7200,316.2345,7200,0,Bahar Ö.,YURT_ICI,1,18.8,SK11,KA4,121111.0851,KAPALI,2023,1,3,OD01,Peşin,1,0,121111.0851,0,1,1
100096,2023-01-17,STK23000008,1,M00001,120.01.0047,144,209.3498,144,0,Selim K.,YURT_ICI,1,18.8,SK01,KA6,1603.5304,KAPALI,2023,1,3,OD02,30 Gün Vadeli,0,30,0,1603.5304,1,3
100097,2023-01-17,SIP23000042,1,M00001,120.01.0012,72,196.1802,72,0,Cem A.,YURT_ICI,1,18.8,SK01,KA6,751.3284,KAPALI,2023,1,3,OD01,Peşin,1,0,751.3284,0,0,2
100098,2023-01-17,SIP23000043,1,M00002,120.01.0034,960,287.7306,960,0,Bahar Ö.,YURT_ICI,1,18.8,SK01,KA1,14692.6264,KAPALI,2023,1,3,OD07,120 Gün Vadeli,0,120,0,14692.6264,1,2
100099,2023-01-17,SIP23000044,1,M00156,120.01.0001,144,306.3501,144,0,Bahar Ö.,YURT_ICI,1,18.8,SK01,KA4,2346.5114,KAPALI,2023,1,3,OD08,Akreditif,0.2,75,469.3023,1877.2091,1,7
100100,2023-01-18,SIP23000045,1,M00001,120.01.0101,144,196.3354,144,0,Selim K.,YURT_ICI,1,18.8,SK01,KA6,1503.8456,KAPALI,2023,1,3,OD01,Peşin,1,0,1503.8456,0,1,2
100101,2023-01-18,SIP23000046,1,M00016,120.01.0014,2400,256.2491,2400,0,Kaan M.,BASKILI,1,18.8,SK06,KA3,32712.6511,KAPALI,2023,1,3,OD07,120 Gün Vadeli,0,120,0,32712.6511,1,2
100102,2023-01-18,SIP23000046,2,M00001,120.01.0014,360,216.3829,360,0,Kaan M.,BASKILI,1,18.8,SK01,KA6,4143.5023,KAPALI,2023,1,3,OD07,120 Gün Vadeli,0,120,0,4143.5023,1,2
100103,2023-01-18,SIP23000047,1,M00003,120.01.0048,3000,118.4609,3000,0,Nurhan T.,YURT_ICI,1,18.8,SK01,KA3,18903.3351,KAPALI,2023,1,3,OD01,Peşin,1,0,18903.3351,0,0,1
100104,2023-01-19,STK23000009,1,M00005,120.01.0010,1440,259.3673,1440,0,Nurhan T.,YURT_ICI,1,18.8,SK02,KA6,19866.4315,KAPALI,2023,1,3,OD08,Akreditif,0.2,75,3973.2863,15893.1452,1,2
100105,2023-01-19,SIP23000048,1,M00001,120.01.0020,240,199.0714,240,0,Deniz Y.,YURT_DISI,1,18.8,SK01,KA6,2541.337,KAPALI,2023,1,3,OD08,Akreditif,0.2,75,508.2674,2033.0696,1,1
100106,2023-01-19,STKB23000006,1,M00003,120.01.0002,360,115.9805,360,0,Nurhan T.,YURT_ICI,1,18.8,SK01,KA3,2220.9032,KAPALI,2023,1,3,OD06,%50 Peşin + 45 Gün,0.5,45,1110.4516,1110.4516,1,5
100107,2023-01-19,SIP23000049,1,M00004,120.01.0007,288,274.3517,288,0,Bahar Ö.,YURT_ICI,1,18.8,SK02,KA1,4202.8346,KAPALI,2023,1,3,OD03,60 Gün Vadeli,0,60,0,4202.8346,1,2
100108,2023-01-19,SIP23000050,1,M00057,120.01.0013,720,188.8693,720,0,Bahar Ö.,YURT_ICI,1,18.8,SK12,KA1,7233.2923,KAPALI,2023,1,3,OD08,Akreditif,0.2,75,1446.6585,5786.6338,1,2
100109,2023-01-19,SIP23000051,1,M00006,120.01.0008,5000,60.3826,5000,0,Nurhan T.,YURT_ICI,1,18.8,SK02,KA3,16059.2021,KAPALI,2023,1,3,OD04,90 Gün Vadeli,0,90,0,16059.2021,1,1
100110,2023-01-19,SIP23000051,2,M00006,120.01.0008,2000,71.826,2000,0,Nurhan T.,YURT_ICI,1,18.8,SK02,KA3,7641.0638,KAPALI,2023,1,3,OD04,90 Gün Vadeli,0,90,0,7641.0638,0,1
