INCKEYNO,STHAR_TARIH,FISNO,SIRA,STOK_KODU,STHAR_CARIKOD,STHAR_GCMIK,STHAR_NF,GONDERILEN,KALAN,SIPARIS_TEMSILCI,DEPARTMAN,STHAR_GCKOD,DOLAR_KURU,STHAR_KOD1,STHAR_KOD2,TUTAR_USD,DURUM,YIL,AY,HAFTA,ODEKOD,ODEME_ACIKLAMA,PESINAT_ORANI,VADE_GUNU,PESIN_TUTAR,VADELI_TUTAR,RPT,KACINCI_SIPARIS,MUSTERI_SIP_NO,TESLIM_YERI,EK_ACIKLAMA_1,EK_ACIKLAMA_2,EK_ACIKLAMA_3_MALZEME,EK_ACIKLAMA_4,EK_ACIKLAMA_5
100024,2023-01-06,SIP23000015,2,M00007,120.01.0003,960,295.2691,960,0,Pelin R.,BASKILI,1,18.8,SK04,KA5,15077.5711,KAPALI,2023,1,1,OD03,60 Gün Vadeli,0,60,0,15077.5711,0,1,PO-41863,Fabrika Teslim,Kolay Açılır,48 adet/koli,"Teneke 0,22mm",Paletli,
100025,2023-01-06,STKB23000002,1,M00153,120.01.0015,2880,119.6416,2880,0,Selim K.,YURT_ICI,1,18.8,SK01,KA3,18328.0749,KAPALI,2023,1,1,OD08,Akreditif,0.2,75,3665.615,14662.4599,1,2,PO-24935,CIF Teslim,Geçme Kapak,24 adet/koli,"Teneke 0,20mm",Kolili,Acil
100026,2023-01-06,SIP23000016,1,M00006,120.01.0021,5760,367.9367,5760,0,Bahar Ö.,YURT_ICI,1,18.8,SK08,KA4,112729.5421,KAPALI,2023,1,1,OD01,Peşin,1,0,112729.5421,0,1,1,PO-15329,Fabrika Teslim,Geçme Kapak,48 adet/koli,"Krom 0,25mm",Dökme,Numune onaylı
100027,2023-01-06,SIP23000016,2,M00261,120.01.0021,3000,280.7683,3000,0,Bahar Ö.,YURT_ICI,1,18.8,SK09,KA5,44803.4521,KAPALI,2023,1,1,OD01,Peşin,1,0,44803.4521,0,1,1,PO-61965,Fabrika Teslim,Geçme Kapak,60 adet/koli,"Teneke 0,20mm",Dökme,
100028,2023-01-06,SIP23000017,1,M00031,120.01.0005,2400,305.4082,2400,0,Selim K.,YURT_ICI,1,18.8,SK01,KA1,38988.2809,KAPALI,2023,1,1,OD07,120 Gün Vadeli,0,120,0,38988.2809,1,1,PO-60657,Fabrika Teslim,Kapaksız,48 adet/koli,"Teneke 0,20mm",Paletli,
100029,2023-01-09,SIP23000018,1,M00001,120.01.0042,12000,175.0661,12000,0,Deniz Y.,YURT_DISI,1,18.8,SK12,KA2,111744.3191,KAPALI,2023,1,2,OD08,Akreditif,0.2,75,22348.8638,89395.4553,1,1,PO-58023,Müşteri Deposu,Geçme Kapak,100 adet/koli,"Krom 0,25mm",Dökme,
100030,2023-01-09,SIP23000019,1,M00004,120.01.0020,9600,317.6008,9600,0,Nurhan T.,YURT_ICI,1,18.8,SK01,KA6,162179.1319,KAPALI,2023,1,2,OD07,120 Gün Vadeli,0,120,0,162179.1319,1,2,PO-33364,Müşteri Deposu,Geçme Kapak,48 adet/koli,"Teneke 0,20mm",Dökme,Numune onaylı
100031,2023-01-09,SIP23000020,1,M00133,120.01.0047,960,30.6598,960,0,Bahar Ö.,YURT_ICI,1,18.8,SK10,KA4,1565.6068,KAPALI,2023,1,2,OD06,%50 Peşin + 45 Gün,0.5,45,782.8034,782.8034,1,1,PO-31742,CIF Teslim,Kolay Açılır,12 adet/koli,"Teneke 0,22mm",Kolili,
100032,2023-01-09,SIP23000021,1,M00007,120.01.0101,9600,283.1611,9600,0,Deniz Y.,YURT_DISI,1,18.8,SK04,KA5,144592.9021,KAPALI,2023,1,2,OD02,30 Gün Vadeli,0,30,0,144592.9021,1,1,PO-51065,Fabrika Teslim,Kolay Açılır,48 adet/koli,"Teneke 0,18mm",Paletli,
100033,2023-01-09,SIP23000022,1,M00044,120.01.0008,144,245.2715,144,0,Selim K.,YURT_ICI,1,18.8,SK12,KA4,1878.6753,KAPALI,2023,1,2,OD04,90 Gün Vadeli,0,90,0,1878.6753,1,2,PO-58847,Liman Teslim (FOB),Kapaksız,12 adet/koli,"Teneke 0,18mm",Paletli,
100034,2023-01-09,SIP23000022,2,M00004,120.01.0008,3840,378.938,3840,0,Selim K.,YURT_ICI,1,18.8,SK01,KA6,77400.1021,KAPALI,2023,1,2,OD04,90 Gün Vadeli,0,90,0,77400.1021,1,2,PO-87907,Antrepo,Geçme Kapak,48 adet/koli,"Teneke 0,20mm",Paletli,Numune onaylı
100035,2023-01-09,SIP23000023,1,M00310,120.01.0118,1440,95.769,1440,0,Cem A.,YURT_ICI,1,18.8,SK01,KA1,7335.4979,KAPALI,2023,1,2,OD02,30 Gün Vadeli,0,30,0,7335.4979,1,1,PO-15685,Müşteri Deposu,Geçme Kapak,48 adet/koli,"Teneke 0,18mm",Dökme,Numune onaylı
100036,2023-01-10,SIP23000024,1,M00005,120.01.0002,576,142.8272,576,0,Cem A.,YURT_ICI,1,18.8,SK04,KA3,4375.9823,KAPALI,2023,1,2,OD01,Peşin,1,0,4375.9823,0,1,4,PO-80431,Müşteri Deposu,Vidalı Kapak,48 adet/koli,"Teneke 0,18mm",Paletli,Acil
100037,2023-01-10,SIP23000024,2,M00066,120.01.0002,960,168.434,960,0,Cem A.,YURT_ICI,1,18.8,SK07,KA4,8600.8851,KAPALI,2023,1,2,OD01,Peşin,1,0,8600.8851,0,0,4,PO-48643,Liman Teslim (FOB),Vidalı Kapak,48 adet/koli,"Teneke 0,18mm",Dökme,Numune onaylı
100038,2023-01-10,SIP23000025,1,M00001,120.01.0037,2000,203.6799,2000,0,Cem A.,YURT_ICI,1,18.8,SK12,KA2,21668.0745,KAPALI,2023,1,2,OD04,90 Gün Vadeli,0,90,0,21668.0745,1,1,PO-29890,Müşteri Deposu,Geçme Kapak,100 adet/koli,"Teneke 0,22mm",Kolili,
100039,2023-01-10,SIP23000025,2,M00006,120.01.0037,3840,358.3468,2923.37,916.63,Cem A.,YURT_ICI,1,18.8,SK08,KA4,73194.24,ACIK,2023,1,2,OD04,90 Gün Vadeli,0,90,0,73194.24,0,1,PO-89367,Liman Teslim (FOB),Geçme Kapak,48 adet/koli,"Teneke 0,22mm",Kolili,
100040,2023-01-10,SIP23000025,3,M00003,120.01.0037,360,164.5692,360,0,Cem A.,YURT_ICI,1,18.8,SK01,KA6,3151.3251,KAPALI,2023,1,2,OD04,90 Gün Vadeli,0,90,0,3151.3251,1,1,PO-89882,Müşteri Deposu,Geçme Kapak,12 adet/koli,"Teneke 0,18mm",Kolili,Acil
100041,2023-01-10,SIP23000026,1,M00008,120.01.0001,1800,341.1203,1800,0,Elif S.,YURT_DISI,1,18.8,SK01,KA2,32660.4543,KAPALI,2023,1,2,OD04,90 Gün Vadeli,0,90,0,32660.4543,1,1,PO-18240,Liman Teslim (FOB),Kolay Açılır,60 adet/koli,"Teneke 0,18mm",Kolili,
100042,2023-01-10,SIP23000026,2,M00005,120.01.0001,960,129.9365,960,0,Elif S.,YURT_DISI,1,18.8,SK04,KA3,6635.0553,KAPALI,2023,1,2,OD04,90 Gün Vadeli,0,90,0,6635.0553,1,1,PO-28037,Antrepo,Vidalı Kapak,48 adet/koli,"Teneke 0,20mm",Kolili,
100043,2023-01-10,SIP23000026,3,M00003,120.01.0001,600,167.7268,600,0,Elif S.,YURT_DISI,1,18.8,SK01,KA6,5352.983,KAPALI,2023,1,2,OD04,90 Gün Vadeli,0,90,0,5352.983,1,1,PO-57290,Antrepo,Geçme Kapak,12 adet/koli,"Teneke 0,22mm",Paletli,Numune onaylı
100044,2023-01-10,STK23000004,1,M00083,120.01.0011,240,171.2208,240,0,Selim K.,YURT_ICI,1,18.8,SK02,KA2,2185.7974,KAPALI,2023,1,2,OD05,%30 Peşin + 60 Gün,0.3,60,655.7392,1530.0582,1,1,PO-44959,Liman Teslim (FOB),Geçme Kapak,12 adet/koli,"Teneke 0,22mm",Dökme,Acil
100045,2023-01-10,STK23000005,1,M00031,120.01.0056,5760,303.1661,5760,0,Nurhan T.,YURT_ICI,1,18.8,SK01,KA1,92884.9328,KAPALI,2023,1,2,OD01,Peşin,1,0,92884.9328,0,0,1,PO-85299,Liman Teslim (FOB),Kapaksız,48 adet/koli,"Teneke 0,18mm",Dökme,Numune onaylı
100046,2023-01-10,SIP23000027,1,M00004,120.01.0071,9600,356.7988,9600,0,Bahar Ö.,YURT_ICI,1,18.8,SK01,KA6,182195.1319,KAPALI,2023,1,2,OD08,Akreditif,0.2,75,36439.0264,145756.1055,1,1,PO-60955,Fabrika Teslim,Geçme Kapak,48 adet/koli,"Teneke 0,22mm",Paletli,Acil
100047,2023-01-10,STKB23000003,1,M00022,120.01.0001,360,107.917,360,0,Elif S.,YURT_DISI,1,18.8,SK07,KA1,2066.4957,KAPALI,2023,1,2,OD04,90 Gün Vadeli,0,90,0,2066.4957,1,2,PO-13206,CIF Teslim,Kapaksız,12 adet/koli,"Teneke 0,20mm",Kolili,Acil
100048,2023-01-10,STKB23000003,2,M00009,120.01.0001,240,316.4769,240,0,Elif S.,YURT_DISI,1,18.8,SK01,KA1,4040.1306,KAPALI,2023,1,2,OD04,90 Gün Vadeli,0,90,0,4040.1306,1,2,PO-54529,Liman Teslim (FOB),Geçme Kapak,12 adet/koli,"Teneke 0,18mm",Dökme,
100049,2023-01-11,SIP23000028,1,M00007,120.01.0001,576,262.0415,576,0,Elif S.,YURT_DISI,1,18.8,SK04,KA5,8028.5055,KAPALI,2023,1,2,OD08,Akreditif,0.2,75,1605.7011,6422.8044,1,3,PO-66773,Antrepo,Kolay Açılır,48 adet/koli,"Teneke 0,18mm",Dökme,Acil
100050,2023-01-11,SIP23000029,1,M00006,120.01.0013,960,354.1941,960,0,Deniz Y.,YURT_DISI,1,18.8,SK08,KA4,18086.5072,KAPALI,2023,1,2,OD01,Peşin,1,0,18086.5072,0,1,2,PO-70411,CIF Teslim,Geçme Kapak,48 adet/koli,"Teneke 0,18mm",Dökme,
100051,2023-01-11,SIP23000030,1,M00004,120.01.0001,5760,404.6585,5760,0,Elif S.,YURT_DISI,1,18.8,SK01,KA6,123980.4766,KAPALI,2023,1,2,OD08,Akreditif,0.2,75,24796.0953,99184.3813,1,4,PO-68891,Antrepo,Geçme Kapak,48 adet/koli,"Teneke 0,22mm",Paletli,Acil
100052,2023-01-11,STKB23000004,1,M00042,120.01.0049,720,273.2693,720,0,Kaan M.,BASKILI,1,18.8,SK07,KA1,10465.6328,KAPALI,2023,1,2,OD04,90 Gün Vadeli,0,90,0,10465.6328,0,1,PO-61780,CIF Teslim,Geçme Kapak,60 adet/koli,"Teneke 0,22mm",Kolili,
100053,2023-01-11,STKB23000004,2,M00004,120.01.0049,960,360.6882,876.86,83.14,Kaan M.,BASKILI,1,18.8,SK01,KA6,18418.1209,ACIK,2023,1,2,OD04,90 Gün Vadeli,0,90,0,18418.1209,0,1,PO-52361,Fabrika Teslim,Geçme Kapak,48 adet/koli,"Teneke 0,22mm",Dökme,
100054,2023-01-11,SIP23000031,1,M00004,120.01.0001,5760,338.6496,5760,0,Elif S.,YURT_DISI,1,18.8,SK01,KA6,103756.4732,KAPALI,2023,1,2,OD02,30 Gün Vadeli,0,30,0,103756.4732,1,5,PO-58097,CIF Teslim,Geçme Kapak,48 adet/koli,"Teneke 0,20mm",Dökme,
100055,2023-01-11,SIP23000031,2,M00125,120.01.0001,2400,87.5944,2400,0,Elif S.,YURT_DISI,1,18.8,SK09,KA5,11182.2638,KAPALI,2023,1,2,OD02,30 Gün Vadeli,0,30,0,11182.2638,1,5,PO-40494,Müşteri Deposu,Kolay Açılır,12 adet/koli,"Teneke 0,18mm",Paletli,Acil
100056,2023-01-11,SIP23000032,1,M00015,120.01.0018,360,345.2139,360,0,Nurhan T.,YURT_ICI,1,18.8,SK01,KA3,6610.4789,KAPALI,2023,1,2,OD08,Akreditif,0.2,75,1322.0958,5288.3831,1,2,PO-58124,Liman Teslim (FOB),Vidalı Kapak,12 adet/koli,"Krom 0,25mm",Paletli,Numune onaylı
100057,2023-01-11,SIP23000032,2,M00001,120.01.0018,600,199.1826,600,0,Nurhan T.,YURT_ICI,1,18.8,SK12,KA2,6356.8915,KAPALI,2023,1,2,OD08,Akreditif,0.2,75,1271.3783,5085.5132,0,2,PO-15037,Müşteri Deposu,Geçme Kapak,100 adet/koli,"Teneke 0,22mm",Dökme,Numune onaylı
100058,2023-01-11,SIP23000032,3,M00009,120.01.0018,360,325.8273,360,0,Nurhan T.,YURT_ICI,1,18.8,SK01,KA1,6239.2462,KAPALI,2023,1,2,OD08,Akreditif,0.2,75,1247.8492,4991.397,1,2,PO-24306,Müşteri Deposu,Geçme Kapak,12 adet/koli,"Teneke 0,20mm",Paletli,Numune onaylı
100059,2023-01-11,SIP23000032,4,M00002,120.01.0018,2000,329.2552,2000,0,Nurhan T.,YURT_ICI,1,18.8,SK11,KA5,35027.1489,KAPALI,2023,1,2,OD08,Akreditif,0.2,75,7005.4298,28021.7191,0,2,PO-45417,Liman Teslim (FOB),Geçme Kapak,100 adet/koli,"Teneke 0,22mm",Dökme,Numune onaylı
100060,2023-01-12,SIP23000033,1,M00001,120.01.0008,8000,206.897,8000,0,Selim K.,YURT_ICI,1,18.8,SK12,KA2,88041.2766,KAPALI,2023,1,2,OD02,30 Gün Vadeli,0,30,0,88041.2766,1,3,PO-13712,Fabrika Teslim,Geçme Kapak,100 adet/koli,"Teneke 0,20mm",Dökme,
100061,2023-01-12,SIP23000033,2,M00006,120.01.0008,960,348.9293,960,0,Selim K.,YURT_ICI,1,18.8,SK08,KA4,17817.6664,KAPALI,2023,1,2,OD02,30 Gün Vadeli,0,30,0,17817.6664,1,3,PO-36208,Liman Teslim (FOB),Geçme Kapak,48 adet/koli,"Krom 0,25mm",Paletli,
100062,2023-01-13,SIP23000034,1,M00027,120.01.0040,3000,174.3465,3000,0,Kaan M.,BASKILI,1,18.8,SK09,KA4,27821.25,KAPALI,2023,1,2,OD06,%50 Peşin + 45 Gün,0.5,45,13910.625,13910.625,0,1,PO-16944,Liman Teslim (FOB),Geçme Kapak,60 adet/koli,"Krom 0,25mm",Kolili,Numune onaylı
100063,2023-01-13,SIP23000035,1,M00001,120.01.0001,5000,199.6078,5000,0,Elif S.,YURT_DISI,1,18.8,SK12,KA2,53087.1809,KAPALI,2023,1,2,OD07,120 Gün Vadeli,0,120,0,53087.1809,1,6,PO-19775,CIF Teslim,Geçme Kapak,100 adet/koli,"Teneke 0,20mm",Dökme,
100064,2023-01-13,SIP23000035,2,M00017,120.01.0001,480,393.2862,480,0,Elif S.,YURT_DISI,1,18.8,SK05,KA4,10041.3498,KAPALI,2023,1,2,OD07,120 Gün Vadeli,0,120,0,10041.3498,1,6,PO-25218,CIF Teslim,Kolay Açılır,24 adet/koli,"Krom 0,25mm",Dökme,Numune onaylı
100065,2023-01-13,SIP23000035,3,M00001,120.01.0001,8000,203.7864,8000,0,Elif S.,YURT_DISI,1,18.8,SK12,KA2,86717.617,KAPALI,2023,1,2,OD07,120 Gün Vadeli,0,120,0,86717.617,1,6,PO-65447,Antrepo,Geçme Kapak,100 adet/koli,"Teneke 0,20mm",Paletli,Acil
100066,2023-01-13,SIP23000036,1,M00022,120.01.0031,960,114.8497,960,0,Bahar Ö.,YURT_ICI,1,18.8,SK07,KA1,5864.6655,KAPALI,2023,1,2,OD04,90 Gün Vadeli,0,90,0,5864.6655,1,1,PO-50854,Müşteri Deposu,Kapaksız,12 adet/koli,"Teneke 0,18mm",Kolili,Numune onaylı
100067,2023-01-13,SIP23000037,1,M00001,120.01.0016,3000,212.8048,3000,0,Cem A.,YURT_ICI,1,18.8,SK12,KA2,33958.2128,KAPALI,2023,1,2,OD01,Peşin,1,0,33958.2128,0,1,1,PO-23603,CIF Teslim,Geçme Kapak,100 adet/koli,"Teneke 0,22mm",Kolili,Acil
100068,2023-01-16,SIP23000038,1,M00006,120.01.0040,576,304.4937,576,0,Kaan M.,BASKILI,1,18.8,SK08,KA4,9329.1687,KAPALI,2023,1,3,OD03,60 Gün Vadeli,0,60,0,9329.1687,1,2,PO-39768,Antrepo,Geçme Kapak,48 adet/koli,"Teneke 0,18mm",Dökme,Numune onaylı
100069,2023-01-16,SIP23000038,2,M00006,120.01.0040,576,369.2503,576,0,Kaan M.,BASKILI,1,18.8,SK08,KA4,11313.2007,KAPALI,2023,1,3,OD03,60 Gün Vadeli,0,60,0,11313.2007,1,2,PO-58991,CIF Teslim,Geçme Kapak,48 adet/koli,"Krom 0,25mm",Dökme,
100070,2023-01-16,SIP23000038,3,M00059,120.01.0040,1200,204.0219,1200,0,Kaan M.,BASKILI,1,18.8,SK01,KA4,13022.6745,KAPALI,2023,1,3,OD03,60 Gün Vadeli,0,60,0,13022.6745,0,2,PO-83481,Fabrika Teslim,Vidalı Kapak,100 adet/koli,"Teneke 0,18mm",Dökme,
100071,2023-01-17,SIP23000039,1,M00290,120.01.0058,1440,186.7321,1440,0,Selim K.,YURT_ICI,1,18.8,SK01,KA6,14302.8843,KAPALI,2023,1,3,OD01,Peşin,1,0,14302.8843,0,1,1,PO-81224,Liman Teslim (FOB),Vidalı Kapak,12 adet/koli,"Teneke 0,22mm",Kolili,
100072,2023-01-17,STK23000006,1,M00001,120.01.0047,1200,205.4772,1200,0,Bahar Ö.,YURT_ICI,1,18.8,SK12,KA2,13115.566,KAPALI,2023,1,3,OD02,30 Gün Vadeli,0,30,0,13115.566,1,2,PO-54818,Liman Teslim (FOB),Geçme Kapak,100 adet/koli,"Teneke 0,22mm",Dökme,Numune onaylı
100073,2023-01-17,SIP23000040,1,M00001,120.01.0012,600,192.5512,600,0,Bahar Ö.,YURT_ICI,1,18.8,SK12,KA2,6145.2511,KAPALI,2023,1,3,OD01,Peşin,1,0,6145.2511,0,0,1,PO-66439,Müşteri Deposu,Geçme Kapak,100 adet/koli,"Krom 0,25mm",Paletli,Acil
100074,2023-01-17,SIP23000041,1,M00002,120.01.0034,2000,306.2055,2000,0,Nurhan T.,YURT_ICI,1,18.8,SK11,KA5,32575.0532,KAPALI,2023,1,3,OD07,120 Gün Vadeli,0,120,0,32575.0532,1,3,PO-78444,Müşteri Deposu,Geçme Kapak,100 adet/koli,"Teneke 0,20mm",Kolili,Acil
100075,2023-01-17,SIP23000042,1,M00156,120.01.0001,576,218.9692,576,0,Elif S.,YURT_DISI,1,18.8,SK04,KA2,6708.8436,KAPALI,2023,1,3,OD08,Akreditif,0.2,75,1341.7687,5367.0749,1,7,PO-22576,CIF Teslim,Kolay Açılır,48 adet/koli,"Teneke 0,20mm",Paletli,
100076,2023-01-17,SIP23000043,1,M00019,120.01.0007,5000,52.2455,5000,0,Deniz Y.,YURT_DISI,1,18.8,SK05,KA6,13895.0798,KAPALI,2023,1,3,OD08,Akreditif,0.2,75,2779.016,11116.0638,1,2,PO-61226,CIF Teslim,Vidalı Kapak,100 adet/koli,"Teneke 0,18mm",Kolili,Acil
