STOK_KODU,STOK_ADI,GRUP_KODU,GRUP_ADI,KOD_1,AD1,KOD_2,AD2,KOD_3,AD3,KOD_4,AD4,KOD_5,AD5,INGISIM,KT_YUKSEKLIK,OLCU_BR1,OLCU_BR2,OLCU_BR3,BIRIM2_CARPAN,BIRIM3_CARPAN,BIRIM_MALIYET
M00014,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,120-105,Kalıp 120-105,B3,Ham Teneke,P2,2 Parça,Yuvarlak Tin 120-105 Ham Teneke 2 pc,110,ADET,KOLİ,PALET,24,720,4.3096
M00015,YUVARLAK KUTU Ø092 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,DIA-092,Kalıp DIA-092,B4,Mat Lak,P2,2 Parça,Yuvarlak Tin Ø092 Mat Lak 2 pc,99,ADET,KOLİ,PALET,12,360,10.5846
M00016,YUVARLAK-SIVAMA KUTU Ø068 HAM TENEKE 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,DIA-068,Kalıp DIA-068,B3,Ham Teneke,P2,2 Parça,Yuvarlak-Drawn Tin Ø068 Ham Teneke 2 pc,72,ADET,KOLİ,PALET,60,1440,3.2665
M00017,OVAL KUTU 295-165 VERNIKLI 2 PARÇA,01,Mamul,SK05,Oval Kutu,KA4,Hediyelik,295-165,Kalıp 295-165,B2,Vernikli,P2,2 Parça,Oval Tin 295-165 Vernikli 2 pc,160,ADET,KOLİ,PALET,24,576,12.3396
M00018,SEKIZGEN KUTU 135-145 HAM TENEKE 2 PARÇA,01,Mamul,SK07,Sekizgen Kutu,KA3,Kozmetik,135-145,Kalıp 135-145,B3,Ham Teneke,P2,2 Parça,Sekizgen Tin 135-145 Ham Teneke 2 pc,140,ADET,KOLİ,PALET,48,960,2.9058
M00019,OVAL KUTU 295-165 VERNIKLI 2 PARÇA,01,Mamul,SK05,Oval Kutu,KA6,Bal-Reçel,295-165,Kalıp 295-165,B2,Vernikli,P2,2 Parça,Oval Tin 295-165 Vernikli 2 pc,160,ADET,KOLİ,PALET,100,2000,2.0469
M00020,YUVARLAK KUTU 210-255 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,210-255,Kalıp 210-255,B1,Litografi,P2,2 Parça,Yuvarlak Tin 210-255 Litografi 2 pc,260,ADET,KOLİ,PALET,48,960,8.7502
M00021,KAPAK 090-065 MAT LAK 3 PARÇA,01,Mamul,SK12,Kapak,KA5,Endüstriyel,090-065,Kalıp 090-065,B4,Mat Lak,P3,3 Parça,Kapak 090-065 Mat Lak 3 pc,60,ADET,KOLİ,PALET,48,1440,3.5899
M00022,SEKIZGEN KUTU 135-145 VERNIKLI 2 PARÇA,01,Mamul,SK07,Sekizgen Kutu,KA1,Gıda,135-145,Kalıp 135-145,B2,Vernikli,P2,2 Parça,Sekizgen Tin 135-145 Vernikli 2 pc,140,ADET,KOLİ,PALET,12,240,3.4705
M00023,YUVARLAK KUTU 078-095 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,078-095,Kalıp 078-095,B1,Litografi,P2,2 Parça,Yuvarlak Tin 078-095 Litografi 2 pc,100,ADET,KOLİ,PALET,100,2400,11.0133
M00024,TEPSI 325-125 MAT LAK 3 PARÇA,01,Mamul,SK11,Tepsi,KA1,Gıda,325-125,Kalıp 325-125,B4,Mat Lak,P3,3 Parça,Tepsi 325-125 Mat Lak 3 pc,120,ADET,KOLİ,PALET,24,720,5.0282
M00025,YUVARLAK KUTU 255-205 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,255-205,Kalıp 255-205,B2,Vernikli,P3,3 Parça,Yuvarlak Tin 255-205 Vernikli 3 pc,210,ADET,KOLİ,PALET,24,720,4.7729
M00026,ALTIGEN KUTU 125-085 LITOGRAFI 2 PARÇA,01,Mamul,SK06,Altıgen Kutu,KA5,Endüstriyel,125-085,Kalıp 125-085,B1,Litografi,P2,2 Parça,Altıgen Tin 125-085 Litografi 2 pc,90,ADET,KOLİ,PALET,100,2400,8.7768
M00027,KALP KUTU 160-090 LITOGRAFI 3 PARÇA,01,Mamul,SK09,Kalp Kutu,KA4,Hediyelik,160-090,Kalıp 160-090,B1,Litografi,P3,3 Parça,Kalp Tin 160-090 Litografi 3 pc,85,ADET,KOLİ,PALET,60,1200,6.1806
M00028,YUVARLAK KUTU 245-175 MAT LAK 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,245-175,Kalıp 245-175,B4,Mat Lak,P3,3 Parça,Yuvarlak Tin 245-175 Mat Lak 3 pc,180,ADET,KOLİ,PALET,24,720,5.2716
M00029,YUVARLAK-SIVAMA KUTU Ø068 HAM TENEKE 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA2,Boya-Kimya,DIA-068,Kalıp DIA-068,B3,Ham Teneke,P2,2 Parça,Yuvarlak-Drawn Tin Ø068 Ham Teneke 2 pc,72,ADET,KOLİ,PALET,12,240,4.5167
M00030,YUVARLAK KUTU Ø148 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,DIA-148,Kalıp DIA-148,B4,Mat Lak,P2,2 Parça,Yuvarlak Tin Ø148 Mat Lak 2 pc,153,ADET,KOLİ,PALET,24,720,3.1438
M00031,YUVARLAK KUTU 145-095 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,145-095,Kalıp 145-095,B4,Mat Lak,P2,2 Parça,Yuvarlak Tin 145-095 Mat Lak 2 pc,100,ADET,KOLİ,PALET,48,1152,10.7939
M00032,TEPSI Ø068 VERNIKLI 3 PARÇA,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,DIA-068,Kalıp DIA-068,B2,Vernikli,P3,3 Parça,Tepsi Ø068 Vernikli 3 pc,72,ADET,KOLİ,PALET,12,288,12.8432
M00033,YUVARLAK KUTU Ø092 MAT LAK 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,DIA-092,Kalıp DIA-092,B4,Mat Lak,P3,3 Parça,Yuvarlak Tin Ø092 Mat Lak 3 pc,99,ADET,KOLİ,PALET,60,1440,7.9562
M00034,SEKIZGEN KUTU Ø050 LITOGRAFI 2 PARÇA,01,Mamul,SK07,Sekizgen Kutu,KA1,Gıda,DIA-050,Kalıp DIA-050,B1,Litografi,P2,2 Parça,Sekizgen Tin Ø050 Litografi 2 pc,55,ADET,KOLİ,PALET,48,1152,2.2404
M00035,YUVARLAK KUTU 120-105 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,120-105,Kalıp 120-105,B3,Ham Teneke,P3,3 Parça,Yuvarlak Tin 120-105 Ham Teneke 3 pc,110,ADET,KOLİ,PALET,60,1800,2.3057
M00036,YUVARLAK KUTU Ø050 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,DIA-050,Kalıp DIA-050,B3,Ham Teneke,P3,3 Parça,Yuvarlak Tin Ø050 Ham Teneke 3 pc,55,ADET,KOLİ,PALET,60,1440,6.615
M00037,YUVARLAK KUTU 078-095 MAT LAK 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,078-095,Kalıp 078-095,B4,Mat Lak,P3,3 Parça,Yuvarlak Tin 078-095 Mat Lak 3 pc,100,ADET,KOLİ,PALET,12,288,5.4663
M00038,YUVARLAK KUTU 120-105 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,120-105,Kalıp 120-105,B2,Vernikli,P3,3 Parça,Yuvarlak Tin 120-105 Vernikli 3 pc,110,ADET,KOLİ,PALET,60,1200,9.9226
M00039,YUVARLAK KUTU 078-095 HAM TENEKE 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,078-095,Kalıp 078-095,B3,Ham Teneke,P2,2 Parça,Yuvarlak Tin 078-095 Ham Teneke 2 pc,100,ADET,KOLİ,PALET,24,480,7.5629
M00040,YUVARLAK KUTU 255-205 MAT LAK 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,255-205,Kalıp 255-205,B4,Mat Lak,P3,3 Parça,Yuvarlak Tin 255-205 Mat Lak 3 pc,210,ADET,KOLİ,PALET,48,960,2.4302
M00041,YUVARLAK KUTU Ø050 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,DIA-050,Kalıp DIA-050,B3,Ham Teneke,P3,3 Parça,Yuvarlak Tin Ø050 Ham Teneke 3 pc,55,ADET,KOLİ,PALET,48,1440,5.4375
M00042,SEKIZGEN KUTU 135-145 LITOGRAFI 3 PARÇA,01,Mamul,SK07,Sekizgen Kutu,KA1,Gıda,135-145,Kalıp 135-145,B1,Litografi,P3,3 Parça,Sekizgen Tin 135-145 Litografi 3 pc,140,ADET,KOLİ,PALET,60,1440,9.1373
M00043,YUVARLAK KUTU 210-080 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,210-080,Kalıp 210-080,B2,Vernikli,P2,2 Parça,Yuvarlak Tin 210-080 Vernikli 2 pc,75,ADET,KOLİ,PALET,12,360,9.6915
M00044,KAPAK 090-065 VERNIKLI 2 PARÇA,01,Mamul,SK12,Kapak,KA4,Hediyelik,090-065,Kalıp 090-065,B2,Vernikli,P2,2 Parça,Kapak 090-065 Vernikli 2 pc,60,ADET,KOLİ,PALET,12,288,8.3153
M00045,YUVARLAK KUTU Ø092 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,DIA-092,Kalıp DIA-092,B3,Ham Teneke,P3,3 Parça,Yuvarlak Tin Ø092 Ham Teneke 3 pc,99,ADET,KOLİ,PALET,12,240,12.4976
M00046,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA6,Bal-Reçel,185-115,Kalıp 185-115,B4,Mat Lak,P2,2 Parça,Dikdortgen Tin 185-115 Mat Lak 2 pc,110,ADET,KOLİ,PALET,24,576,5.5052
M00047,KAPAK 245-175 LITOGRAFI 3 PARÇA,01,Mamul,SK12,Kapak,KA1,Gıda,245-175,Kalıp 245-175,B1,Litografi,P3,3 Parça,Kapak 245-175 Litografi 3 pc,180,ADET,KOLİ,PALET,60,1200,10.2857
M00048,YUVARLAK KUTU 295-165 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,295-165,Kalıp 295-165,B2,Vernikli,P3,3 Parça,Yuvarlak Tin 295-165 Vernikli 3 pc,160,ADET,KOLİ,PALET,24,480,0.9256
M00049,YUVARLAK-SIVAMA KUTU 295-165 HAM TENEKE 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA2,Boya-Kimya,295-165,Kalıp 295-165,B3,Ham Teneke,P2,2 Parça,Yuvarlak-Drawn Tin 295-165 Ham Teneke 2 pc,160,ADET,KOLİ,PALET,12,360,1.0796
M00050,YUVARLAK KUTU 158-175 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,158-175,Kalıp 158-175,B3,Ham Teneke,P3,3 Parça,Yuvarlak Tin 158-175 Ham Teneke 3 pc,180,ADET,KOLİ,PALET,12,240,4.6238
M00051,YUVARLAK-SIVAMA KUTU Ø068 VERNIKLI 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA5,Endüstriyel,DIA-068,Kalıp DIA-068,B2,Vernikli,P3,3 Parça,Yuvarlak-Drawn Tin Ø068 Vernikli 3 pc,72,ADET,KOLİ,PALET,24,480,5.7149
M00052,YUVARLAK KUTU 135-145 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,135-145,Kalıp 135-145,B1,Litografi,P2,2 Parça,Yuvarlak Tin 135-145 Litografi 2 pc,140,ADET,KOLİ,PALET,100,2400,8.8318
M00053,SEKILLI KUTU 175-205 MAT LAK 3 PARÇA,01,Mamul,SK08,Sekilli Kutu,KA6,Bal-Reçel,175-205,Kalıp 175-205,B4,Mat Lak,P3,3 Parça,Sekilli Tin 175-205 Mat Lak 3 pc,200,ADET,KOLİ,PALET,24,480,16.8994
M00054,TEPSI 325-125 HAM TENEKE 2 PARÇA,01,Mamul,SK11,Tepsi,KA3,Kozmetik,325-125,Kalıp 325-125,B3,Ham Teneke,P2,2 Parça,Tepsi 325-125 Ham Teneke 2 pc,120,ADET,KOLİ,PALET,48,1440,3.637
M00055,YUVARLAK-SIVAMA KUTU Ø068 MAT LAK 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA5,Endüstriyel,DIA-068,Kalıp DIA-068,B4,Mat Lak,P3,3 Parça,Yuvarlak-Drawn Tin Ø068 Mat Lak 3 pc,72,ADET,KOLİ,PALET,12,240,9.7185
M00056,TEPSI 325-125 LITOGRAFI 2 PARÇA,01,Mamul,SK11,Tepsi,KA1,Gıda,325-125,Kalıp 325-125,B1,Litografi,P2,2 Parça,Tepsi 325-125 Litografi 2 pc,120,ADET,KOLİ,PALET,100,3000,3.5406
M00057,KALP KUTU 160-090 LITOGRAFI 3 PARÇA,01,Mamul,SK09,Kalp Kutu,KA4,Hediyelik,160-090,Kalıp 160-090,B1,Litografi,P3,3 Parça,Kalp Tin 160-090 Litografi 3 pc,85,ADET,KOLİ,PALET,48,960,1.7809
M00058,KARE KUTU Ø092 LITOGRAFI 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA4,Hediyelik,DIA-092,Kalıp DIA-092,B1,Litografi,P3,3 Parça,Kare Tin Ø092 Litografi 3 pc,99,ADET,KOLİ,PALET,100,2000,12.7515
M00059,YUVARLAK KUTU Ø148 HAM TENEKE 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,DIA-148,Kalıp DIA-148,B3,Ham Teneke,P2,2 Parça,Yuvarlak Tin Ø148 Ham Teneke 2 pc,153,ADET,KOLİ,PALET,100,2000,7.1472
M00060,YUVARLAK KUTU Y120-105 LITOGRAFI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,Y120-105,Kalıp Y120-105,B1,Litografi,P3,3 Parça,Yuvarlak Tin Y120-105 Litografi 3 pc,110,ADET,KOLİ,PALET,24,720,3.1207
M00061,YUVARLAK KUTU Ø050 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,DIA-050,Kalıp DIA-050,B2,Vernikli,P2,2 Parça,Yuvarlak Tin Ø050 Vernikli 2 pc,55,ADET,KOLİ,PALET,60,1440,4.1862
M00062,YUVARLAK KUTU 158-175 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,158-175,Kalıp 158-175,B2,Vernikli,P2,2 Parça,Yuvarlak Tin 158-175 Vernikli 2 pc,180,ADET,KOLİ,PALET,48,1152,4.0066
M00063,ALTIGEN KUTU 125-085 HAM TENEKE 3 PARÇA,01,Mamul,SK06,Altıgen Kutu,KA3,Kozmetik,125-085,Kalıp 125-085,B3,Ham Teneke,P3,3 Parça,Altıgen Tin 125-085 Ham Teneke 3 pc,90,ADET,KOLİ,PALET,24,720,2.2316
M00064,DIKDORTGEN KUTU 185-115 HAM TENEKE 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA3,Kozmetik,185-115,Kalıp 185-115,B3,Ham Teneke,P3,3 Parça,Dikdortgen Tin 185-115 Ham Teneke 3 pc,110,ADET,KOLİ,PALET,12,240,6.7478
M00065,YUVARLAK KUTU Ø092 MAT LAK 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,DIA-092,Kalıp DIA-092,B4,Mat Lak,P3,3 Parça,Yuvarlak Tin Ø092 Mat Lak 3 pc,99,ADET,KOLİ,PALET,24,480,8.0709
M00066,SEKIZGEN KUTU 135-145 VERNIKLI 2 PARÇA,01,Mamul,SK07,Sekizgen Kutu,KA4,Hediyelik,135-145,Kalıp 135-145,B2,Vernikli,P2,2 Parça,Sekizgen Tin 135-145 Vernikli 2 pc,140,ADET,KOLİ,PALET,48,1440,6.0476
M00067,DIKDORTGEN KUTU 185-115 HAM TENEKE 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA4,Hediyelik,185-115,Kalıp 185-115,B3,Ham Teneke,P3,3 Parça,Dikdortgen Tin 185-115 Ham Teneke 3 pc,110,ADET,KOLİ,PALET,12,288,3.0935
M00068,KARE KUTU 225-165 LITOGRAFI 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA2,Boya-Kimya,225-165,Kalıp 225-165,B1,Litografi,P3,3 Parça,Kare Tin 225-165 Litografi 3 pc,160,ADET,KOLİ,PALET,60,1440,1.0619
M00069,YUVARLAK KUTU 245-175 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,245-175,Kalıp 245-175,B2,Vernikli,P2,2 Parça,Yuvarlak Tin 245-175 Vernikli 2 pc,180,ADET,KOLİ,PALET,12,240,7.02
M00070,KALP KUTU 160-090 HAM TENEKE 3 PARÇA,01,Mamul,SK09,Kalp Kutu,KA3,Kozmetik,160-090,Kalıp 160-090,B3,Ham Teneke,P3,3 Parça,Kalp Tin 160-090 Ham Teneke 3 pc,85,ADET,KOLİ,PALET,48,960,7.7278
M00071,YUVARLAK KUTU 255-205 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,255-205,Kalıp 255-205,B3,Ham Teneke,P3,3 Parça,Yuvarlak Tin 255-205 Ham Teneke 3 pc,210,ADET,KOLİ,PALET,24,576,13.8248
M00072,DIKDORTGEN KUTU 145-095 HAM TENEKE 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA3,Kozmetik,145-095,Kalıp 145-095,B3,Ham Teneke,P3,3 Parça,Dikdortgen Tin 145-095 Ham Teneke 3 pc,100,ADET,KOLİ,PALET,100,2000,6.0657
M00073,TEPSI 325-125 LITOGRAFI 3 PARÇA,01,Mamul,SK11,Tepsi,KA2,Boya-Kimya,325-125,Kalıp 325-125,B1,Litografi,P3,3 Parça,Tepsi 325-125 Litografi 3 pc,120,ADET,KOLİ,PALET,12,288,0.9893
M00074,YUVARLAK-SIVAMA KUTU Ø068 VERNIKLI 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA6,Bal-Reçel,DIA-068,Kalıp DIA-068,B2,Vernikli,P2,2 Parça,Yuvarlak-Drawn Tin Ø068 Vernikli 2 pc,72,ADET,KOLİ,PALET,24,720,0.8407
M00075,YUVARLAK KUTU 094-050 LITOGRAFI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,094-050,Kalıp 094-050,B1,Litografi,P3,3 Parça,Yuvarlak Tin 094-050 Litografi 3 pc,45,ADET,KOLİ,PALET,48,1152,2.2256
M00076,TEPSI 325-125 MAT LAK 2 PARÇA,01,Mamul,SK11,Tepsi,KA6,Bal-Reçel,325-125,Kalıp 325-125,B4,Mat Lak,P2,2 Parça,Tepsi 325-125 Mat Lak 2 pc,120,ADET,KOLİ,PALET,48,1440,10.6383
M00077,DIKDORTGEN KUTU Ø068 LITOGRAFI 2 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA5,Endüstriyel,DIA-068,Kalıp DIA-068,B1,Litografi,P2,2 Parça,Dikdortgen Tin Ø068 Litografi 2 pc,72,ADET,KOLİ,PALET,12,240,8.465
M00078,YUVARLAK KUTU 255-205 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,255-205,Kalıp 255-205,B4,Mat Lak,P2,2 Parça,Yuvarlak Tin 255-205 Mat Lak 2 pc,210,ADET,KOLİ,PALET,12,288,10.5865
M00079,YUVARLAK KUTU 078-095 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,078-095,Kalıp 078-095,B3,Ham Teneke,P3,3 Parça,Yuvarlak Tin 078-095 Ham Teneke 3 pc,100,ADET,KOLİ,PALET,100,2400,9.604
M00080,YUVARLAK KUTU 094-050 MAT LAK 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,094-050,Kalıp 094-050,B4,Mat Lak,P3,3 Parça,Yuvarlak Tin 094-050 Mat Lak 3 pc,45,ADET,KOLİ,PALET,100,2000,7.1399
M00081,YUVARLAK KUTU 255-205 MAT LAK 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,255-205,Kalıp 255-205,B4,Mat Lak,P3,3 Parça,Yuvarlak Tin 255-205 Mat Lak 3 pc,210,ADET,KOLİ,PALET,60,1200,1.7961
M00082,YUVARLAK KUTU Ø092 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,DIA-092,Kalıp DIA-092,B2,Vernikli,P2,2 Parça,Yuvarlak Tin Ø092 Vernikli 2 pc,99,ADET,KOLİ,PALET,12,360,9.2402
M00083,YUVARLAK-SIVAMA KUTU Ø068 LITOGRAFI 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA2,Boya-Kimya,DIA-068,Kalıp DIA-068,B1,Litografi,P3,3 Parça,Yuvarlak-Drawn Tin Ø068 Litografi 3 pc,72,ADET,KOLİ,PALET,12,240,6.3438
M00084,TEPSI 325-125 VERNIKLI 2 PARÇA,01,Mamul,SK11,Tepsi,KA1,Gıda,325-125,Kalıp 325-125,B2,Vernikli,P2,2 Parça,Tepsi 325-125 Vernikli 2 pc,120,ADET,KOLİ,PALET,100,2000,2.5608
M00085,YUVARLAK KUTU 160-090 HAM TENEKE 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,160-090,Kalıp 160-090,B3,Ham Teneke,P2,2 Parça,Yuvarlak Tin 160-090 Ham Teneke 2 pc,85,ADET,KOLİ,PALET,48,960,7.077
M00086,YUVARLAK KUTU 255-205 HAM TENEKE 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,255-205,Kalıp 255-205,B3,Ham Teneke,P2,2 Parça,Yuvarlak Tin 255-205 Ham Teneke 2 pc,210,ADET,KOLİ,PALET,100,3000,3.2759
M00087,YUVARLAK KUTU 255-205 MAT LAK 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,255-205,Kalıp 255-205,B4,Mat Lak,P3,3 Parça,Yuvarlak Tin 255-205 Mat Lak 3 pc,210,ADET,KOLİ,PALET,60,1440,8.8228
M00088,YUVARLAK KUTU 120-105 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,120-105,Kalıp 120-105,B1,Litografi,P2,2 Parça,Yuvarlak Tin 120-105 Litografi 2 pc,110,ADET,KOLİ,PALET,60,1200,2.2914
