STOK_KODU,STHAR_CARIKOD,FISNO,STHAR_TARIH,STHAR_GCMIK,STHAR_GCMIK2,STHAR_NF,STHAR_GCKOD,DOLAR_KURU,TUTAR_USD,YIL,AY,STHAR_SIPNUM,STRA_SIPKONT,SIP_INC,AY_BASLANGICI,SIPARIS_TEMSILCISI,TEMSILCI_GRUP
M00005,120.01.0005,FT23500019,2023-02-09,3840,80,275.765,4,20.0167,52902.7062,2023,2,SIP23000009,1,100019,2023-02-01,Elif S.,YURT_DISI
M00283,120.01.0005,FT23500020,2023-01-31,12000,120,326.5265,4,18.8,208421.1702,2023,1,SIP23000009,2,100020,2023-01-01,Elif S.,YURT_DISI
M00003,120.01.0005,FT23500021,2023-02-05,1200,20,130.5179,4,20.0167,7824.5405,2023,2,SIP23000009,3,100021,2023-02-01,Elif S.,YURT_DISI
M00002,120.01.0015,FT23500022,2023-01-23,1440,30,301.8534,4,18.8,23120.686,2023,1,SIP23000010,1,100022,2023-01-01,Selim K.,YURT_ICI
M00023,120.01.0009,FT23500023,2023-01-17,576,12,91.2768,4,18.8,2796.5658,2023,1,SIP23000011,1,100023,2023-01-01,Cem A.,YURT_ICI
M00006,120.01.0009,FT23500024,2023-01-31,8000,80,60.4677,4,18.8,25730.9362,2023,1,SIP23000011,2,100024,2023-01-01,Cem A.,YURT_ICI
M00017,120.01.0009,FT23500025,2023-01-19,1200,12,218.9375,4,18.8,13974.734,2023,1,SIP23000011,3,100025,2023-01-01,Cem A.,YURT_ICI
M00001,120.01.0009,FT23500026,2023-02-10,2400,200,204.8481,4,20.0167,24561.2633,2023,2,SIP23000011,4,100026,2023-02-01,Cem A.,YURT_ICI
M00139,120.01.0001,FT23500027,2023-01-13,720,30,294.2373,4,18.8,11268.6626,2023,1,SIP23000012,1,100027,2023-01-01,Bahar Ö.,YURT_ICI
M00044,120.01.0002,FT23500028,2023-01-21,240,20,364.0706,4,18.8,4647.7098,2023,1,SIP23000013,1,100028,2023-01-01,Nurhan T.,YURT_ICI
M00004,120.01.0002,FT23500029,2023-01-23,720,30,325.2604,4,18.8,12456.7813,2023,1,SIP23000013,2,100029,2023-01-01,Nurhan T.,YURT_ICI
M00001,120.01.0011,FT23500030,2023-01-28,144,12,214.4298,4,18.8,1642.441,2023,1,SIP23000014,1,100030,2023-01-01,Bahar Ö.,YURT_ICI
M00001,120.01.0028,FT23500031,2023-02-14,2400,200,212.3983,4,20.0167,25466.5314,2023,2,SIP23000015,1,100031,2023-02-01,Selim K.,YURT_ICI
M00218,120.01.0028,FT23500032,2023-01-24,4800,200,363.6531,4,18.8,92847.6,2023,1,SIP23000015,2,100032,2023-01-01,Selim K.,YURT_ICI
M00057,120.01.0010,FT23500033,2023-02-08,3000,50,201.3473,4,20.0167,30176.8973,2023,2,STK23000002,1,100033,2023-02-01,Nurhan T.,YURT_ICI
M00028,120.01.0010,FT23500034,2023-01-30,169.96,7.08,170.6706,4,18.8,1542.9348,2023,1,STK23000002,2,100034,2023-01-01,Nurhan T.,YURT_ICI
M00045,120.01.0010,FT23500035,2023-01-26,288,6,66.4665,4,18.8,1018.2102,2023,1,STK23000002,3,100035,2023-01-01,Nurhan T.,YURT_ICI
M00148,120.01.0015,FT23500036,2023-02-03,576,12,81.9081,4,20.0167,2356.9852,2023,2,STK23000003,1,100036,2023-02-01,Selim K.,YURT_ICI
M00040,120.01.0038,FT23500037,2023-02-09,144,12,295.4694,4,20.0167,2125.6048,2023,2,STK23000004,1,100037,2023-02-01,Selim K.,YURT_ICI
M00176,120.01.0007,FT23500038,2023-02-09,288,12,224.8063,4,20.0167,3234.5099,2023,2,SIP23000016,1,100038,2023-02-01,Bahar Ö.,YURT_ICI
M00001,120.01.0015,FT23500039,2023-02-17,1440,120,188.8082,4,20.0167,13582.8487,2023,2,SIP23000017,1,100039,2023-02-01,Selim K.,YURT_ICI
M00003,120.01.0034,FT23500040,2023-02-16,7200,120,127.3041,4,20.0167,45791.2403,2023,2,SIP23000018,1,100040,2023-02-01,Bahar Ö.,YURT_ICI
M00002,120.01.0002,FT23500041,2023-01-22,2400,50,245.8659,4,18.8,31387.1362,2023,1,SIP23000019,1,100041,2023-01-01,Nurhan T.,YURT_ICI
M00039,120.01.0023,FT23500042,2023-01-11,72,6,170.068,4,18.8,651.3243,2023,1,SIP23000020,1,100042,2023-01-01,Cem A.,YURT_ICI
M00010,120.01.0019,FT23500043,2023-01-27,1200,20,242.4535,4,18.8,15475.7553,2023,1,SIP23000021,1,100043,2023-01-01,Selim K.,YURT_ICI
M00012,120.01.0019,FT23500044,2023-02-09,3840,80,259.1279,4,20.0167,49711.0481,2023,2,SIP23000021,2,100044,2023-02-01,Selim K.,YURT_ICI
M00031,120.01.0006,FT23500045,2023-01-21,1200,20,94.8635,4,18.8,6055.117,2023,1,SIP23000022,1,100045,2023-01-01,Selim K.,YURT_ICI
M00023,120.01.0006,FT23500046,2023-02-17,1440,30,79.6004,4,20.0167,5726.4472,2023,2,SIP23000022,2,100046,2023-02-01,Selim K.,YURT_ICI
M00159,120.01.0052,FT23500047,2023-01-24,480,20,120.4948,4,18.8,3076.463,2023,1,SIP23000023,1,100047,2023-01-01,Bahar Ö.,YURT_ICI
M00011,120.01.0052,FT23500048,2023-02-11,20000,200,249.1172,4,20.0167,248909.3607,2023,2,SIP23000023,2,100048,2023-02-01,Bahar Ö.,YURT_ICI
M00007,120.01.0014,FT23500049,2023-01-17,4800,80,121.2392,4,18.8,30954.6894,2023,1,SIP23000024,1,100049,2023-01-01,Kaan M.,BASKILI
M00010,120.01.0001,FT23500050,2023-02-22,12000,200,243.1864,4,20.0167,145790.1053,2023,2,SIP23000025,1,100050,2023-02-01,Bahar Ö.,YURT_ICI
M00031,120.01.0005,FT23500051,2023-01-19,3000,50,89.473,4,18.8,14277.6064,2023,1,SIP23000026,1,100051,2023-01-01,Elif S.,YURT_DISI
M00001,120.01.0012,FT23500052,2023-02-21,960,80,208.1571,4,20.0167,9983.2048,2023,2,STK23000005,1,100052,2023-02-01,Cem A.,YURT_ICI
M00109,120.01.0012,FT23500053,2023-02-24,288,12,180.6587,4,20.0167,2599.3149,2023,2,STK23000005,2,100053,2023-02-01,Cem A.,YURT_ICI
M00162,120.01.0012,FT23500054,2023-01-23,8000,80,330.8012,4,18.8,140766.4681,2023,1,STK23000005,3,100054,2023-01-01,Cem A.,YURT_ICI
M00053,120.01.0054,FT23500055,2023-02-06,2880,120,355.8034,4,20.0167,51192.9435,2023,2,SIP23000027,1,100055,2023-02-01,Cem A.,YURT_ICI
M00039,120.01.0054,FT23500056,2023-02-18,2400,200,146.9031,4,20.0167,17613.6646,2023,2,SIP23000027,2,100056,2023-02-01,Cem A.,YURT_ICI
M00186,120.01.0054,FT23500057,2023-01-19,360,6,337.8562,4,18.8,6469.5868,2023,1,SIP23000027,3,100057,2023-01-01,Cem A.,YURT_ICI
M00175,120.01.0070,FT23500058,2023-01-20,2400,200,92.3774,4,18.8,11792.8596,2023,1,STKB23000002,1,100058,2023-01-01,Kaan M.,BASKILI
M00002,120.01.0070,FT23500059,2023-02-19,3840,80,256.2112,4,20.0167,49151.5089,2023,2,STKB23000002,2,100059,2023-02-01,Kaan M.,BASKILI
M00001,120.01.0070,FT23500060,2023-01-15,2400,200,188.0732,4,18.8,24009.3447,2023,1,STKB23000002,3,100060,2023-01-01,Kaan M.,BASKILI
M00009,120.01.0002,FT23500061,2023-02-06,1200,20,193.7103,4,20.0167,11612.9212,2023,2,SIP23000028,1,100061,2023-02-01,Nurhan T.,YURT_ICI
M00001,120.01.0037,FT23500062,2023-01-21,240,20,212.377,4,18.8,2711.1957,2023,1,SIP23000029,1,100062,2023-01-01,Deniz Y.,YURT_DISI
M00006,120.01.0037,FT23500063,2023-01-30,6090.35,60.9,69.7023,4,18.8,22580.3938,2023,1,SIP23000029,2,100063,2023-01-01,Deniz Y.,YURT_DISI
M00003,120.01.0037,FT23500064,2023-02-19,1800,30,133.5318,4,20.0167,12007.8355,2023,2,SIP23000029,3,100064,2023-02-01,Deniz Y.,YURT_DISI
M00008,120.01.0001,FT23500065,2023-02-02,360,30,268.1342,4,20.0167,4822.3889,2023,2,SIP23000030,1,100065,2023-02-01,Bahar Ö.,YURT_ICI
M00005,120.01.0001,FT23500066,2023-02-03,960,20,220.6576,4,20.0167,10582.7282,2023,2,SIP23000030,2,100066,2023-02-01,Bahar Ö.,YURT_ICI
M00003,120.01.0001,FT23500067,2023-02-06,3000,50,137.1927,4,20.0167,20561.736,2023,2,SIP23000030,3,100067,2023-02-01,Bahar Ö.,YURT_ICI
M00083,120.01.0011,FT23500068,2023-02-18,1200,20,280.2835,4,20.0167,16802.9795,2023,2,STK23000006,1,100068,2023-02-01,Bahar Ö.,YURT_ICI
M00031,120.01.0056,FT23500069,2023-01-31,7200,120,90.5696,4,18.8,34686.2298,2023,1,STK23000007,1,100069,2023-01-01,Nurhan T.,YURT_ICI
M00007,120.01.0011,FT23500070,2023-02-19,12000,200,132.0051,4,20.0167,79136.9806,2023,2,SIP23000031,1,100070,2023-02-01,Bahar Ö.,YURT_ICI
M00237,120.01.0022,FT23500071,2023-02-01,360,30,26.6919,4,20.0167,480.0534,2023,2,STKB23000003,1,100071,2023-02-01,Cem A.,YURT_ICI
M00009,120.01.0022,FT23500072,2023-02-14,1200,20,181.7636,4,20.0167,10896.7172,2023,2,STKB23000003,2,100072,2023-02-01,Cem A.,YURT_ICI
M00007,120.01.0001,FT23500073,2023-01-28,720,12,122.3401,4,18.8,4685.3655,2023,1,SIP23000032,1,100073,2023-01-01,Bahar Ö.,YURT_ICI
M00006,120.01.0013,FT23500074,2023-01-22,2000,20,69.386,4,18.8,7381.4894,2023,1,SIP23000033,1,100074,2023-01-01,Bahar Ö.,YURT_ICI
M00004,120.01.0001,FT23500075,2023-01-22,2880,120,358.9034,4,18.8,54980.9464,2023,1,SIP23000034,1,100075,2023-01-01,Bahar Ö.,YURT_ICI
M00042,120.01.0049,FT23500076,2023-02-07,144,12,275.8025,4,20.0167,1984.1213,2023,2,STKB23000004,1,100076,2023-02-01,Cem A.,YURT_ICI
M00004,120.01.0049,FT23500077,2023-01-29,438.43,18.27,316.8017,4,18.8,7388.0516,2023,1,STKB23000004,2,100077,2023-01-01,Cem A.,YURT_ICI
M00004,120.01.0001,FT23500078,2023-02-05,2880,120,293.2367,4,20.0167,42190.8554,2023,2,SIP23000035,1,100078,2023-02-01,Bahar Ö.,YURT_ICI
M00125,120.01.0001,FT23500079,2023-02-03,2400,200,135.8033,4,20.0167,16282.7999,2023,2,SIP23000035,2,100079,2023-02-01,Bahar Ö.,YURT_ICI
M00015,120.01.0018,FT23500080,2023-02-14,1440,30,162.8645,4,20.0167,11716.4608,2023,2,SIP23000036,1,100080,2023-02-01,Elif S.,YURT_DISI
M00001,120.01.0018,FT23500081,2023-01-15,72,6,206.7487,4,18.8,791.8035,2023,1,SIP23000036,2,100081,2023-01-01,Elif S.,YURT_DISI
M00009,120.01.0018,FT23500082,2023-02-26,1800,30,191.7231,4,20.0167,17240.683,2023,2,SIP23000036,3,100082,2023-02-01,Elif S.,YURT_DISI
M00002,120.01.0018,FT23500083,2023-01-19,960,20,313.4054,4,18.8,16003.68,2023,1,SIP23000036,4,100083,2023-01-01,Elif S.,YURT_DISI
M00062,120.01.0015,FT23500084,2023-02-16,288,12,154.4353,4,20.0167,2222.0129,2023,2,SIP23000037,1,100084,2023-02-01,Selim K.,YURT_ICI
M00014,120.01.0015,FT23500085,2023-01-28,1200,12,54.6901,4,18.8,3490.8574,2023,1,SIP23000037,2,100085,2023-01-01,Selim K.,YURT_ICI
M00003,120.01.0015,FT23500086,2023-01-18,4800,80,123.6299,4,18.8,31565.0809,2023,1,SIP23000037,3,100086,2023-01-01,Selim K.,YURT_ICI
M00219,120.01.0005,FT23500087,2023-02-25,1200,12,235.0237,4,20.0167,14089.6571,2023,2,STKB23000005,1,100087,2023-02-01,Elif S.,YURT_DISI
M00227,120.01.0047,FT23500088,2023-02-06,288,12,187.3237,4,20.0167,2695.2108,2023,2,SIP23000038,1,100088,2023-02-01,Selim K.,YURT_ICI
M00009,120.01.0047,FT23500089,2023-01-25,1200,20,173.1604,4,18.8,11052.7915,2023,1,SIP23000038,2,100089,2023-01-01,Selim K.,YURT_ICI
M00021,120.01.0047,FT23500090,2023-02-04,1920,80,415.9627,4,20.0167,39899.1034,2023,2,SIP23000038,3,100090,2023-02-01,Selim K.,YURT_ICI
M00001,120.01.0005,FT23500091,2023-01-26,360,30,222.7844,4,18.8,4266.0843,2023,1,SIP23000039,1,100091,2023-01-01,Elif S.,YURT_DISI
M00006,120.01.0011,FT23500092,2023-02-01,1200,12,58.7395,4,20.0167,3521.4296,2023,2,SIP23000040,1,100092,2023-02-01,Bahar Ö.,YURT_ICI
M00006,120.01.0011,FT23500093,2023-02-18,1200,12,72.7343,4,20.0167,4360.4171,2023,2,SIP23000040,2,100093,2023-02-01,Bahar Ö.,YURT_ICI
M00059,120.01.0011,FT23500094,2023-02-23,144,12,42.5847,4,20.0167,306.354,2023,2,SIP23000040,3,100094,2023-02-01,Bahar Ö.,YURT_ICI
M00290,120.01.0058,FT23500095,2023-03-02,7200,120,324.6979,4,21.2333,110101.8155,2023,3,SIP23000041,1,100095,2023-03-01,Bahar Ö.,YURT_ICI
M00001,120.01.0047,FT23500096,2023-02-01,144,12,211.0593,4,20.0167,1518.3591,2023,2,STK23000008,1,100096,2023-02-01,Selim K.,YURT_ICI
M00001,120.01.0012,FT23500097,2023-01-30,72,6,195.8499,4,18.8,750.0634,2023,1,SIP23000042,1,100097,2023-01-01,Cem A.,YURT_ICI
M00002,120.01.0034,FT23500098,2023-02-20,960,20,290.3275,4,20.0167,13924.0934,2023,2,SIP23000043,1,100098,2023-02-01,Bahar Ö.,YURT_ICI
M00156,120.01.0001,FT23500099,2023-02-21,144,12,304.0131,4,20.0167,2187.0681,2023,2,SIP23000044,1,100099,2023-02-01,Bahar Ö.,YURT_ICI
M00001,120.01.0101,FT23500100,2023-02-08,144,12,200.2309,4,20.0167,1440.4597,2023,2,SIP23000045,1,100100,2023-02-01,Selim K.,YURT_ICI
M00016,120.01.0014,FT23500101,2023-02-22,2400,50,255.3088,4,20.0167,30611.4954,2023,2,SIP23000046,1,100101,2023-02-01,Kaan M.,BASKILI
M00001,120.01.0014,FT23500102,2023-02-04,360,30,219.7979,4,20.0167,3953.0614,2023,2,SIP23000046,2,100102,2023-02-01,Kaan M.,BASKILI
M00003,120.01.0048,FT23500103,2023-02-13,3000,50,117.9504,4,20.0167,17677.799,2023,2,SIP23000047,1,100103,2023-02-01,Nurhan T.,YURT_ICI
M00005,120.01.0010,FT23500104,2023-01-22,1440,30,265.4928,4,18.8,20335.6187,2023,1,STK23000009,1,100104,2023-01-01,Nurhan T.,YURT_ICI
M00001,120.01.0020,FT23500105,2023-02-24,240,20,202.4783,4,20.0167,2427.7125,2023,2,SIP23000048,1,100105,2023-02-01,Deniz Y.,YURT_DISI
M00003,120.01.0002,FT23500106,2023-02-18,360,6,117.2742,4,20.0167,2109.1744,2023,2,STKB23000006,1,100106,2023-02-01,Nurhan T.,YURT_ICI
M00004,120.01.0007,FT23500107,2023-02-04,288,12,276.3243,4,20.0167,3975.7502,2023,2,SIP23000049,1,100107,2023-02-01,Bahar Ö.,YURT_ICI
M00057,120.01.0013,FT23500108,2023-02-05,720,12,188.0055,4,20.0167,6762.5513,2023,2,SIP23000050,1,100108,2023-02-01,Bahar Ö.,YURT_ICI
M00006,120.01.0008,FT23500109,2023-01-26,5000,50,60.078,4,18.8,15978.1915,2023,1,SIP23000051,1,100109,2023-01-01,Nurhan T.,YURT_ICI
M00006,120.01.0008,FT23500110,2023-02-09,2000,20,71.6073,4,20.0167,7154.7558,2023,2,SIP23000051,2,100110,2023-02-01,Nurhan T.,YURT_ICI
M00009,120.01.0065,FT23500111,2023-02-27,3000,50,174.7692,4,20.0167,26193.5084,2023,2,SIP23000052,1,100111,2023-02-01,Nurhan T.,YURT_ICI
M00046,120.01.0065,FT23500112,2023-01-24,1200,20,104.608,4,18.8,6677.1064,2023,1,SIP23000052,2,100112,2023-01-01,Nurhan T.,YURT_ICI
M00206,120.01.0065,FT23500113,2023-02-15,3840,80,68.035,4,20.0167,13051.8217,2023,2,SIP23000052,3,100113,2023-02-01,Nurhan T.,YURT_ICI
M00104,120.01.0042,FT23500114,2023-03-03,1800,30,117.6304,4,21.2333,9971.8235,2023,3,SIP23000053,1,100114,2023-03-01,Bahar Ö.,YURT_ICI
M00006,120.01.0002,FT23500115,2023-01-27,600,6,62.824,4,18.8,2005.0213,2023,1,SIP23000054,1,100115,2023-01-01,Nurhan T.,YURT_ICI
M00002,120.01.0002,FT23500116,2023-03-05,1440,30,279.0449,4,21.2333,18924.2678,2023,3,SIP23000054,2,100116,2023-03-01,Nurhan T.,YURT_ICI
M00001,120.01.0002,FT23500117,2023-03-04,240,20,176.835,4,21.2333,1998.7661,2023,3,SIP23000054,3,100117,2023-03-01,Nurhan T.,YURT_ICI
M00033,120.01.0021,FT23500118,2023-01-27,2000,20,112.0907,4,18.8,11924.5426,2023,1,SIP23000055,1,100118,2023-01-01,Bahar Ö.,YURT_ICI
M00010,120.01.0021,FT23500119,2023-02-01,720,12,244.9177,4,20.0167,8809.6811,2023,2,SIP23000055,2,100119,2023-02-01,Bahar Ö.,YURT_ICI
M00029,120.01.0021,FT23500120,2023-02-26,2400,200,322.0968,4,20.0167,38619.3688,2023,2,SIP23000055,3,100120,2023-02-01,Bahar Ö.,YURT_ICI
M00004,120.01.0021,FT23500121,2023-03-03,288,12,335.5992,4,21.2333,4551.9335,2023,3,SIP23000055,4,100121,2023-03-01,Bahar Ö.,YURT_ICI
M00009,120.01.0009,FT23500122,2023-01-30,720,12,164.1405,4,18.8,6286.2319,2023,1,SIP23000056,1,100122,2023-01-01,Cem A.,YURT_ICI
M00020,120.01.0001,FT23500123,2023-02-08,960,80,201.9757,4,20.0167,9686.7452,2023,2,SIP23000057,1,100123,2023-02-01,Bahar Ö.,YURT_ICI
M00024,120.01.0001,FT23500124,2023-01-30,8000,80,188.6999,4,18.8,80297.8298,2023,1,SIP23000057,2,100124,2023-01-01,Bahar Ö.,YURT_ICI
M00162,120.01.0070,FT23500125,2023-02-16,8000,80,288.7899,4,20.0167,115419.5846,2023,2,SIP23000058,1,100125,2023-02-01,Kaan M.,BASKILI
M00001,120.01.0070,FT23500126,2023-03-01,72,6,193.7916,4,21.2333,657.128,2023,3,SIP23000058,2,100126,2023-03-01,Kaan M.,BASKILI
M00003,120.01.0031,FT23500127,2023-02-27,360,6,130.1862,4,20.0167,2341.3965,2023,2,STK23000010,1,100127,2023-02-01,Pelin R.,BASKILI
M00002,120.01.0084,FT23500128,2023-02-14,960,20,271.8644,4,20.0167,13038.604,2023,2,SIP23000059,1,100128,2023-02-01,Nurhan T.,YURT_ICI
M00003,120.01.0101,FT23500129,2023-03-09,1200,20,120.3791,4,21.2333,6803.2251,2023,3,SIP23000060,1,100129,2023-03-01,Selim K.,YURT_ICI
M00035,120.01.0101,FT23500130,2023-03-09,1200,12,241.7516,4,21.2333,13662.5922,2023,3,SIP23000060,2,100130,2023-03-01,Selim K.,YURT_ICI
M00001,120.01.0101,FT23500131,2023-02-10,600,50,216.2348,4,20.0167,6481.6318,2023,2,SIP23000060,3,100131,2023-02-01,Selim K.,YURT_ICI
M00001,120.01.0101,FT23500132,2023-01-29,960,80,178.1806,4,18.8,9098.5838,2023,1,SIP23000060,4,100132,2023-01-01,Selim K.,YURT_ICI
M00005,120.01.0020,FT23500133,2023-02-03,960,20,258.3897,4,20.0167,12392.358,2023,2,SIP23000061,1,100133,2023-02-01,Deniz Y.,YURT_DISI
M00043,120.01.0020,FT23500134,2023-02-13,1200,50,283.9516,4,20.0167,17022.8819,2023,2,SIP23000061,2,100134,2023-02-01,Deniz Y.,YURT_DISI
M00018,120.01.0123,FT23500135,2023-03-03,360,6,118.9754,4,21.2333,2017.1685,2023,3,SIP23000062,1,100135,2023-03-01,Kaan M.,BASKILI
M00008,120.01.0012,FT23500136,2023-03-03,72,6,269.0681,4,21.2333,912.3831,2023,3,SIP23000063,1,100136,2023-03-01,Cem A.,YURT_ICI
M00007,120.01.0012,FT23500137,2023-01-27,720,12,146.3936,4,18.8,5606.5634,2023,1,SIP23000063,2,100137,2023-01-01,Cem A.,YURT_ICI
M00003,120.01.0135,FT23500138,2023-03-08,1200,20,134.994,4,21.2333,7629.1862,2023,3,SIP23000064,1,100138,2023-03-01,Selim K.,YURT_ICI
M00007,120.01.0135,FT23500139,2023-03-02,7200,120,137.9551,4,21.2333,46779.1968,2023,3,SIP23000064,2,100139,2023-03-01,Selim K.,YURT_ICI
M00018,120.01.0135,FT23500140,2023-02-28,4800,80,100.6244,4,20.0167,24129.7077,2023,2,SIP23000064,3,100140,2023-02-01,Selim K.,YURT_ICI
M00027,120.01.0002,FT23500141,2023-02-17,3840,80,132.8927,4,20.0167,25494.1108,2023,2,SIP23000065,1,100141,2023-02-01,Nurhan T.,YURT_ICI
M00030,120.01.0002,FT23500142,2023-02-03,3000,50,143.7045,4,20.0167,21537.691,2023,2,SIP23000065,2,100142,2023-02-01,Nurhan T.,YURT_ICI
M00005,120.01.0002,FT23500143,2023-02-24,3840,80,247.9698,4,20.0167,47570.4802,2023,2,SIP23000065,3,100143,2023-02-01,Nurhan T.,YURT_ICI
M00001,120.01.0025,FT23500144,2023-02-05,491.53,40.96,194.4009,4,20.0167,4773.7077,2023,2,SIP23000066,1,100144,2023-02-01,Bahar Ö.,YURT_ICI
M00009,120.01.0008,FT23500145,2023-02-20,1200,20,159.6062,4,20.0167,9568.3824,2023,2,SIP23000067,1,100145,2023-02-01,Nurhan T.,YURT_ICI
M00104,120.01.0001,FT23500146,2023-03-05,720,12,122.2614,4,21.2333,4145.762,2023,3,SIP23000068,1,100146,2023-03-01,Bahar Ö.,YURT_ICI
M00001,120.01.0008,FT23500147,2023-02-13,72,6,187.9579,4,20.0167,676.0839,2023,2,SIP23000069,1,100147,2023-02-01,Nurhan T.,YURT_ICI
M00040,120.01.0008,FT23500148,2023-02-28,360,30,285.5836,4,20.0167,5136.2161,2023,2,SIP23000069,2,100148,2023-02-01,Nurhan T.,YURT_ICI
M00007,120.01.0001,FT23500149,2023-03-08,7200,120,146.7597,4,21.2333,49764.7488,2023,3,SIP23000070,1,100149,2023-03-01,Bahar Ö.,YURT_ICI
M00095,120.01.0006,FT23500150,2023-02-19,3000,30,45.4224,4,20.0167,6807.6756,2023,2,SIP23000071,1,100150,2023-02-01,Selim K.,YURT_ICI
M00004,120.01.0001,FT23500151,2023-01-28,144,6,278.0208,4,18.8,2129.521,2023,1,SIP23000072,1,100151,2023-01-01,Bahar Ö.,YURT_ICI
M00032,120.01.0001,FT23500152,2023-03-09,4800,200,178.0753,4,21.2333,40255.704,2023,3,SIP23000072,2,100152,2023-03-01,Bahar Ö.,YURT_ICI
M00001,120.01.0101,FT23500153,2023-01-30,72,6,217.2568,4,18.8,832.0473,2023,1,SIP23000073,1,100153,2023-01-01,Selim K.,YURT_ICI
M00001,120.01.0101,FT23500154,2023-02-05,72,6,225.1157,4,20.0167,809.7404,2023,2,SIP23000073,2,100154,2023-02-01,Selim K.,YURT_ICI
M00001,120.01.0004,FT23500155,2023-02-16,144,12,209.3146,4,20.0167,1505.8078,2023,2,SIP23000074,1,100155,2023-02-01,Nurhan T.,YURT_ICI
M00003,120.01.0004,FT23500156,2023-02-28,1200,20,116.0316,4,20.0167,6956.0877,2023,2,SIP23000074,2,100156,2023-02-01,Nurhan T.,YURT_ICI
M00002,120.01.0070,FT23500157,2023-02-07,3840,80,273.3117,4,20.0167,52432.0656,2023,2,SIP23000075,1,100157,2023-02-01,Kaan M.,BASKILI
M00010,120.01.0070,FT23500158,2023-03-11,1800,30,236.0753,4,21.2333,20012.6942,2023,3,SIP23000075,2,100158,2023-03-01,Kaan M.,BASKILI
M00001,120.01.0070,FT23500159,2023-02-07,144,12,192.9886,4,20.0167,1388.3586,2023,2,SIP23000075,3,100159,2023-02-01,Kaan M.,BASKILI
M00015,120.01.0070,FT23500160,2023-02-21,9600,200,146.317,4,20.0167,70173.5651,2023,2,SIP23000075,4,100160,2023-02-01,Kaan M.,BASKILI
