CARI_KOD,SON_TARIH,ALACAK_TL,BORC_TL,BAKIYE_TL,KUR,SONGUNKU_KUR,DURUM,BAKIYE_USD,MUTLAK_USD
120.01.0023,2026-05-18,6272172.99,48148.38,6224024.61,46.4333,47.6,ALACAK,130756.82,130756.82
120.01.0024,2026-01-05,5761436.2,1421280.37,4340155.83,44.1,47.6,ALACAK,91179.74,91179.74
120.01.0025,2025-12-16,6707903.9,554472.57,6153431.33,43.45,47.6,ALACAK,129273.77,129273.77
120.01.0026,2025-12-16,3489590.1,129131.53,3360458.57,43.45,47.6,ALACAK,70597.87,70597.87
120.01.0027,2026-04-30,425827.91,7177620.73,-6751792.82,45.85,47.6,BORC,-141844.39,141844.39
120.01.0028,2026-04-03,4660507.3,329053,4331454.3,45.85,47.6,ALACAK,90996.94,90996.94
120.01.0029,2025-12-15,7004865.43,826991.24,6177874.19,43.45,47.6,ALACAK,129787.27,129787.27
120.01.0030,2026-07-01,8947113.96,1114722.82,7832391.14,47.6,47.6,ALACAK,164546.03,164546.03
120.01.0031,2026-07-16,9161486.29,1326791.91,7834694.38,47.6,47.6,ALACAK,164594.42,164594.42
120.01.0032,2026-07-01,1738786.21,531069.82,1207716.39,47.6,47.6,ALACAK,25372.19,25372.19
120.01.0033,2026-04-13,2722629.18,195065.02,2527564.16,45.85,47.6,ALACAK,53100.09,53100.09
120.01.0034,2026-06-26,4335086.1,363008.55,3972077.55,47.0167,47.6,ALACAK,83447.01,83447.01
120.01.0035,2026-01-10,3812978.73,539623.99,3273354.74,44.1,47.6,ALACAK,68767.96,68767.96
120.01.0036,2026-01-01,2654527.17,110110.82,2544416.35,44.1,47.6,ALACAK,53454.12,53454.12
120.01.0037,2026-04-20,65808.96,1320803.11,-1254994.15,45.85,47.6,BORC,-26365.42,26365.42
120.01.0038,2026-05-16,382449.95,890790.27,-508340.32,46.4333,47.6,BORC,-10679.42,10679.42
120.01.0039,2026-01-29,4588935.51,2097199.49,2491736.02,44.1,47.6,ALACAK,52347.4,52347.4
120.01.0040,2026-01-21,3508261.77,240427.84,3267833.93,44.1,47.6,ALACAK,68651.97,68651.97
120.01.0041,2026-05-25,6932402.13,822987.01,6109415.12,46.4333,47.6,ALACAK,128349.06,128349.06
120.01.0042,2026-06-19,137669.36,1511602.45,-1373933.09,47.0167,47.6,BORC,-28864.14,28864.14
120.01.0043,2026-01-13,2496223.22,607872.84,1888350.38,44.1,47.6,ALACAK,39671.23,39671.23
120.01.0044,2026-06-23,1872581.54,78679.49,1793902.05,47.0167,47.6,ALACAK,37687.02,37687.02
120.01.0045,2025-12-02,4096927.72,1626014.98,2470912.74,43.45,47.6,ALACAK,51909.93,51909.93
120.01.0046,2026-07-20,982066.73,58960.81,923105.92,47.6,47.6,ALACAK,19392.98,19392.98
120.01.0047,2026-04-12,3775249.19,367555.35,3407693.84,45.85,47.6,ALACAK,71590.21,71590.21
120.01.0048,2026-03-06,2981566.23,323173.21,2658393.02,45.2667,47.6,ALACAK,55848.59,55848.59
120.01.0049,2026-02-02,4275166.12,849813.98,3425352.14,44.6833,47.6,ALACAK,71961.18,71961.18
120.01.0050,2026-01-11,1737892.33,93036.79,1644855.54,44.1,47.6,ALACAK,34555.79,34555.79
120.01.0051,2026-07-20,3108118.05,515024.62,2593093.43,47.6,47.6,ALACAK,54476.75,54476.75
120.01.0052,2026-06-05,5622949.18,276418.88,5346530.3,47.0167,47.6,ALACAK,112322.07,112322.07
120.01.0053,2026-02-28,669250.23,124268.68,544981.55,44.6833,47.6,ALACAK,11449.19,11449.19
120.01.0054,2026-06-24,7382932.38,961031.88,6421900.5,47.0167,47.6,ALACAK,134913.88,134913.88
120.01.0055,2026-04-09,2107144.57,260657.31,1846487.26,45.85,47.6,ALACAK,38791.75,38791.75
120.01.0056,2026-03-01,6283748.9,1900295.82,4383453.08,45.2667,47.6,ALACAK,92089.35,92089.35
120.01.0057,2026-06-21,554261.3,113861.31,440399.99,47.0167,47.6,ALACAK,9252.1,9252.1
120.01.0058,2026-01-13,4397376.18,572904.82,3824471.36,44.1,47.6,ALACAK,80346.04,80346.04
120.01.0059,2026-01-10,215788.26,1379949.93,-1164161.67,44.1,47.6,BORC,-24457.18,24457.18
120.01.0060,2026-04-12,25606.42,599088.88,-573482.46,45.85,47.6,BORC,-12047.95,12047.95
120.01.0061,2026-05-18,1377876.29,89852.23,1288024.06,46.4333,47.6,ALACAK,27059.33,27059.33
120.01.0062,2026-07-21,1002508.63,144729.83,857778.8,47.6,47.6,ALACAK,18020.56,18020.56
120.01.0063,2026-07-08,5774926.72,851171.86,4923754.86,47.6,47.6,ALACAK,103440.23,103440.23
120.01.0064,2026-02-19,1443616.76,35818.9,1407797.86,44.6833,47.6,ALACAK,29575.59,29575.59
120.01.0065,2026-07-13,567897.29,16336.82,551560.47,47.6,47.6,ALACAK,11587.4,11587.4
120.01.0066,2026-04-27,389794.4,36282.77,353511.63,45.85,47.6,ALACAK,7426.71,7426.71
120.01.0067,2025-12-19,3848670.74,125110.25,3723560.49,43.45,47.6,ALACAK,78226.06,78226.06
120.01.0068,2026-03-26,7072857.53,1381181.6,5691675.93,45.2667,47.6,ALACAK,119573.02,119573.02
120.01.0069,2026-02-28,52793.95,186091.9,-133297.95,44.6833,47.6,BORC,-2800.38,2800.38
120.01.0070,2026-04-01,1315832.74,215100.63,1100732.11,45.85,47.6,ALACAK,23124.62,23124.62
120.01.0071,2026-05-22,27175.21,922706.05,-895530.84,46.4333,47.6,BORC,-18813.67,18813.67
120.01.0072,2026-03-18,450530.44,36600.13,413930.31,45.2667,47.6,ALACAK,8696.01,8696.01
120.01.0073,2026-04-14,2412572.27,137780.94,2274791.33,45.85,47.6,ALACAK,47789.73,47789.73
120.01.0074,2025-12-28,4293341.81,553212.64,3740129.17,43.45,47.6,ALACAK,78574.14,78574.14
120.01.0075,2026-01-01,623207.89,5873360.5,-5250152.61,44.1,47.6,BORC,-110297.32,110297.32
120.01.0076,2026-05-30,562015.75,126560.75,435455,46.4333,47.6,ALACAK,9148.21,9148.21
120.01.0077,2026-02-03,1051421.1,118552.12,932868.98,44.6833,47.6,ALACAK,19598.09,19598.09
120.01.0078,2026-07-25,4621945.63,186731.54,4435214.09,47.6,47.6,ALACAK,93176.77,93176.77
120.01.0079,2025-12-28,54743.57,377761.18,-323017.61,43.45,47.6,BORC,-6786.08,6786.08
120.01.0080,2026-01-21,1653876.95,385168.29,1268708.66,44.1,47.6,ALACAK,26653.54,26653.54
120.01.0081,2026-05-28,1388283.99,302616.46,1085667.53,46.4333,47.6,ALACAK,22808.14,22808.14
120.01.0082,2026-02-05,2422303.84,259169.62,2163134.22,44.6833,47.6,ALACAK,45444,45444
120.01.0083,2026-03-10,2758175.58,14293.71,2743881.87,45.2667,47.6,ALACAK,57644.58,57644.58
120.01.0084,2026-05-20,51913.53,2162.45,49751.08,46.4333,47.6,ALACAK,1045.19,1045.19
120.01.0085,2026-06-11,2908717.89,644701.13,2264016.76,47.0167,47.6,ALACAK,47563.38,47563.38
120.01.0086,2025-12-27,583434.6,77939.6,505495,43.45,47.6,ALACAK,10619.64,10619.64
120.01.0087,2026-06-12,55208.05,182442.49,-127234.44,47.0167,47.6,BORC,-2672.99,2672.99
120.01.0089,2026-03-24,370650.2,1022656.83,-652006.63,45.2667,47.6,BORC,-13697.62,13697.62
120.01.0090,2025-12-31,51898.47,18279.44,33619.03,43.45,47.6,ALACAK,706.28,706.28
120.01.0091,2026-02-15,1752865.15,61923.14,1690942.01,44.6833,47.6,ALACAK,35523.99,35523.99
120.01.0092,2026-04-12,599862.87,123078.59,476784.28,45.85,47.6,ALACAK,10016.48,10016.48
120.01.0093,2026-06-10,1102212.03,65295.55,1036916.48,47.0167,47.6,ALACAK,21783.96,21783.96
120.01.0094,2026-07-17,487091.12,107579.87,379511.25,47.6,47.6,ALACAK,7972.93,7972.93
120.01.0095,2026-01-16,97628.85,216346.87,-118718.02,44.1,47.6,BORC,-2494.08,2494.08
120.01.0096,2026-03-03,121014.07,1174630.2,-1053616.13,45.2667,47.6,BORC,-22134.79,22134.79
120.01.0097,2026-05-10,932531.27,365063.13,567468.14,46.4333,47.6,ALACAK,11921.6,11921.6
120.01.0098,2026-07-05,2655287.6,304954.15,2350333.45,47.6,47.6,ALACAK,49376.75,49376.75
120.01.0099,2026-07-09,853016.06,6120.64,846895.42,47.6,47.6,ALACAK,17791.92,17791.92
120.01.0100,2026-05-26,3163821.49,657112.06,2506709.43,46.4333,47.6,ALACAK,52661.96,52661.96
120.01.0101,2026-01-23,7320649.57,668148.09,6652501.48,44.1,47.6,ALACAK,139758.43,139758.43
120.01.0102,2026-05-02,515751.23,66407.49,449343.74,46.4333,47.6,ALACAK,9439.99,9439.99
120.01.0103,2026-02-25,147998.91,1071935.65,-923936.74,44.6833,47.6,BORC,-19410.44,19410.44
120.01.0104,2026-07-16,186222.25,15694.85,170527.4,47.6,47.6,ALACAK,3582.51,3582.51
120.01.0105,2026-06-06,1068930.63,165854.73,903075.9,47.0167,47.6,ALACAK,18972.18,18972.18
120.01.0106,2025-12-08,1045631.54,92992.08,952639.46,43.45,47.6,ALACAK,20013.43,20013.43
120.01.0107,2026-06-09,185053.79,1511077.9,-1326024.11,47.0167,47.6,BORC,-27857.65,27857.65
120.01.0108,2025-12-02,275374.88,14409.55,260965.33,43.45,47.6,ALACAK,5482.46,5482.46
120.01.0109,2026-04-07,1076702.02,114431.34,962270.68,45.85,47.6,ALACAK,20215.77,20215.77
120.01.0110,2026-05-15,102334.31,3267.68,99066.63,46.4333,47.6,ALACAK,2081.23,2081.23
120.01.0111,2026-02-11,1248206.91,50945.38,1197261.53,44.6833,47.6,ALACAK,25152.55,25152.55
120.01.0112,2026-03-26,1320587.31,56227.88,1264359.43,45.2667,47.6,ALACAK,26562.17,26562.17
120.01.0113,2025-12-20,61894.29,8288.92,53605.37,43.45,47.6,ALACAK,1126.16,1126.16
120.01.0114,2026-01-16,1487107.44,111696.9,1375410.54,44.1,47.6,ALACAK,28895.18,28895.18
120.01.0115,2026-04-23,21598.86,2923.63,18675.23,45.85,47.6,ALACAK,392.34,392.34
120.01.0116,2026-01-21,2500905.61,27408.84,2473496.77,44.1,47.6,ALACAK,51964.22,51964.22
120.01.0117,2026-04-01,141310,4856.09,136453.91,45.85,47.6,ALACAK,2866.68,2866.68
120.01.0118,2026-01-16,8043719.38,858398.51,7185320.87,44.1,47.6,ALACAK,150952.12,150952.12
120.01.0119,2026-03-09,4622529.61,21493.54,4601036.07,45.2667,47.6,ALACAK,96660.42,96660.42
120.01.0121,2026-03-05,9101561.11,2458436.96,6643124.15,45.2667,47.6,ALACAK,139561.43,139561.43
120.01.0122,2026-04-12,981275.93,202923.02,778352.91,45.85,47.6,ALACAK,16351.95,16351.95
120.01.0123,2026-03-10,365620.6,55090.62,310529.98,45.2667,47.6,ALACAK,6523.74,6523.74
120.01.0124,2026-07-09,9023412.63,333350.89,8690061.74,47.6,47.6,ALACAK,182564.32,182564.32
120.01.0125,2025-12-17,2683284.55,286777.13,2396507.42,43.45,47.6,ALACAK,50346.79,50346.79
120.01.0126,2026-06-01,1580985.79,511311.37,1069674.42,47.0167,47.6,ALACAK,22472.15,22472.15
120.01.0127,2026-01-27,626020.04,124895.21,501124.83,44.1,47.6,ALACAK,10527.83,10527.83
120.01.0128,2026-06-11,2030080.02,171890.14,1858189.88,47.0167,47.6,ALACAK,39037.6,39037.6
120.01.0130,2026-06-18,479850.91,37582.38,442268.53,47.0167,47.6,ALACAK,9291.36,9291.36
120.01.0131,2026-05-04,1044100.14,312151.82,731948.32,46.4333,47.6,ALACAK,15377.07,15377.07
120.01.0133,2026-07-15,627466.39,89795.36,537671.03,47.6,47.6,ALACAK,11295.61,11295.61
120.01.0134,2026-02-02,86454.79,27047.15,59407.64,44.6833,47.6,ALACAK,1248.06,1248.06
120.01.0135,2026-03-02,289739.76,80298.36,209441.4,45.2667,47.6,ALACAK,4400.03,4400.03
120.01.0136,2026-01-31,3259276.21,282750.1,2976526.11,44.1,47.6,ALACAK,62532.06,62532.06
120.01.0137,2026-03-27,536229.03,61215.39,475013.64,45.2667,47.6,ALACAK,9979.28,9979.28
120.01.0138,2026-04-08,1861149.62,266318.87,1594830.75,45.85,47.6,ALACAK,33504.85,33504.85
120.01.0139,2026-06-13,1823088.77,400000.68,1423088.09,47.0167,47.6,ALACAK,29896.81,29896.81
120.01.0140,2026-07-22,3328.66,708083.48,-704754.82,47.6,47.6,BORC,-14805.77,14805.77
320.01.0001,2025-12-27,625318.95,3860101,-3234782.05,43.45,47.6,BORC,-67957.61,67957.61
320.01.0002,2026-07-07,869120.2,7529380.82,-6660260.62,47.6,47.6,BORC,-139921.44,139921.44
320.01.0003,2026-03-19,313522.68,7237006.33,-6923483.65,45.2667,47.6,BORC,-145451.34,145451.34
320.01.0004,2026-04-01,853803.8,4827378.85,-3973575.05,45.85,47.6,BORC,-83478.47,83478.47
320.01.0005,2026-01-26,2241399.48,6020763.93,-3779364.45,44.1,47.6,BORC,-79398.41,79398.41
320.01.0006,2026-01-23,255774.14,5898422.68,-5642648.54,44.1,47.6,BORC,-118543.04,118543.04
320.01.0007,2026-06-26,418492.83,1783957.5,-1365464.67,47.0167,47.6,BORC,-28686.23,28686.23
320.01.0008,2025-12-02,359101.59,1550988.12,-1191886.53,43.45,47.6,BORC,-25039.63,25039.63
320.01.0009,2026-02-14,284342.02,1162801.69,-878459.67,44.6833,47.6,BORC,-18455.04,18455.04
320.01.0010,2026-01-08,112079.24,1444342.1,-1332262.86,44.1,47.6,BORC,-27988.72,27988.72
320.01.0011,2026-02-02,229280.92,3137235.53,-2907954.61,44.6833,47.6,BORC,-61091.48,61091.48
320.01.0012,2026-07-01,2342218.53,737580.5,1604638.03,47.6,47.6,ALACAK,33710.88,33710.88
320.01.0013,2026-03-01,784796.88,2443783.56,-1658986.68,45.2667,47.6,BORC,-34852.66,34852.66
320.01.0014,2026-04-25,3577191.57,389675.08,3187516.49,45.85,47.6,ALACAK,66964.63,66964.63
320.01.0015,2026-03-13,201925.74,3552364.89,-3350439.15,45.2667,47.6,BORC,-70387.38,70387.38
320.01.0016,2026-04-13,3582.51,245022.99,-241440.48,45.85,47.6,BORC,-5072.28,5072.28
320.01.0017,2026-03-03,750150.67,59676.48,690474.19,45.2667,47.6,ALACAK,14505.76,14505.76
320.01.0018,2026-02-04,316956.11,3552942.81,-3235986.7,44.6833,47.6,BORC,-67982.91,67982.91
320.01.0019,2025-12-18,517945.53,2045486.75,-1527541.22,43.45,47.6,BORC,-32091.2,32091.2
320.01.0020,2026-04-12,1532532.69,149254.88,1383277.81,45.85,47.6,ALACAK,29060.46,29060.46
320.01.0021,2026-05-05,20049.76,2693578.91,-2673529.15,46.4333,47.6,BORC,-56166.58,56166.58
320.01.0022,2026-05-27,596912.93,2410938.08,-1814025.15,46.4333,47.6,BORC,-38109.77,38109.77
320.01.0023,2026-04-26,29244.42,4460.97,24783.45,45.85,47.6,ALACAK,520.66,520.66
320.01.0024,2026-05-08,292501.35,3533583.79,-3241082.44,46.4333,47.6,BORC,-68089.97,68089.97
320.01.0025,2026-06-13,32726.69,219812.85,-187086.16,47.0167,47.6,BORC,-3930.38,3930.38
320.01.0026,2026-02-28,385206.89,2872134.4,-2486927.51,44.6833,47.6,BORC,-52246.38,52246.38
320.01.0027,2026-03-16,60686.12,176456.25,-115770.13,45.2667,47.6,BORC,-2432.15,2432.15
320.01.0028,2026-05-05,15998.88,390396.55,-374397.67,46.4333,47.6,BORC,-7865.5,7865.5
320.01.0029,2025-12-05,32293.23,376022.6,-343729.37,43.45,47.6,BORC,-7221.21,7221.21
320.01.0030,2026-02-17,99633.88,519766.08,-420132.2,44.6833,47.6,BORC,-8826.31,8826.31
320.01.0031,2026-01-20,128614.46,24909.28,103705.18,44.1,47.6,ALACAK,2178.68,2178.68
320.01.0032,2026-03-07,175993.66,1199359.7,-1023366.04,45.2667,47.6,BORC,-21499.29,21499.29
320.01.0033,2026-05-21,144487.2,2474111.66,-2329624.46,46.4333,47.6,BORC,-48941.69,48941.69
320.01.0034,2026-04-23,96395.68,1042013.21,-945617.53,45.85,47.6,BORC,-19865.91,19865.91
320.01.0035,2026-03-10,12352.17,1242995.13,-1230642.96,45.2667,47.6,BORC,-25853.84,25853.84
320.01.0036,2026-02-14,6489.7,40511.91,-34022.21,44.6833,47.6,BORC,-714.75,714.75
320.01.0037,2026-07-12,82379.11,434288.77,-351909.66,47.6,47.6,BORC,-7393.06,7393.06
320.01.0038,2026-02-14,95141.58,669143.03,-574001.45,44.6833,47.6,BORC,-12058.85,12058.85
320.01.0039,2026-01-26,2109.33,128356.64,-126247.31,44.1,47.6,BORC,-2652.25,2652.25
320.01.0040,2025-12-23,1390370.34,297879.14,1092491.2,43.45,47.6,ALACAK,22951.5,22951.5
320.01.0041,2026-04-10,127705.35,796450.63,-668745.28,45.85,47.6,BORC,-14049.27,14049.27
320.01.0042,2026-06-16,18541.58,285573.36,-267031.78,47.0167,47.6,BORC,-5609.91,5609.91
320.01.0043,2025-12-26,70934.06,916908.68,-845974.62,43.45,47.6,BORC,-17772.58,17772.58
320.01.0044,2026-01-21,31772.34,510797.68,-479025.34,44.1,47.6,BORC,-10063.56,10063.56
320.01.0045,2026-03-05,1707075.96,56950.47,1650125.49,45.2667,47.6,ALACAK,34666.5,34666.5
320.01.0046,2026-07-29,10281.3,114925.43,-104644.13,47.6,47.6,BORC,-2198.41,2198.41
320.01.0047,2026-07-17,65376.71,309120.43,-243743.72,47.6,47.6,BORC,-5120.67,5120.67
320.01.0048,2026-01-25,42260.06,207479.58,-165219.52,44.1,47.6,BORC,-3471,3471
320.01.0049,2026-04-19,17384.44,169354.55,-151970.11,45.85,47.6,BORC,-3192.65,3192.65
320.01.0050,2026-01-22,135147.1,505391.91,-370244.81,44.1,47.6,BORC,-7778.25,7778.25
320.01.0051,2026-04-13,14019.62,93575.02,-79555.4,45.85,47.6,BORC,-1671.33,1671.33
320.01.0052,2026-06-18,23957.37,426595.23,-402637.86,47.0167,47.6,BORC,-8458.78,8458.78
320.01.0053,2026-06-02,8094.41,596375.26,-588280.85,47.0167,47.6,BORC,-12358.84,12358.84
320.01.0054,2026-01-19,417.3,24835.97,-24418.67,44.1,47.6,BORC,-513,513
320.01.0055,2026-04-09,8834.12,950896.29,-942062.17,45.85,47.6,BORC,-19791.22,19791.22
