STOK_KODU,CARI_KOD,FISNO,TARIH,MIKTAR1,MIKTAR2,NET_FIYAT,STHAR_GCKOD,STHAR_HTUR,DOLAR_KURU,STHAR_ACIKLAMA,EKALAN,EKALAN1,TUTAR_USD,ODE_GUN,YIL,AY,HAFTA
H00008,320.01.0009,IRS23700025,2023-02-02,500,0.5,37.5617,1,YERLİ,20.0167,Sevk irsaliyesi,H,Kalite onaylı,938.2591,60,2023,2,5
H00010,320.01.0012,IRS23700026,2023-02-01,10000,10,12.924,1,YERLİ,20.0167,Kısmi teslim,E,Şartlı kabul,6456.6087,45,2023,2,5
D00001,320.01.0001,IRS23700027,2023-03-21,5000,5000,18.7884,1,YERLİ,21.2333,Sevk irsaliyesi,H,Kalite onaylı,4424.277,60,2023,3,12
D00004,320.01.0001,IRS23700028,2023-02-02,5000,5000,36.5904,1,YERLİ,20.0167,İthalat dosyası,E,,9139.9681,0,2023,2,5
D00005,320.01.0023,IRS23700029,2023-04-08,2000,2000,170.3123,1,İTHAL,22.45,Kısmi teslim,E,Şartlı kabul,15172.588,90,2023,4,14
H00013,320.01.0002,IRS23700030,2023-01-27,500,500,49.3262,1,YERLİ,18.8,İthalat dosyası,H,,1311.867,45,2023,1,4
H00002,320.01.0002,IRS23700031,2023-01-26,500,0.5,11.5774,1,YERLİ,18.8,Mal kabul,E,Kalite onaylı,307.9096,90,2023,1,4
D00003,320.01.0002,IRS23700032,2023-02-03,10000,10000,182.6168,1,YERLİ,20.0167,Kısmi teslim,H,Kalite onaylı,91232.2211,45,2023,2,5
H00003,320.01.0007,IRS23700033,2023-01-19,5000,5,46.6939,1,YERLİ,18.8,Numune kabul,H,,12418.5904,30,2023,1,3
H00004,320.01.0007,IRS23700034,2023-04-17,120,0.12,43.3643,1,YERLİ,22.45,İthalat dosyası,H,Kalite onaylı,231.7914,60,2023,4,16
H00014,320.01.0008,IRS23700035,2023-02-15,120,0.12,19.4864,1,YERLİ,20.0167,Kısmi teslim,H,Kalite onaylı,116.8209,60,2023,2,7
D00003,320.01.0030,IRS23700036,2023-03-01,120,120,187.7887,1,YERLİ,21.2333,İthalat dosyası,E,Kalite onaylı,1061.2879,60,2023,3,9
H00006,320.01.0030,IRS23700037,2023-02-12,500,0.5,59.6507,1,YERLİ,20.0167,Kısmi teslim,H,Şartlı kabul,1490.0233,90,2023,2,6
H00008,320.01.0001,IRS23700038,2023-04-18,120,0.12,35.1009,1,YERLİ,22.45,Kısmi teslim,H,Kalite onaylı,187.6217,30,2023,4,16
D00004,320.01.0001,IRS23700039,2023-02-09,120,120,41.1467,1,YERLİ,20.0167,Numune kabul,H,Şartlı kabul,246.6742,45,2023,2,6
H00015,320.01.0001,IRS23700040,2023-04-22,120,0.12,23.3036,1,YERLİ,22.45,Kısmi teslim,H,Şartlı kabul,124.5627,0,2023,4,16
H00010,320.01.0003,IRS23700041,2023-02-07,120,0.12,14.3411,1,İTHAL,20.0167,Kısmi teslim,E,Şartlı kabul,85.9748,60,2023,2,6
H00016,320.01.0003,IRS23700042,2023-01-29,500,500,43.0899,1,İTHAL,18.8,İthalat dosyası,E,Kalite onaylı,1146.008,30,2023,1,4
H00015,320.01.0003,IRS23700043,2023-01-27,250,0.25,24.7604,1,İTHAL,18.8,İthalat dosyası,H,Şartlı kabul,329.2606,30,2023,1,4
D00009,320.01.0012,IRS23700044,2023-01-31,2000,2000,138.2844,1,YERLİ,18.8,Mal kabul,E,,14711.1064,30,2023,1,5
H00009,320.01.0001,IRS23700045,2023-03-21,500,0.5,49.5406,1,YERLİ,21.2333,İthalat dosyası,H,,1166.578,30,2023,3,12
D00004,320.01.0001,IRS23700046,2023-02-24,10000,10000,36.1748,1,YERLİ,20.0167,Kısmi teslim,H,Kalite onaylı,18072.3096,30,2023,2,8
H00002,320.01.0001,IRS23700047,2023-03-24,1000,1,12.263,1,YERLİ,21.2333,Sevk irsaliyesi,H,,577.5362,0,2023,3,12
H00010,320.01.0041,IRS23700048,2023-03-27,5000,5,11.5239,1,İTHAL,21.2333,Numune kabul,E,Kalite onaylı,2713.6385,30,2023,3,13
D00009,320.01.0006,IRS23700049,2023-02-20,250,250,147.6345,1,YERLİ,20.0167,Kısmi teslim,H,,1843.8916,45,2023,2,8
H00010,320.01.0050,IRS23700050,2023-02-06,1000,1,12.0005,1,YERLİ,20.0167,Kısmi teslim,H,Şartlı kabul,599.5244,30,2023,2,6
H00008,320.01.0050,IRS23700051,2023-03-06,10000,10,34.9763,1,YERLİ,21.2333,Numune kabul,E,Kalite onaylı,16472.3806,60,2023,3,10
H00011,320.01.0006,IRS23700052,2023-02-05,5000,5,20.4052,1,YERLİ,20.0167,Kısmi teslim,H,Şartlı kabul,5097.044,90,2023,2,5
H00008,320.01.0018,IRS23700053,2023-02-05,1000,1,31.4076,1,YERLİ,20.0167,İthalat dosyası,E,Kalite onaylı,1569.0698,60,2023,2,5
D00007,320.01.0018,IRS23700054,2023-03-28,120,120,42.4829,1,YERLİ,21.2333,İthalat dosyası,H,Kalite onaylı,240.0921,60,2023,3,13
D00005,320.01.0018,IRS23700055,2023-04-16,500,500,146.9333,1,YERLİ,22.45,Numune kabul,E,,3272.4566,60,2023,4,15
H00001,320.01.0029,IRS23700056,2023-03-19,10000,10,31.5595,1,YERLİ,21.2333,İthalat dosyası,H,,14863.2101,45,2023,3,11
H00009,320.01.0029,IRS23700057,2023-02-01,500,0.5,39.9846,1,YERLİ,20.0167,Sevk irsaliyesi,E,Kalite onaylı,998.781,30,2023,2,5
H00001,320.01.0032,IRS23700058,2023-02-05,120,0.12,30.8601,1,YERLİ,20.0167,Numune kabul,H,Kalite onaylı,185.0061,30,2023,2,5
D00012,320.01.0032,IRS23700059,2023-04-15,500,500,71.6122,1,YERLİ,22.45,Numune kabul,E,,1594.9265,90,2023,4,15
D00002,320.01.0032,IRS23700060,2023-04-28,10000,10000,32.8016,1,YERLİ,22.45,Kısmi teslim,H,,14610.9577,30,2023,4,17
H00003,320.01.0021,IRS23700061,2023-04-17,120,0.12,40.5635,1,YERLİ,22.45,İthalat dosyası,E,,216.8205,60,2023,4,16
H00011,320.01.0021,IRS23700062,2023-02-17,2000,2,20.7775,1,YERLİ,20.0167,Numune kabul,H,,2076.0165,30,2023,2,7
H00009,320.01.0019,IRS23700063,2023-02-03,120,0.12,42.9932,1,YERLİ,20.0167,Numune kabul,E,Şartlı kabul,257.744,90,2023,2,5
H00012,320.01.0019,IRS23700064,2023-02-22,5000,5000,18.0713,1,YERLİ,20.0167,İthalat dosyası,H,Şartlı kabul,4514.0558,30,2023,2,8
D00004,320.01.0003,IRS23700065,2023-03-12,2000,2000,41.3305,1,İTHAL,21.2333,Mal kabul,H,Şartlı kabul,3892.9888,0,2023,3,10
D00006,320.01.0014,IRS23700066,2023-02-05,120,120,169.899,1,YERLİ,20.0167,Kısmi teslim,E,,1018.5435,0,2023,2,5
H00002,320.01.0004,IRS23700067,2023-01-27,500,0.5,11.6328,1,YERLİ,18.8,Sevk irsaliyesi,E,Şartlı kabul,309.383,90,2023,1,4
H00013,320.01.0008,IRS23700069,2023-04-21,1000,1000,54.375,1,YERLİ,22.45,Sevk irsaliyesi,E,,2422.049,45,2023,4,16
H00011,320.01.0037,IRS23700070,2023-01-31,500,0.5,21.1149,1,İTHAL,18.8,Numune kabul,H,Şartlı kabul,561.5665,0,2023,1,5
D00003,320.01.0010,IRS23700071,2023-03-01,250,250,179.3394,1,YERLİ,21.2333,İthalat dosyası,E,Kalite onaylı,2111.5347,90,2023,3,9
H00016,320.01.0010,IRS23700072,2023-03-02,10000,10000,50.4162,1,YERLİ,21.2333,İthalat dosyası,H,Şartlı kabul,23743.9305,90,2023,3,9
D00003,320.01.0001,IRS23700073,2023-03-10,500,500,166.3733,1,YERLİ,21.2333,Sevk irsaliyesi,H,Şartlı kabul,3917.7448,90,2023,3,10
H00008,320.01.0001,IRS23700074,2023-02-11,500,0.5,33.0507,1,YERLİ,20.0167,Sevk irsaliyesi,E,,825.5781,30,2023,2,6
H00014,320.01.0001,IRS23700075,2023-03-19,10000,10,17.8226,1,YERLİ,21.2333,Kısmi teslim,H,,8393.7023,90,2023,3,11
D00010,320.01.0013,IRS23700076,2023-02-25,10000,10000,126.0217,1,YERLİ,20.0167,İthalat dosyası,H,Şartlı kabul,62958.2798,60,2023,2,8
H00007,320.01.0013,IRS23700077,2023-04-26,5000,5,28.026,1,YERLİ,22.45,Numune kabul,H,,6241.8708,90,2023,4,17
D00012,320.01.0007,IRS23700079,2023-02-24,120,120,69.2337,1,YERLİ,20.0167,Numune kabul,E,Kalite onaylı,415.0556,30,2023,2,8
H00010,320.01.0004,IRS23700080,2023-02-20,10000,10,11.8807,1,YERLİ,20.0167,Kısmi teslim,E,Kalite onaylı,5935.3939,90,2023,2,8
H00009,320.01.0004,IRS23700081,2023-04-28,5000,5,44.3418,1,YERLİ,22.45,Sevk irsaliyesi,H,Kalite onaylı,9875.6793,0,2023,4,17
H00007,320.01.0009,IRS23700083,2023-04-03,500,0.5,27.1819,1,YERLİ,22.45,Mal kabul,E,,605.3875,60,2023,4,14
D00012,320.01.0009,IRS23700084,2023-02-16,2000,2000,79.009,1,YERLİ,20.0167,Mal kabul,E,Şartlı kabul,7894.3083,45,2023,2,7
D00012,320.01.0001,IRS23700085,2023-04-07,10000,10000,79.1835,1,YERLİ,22.45,İthalat dosyası,H,,35271.0468,60,2023,4,14
H00009,320.01.0001,IRS23700086,2023-02-22,5000,5,48.032,1,YERLİ,20.0167,Mal kabul,H,,11997.9817,0,2023,2,8
H00012,320.01.0001,IRS23700087,2023-02-15,2000,2000,18.2824,1,YERLİ,20.0167,İthalat dosyası,H,Şartlı kabul,1826.7147,90,2023,2,7
D00010,320.01.0009,IRS23700088,2023-02-13,10000,10000,109.278,1,YERLİ,20.0167,İthalat dosyası,H,,54593.4145,30,2023,2,7
H00003,320.01.0024,IRS23700089,2023-03-21,500,0.5,39.3134,1,YERLİ,21.2333,Mal kabul,H,Kalite onaylı,925.7487,45,2023,3,12
D00009,320.01.0002,IRS23700090,2023-02-24,120,120,134.0655,1,YERLİ,20.0167,Mal kabul,E,Kalite onaylı,803.7219,0,2023,2,8
D00008,320.01.0017,IRS23700091,2023-02-12,2000,2000,164.1464,1,YERLİ,20.0167,Sevk irsaliyesi,H,,16400.9452,30,2023,2,6
H00014,320.01.0021,IRS23700092,2023-03-18,120,0.12,21.0062,1,YERLİ,21.2333,Sevk irsaliyesi,H,Şartlı kabul,118.7165,90,2023,3,11
D00008,320.01.0021,IRS23700093,2023-02-22,5000,5000,190.4827,1,YERLİ,20.0167,İthalat dosyası,H,Kalite onaylı,47580.9449,90,2023,2,8
H00007,320.01.0021,IRS23700094,2023-02-19,250,0.25,23.695,1,YERLİ,20.0167,İthalat dosyası,E,Şartlı kabul,295.9404,45,2023,2,7
D00011,320.01.0055,IRS23700095,2023-03-05,120,120,5.951,1,İTHAL,21.2333,Numune kabul,H,Şartlı kabul,33.6321,45,2023,3,9
D00009,320.01.0055,IRS23700096,2023-05-05,10000,10000,138.7703,1,İTHAL,23.6667,Numune kabul,H,,58635.2554,45,2023,5,18
H00014,320.01.0011,IRS23700097,2023-02-26,10000,10,21.3944,1,YERLİ,20.0167,Mal kabul,E,,10688.2753,60,2023,2,8
H00012,320.01.0011,IRS23700098,2023-02-08,2000,2000,15.9328,1,YERLİ,20.0167,Sevk irsaliyesi,E,Kalite onaylı,1591.9507,45,2023,2,6
D00001,320.01.0033,IRS23700101,2023-04-07,5000,5000,20.788,1,YERLİ,22.45,Sevk irsaliyesi,H,,4629.8441,90,2023,4,14
H00008,320.01.0001,IRS23700102,2023-03-29,250,0.25,41.2553,1,YERLİ,21.2333,Numune kabul,H,,485.7382,30,2023,3,13
H00011,320.01.0006,IRS23700103,2023-04-01,10000,10,24.3027,1,YERLİ,22.45,İthalat dosyası,E,Kalite onaylı,10825.2561,90,2023,4,13
H00008,320.01.0006,IRS23700104,2023-03-31,120,0.12,37.787,1,YERLİ,21.2333,Kısmi teslim,E,Kalite onaylı,213.5532,90,2023,3,13
H00010,320.01.0001,IRS23700105,2023-03-14,500,0.5,13.6687,1,YERLİ,21.2333,Numune kabul,E,Kalite onaylı,321.8694,0,2023,3,11
H00014,320.01.0008,IRS23700106,2023-04-04,2000,2,21.8311,1,YERLİ,22.45,Sevk irsaliyesi,H,,1944.8641,45,2023,4,14
H00015,320.01.0001,IRS23700107,2023-03-07,1000,1,23.4451,1,YERLİ,21.2333,Numune kabul,H,Kalite onaylı,1104.1666,0,2023,3,10
D00009,320.01.0001,IRS23700108,2023-05-02,2000,2000,159.9594,1,YERLİ,23.6667,İthalat dosyası,E,Şartlı kabul,13517.6767,0,2023,5,18
D00010,320.01.0023,IRS23700109,2023-02-17,250,250,118.081,1,İTHAL,20.0167,Sevk irsaliyesi,E,Kalite onaylı,1474.7811,60,2023,2,7
H00001,320.01.0003,IRS23700110,2023-03-15,10000,10,28.3863,1,İTHAL,21.2333,Sevk irsaliyesi,E,,13368.7651,30,2023,3,11
D00003,320.01.0003,IRS23700111,2023-02-15,250,250,162.226,1,İTHAL,20.0167,Sevk irsaliyesi,H,Kalite onaylı,2026.1332,45,2023,2,7
H00009,320.01.0003,IRS23700112,2023-02-27,250,0.25,44.5243,1,İTHAL,20.0167,Numune kabul,H,Kalite onaylı,556.0894,30,2023,2,9
H00001,320.01.0004,IRS23700113,2023-03-05,5000,5,34.9723,1,YERLİ,21.2333,Mal kabul,E,Kalite onaylı,8235.2484,0,2023,3,9
H00004,320.01.0024,IRS23700115,2023-03-01,250,0.25,42.9575,1,YERLİ,21.2333,Numune kabul,E,Şartlı kabul,505.7798,30,2023,3,9
H00009,320.01.0045,IRS23700116,2023-04-06,120,0.12,50.2375,1,YERLİ,22.45,Mal kabul,H,Şartlı kabul,268.5301,0,2023,4,14
H00015,320.01.0045,IRS23700117,2023-03-31,120,0.12,26.2465,1,YERLİ,21.2333,Sevk irsaliyesi,E,Şartlı kabul,148.3321,45,2023,3,13
D00003,320.01.0045,IRS23700118,2023-02-26,1000,1000,187.781,1,YERLİ,20.0167,İthalat dosyası,E,Şartlı kabul,9381.2167,45,2023,2,8
D00011,320.01.0042,IRS23700119,2023-03-07,120,120,5.274,1,YERLİ,21.2333,Mal kabul,E,Kalite onaylı,29.806,60,2023,3,10
D00007,320.01.0010,IRS23700120,2023-03-13,250,250,44.5792,1,YERLİ,21.2333,Mal kabul,H,,524.8737,45,2023,3,11
D00011,320.01.0003,IRS23700121,2023-04-15,5000,5000,5.8271,1,İTHAL,22.45,Numune kabul,E,Şartlı kabul,1297.7951,30,2023,4,15
D00011,320.01.0003,IRS23700122,2023-02-26,120,120,5.7541,1,İTHAL,20.0167,Kısmi teslim,H,Kalite onaylı,34.4958,30,2023,2,8
D00001,320.01.0006,IRS23700123,2023-02-17,10000,10000,22.5899,1,YERLİ,20.0167,Sevk irsaliyesi,E,Kalite onaylı,11285.5266,30,2023,2,7
D00012,320.01.0006,IRS23700124,2023-03-06,1000,1000,85.1641,1,YERLİ,21.2333,Numune kabul,E,,4010.8744,30,2023,3,10
H00013,320.01.0006,IRS23700125,2023-03-01,2000,2000,61.4678,1,YERLİ,21.2333,İthalat dosyası,H,Şartlı kabul,5789.7548,90,2023,3,9
D00007,320.01.0006,IRS23700126,2023-05-15,5000,5000,51.3248,1,YERLİ,23.6667,Numune kabul,H,Kalite onaylı,10843.2523,0,2023,5,20
D00005,320.01.0002,IRS23700127,2023-03-30,120,120,185.1603,1,YERLİ,21.2333,İthalat dosyası,E,,1046.4335,0,2023,3,13
H00005,320.01.0002,IRS23700128,2023-03-26,2000,2,32.7008,1,YERLİ,21.2333,Numune kabul,E,Şartlı kabul,3080.143,45,2023,3,12
D00012,320.01.0002,IRS23700129,2023-03-07,1000,1000,83.7254,1,YERLİ,21.2333,Kısmi teslim,E,Şartlı kabul,3943.1177,60,2023,3,10
H00006,320.01.0002,IRS23700130,2023-05-18,250,0.25,58.3269,1,YERLİ,23.6667,Kısmi teslim,E,Şartlı kabul,616.1284,90,2023,5,20
D00011,320.01.0020,IRS23700131,2023-03-12,5000,5000,5.5174,1,YERLİ,21.2333,Numune kabul,H,,1299.2328,30,2023,3,10
D00010,320.01.0023,IRS23700132,2023-03-11,250,250,110.0283,1,İTHAL,21.2333,Numune kabul,E,,1295.4687,60,2023,3,10
H00015,320.01.0048,IRS23700133,2023-02-26,10000,10,26.4709,1,YERLİ,20.0167,Numune kabul,E,,13224.4076,90,2023,2,8
H00001,320.01.0031,IRS23700134,2023-05-13,1000,1,33.6757,1,YERLİ,23.6667,Numune kabul,E,,1422.9149,45,2023,5,19
H00012,320.01.0031,IRS23700135,2023-05-18,5000,5000,20.9058,1,YERLİ,23.6667,Mal kabul,H,Kalite onaylı,4416.7121,0,2023,5,20
H00007,320.01.0008,IRS23700136,2023-04-09,10000,10,27.4394,1,YERLİ,22.45,Kısmi teslim,H,Şartlı kabul,12222.4499,30,2023,4,14
H00003,320.01.0008,IRS23700137,2023-02-24,500,0.5,44.039,1,YERLİ,20.0167,Mal kabul,H,Şartlı kabul,1100.0565,90,2023,2,8
D00009,320.01.0007,IRS23700138,2023-02-19,500,500,147.5636,1,YERLİ,20.0167,Numune kabul,H,,3686.0122,90,2023,2,7
H00001,320.01.0007,IRS23700139,2023-02-28,2000,2,33.8408,1,YERLİ,20.0167,Sevk irsaliyesi,E,Şartlı kabul,3381.2567,45,2023,2,9
H00007,320.01.0002,IRS23700140,2023-03-27,5000,5,26.9834,1,YERLİ,21.2333,Numune kabul,E,Şartlı kabul,6354.0288,90,2023,3,13
H00009,320.01.0002,IRS23700141,2023-03-02,500,0.5,48.6186,1,YERLİ,21.2333,Numune kabul,E,Kalite onaylı,1144.8668,60,2023,3,9
H00011,320.01.0002,IRS23700142,2023-03-06,1000,1,24.4658,1,YERLİ,21.2333,Numune kabul,H,Şartlı kabul,1152.2373,0,2023,3,10
H00014,320.01.0002,IRS23700143,2023-03-17,1000,1,19.1122,1,YERLİ,21.2333,Numune kabul,E,Şartlı kabul,900.105,45,2023,3,11
D00010,320.01.0002,IRS23700144,2023-03-10,120,120,130.928,1,YERLİ,21.2333,Mal kabul,H,Kalite onaylı,739.9396,30,2023,3,10
H00016,320.01.0052,IRS23700145,2023-05-13,10000,10000,55.9719,1,YERLİ,23.6667,Mal kabul,H,,23650.0653,60,2023,5,19
D00005,320.01.0001,IRS23700146,2023-03-23,2000,2000,160.1454,1,YERLİ,21.2333,Sevk irsaliyesi,H,Kalite onaylı,15084.3628,0,2023,3,12
H00004,320.01.0001,IRS23700147,2023-04-11,250,0.25,46.9514,1,YERLİ,22.45,İthalat dosyası,H,Kalite onaylı,522.8441,45,2023,4,15
D00002,320.01.0001,IRS23700148,2023-03-26,10000,10000,39.8969,1,YERLİ,21.2333,İthalat dosyası,E,Şartlı kabul,18789.7783,30,2023,3,12
D00001,320.01.0019,IRS23700149,2023-03-21,10000,10000,21.157,1,YERLİ,21.2333,Mal kabul,H,,9964.0659,60,2023,3,12
H00007,320.01.0019,IRS23700150,2023-03-06,250,0.25,29.1894,1,YERLİ,21.2333,Mal kabul,E,Şartlı kabul,343.6748,0,2023,3,10
D00006,320.01.0046,IRS23700151,2023-02-21,120,120,175.1947,1,YERLİ,20.0167,İthalat dosyası,E,,1050.2912,30,2023,2,8
H00009,320.01.0023,IRS23700152,2023-03-07,1000,1,51.3899,1,İTHAL,21.2333,Mal kabul,E,,2420.2503,60,2023,3,10
H00016,320.01.0002,IRS23700153,2023-03-08,2000,2000,48.7489,1,YERLİ,21.2333,İthalat dosyası,H,Şartlı kabul,4591.7403,30,2023,3,10
D00006,320.01.0001,IRS23700155,2023-03-14,2000,2000,201.6963,1,YERLİ,21.2333,Mal kabul,E,,18998.1115,30,2023,3,11
D00009,320.01.0001,IRS23700156,2023-05-20,5000,5000,162.0851,1,YERLİ,23.6667,Sevk irsaliyesi,H,Kalite onaylı,34243.2828,0,2023,5,20
H00004,320.01.0006,IRS23700157,2023-03-02,2000,2,43.7163,1,YERLİ,21.2333,Numune kabul,E,Şartlı kabul,4117.7113,45,2023,3,9
D00005,320.01.0006,IRS23700158,2023-03-11,120,120,183.8106,1,YERLİ,21.2333,Sevk irsaliyesi,H,Kalite onaylı,1038.8056,90,2023,3,10
D00006,320.01.0006,IRS23700159,2023-04-05,1000,1000,176.6785,1,YERLİ,22.45,Sevk irsaliyesi,H,Kalite onaylı,7869.8664,0,2023,4,14
H00015,320.01.0001,IRS23700160,2023-03-16,5000,5,24.7254,1,YERLİ,21.2333,Numune kabul,E,Kalite onaylı,5822.3168,45,2023,3,11
H00009,320.01.0001,IRS23700161,2023-03-27,2000,2,45.8609,1,YERLİ,21.2333,İthalat dosyası,E,Şartlı kabul,4319.7148,30,2023,3,13
H00015,320.01.0005,IRS23700163,2023-04-26,1000,1,26.9807,1,YERLİ,22.45,Numune kabul,H,Şartlı kabul,1201.8129,45,2023,4,17
H00008,320.01.0005,IRS23700164,2023-03-10,120,0.12,40.3327,1,YERLİ,21.2333,İthalat dosyası,H,,227.9403,90,2023,3,10
H00007,320.01.0010,IRS23700165,2023-02-28,10000,10,27.1757,1,YERLİ,20.0167,Numune kabul,E,Kalite onaylı,13576.5136,45,2023,2,9
H00004,320.01.0010,IRS23700166,2023-03-31,5000,5,47.5848,1,YERLİ,21.2333,Kısmi teslim,E,Kalite onaylı,11205.2295,30,2023,3,13
H00015,320.01.0020,IRS23700167,2023-03-18,250,0.25,27.604,1,YERLİ,21.2333,Mal kabul,E,Şartlı kabul,325.0084,45,2023,3,11
D00009,320.01.0020,IRS23700168,2023-04-24,5000,5000,161.0509,1,YERLİ,22.45,Mal kabul,H,Şartlı kabul,35868.7973,45,2023,4,17
H00011,320.01.0011,IRS23700170,2023-03-18,2000,2,22.1411,1,YERLİ,21.2333,Numune kabul,E,Şartlı kabul,2085.5072,45,2023,3,11
H00014,320.01.0008,IRS23700171,2023-03-23,120,0.12,23.5845,1,YERLİ,21.2333,Kısmi teslim,H,,133.2878,30,2023,3,12
D00002,320.01.0008,IRS23700172,2023-03-28,250,250,38.9358,1,YERLİ,21.2333,Mal kabul,H,,458.4285,0,2023,3,13
H00001,320.01.0004,IRS23700173,2023-05-02,1000,1,34.7498,1,YERLİ,23.6667,Mal kabul,H,,1468.2993,90,2023,5,18
D00002,320.01.0008,IRS23700174,2023-03-06,5000,5000,39.8828,1,YERLİ,21.2333,Mal kabul,H,Şartlı kabul,9391.5689,0,2023,3,10
H00016,320.01.0008,IRS23700175,2023-04-08,2000,2000,46.4437,1,YERLİ,22.45,Kısmi teslim,E,Kalite onaylı,4137.5234,45,2023,4,14
D00005,320.01.0008,IRS23700176,2023-03-11,500,500,191.1857,1,YERLİ,21.2333,Kısmi teslim,H,Kalite onaylı,4502.0251,45,2023,3,10
D00004,320.01.0001,IRS23700177,2023-06-01,10000,10000,41.8843,1,YERLİ,24.8833,İthalat dosyası,H,,16832.2931,90,2023,6,22
H00004,320.01.0001,IRS23700178,2023-04-17,500,0.5,39.3014,1,YERLİ,22.45,Kısmi teslim,H,,875.3096,90,2023,4,16
H00007,320.01.0001,IRS23700179,2023-03-27,2000,2,30.9827,1,YERLİ,21.2333,İthalat dosyası,H,Kalite onaylı,2918.3123,0,2023,3,13
D00009,320.01.0003,IRS23700180,2023-03-27,1000,1000,161.6453,1,İTHAL,21.2333,İthalat dosyası,H,,7612.8204,0,2023,3,13
H00008,320.01.0003,IRS23700181,2023-03-06,10000,10,41.3917,1,İTHAL,21.2333,Sevk irsaliyesi,E,,19493.7669,30,2023,3,10
