CARI_KOD,CARI_AD,ULKE_KODU,ULKEADI,GRUP_KODU,SEKTOR,RAPOR_KODU1,BOLGE,RAPOR_KODU2,SEKTOR2,RAPOR_KODU3,CARI_TEMSILCI,DEPARTMAN,CARI_TIPI,MUSTERI_YERI
120.01.0011,Akkavak Şekerleme A.Ş.,TR,TÜRKİYE,MG1,Boya-Kimya,R1-3,İç Anadolu,R2-4,Toptancı,R3-2,Bahar Ö.,YURTICI,MUSTERI,Ordu
120.01.0012,Dörtyollu Kimya Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Boya-Kimya,R1-4,Güneydoğu,R2-2,Toptancı,R3-1,Cem A.,YURTICI,MUSTERI,Kocaeli
120.01.0013,Kavaklıdere Bisküvi Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Gıda,R1-7,Marmara,R2-3,İhracatçı,R3-3,Bahar Ö.,YURTICI,MUSTERI,Kocaeli
120.01.0014,Kavaklıdere Zeytin Ltd. Şti.,TR,TÜRKİYE,MG1,Kozmetik,R1-6,Karadeniz,R2-3,Marka Sahibi,R3-3,Kaan M.,BASKILI,MUSTERI,Kayseri
120.01.0015,Bozkırlı Çay San. Tic. Ltd. Şti.,TR,TÜRKİYE,MG1,Zeytin-Zeytinyağı,R1-2,Ege,R2-1,İhracatçı,R3-1,Selim K.,YURTICI,MUSTERI,Samsun
120.01.0016,Sakarcan Süt San. Tic. Ltd. Şti.,TR,TÜRKİYE,MG1,Baharat,R1-5,İç Anadolu,R2-6,İhracatçı,R3-1,Selim K.,YURTICI,MUSTERI,Şanlıurfa
120.01.0017,Ovacıklı Gıda Koll. Şti.,TR,TÜRKİYE,MG1,Baharat,R1-5,İç Anadolu,R2-3,Fason Üretici,R3-4,Nurhan T.,YURTICI,MUSTERI,Kocaeli
120.01.0018,Brightcan S.p.A.,NL,HOLLANDA,MG2,Hediyelik,R1-1,Avrupa,R2-3,Zincir Market,R3-2,Elif S.,YURTDISI,MUSTERI,Hollanda
120.01.0019,Bozkırlı Şekerleme Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Süt Ürünleri,R1-5,Ege,R2-4,Toptancı,R3-3,Selim K.,YURTICI,MUSTERI,Adana
120.01.0020,Meridian Trading B.V.,DK,DANİMARKA,MG2,Boya-Kimya,R1-6,Avrupa,R2-1,Toptancı,R3-3,Deniz Y.,YURTDISI,MUSTERI,Dani̇marka
120.01.0021,Pınarbaşlı Makine Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Boya-Kimya,R1-5,Doğu Anadolu,R2-5,İhracatçı,R3-1,Bahar Ö.,YURTICI,MUSTERI,İstanbul
120.01.0022,Yaylalı Bal Ltd. Şti.,TR,TÜRKİYE,MG1,Gıda,R1-1,Doğu Anadolu,R2-3,İhracatçı,R3-3,Cem A.,YURTICI,MUSTERI,Konya
120.01.0023,Yıldızcan Ambalaj Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Gıda,R1-5,Marmara,R2-6,Marka Sahibi,R3-3,Cem A.,YURTICI,MUSTERI,İstanbul
120.01.0024,Narlıcan Çay San. Tic. Ltd. Şti.,TR,TÜRKİYE,MG1,Gıda,R1-1,Akdeniz,R2-3,Marka Sahibi,R3-2,Cem A.,YURTICI,MUSTERI,Manisa
120.01.0025,Lodoslu Süt A.Ş.,TR,TÜRKİYE,MG1,Zeytin-Zeytinyağı,R1-8,İç Anadolu,R2-5,Marka Sahibi,R3-1,Bahar Ö.,YURTICI,MUSTERI,Trabzon
120.01.0026,Aurelia S.p.A.,IQ,IRAK,MG2,Gıda,R1-5,Ortadoğu,R2-4,Marka Sahibi,R3-3,Elif S.,YURTDISI,MUSTERI,Irak
120.01.0027,Fjordholm Ltd.,NL,HOLLANDA,MG2,Endüstriyel,R1-9,Avrupa,R2-6,İhracatçı,R3-3,Deniz Y.,YURTDISI,MUSTERI,Hollanda
120.01.0028,Toprakçı Kimya Koll. Şti.,TR,TÜRKİYE,MG1,Hediyelik,R1-9,Doğu Anadolu,R2-3,Zincir Market,R3-4,Selim K.,YURTICI,MUSTERI,Manisa
120.01.0029,Jalezade Reçel Ltd. Şti.,TR,TÜRKİYE,MG1,Baharat,R1-1,Doğu Anadolu,R2-6,İhracatçı,R3-1,Kaan M.,BASKILI,MUSTERI,Gaziantep
120.01.0030,Marmarist Reçel San. Tic. Ltd. Şti.,TR,TÜRKİYE,MG1,Boya-Kimya,R1-3,Karadeniz,R2-5,İhracatçı,R3-2,Cem A.,YURTICI,MUSTERI,Ankara
120.01.0031,Cevizli Endüstri San. ve Tic. A.Ş.,TR,TÜRKİYE,MG1,Boya-Kimya,R1-7,Akdeniz,R2-5,İhracatçı,R3-4,Pelin R.,BASKILI,MUSTERI,Aydın
120.01.0032,Zümrütlü Kozmetik Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Süt Ürünleri,R1-2,Karadeniz,R2-2,Zincir Market,R3-2,Cem A.,YURTICI,MUSTERI,Kayseri
120.01.0033,Alaçatı Süt Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Gıda,R1-5,Güneydoğu,R2-2,Toptancı,R3-2,Pelin R.,BASKILI,MUSTERI,Mersin
120.01.0034,Gümüşdere Çay Ltd. Şti.,TR,TÜRKİYE,MG1,Süt Ürünleri,R1-8,Marmara,R2-4,Toptancı,R3-3,Bahar Ö.,YURTICI,MUSTERI,Kayseri
120.01.0035,Marmarist Kahve A.Ş.,TR,TÜRKİYE,MG1,Hediyelik,R1-4,Karadeniz,R2-5,İhracatçı,R3-4,Selim K.,YURTICI,MUSTERI,Trabzon
120.01.0036,Ünlüoğlu Reçel Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Bal-Reçel,R1-3,Akdeniz,R2-3,Toptancı,R3-3,Bahar Ö.,YURTICI,MUSTERI,İstanbul
120.01.0037,Terravita A/S,GB,İNGİLTERE,MG2,Zeytin-Zeytinyağı,R1-4,Avrupa,R2-6,Toptancı,R3-3,Deniz Y.,YURTDISI,MUSTERI,İngi̇ltere
120.01.0038,Narlıcan Makine San. Tic. Ltd. Şti.,TR,TÜRKİYE,MG1,Baharat,R1-1,Marmara,R2-1,İhracatçı,R3-4,Selim K.,YURTICI,MUSTERI,Trabzon
120.01.0039,Narlıcan Kozmetik Koll. Şti.,TR,TÜRKİYE,MG1,Zeytin-Zeytinyağı,R1-9,Karadeniz,R2-6,İhracatçı,R3-4,Bahar Ö.,YURTICI,MUSTERI,Gaziantep
120.01.0040,Narlıcan Makine Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Gıda,R1-4,Marmara,R2-4,Zincir Market,R3-1,Selim K.,YURTICI,MUSTERI,Şanlıurfa
120.01.0041,Vişneli Reçel San. ve Tic. A.Ş.,TR,TÜRKİYE,MG1,Zeytin-Zeytinyağı,R1-7,Doğu Anadolu,R2-6,Zincir Market,R3-2,Selim K.,YURTICI,MUSTERI,Eskişehir
120.01.0042,Ferahlı Ambalaj Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Hediyelik,R1-3,İç Anadolu,R2-5,Toptancı,R3-2,Bahar Ö.,YURTICI,MUSTERI,Balıkesir
120.01.0043,Fjordholm Trading B.V.,FR,FRANSA,MG2,Gıda,R1-1,Avrupa,R2-4,İhracatçı,R3-4,Deniz Y.,YURTDISI,MUSTERI,Fransa
120.01.0044,Nilüferli Ambalaj A.Ş.,TR,TÜRKİYE,MG1,Zeytin-Zeytinyağı,R1-5,Doğu Anadolu,R2-2,Fason Üretici,R3-2,Bahar Ö.,YURTICI,MUSTERI,Şanlıurfa
120.01.0045,Orhanlı Zeytin San. ve Tic. A.Ş.,TR,TÜRKİYE,MG1,Zeytin-Zeytinyağı,R1-7,Ege,R2-3,Marka Sahibi,R3-4,Selim K.,YURTICI,MUSTERI,Ordu
120.01.0046,Nilüferli Makine Ltd. Şti.,TR,TÜRKİYE,MG1,Boya-Kimya,R1-5,Ege,R2-5,Toptancı,R3-1,Cem A.,YURTICI,MUSTERI,Ankara
120.01.0047,Toprakçı Ambalaj Ltd. Şti.,TR,TÜRKİYE,MG1,Endüstriyel,R1-7,Ege,R2-5,Marka Sahibi,R3-2,Selim K.,YURTICI,MUSTERI,Tekirdağ
120.01.0048,Zeytinburcu Konserve Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Zeytin-Zeytinyağı,R1-9,İç Anadolu,R2-1,Fason Üretici,R3-4,Nurhan T.,YURTICI,MUSTERI,Manisa
120.01.0049,Yaylalı Süt San. Tic. Ltd. Şti.,TR,TÜRKİYE,MG1,Gıda,R1-8,Doğu Anadolu,R2-4,İhracatçı,R3-4,Cem A.,YURTICI,MUSTERI,Bursa
120.01.0050,Çınaraltı Tarım A.Ş.,TR,TÜRKİYE,MG1,Hediyelik,R1-1,Marmara,R2-6,Zincir Market,R3-4,Nurhan T.,YURTICI,MUSTERI,Bursa
120.01.0051,Gümüşdere Kozmetik Koll. Şti.,TR,TÜRKİYE,MG1,Hediyelik,R1-8,Güneydoğu,R2-2,Marka Sahibi,R3-3,Bahar Ö.,YURTICI,MUSTERI,Trabzon
120.01.0052,Efelik Şekerleme Koll. Şti.,TR,TÜRKİYE,MG1,Zeytin-Zeytinyağı,R1-9,Karadeniz,R2-5,İhracatçı,R3-1,Bahar Ö.,YURTICI,MUSTERI,İzmir
120.01.0053,Ünlüoğlu Çay A.Ş.,TR,TÜRKİYE,MG1,Kozmetik,R1-5,Karadeniz,R2-4,Zincir Market,R3-1,Bahar Ö.,YURTICI,MUSTERI,İstanbul
120.01.0054,Jalezade Salça Koll. Şti.,TR,TÜRKİYE,MG1,Süt Ürünleri,R1-5,Doğu Anadolu,R2-4,Toptancı,R3-1,Cem A.,YURTICI,MUSTERI,Eskişehir
120.01.0055,Brightcan Foods GmbH,PL,POLONYA,MG2,Boya-Kimya,R1-9,Avrupa,R2-4,Toptancı,R3-2,Elif S.,YURTDISI,MUSTERI,Polonya
120.01.0056,Mercanlı Konserve San. Tic. Ltd. Şti.,TR,TÜRKİYE,MG1,Zeytin-Zeytinyağı,R1-5,İç Anadolu,R2-2,Zincir Market,R3-3,Nurhan T.,YURTICI,MUSTERI,Mersin
120.01.0057,Umutlu Boya Ltd. Şti.,TR,TÜRKİYE,MG1,Bal-Reçel,R1-3,Karadeniz,R2-4,Marka Sahibi,R3-1,Bahar Ö.,YURTICI,MUSTERI,Bursa
120.01.0058,Orhanlı Şekerleme Koll. Şti.,TR,TÜRKİYE,MG1,Boya-Kimya,R1-9,Akdeniz,R2-2,Marka Sahibi,R3-2,Bahar Ö.,YURTICI,MUSTERI,Tekirdağ
120.01.0059,Brightcan A/S,SA,SUUDİ ARABİSTAN,MG2,Süt Ürünleri,R1-5,Ortadoğu,R2-4,Zincir Market,R3-4,Deniz Y.,YURTDISI,MUSTERI,Suudi̇ Arabi̇stan
120.01.0060,Pınarbaşlı Salça San. ve Tic. A.Ş.,TR,TÜRKİYE,MG1,Zeytin-Zeytinyağı,R1-2,Ege,R2-6,Fason Üretici,R3-2,Bahar Ö.,YURTICI,MUSTERI,Ankara
120.01.0061,Narlıcan Konserve A.Ş.,TR,TÜRKİYE,MG1,Hediyelik,R1-5,Ege,R2-4,Zincir Market,R3-2,Bahar Ö.,YURTICI,MUSTERI,Şanlıurfa
120.01.0062,Jalezade Bisküvi Ltd. Şti.,TR,TÜRKİYE,MG1,Endüstriyel,R1-4,Doğu Anadolu,R2-2,İhracatçı,R3-1,Selim K.,YURTICI,MUSTERI,Aydın
120.01.0063,Umutlu Kozmetik San. ve Tic. A.Ş.,TR,TÜRKİYE,MG1,Hediyelik,R1-3,İç Anadolu,R2-6,Fason Üretici,R3-1,Kaan M.,BASKILI,MUSTERI,Aydın
120.01.0064,Orhanlı Kahve Koll. Şti.,TR,TÜRKİYE,MG1,Bal-Reçel,R1-1,Marmara,R2-4,Toptancı,R3-3,Nurhan T.,YURTICI,MUSTERI,Eskişehir
120.01.0065,Ovacıklı Tarım San. ve Tic. A.Ş.,TR,TÜRKİYE,MG1,Baharat,R1-3,Karadeniz,R2-4,Fason Üretici,R3-1,Nurhan T.,YURTICI,MUSTERI,Ordu
120.01.0066,Dörtyollu Kahve San. ve Tic. A.Ş.,TR,TÜRKİYE,MG1,Hediyelik,R1-8,Güneydoğu,R2-5,Fason Üretici,R3-4,Cem A.,YURTICI,MUSTERI,Konya
120.01.0067,Poyrazlı Boya Koll. Şti.,TR,TÜRKİYE,MG1,Bal-Reçel,R1-2,Akdeniz,R2-6,Marka Sahibi,R3-2,Cem A.,YURTICI,MUSTERI,Samsun
120.01.0068,Vişneli Kimya A.Ş.,TR,TÜRKİYE,MG1,Gıda,R1-7,Karadeniz,R2-1,Toptancı,R3-1,Selim K.,YURTICI,MUSTERI,Balıkesir
120.01.0069,Gümüşdere Bisküvi San. Tic. Ltd. Şti.,TR,TÜRKİYE,MG1,Zeytin-Zeytinyağı,R1-9,İç Anadolu,R2-5,Toptancı,R3-3,Bahar Ö.,YURTICI,MUSTERI,Ankara
120.01.0070,Pınarbaşlı Kahve A.Ş.,TR,TÜRKİYE,MG1,Bal-Reçel,R1-6,İç Anadolu,R2-1,Toptancı,R3-1,Kaan M.,BASKILI,MUSTERI,İzmir
120.01.0071,Alaçatı Reçel San. ve Tic. A.Ş.,TR,TÜRKİYE,MG1,Hediyelik,R1-7,Ege,R2-4,İhracatçı,R3-2,Kaan M.,BASKILI,MUSTERI,İstanbul
120.01.0072,Aurelia Oy,NL,HOLLANDA,MG2,Bal-Reçel,R1-2,Avrupa,R2-1,Marka Sahibi,R3-3,Deniz Y.,YURTDISI,MUSTERI,Hollanda
120.01.0073,Bahçelik Salça A.Ş.,TR,TÜRKİYE,MG1,Gıda,R1-5,İç Anadolu,R2-3,Marka Sahibi,R3-2,Selim K.,YURTICI,MUSTERI,Kocaeli
120.01.0074,Hisarlı Zeytin A.Ş.,TR,TÜRKİYE,MG1,Hediyelik,R1-7,Ege,R2-1,Zincir Market,R3-1,Bahar Ö.,YURTICI,MUSTERI,Antalya
120.01.0075,Mercanlı Reçel Koll. Şti.,TR,TÜRKİYE,MG1,Kozmetik,R1-1,Doğu Anadolu,R2-2,İhracatçı,R3-4,Nurhan T.,YURTICI,MUSTERI,Eskişehir
120.01.0076,Poyrazlı Zeytin Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Bal-Reçel,R1-2,Karadeniz,R2-5,Marka Sahibi,R3-2,Kaan M.,BASKILI,MUSTERI,Gaziantep
120.01.0077,Vişneli Endüstri Ltd. Şti.,TR,TÜRKİYE,MG1,Bal-Reçel,R1-6,Güneydoğu,R2-4,İhracatçı,R3-2,Bahar Ö.,YURTICI,MUSTERI,Samsun
120.01.0078,Ünlüoğlu Gıda Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Endüstriyel,R1-2,Karadeniz,R2-4,Toptancı,R3-1,Cem A.,YURTICI,MUSTERI,Ordu
120.01.0079,Akkavak Süt A.Ş.,TR,TÜRKİYE,MG1,Endüstriyel,R1-5,Akdeniz,R2-1,Toptancı,R3-3,Kaan M.,BASKILI,MUSTERI,Bursa
120.01.0080,Casa Verde S.p.A.,DK,DANİMARKA,MG2,Baharat,R1-3,Avrupa,R2-4,İhracatçı,R3-1,Deniz Y.,YURTDISI,MUSTERI,Dani̇marka
120.01.0081,Alaçatı Endüstri Ltd. Şti.,TR,TÜRKİYE,MG1,Baharat,R1-7,Akdeniz,R2-2,Marka Sahibi,R3-3,Cem A.,YURTICI,MUSTERI,Manisa
120.01.0082,Yaylalı Kozmetik Ltd. Şti.,TR,TÜRKİYE,MG1,Endüstriyel,R1-6,Karadeniz,R2-4,Zincir Market,R3-1,Selim K.,YURTICI,MUSTERI,Eskişehir
120.01.0083,Bozkırlı Süt San. Tic. Ltd. Şti.,TR,TÜRKİYE,MG1,Boya-Kimya,R1-6,Akdeniz,R2-3,Zincir Market,R3-1,Selim K.,YURTICI,MUSTERI,Ankara
120.01.0084,Bozkırlı Endüstri San. ve Tic. A.Ş.,TR,TÜRKİYE,MG1,Bal-Reçel,R1-5,Doğu Anadolu,R2-2,Fason Üretici,R3-4,Nurhan T.,YURTICI,MUSTERI,Samsun
120.01.0085,Meridian Foods GmbH,NL,HOLLANDA,MG2,Gıda,R1-7,Avrupa,R2-1,Zincir Market,R3-4,Deniz Y.,YURTDISI,MUSTERI,Hollanda
120.01.0086,Çınaraltı Kozmetik Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Kozmetik,R1-1,Marmara,R2-4,Marka Sahibi,R3-3,Nurhan T.,YURTICI,MUSTERI,Şanlıurfa
120.01.0087,Ardıçlı Süt Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Boya-Kimya,R1-2,Akdeniz,R2-2,Marka Sahibi,R3-1,Nurhan T.,YURTICI,MUSTERI,Tekirdağ
120.01.0088,Sarıçam Reçel Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Endüstriyel,R1-1,Ege,R2-3,Zincir Market,R3-2,Selim K.,YURTICI,MUSTERI,Aydın
120.01.0089,Rüzgarlı Çay Koll. Şti.,TR,TÜRKİYE,MG1,Kozmetik,R1-6,Marmara,R2-5,Zincir Market,R3-2,Kaan M.,BASKILI,MUSTERI,Balıkesir
120.01.0090,Vantel Trading B.V.,SA,SUUDİ ARABİSTAN,MG2,Bal-Reçel,R1-1,Ortadoğu,R2-3,Toptancı,R3-3,Elif S.,YURTDISI,MUSTERI,Suudi̇ Arabi̇stan
120.01.0091,Yaylalı Şekerleme Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Hediyelik,R1-3,Doğu Anadolu,R2-6,Zincir Market,R3-2,Kaan M.,BASKILI,MUSTERI,Kayseri
120.01.0092,Lodoslu Boya Koll. Şti.,TR,TÜRKİYE,MG1,Kozmetik,R1-7,Doğu Anadolu,R2-5,Zincir Market,R3-2,Cem A.,YURTICI,MUSTERI,Denizli
120.01.0093,Larkspur Ltd.,SE,İSVEÇ,MG2,Boya-Kimya,R1-4,Avrupa,R2-4,İhracatçı,R3-3,Elif S.,YURTDISI,MUSTERI,İsveç
120.01.0094,Yaylalı Konserve San. ve Tic. A.Ş.,TR,TÜRKİYE,MG1,Zeytin-Zeytinyağı,R1-6,Ege,R2-4,Zincir Market,R3-2,Cem A.,YURTICI,MUSTERI,Adana
120.01.0095,Efelik Turşu Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Süt Ürünleri,R1-3,Ege,R2-1,Zincir Market,R3-1,Selim K.,YURTICI,MUSTERI,Antalya
120.01.0096,Orionis S.p.A.,DK,DANİMARKA,MG2,Hediyelik,R1-4,Avrupa,R2-2,Toptancı,R3-4,Deniz Y.,YURTDISI,MUSTERI,Dani̇marka
120.01.0097,Denizcan Ambalaj Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Baharat,R1-2,Karadeniz,R2-4,Toptancı,R3-4,Nurhan T.,YURTICI,MUSTERI,Ordu
120.01.0098,Terravita Trading B.V.,AE,BAE,MG2,Gıda,R1-5,Ortadoğu,R2-2,İhracatçı,R3-4,Deniz Y.,YURTDISI,MUSTERI,Bae
120.01.0099,Orhanlı Salça A.Ş.,TR,TÜRKİYE,MG1,Süt Ürünleri,R1-2,Akdeniz,R2-2,Marka Sahibi,R3-3,Selim K.,YURTICI,MUSTERI,Ankara
120.01.0100,Pınarbaşlı Boya San. ve Tic. A.Ş.,TR,TÜRKİYE,MG1,Zeytin-Zeytinyağı,R1-5,İç Anadolu,R2-3,Fason Üretici,R3-1,Nurhan T.,YURTICI,MUSTERI,Trabzon
120.01.0101,Yaylalı Konserve Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Hediyelik,R1-3,Ege,R2-4,Toptancı,R3-3,Selim K.,YURTICI,MUSTERI,Adana
120.01.0102,Cumbalı Zeytin Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Süt Ürünleri,R1-1,İç Anadolu,R2-4,Toptancı,R3-1,Nurhan T.,YURTICI,MUSTERI,Balıkesir
120.01.0103,Ardıçlı Reçel San. Tic. Ltd. Şti.,TR,TÜRKİYE,MG1,Baharat,R1-6,İç Anadolu,R2-4,Zincir Market,R3-2,Selim K.,YURTICI,MUSTERI,Ankara
120.01.0104,Ovacıklı Tarım Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Bal-Reçel,R1-9,İç Anadolu,R2-5,Toptancı,R3-4,Cem A.,YURTICI,MUSTERI,Antalya
120.01.0105,Orhanlı Zeytin Ltd. Şti.,TR,TÜRKİYE,MG1,Hediyelik,R1-2,Karadeniz,R2-3,İhracatçı,R3-1,Selim K.,YURTICI,MUSTERI,Ordu
120.01.0106,Cevizli Ambalaj Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Kozmetik,R1-9,İç Anadolu,R2-5,Marka Sahibi,R3-4,Nurhan T.,YURTICI,MUSTERI,Eskişehir
120.01.0107,Poyrazlı Konserve San. Tic. Ltd. Şti.,TR,TÜRKİYE,MG1,Bal-Reçel,R1-3,Ege,R2-6,İhracatçı,R3-1,Bahar Ö.,YURTICI,MUSTERI,Tekirdağ
120.01.0108,Lodoslu Turşu San. Tic. Ltd. Şti.,TR,TÜRKİYE,MG1,Süt Ürünleri,R1-1,Doğu Anadolu,R2-6,Zincir Market,R3-4,Nurhan T.,YURTICI,MUSTERI,Ordu
120.01.0109,Vantel A/S,AE,BAE,MG2,Baharat,R1-9,Ortadoğu,R2-4,Fason Üretici,R3-1,Deniz Y.,YURTDISI,MUSTERI,Bae
120.01.0110,Stellamar Trading B.V.,PL,POLONYA,MG2,Süt Ürünleri,R1-8,Avrupa,R2-2,İhracatçı,R3-3,Elif S.,YURTDISI,MUSTERI,Polonya
120.01.0111,Mercanlı Gıda Koll. Şti.,TR,TÜRKİYE,MG1,Gıda,R1-6,Akdeniz,R2-5,Fason Üretici,R3-1,Kaan M.,BASKILI,MUSTERI,Kayseri
120.01.0112,Bozkırlı Reçel Koll. Şti.,TR,TÜRKİYE,MG1,Hediyelik,R1-4,Marmara,R2-1,İhracatçı,R3-1,Selim K.,YURTICI,MUSTERI,Trabzon
120.01.0113,Zeytinburcu Kozmetik Ltd. Şti.,TR,TÜRKİYE,MG1,Boya-Kimya,R1-2,Güneydoğu,R2-2,Marka Sahibi,R3-2,Kaan M.,BASKILI,MUSTERI,Şanlıurfa
120.01.0114,Orionis S.A.,FR,FRANSA,MG2,Hediyelik,R1-2,Avrupa,R2-1,Zincir Market,R3-4,Elif S.,YURTDISI,MUSTERI,Fransa
120.01.0115,Poyrazlı Baharat San. ve Tic. A.Ş.,TR,TÜRKİYE,MG1,Baharat,R1-1,Doğu Anadolu,R2-6,İhracatçı,R3-3,Selim K.,YURTICI,MUSTERI,Aydın
120.01.0116,Bahçelik Turşu San. Tic. Ltd. Şti.,TR,TÜRKİYE,MG1,Endüstriyel,R1-4,Marmara,R2-1,Toptancı,R3-2,Nurhan T.,YURTICI,MUSTERI,Kocaeli
120.01.0117,Pınarbaşlı Şekerleme San. ve Tic. A.Ş.,TR,TÜRKİYE,MG1,Gıda,R1-4,Marmara,R2-6,Zincir Market,R3-2,Pelin R.,BASKILI,MUSTERI,Samsun
120.01.0118,Dalyanlı Turşu San. ve Tic. A.Ş.,TR,TÜRKİYE,MG1,Bal-Reçel,R1-5,Akdeniz,R2-5,Fason Üretici,R3-2,Nurhan T.,YURTICI,MUSTERI,Tekirdağ
120.01.0119,Tuzlalı Boya San. ve Tic. A.Ş.,TR,TÜRKİYE,MG1,Kozmetik,R1-4,Güneydoğu,R2-4,İhracatçı,R3-4,Nurhan T.,YURTICI,MUSTERI,Manisa
120.01.0120,Narlıcan Kimya San. Tic. Ltd. Şti.,TR,TÜRKİYE,MG1,Endüstriyel,R1-1,Marmara,R2-3,Toptancı,R3-4,Nurhan T.,YURTICI,MUSTERI,Adana
120.01.0121,Sarıçam Endüstri A.Ş.,TR,TÜRKİYE,MG1,Kozmetik,R1-5,İç Anadolu,R2-2,Toptancı,R3-1,Selim K.,YURTICI,MUSTERI,Mersin
120.01.0122,Yaylalı Turşu Ltd. Şti.,TR,TÜRKİYE,MG1,Gıda,R1-6,Doğu Anadolu,R2-5,Fason Üretici,R3-2,Bahar Ö.,YURTICI,MUSTERI,Balıkesir
120.01.0123,Orhanlı Tarım A.Ş.,TR,TÜRKİYE,MG1,Endüstriyel,R1-9,Akdeniz,R2-2,Marka Sahibi,R3-4,Kaan M.,BASKILI,MUSTERI,Mersin
120.01.0124,Jalezade Reçel Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Hediyelik,R1-7,Karadeniz,R2-2,Zincir Market,R3-3,Nurhan T.,YURTICI,MUSTERI,Eskişehir
120.01.0125,Pınarbaşlı Gıda Ltd. Şti.,TR,TÜRKİYE,MG1,Endüstriyel,R1-5,Karadeniz,R2-3,Marka Sahibi,R3-4,Cem A.,YURTICI,MUSTERI,Ankara
120.01.0126,Efelik Tarım Koll. Şti.,TR,TÜRKİYE,MG1,Zeytin-Zeytinyağı,R1-4,Ege,R2-6,Fason Üretici,R3-2,Nurhan T.,YURTICI,MUSTERI,Samsun
120.01.0127,İncirli Tarım Ltd. Şti.,TR,TÜRKİYE,MG1,Hediyelik,R1-1,Karadeniz,R2-2,Marka Sahibi,R3-3,Cem A.,YURTICI,MUSTERI,Şanlıurfa
