STOK_KODU,STOK_ADI,GRUP_KODU,GRUP_ADI,KOD_1,AD1,KOD_2,AD2,KOD_3,AD3,KOD_4,AD4,KOD_5,AD5,INGISIM,KT_YUKSEKLIK,OLCU_BR1,OLCU_BR2,OLCU_BR3,BIRIM2_CARPAN,BIRIM3_CARPAN,BIRIM_MALIYET
M00048,PLAKA-BARDAK ALTI 286-020 LITOGRAFI 2 PARÇA,01,Mamul,SK16,Plaka-Bardak Alti,KA5,Endüstriyel,286-020,Kalıp 286-020,B1,Litografi,P2,2 Parça,Plaka-Bardak Alti 286-020 Litografi 2 pc,25,ADET,KOLİ,PALET,100,2000,7.6916
M00049,YUVARLAK KUTU 073-062 MAT LAK 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,073-062,Kalıp 073-062,B4,Mat Lak,P3,3 Parça,Yuvarlak Tin 073-062 Mat Lak 3 pc,67,ADET,KOLİ,PALET,60,1440,4.4138
M00050,YUVARLAK KUTU 099-084 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,099-084,Kalıp 099-084,B1,Litografi,P2,2 Parça,Yuvarlak Tin 099-084 Litografi 2 pc,89,ADET,KOLİ,PALET,12,288,9.7661
M00051,YUVARLAK-SIVAMA KUTU 066-048 HAM TENEKE 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA5,Endüstriyel,066-048,Kalıp 066-048,B3,Ham Teneke,P2,2 Parça,Yuvarlak-Drawn Tin 066-048 Ham Teneke 2 pc,53,ADET,KOLİ,PALET,100,2400,5.1989
M00052,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,073-062,Kalıp 073-062,B2,Vernikli,P3,3 Parça,Yuvarlak Tin 073-062 Vernikli 3 pc,67,ADET,KOLİ,PALET,24,480,7.0454
M00053,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,073-062,Kalıp 073-062,B2,Vernikli,P3,3 Parça,Yuvarlak Tin 073-062 Vernikli 3 pc,67,ADET,KOLİ,PALET,24,480,10.1956
M00054,YUVARLAK KUTU 073-062 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,073-062,Kalıp 073-062,B1,Litografi,P2,2 Parça,Yuvarlak Tin 073-062 Litografi 2 pc,67,ADET,KOLİ,PALET,12,360,3.9644
M00055,OVAL KUTU 164-092 MAT LAK 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA2,Boya-Kimya,164-092,Kalıp 164-092,B4,Mat Lak,P3,3 Parça,Oval Tin 164-092 Mat Lak 3 pc,97,ADET,KOLİ,PALET,48,1440,8.6852
M00056,OVAL KUTU 208-136 VERNIKLI 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA2,Boya-Kimya,208-136,Kalıp 208-136,B2,Vernikli,P3,3 Parça,Oval Tin 208-136 Vernikli 3 pc,141,ADET,KOLİ,PALET,24,576,7.9121
M00057,KAPAK 148-034 LITOGRAFI 3 PARÇA,01,Mamul,SK12,Kapak,KA1,Gıda,148-034,Kalıp 148-034,B1,Litografi,P3,3 Parça,Kapak 148-034 Litografi 3 pc,39,ADET,KOLİ,PALET,60,1200,7.385
M00058,KARE KUTU 132-108 VERNIKLI 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA1,Gıda,132-108,Kalıp 132-108,B2,Vernikli,P3,3 Parça,Kare Tin 132-108 Vernikli 3 pc,113,ADET,KOLİ,PALET,60,1800,11.8073
M00059,PLAKA-BARDAK ALTI 286-020 VERNIKLI 2 PARÇA,01,Mamul,SK16,Plaka-Bardak Alti,KA3,Kozmetik,286-020,Kalıp 286-020,B2,Vernikli,P2,2 Parça,Plaka-Bardak Alti 286-020 Vernikli 2 pc,25,ADET,KOLİ,PALET,12,288,1.538
M00060,YUVARLAK-SIVAMA KUTU 112-096 VERNIKLI 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA2,Boya-Kimya,112-096,Kalıp 112-096,B2,Vernikli,P3,3 Parça,Yuvarlak-Drawn Tin 112-096 Vernikli 3 pc,101,ADET,KOLİ,PALET,100,2000,1.725
M00061,YUVARLAK KUTU 153-118 MAT LAK 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,153-118,Kalıp 153-118,B4,Mat Lak,P3,3 Parça,Yuvarlak Tin 153-118 Mat Lak 3 pc,123,ADET,KOLİ,PALET,48,960,3.3814
M00062,OVAL KUTU 164-092 VERNIKLI 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA5,Endüstriyel,164-092,Kalıp 164-092,B2,Vernikli,P3,3 Parça,Oval Tin 164-092 Vernikli 3 pc,97,ADET,KOLİ,PALET,24,480,6.0795
M00063,KAPAK 116-028 VERNIKLI 2 PARÇA,01,Mamul,SK12,Kapak,KA1,Gıda,116-028,Kalıp 116-028,B2,Vernikli,P2,2 Parça,Kapak 116-028 Vernikli 2 pc,33,ADET,KOLİ,PALET,24,720,9.2977
M00064,DIKDORTGEN KUTU 118-058 VERNIKLI 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA5,Endüstriyel,118-058,Kalıp 118-058,B2,Vernikli,P3,3 Parça,Dikdortgen Tin 118-058 Vernikli 3 pc,63,ADET,KOLİ,PALET,60,1800,11.591
M00065,YUVARLAK-SIVAMA KUTU 066-048 VERNIKLI 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA4,Hediyelik,066-048,Kalıp 066-048,B2,Vernikli,P2,2 Parça,Yuvarlak-Drawn Tin 066-048 Vernikli 2 pc,53,ADET,KOLİ,PALET,100,2400,3.7119
M00066,DIKDORTGEN KUTU 118-058 LITOGRAFI 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA4,Hediyelik,118-058,Kalıp 118-058,B1,Litografi,P3,3 Parça,Dikdortgen Tin 118-058 Litografi 3 pc,63,ADET,KOLİ,PALET,48,1440,6.8423
M00067,SEKILLI KUTU 114-076 LITOGRAFI 2 PARÇA,01,Mamul,SK08,Sekilli Kutu,KA6,Bal-Reçel,114-076,Kalıp 114-076,B1,Litografi,P2,2 Parça,Sekilli Tin 114-076 Litografi 2 pc,81,ADET,KOLİ,PALET,100,2000,5.844
M00068,YUVARLAK-SIVAMA KUTU 112-096 MAT LAK 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA6,Bal-Reçel,112-096,Kalıp 112-096,B4,Mat Lak,P2,2 Parça,Yuvarlak-Drawn Tin 112-096 Mat Lak 2 pc,101,ADET,KOLİ,PALET,24,576,1.0048
M00069,DIKDORTGEN KUTU 156-082 VERNIKLI 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA1,Gıda,156-082,Kalıp 156-082,B2,Vernikli,P3,3 Parça,Dikdortgen Tin 156-082 Vernikli 3 pc,87,ADET,KOLİ,PALET,100,2400,8.8318
M00070,TEL MEKANIZMALI KUTU 224-166 LITOGRAFI 3 PARÇA,01,Mamul,SK15,Tel Mekanizmali Kutu,KA2,Boya-Kimya,224-166,Kalıp 224-166,B1,Litografi,P3,3 Parça,Tel Mekanizmali Tin 224-166 Litografi 3 pc,171,ADET,KOLİ,PALET,48,1440,2.7873
M00071,KOSELI SIVAMA KUTU 092-056 VERNIKLI 3 PARÇA,01,Mamul,SK10,Koseli Sivama Kutu,KA1,Gıda,092-056,Kalıp 092-056,B2,Vernikli,P3,3 Parça,Koseli Drawn Tin 092-056 Vernikli 3 pc,61,ADET,KOLİ,PALET,100,2000,0.8348
M00072,TEPSI 216-032 VERNIKLI 2 PARÇA,01,Mamul,SK11,Tepsi,KA2,Boya-Kimya,216-032,Kalıp 216-032,B2,Vernikli,P2,2 Parça,Tepsi 216-032 Vernikli 2 pc,37,ADET,KOLİ,PALET,24,576,5.8069
M00073,SADECE DIP 142-030 MAT LAK 3 PARÇA,01,Mamul,SK13,Sadece Dip,KA2,Boya-Kimya,142-030,Kalıp 142-030,B4,Mat Lak,P3,3 Parça,Sadece Dip 142-030 Mat Lak 3 pc,35,ADET,KOLİ,PALET,48,1152,3.9463
M00074,YUVARLAK-SIVAMA KUTU 112-096 LITOGRAFI 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA2,Boya-Kimya,112-096,Kalıp 112-096,B1,Litografi,P2,2 Parça,Yuvarlak-Drawn Tin 112-096 Litografi 2 pc,101,ADET,KOLİ,PALET,48,960,3.5874
M00075,YUVARLAK KUTU 099-084 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,099-084,Kalıp 099-084,B3,Ham Teneke,P3,3 Parça,Yuvarlak Tin 099-084 Ham Teneke 3 pc,89,ADET,KOLİ,PALET,24,720,2.226
M00076,YUVARLAK KUTU 153-118 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,153-118,Kalıp 153-118,B3,Ham Teneke,P3,3 Parça,Yuvarlak Tin 153-118 Ham Teneke 3 pc,123,ADET,KOLİ,PALET,48,960,2.0211
M00077,DIKDORTGEN KUTU 118-058 MAT LAK 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA4,Hediyelik,118-058,Kalıp 118-058,B4,Mat Lak,P3,3 Parça,Dikdortgen Tin 118-058 Mat Lak 3 pc,63,ADET,KOLİ,PALET,12,240,3.294
M00078,TEL MEKANIZMALI KUTU 176-132 VERNIKLI 2 PARÇA,01,Mamul,SK15,Tel Mekanizmali Kutu,KA5,Endüstriyel,176-132,Kalıp 176-132,B2,Vernikli,P2,2 Parça,Tel Mekanizmali Tin 176-132 Vernikli 2 pc,137,ADET,KOLİ,PALET,24,720,2.7475
M00079,YUVARLAK-SIVAMA KUTU 066-048 HAM TENEKE 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA6,Bal-Reçel,066-048,Kalıp 066-048,B3,Ham Teneke,P3,3 Parça,Yuvarlak-Drawn Tin 066-048 Ham Teneke 3 pc,53,ADET,KOLİ,PALET,48,1152,8.1617
M00080,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,073-062,Kalıp 073-062,B2,Vernikli,P3,3 Parça,Yuvarlak Tin 073-062 Vernikli 3 pc,67,ADET,KOLİ,PALET,60,1440,2.512
M00081,KARE KUTU 105-072 LITOGRAFI 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA3,Kozmetik,105-072,Kalıp 105-072,B1,Litografi,P2,2 Parça,Kare Tin 105-072 Litografi 2 pc,77,ADET,KOLİ,PALET,60,1440,4.676
M00082,YUVARLAK KUTU 099-084 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,099-084,Kalıp 099-084,B2,Vernikli,P2,2 Parça,Yuvarlak Tin 099-084 Vernikli 2 pc,89,ADET,KOLİ,PALET,60,1440,4.0199
M00083,YUVARLAK-SIVAMA KUTU 066-048 VERNIKLI 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,066-048,Kalıp 066-048,B2,Vernikli,P3,3 Parça,Yuvarlak-Drawn Tin 066-048 Vernikli 3 pc,53,ADET,KOLİ,PALET,60,1440,9.2918
M00084,KARE KUTU 132-108 HAM TENEKE 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA6,Bal-Reçel,132-108,Kalıp 132-108,B3,Ham Teneke,P3,3 Parça,Kare Tin 132-108 Ham Teneke 3 pc,113,ADET,KOLİ,PALET,60,1200,7.712
M00085,KARE KUTU 132-108 HAM TENEKE 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA3,Kozmetik,132-108,Kalıp 132-108,B3,Ham Teneke,P3,3 Parça,Kare Tin 132-108 Ham Teneke 3 pc,113,ADET,KOLİ,PALET,100,2000,6.2531
M00086,KARE KUTU 168-142 VERNIKLI 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA3,Kozmetik,168-142,Kalıp 168-142,B2,Vernikli,P2,2 Parça,Kare Tin 168-142 Vernikli 2 pc,147,ADET,KOLİ,PALET,48,960,5.3889
M00087,YUVARLAK-SIVAMA KUTU 088-071 VERNIKLI 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA6,Bal-Reçel,088-071,Kalıp 088-071,B2,Vernikli,P2,2 Parça,Yuvarlak-Drawn Tin 088-071 Vernikli 2 pc,76,ADET,KOLİ,PALET,24,720,0.8498
M00088,SADECE KAPAK 128-026 LITOGRAFI 3 PARÇA,01,Mamul,SK14,Sadece Kapak,KA6,Bal-Reçel,128-026,Kalıp 128-026,B1,Litografi,P3,3 Parça,Sadece Kapak 128-026 Litografi 3 pc,31,ADET,KOLİ,PALET,48,1152,2.797
M00089,KARE KUTU 132-108 VERNIKLI 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA5,Endüstriyel,132-108,Kalıp 132-108,B2,Vernikli,P3,3 Parça,Kare Tin 132-108 Vernikli 3 pc,113,ADET,KOLİ,PALET,24,576,7.2722
