TAKIPNO,ISEMRINO,STOK_KODU,SIPARIS_NO,SIPKONT,REFISEMRINO,TESLIM_TARIHI,KAPATILDI,OPKODU,MAKINE_ID,MAKINE_KODU,VERIMLILIK,VERIMTAKIP,ISTKODU,ISTISIM,STHAR_CARIKOD,MAMUL,STOK_ADI,KOD_1,KOD_4,PARCA,KALIP,YIL,HAFTA,URETIM,FIRE,GERC_ARIZA,GERC_HATBOS,GERC_ISLEM,GERC_HAZIRLIK,TEO_ISLEM,TEO_HAZIRLIK_TAKIPSIZ,TEO_HAZIRLIK_TAKIPLI,DURUM_ADI,FIREORANI_MINFIRE,FIREORANI_URETIM
900020,IE25900020,M00022,STK25000709,1,RF900020,2025-11-26,H,OP02,31,MTB-02,0.7598,H,MTB,MATBAA,120.01.0106,SEKIZGEN KUTU 135-145 VERNIKLI 2 PARÇA,SEKIZGEN KUTU 135-145 VERNIKLI 2 PARÇA,SK07,B2,2 Parça,135-145,2025,43,1440,16,79.2,11.5,13,66,11.3,52.8,62.7,TAMAMLANDI,0.0079,0.0111
900021,IE25900021,M00022,STK25000709,1,RF900021,2025-10-27,H,OP03,34,MNT-02,0.8911,E,MNT,MONTAJ,120.01.0106,SEKIZGEN KUTU 135-145 VERNIKLI 2 PARÇA,SEKIZGEN KUTU 135-145 VERNIKLI 2 PARÇA,SK07,B2,2 Parça,135-145,2025,43,1403,43,60.7,16.7,11,59.8,9,47.8,56.8,TAMAMLANDI,0.0237,0.03
900022,IE26900022,M00001,SIP26006370,1,RF900022,2026-07-10,E,OP01,26,KSM-03,0.8542,H,KSM,KESIM,120.01.0003,KAPAK 090-065 HAM TENEKE 2 PARÇA,KAPAK 090-065 HAM TENEKE 2 PARÇA,SK12,B3,2 Parça,090-065,2026,25,3074,7,0,0,17.5,92.2,15.4,73.8,87.6,TAMAMLANDI,0.0016,0.0021
900023,IE26900023,M00001,SIP26006370,1,RF900023,2026-07-08,O,OP02,30,MTB-01,0.6259,H,MTB,MATBAA,120.01.0003,KAPAK 090-065 HAM TENEKE 2 PARÇA,KAPAK 090-065 HAM TENEKE 2 PARÇA,SK12,B3,2 Parça,090-065,2026,25,3035,65,4.5,0,19.7,84.9,15.5,67.9,80.7,TAMAMLANDI,0.0181,0.0212
900024,IE26900024,M00001,SIP26006370,1,RF900024,2026-07-12,E,OP03,23,PRS-23,0.8295,E,PRS,PRES,120.01.0003,KAPAK 090-065 HAM TENEKE 2 PARÇA,KAPAK 090-065 HAM TENEKE 2 PARÇA,SK12,B3,2 Parça,090-065,2026,25,3053,101,30.8,18.3,36.7,61,29.2,48.8,57.9,TAMAMLANDI,0.0249,0.0319
900025,IE26900025,M00001,SIP26006370,1,RF900025,2026-07-06,E,OP04,41,MNT-09,0.9849,E,MNT,MONTAJ,120.01.0003,KAPAK 090-065 HAM TENEKE 2 PARÇA,KAPAK 090-065 HAM TENEKE 2 PARÇA,SK12,B3,2 Parça,090-065,2026,25,3046,76,23.3,30.1,10,60,9.3,48,57,TAMAMLANDI,0.0204,0.0244
900026,IE26900026,M00013,STK26000923,1,RF900026,2026-06-08,E,OP01,27,KSM-04,1.0824,H,KSM,KESIM,120.01.0012,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,SK10,B1,3 Parça,210-080,2026,22,487,5,0,19.8,2,115.1,1.7,92.1,109.3,TAMAMLANDI,0.0102,0.0105
900027,IE26900027,M00013,STK26000923,1,RF900027,2026-05-30,E,OP02,46,DJT-02,0.8455,H,DJT,DIJITAL,120.01.0012,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,SK10,B1,3 Parça,210-080,2026,22,499,9,15.1,5.3,2,26.1,2.1,20.9,24.8,TAMAMLANDI,0.0108,0.0177
900028,IE26900028,M00013,STK26000923,1,RF900028,2026-06-22,E,OP03,20,PRS-20,0.7626,E,PRS,PRES,120.01.0012,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,SK10,B1,3 Parça,210-080,2026,22,503,3,34.6,7.8,1.7,27.9,1.5,22.3,26.5,TAMAMLANDI,0.0049,0.0076
900029,IE26900029,M00013,STK26000923,1,RF900029,2026-06-13,E,OP04,43,MNT-11,0.912,E,MNT,MONTAJ,120.01.0012,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,SK10,B1,3 Parça,210-080,2026,22,496,12,0,0,1.8,84.2,1.7,67.4,80,TAMAMLANDI,0.0146,0.0237
900030,IE26900030,M00172,SIP26006125,1,RF900030,2026-04-23,E,OP01,24,KSM-01,0.9199,H,KSM,KESIM,120.01.0010,SEKIZGEN KUTU 135-145 VERNIKLI 3 PARÇA,SEKIZGEN KUTU 135-145 VERNIKLI 3 PARÇA,SK07,B2,3 Parça,135-145,2026,16,7177,156,0.8,4.1,100.7,136.4,78.3,109.1,129.6,TAMAMLANDI,0.0204,0.0212
900031,IE26900031,M00172,SIP26006125,1,RF900031,2026-05-20,E,OP02,30,MTB-01,0.8888,H,MTB,MATBAA,120.01.0010,SEKIZGEN KUTU 135-145 VERNIKLI 3 PARÇA,SEKIZGEN KUTU 135-145 VERNIKLI 3 PARÇA,SK07,B2,3 Parça,135-145,2026,16,6835,372,0,16.2,23.6,46.8,19,37.4,44.5,TAMAMLANDI,0.0365,0.0516
900032,IE26900032,M00172,SIP26006125,1,RF900032,2026-04-23,E,OP03,44,MNT-12,1.1155,E,MNT,MONTAJ,120.01.0010,SEKIZGEN KUTU 135-145 VERNIKLI 3 PARÇA,SEKIZGEN KUTU 135-145 VERNIKLI 3 PARÇA,SK07,B2,3 Parça,135-145,2026,16,7251,97,11.4,17.6,103.3,81.7,82.4,65.4,77.6,TAMAMLANDI,0.0083,0.0132
900033,IE25900033,M00309,SIP25005517,2,RF900033,2026-02-09,E,OP01,26,KSM-03,0.9372,H,KSM,KESIM,120.01.0022,YUVARLAK KUTU Y120-105 HAM TENEKE 3 PARÇA,YUVARLAK KUTU Y120-105 HAM TENEKE 3 PARÇA,SK01,B3,3 Parça,Y120-105,2025,1,705,21,0,15.4,9.8,50.5,10,40.4,48,TAMAMLANDI,0.0212,0.0278
900034,IE26900034,M00309,SIP25005517,2,RF900034,2026-01-12,O,OP02,30,MTB-01,1.1023,H,MTB,MATBAA,120.01.0022,YUVARLAK KUTU Y120-105 HAM TENEKE 3 PARÇA,YUVARLAK KUTU Y120-105 HAM TENEKE 3 PARÇA,SK01,B3,3 Parça,Y120-105,2026,1,731,13,34.4,12.7,2.7,112.7,2.4,90.2,107.1,TAMAMLANDI,0.0118,0.0184
900035,IE26900035,M00309,SIP25005517,2,RF900035,2026-01-08,E,OP03,17,PRS-17,0.6081,E,PRS,PRES,120.01.0022,YUVARLAK KUTU Y120-105 HAM TENEKE 3 PARÇA,YUVARLAK KUTU Y120-105 HAM TENEKE 3 PARÇA,SK01,B3,3 Parça,Y120-105,2026,1,701,24,5.9,16.5,4.9,20.3,4.1,16.2,19.3,TAMAMLANDI,0.0265,0.0342
900036,IE26900036,M00309,SIP25005517,2,RF900036,2026-02-02,E,OP04,41,MNT-09,0.7637,E,MNT,MONTAJ,120.01.0022,YUVARLAK KUTU Y120-105 HAM TENEKE 3 PARÇA,YUVARLAK KUTU Y120-105 HAM TENEKE 3 PARÇA,SK01,B3,3 Parça,Y120-105,2026,1,736,3,16.2,8.8,3.2,91.3,3.1,73,86.7,TAMAMLANDI,0.0035,0.0036
900041,IE26900041,M00291,SIP26006472,1,RF900041,2026-06-26,E,OP01,27,KSM-04,0.9845,H,KSM,KESIM,120.01.0037,YUVARLAK KUTU 245-175 MAT LAK 3 PARÇA,YUVARLAK KUTU 245-175 MAT LAK 3 PARÇA,SK01,B4,3 Parça,245-175,2026,25,250,2,0,12,1.9,85.4,1.8,68.3,81.1,TAMAMLANDI,0.0077,0.0108
900042,IE26900042,M00291,SIP26006472,1,RF900042,2026-07-03,E,OP02,31,MTB-02,0.5795,H,MTB,MATBAA,120.01.0037,YUVARLAK KUTU 245-175 MAT LAK 3 PARÇA,YUVARLAK KUTU 245-175 MAT LAK 3 PARÇA,SK01,B4,3 Parça,245-175,2026,25,243,9,60.7,8.5,3.2,80.3,2.7,64.2,76.3,TAMAMLANDI,0.0304,0.0334
900043,IE26900043,M00291,SIP26006472,1,RF900043,2026-07-03,E,OP03,17,PRS-17,0.6653,E,PRS,PRES,120.01.0037,YUVARLAK KUTU 245-175 MAT LAK 3 PARÇA,YUVARLAK KUTU 245-175 MAT LAK 3 PARÇA,SK01,B4,3 Parça,245-175,2026,26,237,4,34.7,0.1,1.4,89.4,1.1,71.5,84.9,TAMAMLANDI,0.0168,0.0189
900044,IE26900044,M00291,SIP26006472,1,RF900044,2026-07-24,E,OP04,35,MNT-03,0.9134,E,MNT,MONTAJ,120.01.0037,YUVARLAK KUTU 245-175 MAT LAK 3 PARÇA,YUVARLAK KUTU 245-175 MAT LAK 3 PARÇA,SK01,B4,3 Parça,245-175,2026,26,249,1,0,32.8,2.1,38.1,1.8,30.5,36.2,TAMAMLANDI,0.0023,0.0025
900045,IE26900045,M00003,SIP26005552,1,RF900045,2026-02-12,E,OP01,26,KSM-03,0.67,H,KSM,KESIM,120.01.0008,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,SK01,B3,2 Parça,120-105,2026,3,982,14,16.9,1.3,3.6,126.3,2.8,101,120,TAMAMLANDI,0.0098,0.0141
900046,IE26900046,M00003,SIP26005552,1,RF900046,2026-02-19,E,OP02,45,DJT-01,1.0993,H,DJT,DIJITAL,120.01.0008,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,SK01,B3,2 Parça,120-105,2026,3,959,22,20.9,0,5,90.3,4.8,72.2,85.8,TAMAMLANDI,0.0184,0.0225
900047,IE26900047,M00003,SIP26005552,1,RF900047,2026-01-27,E,OP03,11,PRS-11,0.927,E,PRS,PRES,120.01.0008,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,SK01,B3,2 Parça,120-105,2026,3,996,17,0,17.7,5.9,66.7,5.9,53.4,63.4,TAMAMLANDI,0.0127,0.0168
900048,IE26900048,M00003,SIP26005552,1,RF900048,2026-02-15,E,OP04,37,MNT-05,0.8934,E,MNT,MONTAJ,120.01.0008,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,SK01,B3,2 Parça,120-105,2026,4,984,23,48.6,19.4,5,85.1,4.5,68.1,80.8,TAMAMLANDI,0.0191,0.0236
900049,IE26900049,M00004,STK26000969,1,RF900049,2026-07-18,E,OP01,24,KSM-01,1.1076,H,KSM,KESIM,120.01.0009,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,SK01,B4,3 Parça,210-255,2026,28,1424,23,46.4,11,8.3,44.3,7.8,35.4,42.1,TAMAMLANDI,0.012,0.016
900050,IE26900050,M00004,STK26000969,1,RF900050,2026-07-23,H,OP02,32,MTB-03,0.6907,H,MTB,MATBAA,120.01.0009,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,SK01,B4,3 Parça,210-255,2026,29,1408,32,7.5,17.3,17.7,36.6,17.2,29.3,34.8,TAMAMLANDI,0.0191,0.0225
900051,IE26900051,M00004,STK26000969,1,RF900051,2026-08-07,E,OP03,10,PRS-10,0.8688,E,PRS,PRES,120.01.0009,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,SK01,B4,3 Parça,210-255,2026,29,1435,11,0.3,0,6.1,136,4.7,108.8,129.2,TAMAMLANDI,0.0076,0.0078
900052,IE26900052,M00004,STK26000969,1,RF900052,2026-07-22,E,OP04,34,MNT-02,0.5596,E,MNT,MONTAJ,120.01.0009,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,SK01,B4,3 Parça,210-255,2026,29,1461,3,4.7,2.2,5.7,59.8,4.7,47.8,56.8,TAMAMLANDI,0.0013,0.0019
900053,IE26900053,M00006,SIP26006040,2,RF900053,2026-05-04,E,OP01,24,KSM-01,0.6489,H,KSM,KESIM,120.01.0003,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,SK08,B3,3 Parça,175-205,2026,15,3832,117,32.1,13.2,19.2,114.4,16.3,91.5,108.7,TAMAMLANDI,0.0243,0.0296
900054,IE26900054,M00006,SIP26006040,2,RF900054,2026-04-29,E,OP02,2,PRS-02,0.6993,E,PRS,PRES,120.01.0003,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,SK08,B3,3 Parça,175-205,2026,15,3872,149,28,13.2,12.9,52,12.8,41.6,49.4,TAMAMLANDI,0.0235,0.0369
900055,IE26900055,M00006,SIP26006040,2,RF900055,2026-04-24,E,OP03,44,MNT-12,0.6817,E,MNT,MONTAJ,120.01.0003,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,SK08,B3,3 Parça,175-205,2026,16,3960,25,5.1,11.1,56.6,57.3,45.2,45.8,54.4,TAMAMLANDI,0.005,0.0063
900056,IE26900056,M00002,SIP26005751,2,RF900056,2026-03-07,E,OP01,27,KSM-04,0.6616,H,KSM,KESIM,120.01.0069,TEPSI 325-125 MAT LAK 3 PARÇA,TEPSI 325-125 MAT LAK 3 PARÇA,SK11,B4,3 Parça,325-125,2026,7,2955,97,82.6,13.5,20.2,59.1,19.5,47.3,56.1,TAMAMLANDI,0.0237,0.0321
900057,IE26900057,M00002,SIP26005751,2,RF900057,2026-02-24,H,OP02,30,MTB-01,1.0521,H,MTB,MATBAA,120.01.0069,TEPSI 325-125 MAT LAK 3 PARÇA,TEPSI 325-125 MAT LAK 3 PARÇA,SK11,B4,3 Parça,325-125,2026,8,3079,85,35.8,10.4,21.4,134.9,17.4,107.9,128.2,TAMAMLANDI,0.0194,0.0268
900058,IE26900058,M00002,SIP26005751,2,RF900058,2026-03-26,E,OP03,15,PRS-15,0.9886,E,PRS,PRES,120.01.0069,TEPSI 325-125 MAT LAK 3 PARÇA,TEPSI 325-125 MAT LAK 3 PARÇA,SK11,B4,3 Parça,325-125,2026,8,3011,139,2.1,36.5,21.6,95.9,21.5,76.7,91.1,TAMAMLANDI,0.0423,0.0441
900059,IE26900059,M00002,SIP26005751,2,RF900059,2026-02-27,E,OP04,42,MNT-10,0.5626,E,MNT,MONTAJ,120.01.0069,TEPSI 325-125 MAT LAK 3 PARÇA,TEPSI 325-125 MAT LAK 3 PARÇA,SK11,B4,3 Parça,325-125,2026,8,2993,34,40.5,52.4,28.5,105.5,24.6,84.4,100.2,TAMAMLANDI,0.0077,0.0112
900060,IE26900060,M00007,SIP26005973,3,RF900060,2026-05-04,E,OP01,29,KSM-06,0.7119,H,KSM,KESIM,120.01.0047,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,SK04,B4,2 Parça,185-115,2026,16,2437,58,9.8,19.3,19.2,65.3,14.9,52.2,62,TAMAMLANDI,0.0175,0.0235
900061,IE26900061,M00007,SIP26005973,3,RF900061,2026-05-08,E,OP02,16,PRS-16,0.6007,E,PRS,PRES,120.01.0047,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,SK04,B4,2 Parça,185-115,2026,16,2425,28,0,4.7,8.2,93.4,6.3,74.7,88.7,TAMAMLANDI,0.01,0.0117
900062,IE26900062,M00007,SIP26005973,3,RF900062,2026-05-13,E,OP03,39,MNT-07,0.6081,E,MNT,MONTAJ,120.01.0047,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,SK04,B4,2 Parça,185-115,2026,16,2407,23,70.7,36.8,8.5,54.6,8.8,43.7,51.9,TAMAMLANDI,0.0074,0.0094
900063,IE25900063,M00011,SIP25004048,1,RF900063,2025-08-10,E,OP01,25,KSM-02,0.6129,H,KSM,KESIM,120.01.0009,YUVARLAK KUTU 120-105 HAM TENEKE 3 PARÇA,YUVARLAK KUTU 120-105 HAM TENEKE 3 PARÇA,SK01,B3,3 Parça,120-105,2025,28,1791,52,8.6,0,11,60.8,10.2,48.6,57.8,TAMAMLANDI,0.0201,0.0284
900064,IE25900064,M00011,SIP25004048,1,RF900064,2025-07-21,E,OP02,12,PRS-12,0.6349,E,PRS,PRES,120.01.0009,YUVARLAK KUTU 120-105 HAM TENEKE 3 PARÇA,YUVARLAK KUTU 120-105 HAM TENEKE 3 PARÇA,SK01,B3,3 Parça,120-105,2025,29,1819,23,0,6.6,6,73.8,6.2,59,70.1,TAMAMLANDI,0.0111,0.0124
900065,IE25900065,M00011,SIP25004048,1,RF900065,2025-07-18,E,OP03,44,MNT-12,0.7665,E,MNT,MONTAJ,120.01.0009,YUVARLAK KUTU 120-105 HAM TENEKE 3 PARÇA,YUVARLAK KUTU 120-105 HAM TENEKE 3 PARÇA,SK01,B3,3 Parça,120-105,2025,29,1833,2,9.1,27,6.5,71.3,5.5,57,67.7,TAMAMLANDI,0.0007,0.001
900066,IE25900066,M00001,SIP25004244,1,RF900066,2025-08-08,E,OP01,27,KSM-04,0.9251,H,KSM,KESIM,120.01.0001,KAPAK 090-065 HAM TENEKE 2 PARÇA,KAPAK 090-065 HAM TENEKE 2 PARÇA,SK12,B3,2 Parça,090-065,2025,30,2991,38,52.6,7.6,11.1,123.3,11.4,98.6,117.1,TAMAMLANDI,0.0109,0.0126
900067,IE25900067,M00001,SIP25004244,1,RF900067,2025-08-17,E,OP02,31,MTB-02,0.6199,H,MTB,MATBAA,120.01.0001,KAPAK 090-065 HAM TENEKE 2 PARÇA,KAPAK 090-065 HAM TENEKE 2 PARÇA,SK12,B3,2 Parça,090-065,2025,30,2995,30,0,40.1,23.4,85.9,18.2,68.7,81.6,TAMAMLANDI,0.0086,0.0101
900068,IE25900068,M00001,SIP25004244,1,RF900068,2025-08-27,E,OP03,23,PRS-23,0.8549,E,PRS,PRES,120.01.0001,KAPAK 090-065 HAM TENEKE 2 PARÇA,KAPAK 090-065 HAM TENEKE 2 PARÇA,SK12,B3,2 Parça,090-065,2025,30,2940,67,13.3,0,11,106.9,8.6,85.5,101.6,TAMAMLANDI,0.0161,0.0225
900069,IE25900069,M00001,SIP25004244,1,RF900069,2025-07-29,E,OP04,35,MNT-03,0.7048,E,MNT,MONTAJ,120.01.0001,KAPAK 090-065 HAM TENEKE 2 PARÇA,KAPAK 090-065 HAM TENEKE 2 PARÇA,SK12,B3,2 Parça,090-065,2025,30,3044,10,89.7,25.2,23.8,34.1,21.5,27.3,32.4,TAMAMLANDI,0.0026,0.0033
900070,IE26900070,M00023,SIP26006489,4,RF900070,2026-07-15,E,OP01,25,KSM-02,0.736,H,KSM,KESIM,120.01.0004,YUVARLAK KUTU 078-095 LITOGRAFI 2 PARÇA,YUVARLAK KUTU 078-095 LITOGRAFI 2 PARÇA,SK01,B1,2 Parça,078-095,2026,25,4967,138,0,19.1,23.6,142,21.2,113.6,134.9,TAMAMLANDI,0.024,0.0269
900071,IE26900071,M00023,SIP26006489,4,RF900071,2026-06-22,E,OP02,6,PRS-06,0.7068,E,PRS,PRES,120.01.0004,YUVARLAK KUTU 078-095 LITOGRAFI 2 PARÇA,YUVARLAK KUTU 078-095 LITOGRAFI 2 PARÇA,SK01,B1,2 Parça,078-095,2026,25,5162,15,36.1,0.4,53.3,37.8,51.7,30.2,35.9,TAMAMLANDI,0.002,0.0029
900072,IE26900072,M00023,SIP26006489,4,RF900072,2026-07-22,E,OP03,43,MNT-11,1.0554,E,MNT,MONTAJ,120.01.0004,YUVARLAK KUTU 078-095 LITOGRAFI 2 PARÇA,YUVARLAK KUTU 078-095 LITOGRAFI 2 PARÇA,SK01,B1,2 Parça,078-095,2026,25,4797,240,7.4,11.2,18,59.7,14.3,47.8,56.7,TAMAMLANDI,0.0331,0.0476
