TAKIP_ID,ISEMRINO,AKTIVITEKODU,AKTIVITE_ADI,BASLANGICTARIH,DEVAM_EDENSURE,MIKTAR,DEMIR_KODU,ISTISIM,KAPATILDI,OPKODU,STOK_ADI,STOK_KODU,CARI_ISIM,SIPARIS_NO,REFISEMRINO,URETIM,FIRE,HAZIRLIK,ISLEM,ARIZA,STDSURE_V,TAMAMLANMA,INSANSAAT_HAZIRLIK,INSANSAAT_ISLEM,ORTALAMA_CALISAN_SAYISI,VERIM_TAKIPET,KT_VERIMTAKIP
908083,IE26908083,A02,ISLEM,2026-07-30 09:58:00,264,290,MNT-02,MONTAJ,O,OP04,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,M00004,İncirli Tarım Ltd. Şti.,SIP26006886,RF908083,193,6,106.6,1.2,81.3,0.82,0.6655,8.777,0.099,4.94,E,E
907933,IE26907933,A02,ISLEM,2026-07-30 13:22:00,60,3909,MNT-03,MONTAJ,O,OP03,DIKDORTGEN KUTU 185-115 VERNIKLI 2 PARÇA,M00103,Nordwind Oy,SIP26006848,RF907933,2234,105,139.5,27.8,36.7,20.26,0.5715,2.581,0.514,1.11,E,E
903408,IE26903408,A02,ISLEM,2026-07-30 12:41:00,101,7438,MNT-05,MONTAJ,O,OP04,YUVARLAK KUTU 158-175 LITOGRAFI 2 PARÇA,M00142,Ferahlı Ambalaj Gıda San. A.Ş.,SIP26006780,RF903408,2570,251,76.2,131.4,62.4,105.37,0.3455,4.902,8.453,3.86,E,E
902990,IE26902990,A02,ISLEM,2026-07-30 11:44:00,158,148,MNT-06,MONTAJ,O,OP03,YUVARLAK KUTU Ø050 LITOGRAFI 3 PARÇA,M00092,Alaçatı Süt Gıda San. A.Ş.,SIP26006742,RF902990,101,2,50.7,1.7,10.8,1.66,0.6824,2.146,0.072,2.54,E,E
903304,IE26903304,A02,ISLEM,2026-07-30 11:57:00,145,8317,MNT-07,MONTAJ,O,OP03,TEPSI 325-125 LITOGRAFI 2 PARÇA,M00056,Gümüşdere Bisküvi San. Tic. Ltd. Şti.,SIP26006711,RF903304,5832,257,64.6,33.9,58.7,20.87,0.7012,4.35,2.283,4.04,E,E
901779,IE26901779,A02,ISLEM,2026-07-30 09:06:00,316,1461,MNT-08,MONTAJ,O,OP03,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,M00003,Vişneli Kimya A.Ş.,SIP26006847,RF901779,1096,29,138.8,6.5,38.7,3.88,0.7502,7.842,0.367,3.39,E,E
904073,IE26904073,A03,DURMA,2026-07-30 08:18:00,364,12267,MNT-09,MONTAJ,O,OP04,YUVARLAK KUTU 255-205 HAM TENEKE 2 PARÇA,M00086,Alaçatı Süt Gıda San. A.Ş.,STKB26000461,RF904073,9547,406,115,41.4,0,28.93,0.7783,8.28,2.981,4.32,E,E
905691,IE26905691,A02,ISLEM,2026-07-30 11:04:00,198,1482,MNT-11,MONTAJ,O,OP03,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,M00004,Ünlüoğlu Reçel Gıda San. A.Ş.,SIP26006575,RF905691,1155,9,139.7,6.6,0,4.44,0.7794,7.94,0.375,3.41,E,E
901760,IE26901760,A02,ISLEM,2026-07-30 13:29:00,53,288,MNT-12,MONTAJ,O,OP04,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,M00006,Nordwind Oy,STKB26000465,RF901760,221,2,55.3,1.2,25.6,1.14,0.7674,4.811,0.104,5.22,E,E
901478,IE26901478,A02,ISLEM,2026-07-30 12:43:00,99,9985,DJT-01,DIJITAL,O,OP02,KALP KUTU 160-090 LITOGRAFI 3 PARÇA,M00057,Alaçatı Reçel San. ve Tic. A.Ş.,SIP26006846,RF901478,8605,274,142.5,35.4,69.2,19.74,0.8618,7.79,1.935,3.28,E,E
902048,IE26902048,A02,ISLEM,2026-07-30 12:46:00,96,2114,MNT-13,MONTAJ,O,OP03,KAPAK 090-065 HAM TENEKE 2 PARÇA,M00001,Efelik Tarım Koll. Şti.,STK26000997,RF902048,344,69,100.1,8.3,0,5.65,0.1627,9.193,0.762,5.51,E,E
903940,IE26903940,A02,ISLEM,2026-07-30 11:25:00,177,12291,MNT-14,MONTAJ,O,OP04,SEKIZGEN KUTU 135-145 LITOGRAFI 3 PARÇA,M00042,Ovacıklı Tarım San. ve Tic. A.Ş.,SIP26006720,RF903940,5555,544,39.7,82.9,118.5,78.46,0.452,1.694,3.537,2.56,E,H
903453,IE25903453,A02,ISLEM,2026-07-30 06:39:00,463,634,MNT-07,MONTAJ,O,OP04,DIKDORTGEN KUTU 185-115 LITOGRAFI 2 PARÇA,M00219,Bozkırlı Süt San. Tic. Ltd. Şti.,STK25000714,RF903453,321,12,131.6,4.8,0,4.14,0.5063,5.878,0.214,2.68,E,H
900341,IE25900341,A02,ISLEM,2026-07-30 07:37:00,405,978,MNT-05,MONTAJ,O,OP03,TEPSI Ø068 VERNIKLI 3 PARÇA,M00032,Nordwind Oy,SIP25005276,RF900341,424,33,118.4,3.1,29.3,2.76,0.4335,7.597,0.199,3.85,E,E
905581,IE25905581,A01,HAZIRLIK,2026-07-30 12:21:00,121,149,PRS-21,PRES,O,OP03,YUVARLAK-SIVAMA KUTU Ø068 HAM TENEKE 2 PARÇA,M00029,Nordwind Oy,SIP25004831,RF905581,26,4,125.9,1,71.2,0.69,0.1745,9.317,0.074,4.44,E,E
905396,IE25905396,A01,HAZIRLIK,2026-07-30 07:16:00,426,5022,MNT-03,MONTAJ,O,OP03,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,M00013,Ardıçlı Süt Gıda San. A.Ş.,SIP25004534,RF905396,3294,99,48.6,31.3,86.5,21.28,0.6559,0.891,0.574,1.1,E,H
901277,IE25901277,A02,ISLEM,2026-07-30 13:31:00,51,4837,MNT-07,MONTAJ,O,OP04,KOSELI SIVAMA KUTU 210-080 MAT LAK 2 PARÇA,M00299,Grünfeld Oy,STKB25000286,RF901277,312,38,18.6,21.8,25.1,19.65,0.0645,1.237,1.45,3.99,E,E
906082,IE26906082,A02,ISLEM,2026-07-30 04:23:00,599,1265,MNT-08,MONTAJ,O,OP04,TEPSI 325-125 MAT LAK 3 PARÇA,M00002,Poyrazlı Boya Koll. Şti.,SIP26006284,RF906082,362,32,141.1,14,35,8.53,0.2862,11.406,1.132,4.85,E,E
908027,IE26908027,A01,HAZIRLIK,2026-07-30 05:57:00,505,1011,MNT-01,MONTAJ,O,OP04,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,M00006,Nordwind Oy,SIP26006662,RF908027,675,35,60,4.2,39.2,3.43,0.6677,4.67,0.327,4.67,E,E
902960,IE26902960,A02,ISLEM,2026-07-30 11:18:00,184,3927,PRS-15,PRES,O,OP02,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,M00006,Orhanlı Reçel Ltd. Şti.,SIP26006371,RF902960,419,16,85.1,14.5,0,10.81,0.1067,4.34,0.739,3.06,E,E
900895,IE26900895,A01,HAZIRLIK,2026-07-30 13:14:00,68,12249,MNT-07,MONTAJ,O,OP04,OVAL KUTU 295-165 VERNIKLI 2 PARÇA,M00019,Ünlüoğlu Reçel Gıda San. A.Ş.,SIP26006022,RF900895,2362,220,71.9,82.8,51.7,50.13,0.1928,2.145,2.47,1.79,E,H
905979,IE25905979,A02,ISLEM,2026-07-30 11:02:00,200,300,DJT-01,DIJITAL,O,OP02,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,M00004,Zümrütlü Kozmetik Gıda San. A.Ş.,SIP25004862,RF905979,48,5,32.5,2.6,59.2,2.32,0.16,2.941,0.235,5.43,E,E
907641,IE25907641,A01,HAZIRLIK,2026-07-30 10:00:00,262,1485,KSM-03,KESIM,O,OP01,YUVARLAK KUTU 210-255 LITOGRAFI 2 PARÇA,M00020,Alaçatı Süt Gıda San. A.Ş.,SIP25004248,RF907641,678,15,88.4,21.1,2.9,16.49,0.4566,3.963,0.946,2.69,E,H
905394,IE25905394,A02,ISLEM,2026-07-30 09:34:00,288,5013,KSM-05,KESIM,O,OP01,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,M00013,Ardıçlı Süt Gıda San. A.Ş.,SIP25004534,RF905394,4005,81,133.5,19.5,9,18.17,0.7989,12.66,1.849,5.69,E,E
902028,IE25902028,A02,ISLEM,2026-07-30 04:22:00,600,1490,KSM-06,KESIM,O,OP01,KAPAK 090-065 MAT LAK 3 PARÇA,M00021,Vişneli Reçel San. ve Tic. A.Ş.,SIP25004069,RF902028,488,26,138.6,6.7,61.6,5.31,0.3275,5.174,0.25,2.24,E,E
902362,IE26902362,A01,HAZIRLIK,2026-07-30 13:20:00,62,75,MNT-14,MONTAJ,O,OP03,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,M00003,Orhanlı Kahve Koll. Şti.,SIP26006656,RF902362,16,3,64.5,1.3,0,0.96,0.2133,3.644,0.073,3.39,E,E
907184,IE25907184,A02,ISLEM,2026-07-30 09:26:00,296,1220,MNT-04,MONTAJ,O,OP03,YUVARLAK KUTU 135-145 LITOGRAFI 2 PARÇA,M00052,Gümüşdere Çay Ltd. Şti.,SIP25004478,RF907184,875,4,28.4,16,0,9.51,0.7172,1.657,0.933,3.5,E,E
906505,IE26906505,A01,HAZIRLIK,2026-07-30 06:21:00,481,741,MNT-06,MONTAJ,O,OP04,YUVARLAK KUTU Ø050 VERNIKLI 2 PARÇA,M00136,Alaçatı Süt Gıda San. A.Ş.,SIP26005803,RF906505,486,1,70.9,4,0,3.03,0.6559,6.381,0.36,5.4,E,E
906821,IE26906821,A01,HAZIRLIK,2026-07-30 05:34:00,528,2543,KSM-06,KESIM,O,OP01,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,M00003,Ferahlı Ambalaj Gıda San. A.Ş.,SIP26006767,RF906821,576,104,119.8,13.6,18.6,8.87,0.2265,10.922,1.24,5.47,E,E
903189,IE25903189,A01,HAZIRLIK,2026-07-30 09:13:00,309,248,MNT-08,MONTAJ,O,OP04,YUVARLAK KUTU 245-175 VERNIKLI 3 PARÇA,M00009,Vişneli Reçel San. ve Tic. A.Ş.,STKB25000295,RF903189,92,6,85.1,2.1,8.4,1.69,0.371,4.312,0.106,3.04,E,E
903156,IE26903156,A01,HAZIRLIK,2026-07-30 07:56:00,386,292,DJT-01,DIJITAL,O,OP02,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,M00007,Yaylalı Süt San. Tic. Ltd. Şti.,STK26000853,RF903156,219,2,106.8,1.9,88,1.1,0.75,3.151,0.056,1.77,E,E
906929,IE26906929,A02,ISLEM,2026-07-30 10:58:00,204,2105,MNT-13,MONTAJ,O,OP04,TEPSI 325-125 MAT LAK 3 PARÇA,M00002,Ferahlı Ambalaj Gıda San. A.Ş.,SIP26005867,RF906929,1419,26,29.1,23.3,35.4,22.51,0.6741,1.601,1.282,3.3,E,E
903651,IE26903651,A01,HAZIRLIK,2026-07-30 10:56:00,206,4949,MNT-11,MONTAJ,O,OP03,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,M00014,Hisarlı Zeytin A.Ş.,SIP26006535,RF903651,1332,119,37.8,24.1,99.7,17.45,0.2691,3.698,2.358,5.87,E,E
907086,IE26907086,A02,ISLEM,2026-07-30 05:33:00,529,763,MNT-14,MONTAJ,O,OP04,SEKILLI KUTU 175-205 MAT LAK 3 PARÇA,M00053,Alaçatı Endüstri Ltd. Şti.,SIP26006288,RF907086,328,24,27.3,3.1,19.1,2.73,0.4299,2.339,0.266,5.14,E,E
