INCKEYNO,TAKIP_ID,ISEMRINO,TARIH,YIL,HAFTA,BASLANGICTARIH,BITISTARIHSAAT,DEVAM_EDIYOR,URETILENMIKTAR,FIREMIKTAR,ACIKLAMA,BRUT_SURE,MOLA,NET_SURE,AKTIVITEKODU,AKTIVITE_ADI,ARIZAKODU,ARIZA_ADI,SURE_DAHIL,HAZIRLIK,ISLEM,ARIZA,HATBOS,STDSURE_ISLEM,KONFIGURASYON_ID,STANDARTHAZIRLIK,STANDARTMIKTAR,STANDARTSURE,ADDK
3000038,900019,IE25900019,2025-10-19,2025,42,2025-10-19 07:00:00,2025-10-19 07:55:30,0,0,0,,58.8,3.3,55.5,A01,HAZIRLIK,,,E,55.5,0,0,0,5.5,1019,50,1000,45.385,52.6
3000039,900019,IE25900019,2025-10-19,2025,42,2025-10-19 07:55:30,2025-10-19 08:01:42,0,1405,37,,6.6,0.4,6.2,A02,ISLEM,,,E,0,6.2,0,29.5,5.9,1019,50,1000,45.385,144.5
3000040,900019,IE25900019,2025-10-19,2025,42,2025-10-19 08:01:42,2025-10-19 08:27:48,0,0,0,Malzeme Bekleme,27.7,1.6,26.1,A03,DURMA,AR06,Malzeme Bekleme,H,0,0,26.1,0,5.1,1019,50,1000,45.385,311.6
3000041,900020,IE25900020,2025-10-20,2025,43,2025-10-20 17:45:00,2025-10-20 18:51:00,0,0,0,,70,4,66,A01,HAZIRLIK,,,E,66,0,0,0,14.1,1020,59.4,1000,41.463,251.9
3000042,900020,IE25900020,2025-10-20,2025,43,2025-10-20 18:51:00,2025-10-20 19:04:00,0,1440,16,,13.8,0.8,13,A02,ISLEM,,,E,0,13,0,11.5,13.6,1020,59.4,1000,41.463,328.1
3000043,900020,IE25900020,2025-10-20,2025,43,2025-10-20 19:04:00,2025-10-20 20:23:12,0,0,0,Kalıp Değişimi,84,4.8,79.2,A03,DURMA,AR01,Kalıp Değişimi,H,0,0,79.2,0,10.8,1020,59.4,1000,41.463,117.5
3000044,900021,IE25900021,2025-10-21,2025,43,2025-10-21 13:30:00,2025-10-21 14:29:48,0,0,0,,63.4,3.6,59.8,A01,HAZIRLIK,,,E,59.8,0,0,0,9.3,1021,53.8,1000,41.202,118.2
3000045,900021,IE25900021,2025-10-21,2025,43,2025-10-21 14:29:48,2025-10-21 14:40:48,0,1403,43,,11.7,0.7,11,A02,ISLEM,,,E,0,11,0,16.7,8.9,1021,53.8,1000,41.202,162.5
3000046,900021,IE25900021,2025-10-21,2025,43,2025-10-21 14:40:48,2025-10-21 15:41:30,0,0,0,Ayar / Numune Onayı,64.3,3.6,60.7,A03,DURMA,AR05,Ayar / Numune Onayı,H,0,0,60.7,0,9,1021,53.8,1000,41.202,174.1
3000047,900022,IE26900022,2026-06-18,2026,25,2026-06-18 13:45:00,2026-06-18 15:17:12,0,0,0,,97.7,5.5,92.2,A01,HAZIRLIK,,,E,92.2,0,0,0,15.6,1022,83,1000,17.919,263.3
3000048,900022,IE26900022,2026-06-18,2026,25,2026-06-18 15:17:12,2026-06-18 15:34:42,0,3074,7,,18.6,1.1,17.5,A02,ISLEM,,,E,0,17.5,0,0,14.3,1022,83,1000,17.919,177.1
3000049,900023,IE26900023,2026-06-19,2026,25,2026-06-19 15:45:00,2026-06-19 17:09:54,0,0,0,,90,5.1,84.9,A01,HAZIRLIK,,,E,84.9,0,0,0,19.8,1023,76.4,1000,20.874,45.6
3000050,900023,IE26900023,2026-06-19,2026,25,2026-06-19 17:09:54,2026-06-19 17:29:36,0,3035,65,,20.9,1.2,19.7,A02,ISLEM,,,E,0,19.7,0,0,18.8,1023,76.4,1000,20.874,336.7
3000051,900024,IE26900024,2026-06-20,2026,25,2026-06-20 18:15:00,2026-06-20 19:16:00,0,0,0,,64.7,3.7,61,A01,HAZIRLIK,,,E,61,0,0,0,29.8,1024,54.9,1000,20.644,297.6
3000052,900024,IE26900024,2026-06-20,2026,25,2026-06-20 19:16:00,2026-06-20 19:52:42,0,3053,101,,38.9,2.2,36.7,A02,ISLEM,,,E,0,36.7,0,18.3,30.5,1024,54.9,1000,20.644,150.2
3000053,900024,IE26900024,2026-06-20,2026,25,2026-06-20 19:52:42,2026-06-20 20:23:30,0,0,0,Kalıp Değişimi,32.6,1.8,30.8,A03,DURMA,AR01,Kalıp Değişimi,H,0,0,30.8,0,37.9,1024,54.9,1000,20.644,165.4
3000054,900025,IE26900025,2026-06-21,2026,25,2026-06-21 14:15:00,2026-06-21 15:15:00,0,0,0,,63.6,3.6,60,A01,HAZIRLIK,,,E,60,0,0,0,10.7,1025,54,1000,20.923,133.8
3000055,900025,IE26900025,2026-06-21,2026,25,2026-06-21 15:15:00,2026-06-21 15:25:00,0,3046,76,,10.6,0.6,10,A02,ISLEM,,,E,0,10,0,30.1,8.7,1025,54,1000,20.923,204.9
3000056,900025,IE26900025,2026-06-21,2026,25,2026-06-21 15:25:00,2026-06-21 15:48:18,0,0,0,Ayar / Numune Onayı,24.7,1.4,23.3,A03,DURMA,AR05,Ayar / Numune Onayı,H,0,0,23.3,0,10.5,1025,54,1000,20.923,93
3000057,900026,IE26900026,2026-05-25,2026,22,2026-05-25 14:30:00,2026-05-25 16:25:06,0,0,0,,122,6.9,115.1,A01,HAZIRLIK,,,E,115.1,0,0,0,1.8,1026,103.6,1000,122.341,122.5
3000058,900026,IE26900026,2026-05-25,2026,22,2026-05-25 16:25:06,2026-05-25 16:27:06,0,487,5,,2.1,0.1,2,A02,ISLEM,,,E,0,2,0,19.8,1.8,1026,103.6,1000,122.341,76.3
3000059,900027,IE26900027,2026-05-26,2026,22,2026-05-26 19:30:00,2026-05-26 19:56:06,0,0,0,,27.7,1.6,26.1,A01,HAZIRLIK,,,E,26.1,0,0,0,2.2,1027,23.5,1000,108.958,59.1
3000060,900027,IE26900027,2026-05-26,2026,22,2026-05-26 19:56:06,2026-05-26 19:58:06,0,499,9,,2.1,0.1,2,A02,ISLEM,,,E,0,2,0,5.3,1.8,1027,23.5,1000,108.958,180.4
3000061,900027,IE26900027,2026-05-26,2026,22,2026-05-26 19:58:06,2026-05-26 20:13:12,0,0,0,Sac Sıkışması,16,0.9,15.1,A03,DURMA,AR07,Sac Sıkışması,H,0,0,15.1,0,1.9,1027,23.5,1000,108.958,327.2
3000062,900028,IE26900028,2026-05-27,2026,22,2026-05-27 09:30:00,2026-05-27 09:57:54,0,0,0,,29.6,1.7,27.9,A01,HAZIRLIK,,,E,27.9,0,0,0,1.5,1028,25.1,1000,116.032,160.1
3000063,900028,IE26900028,2026-05-27,2026,22,2026-05-27 09:57:54,2026-05-27 09:59:36,0,503,3,,1.8,0.1,1.7,A02,ISLEM,,,E,0,1.7,0,7.8,1.4,1028,25.1,1000,116.032,253.7
3000064,900028,IE26900028,2026-05-27,2026,22,2026-05-27 09:59:36,2026-05-27 10:34:12,0,0,0,Kalıp Değişimi,36.7,2.1,34.6,A03,DURMA,AR01,Kalıp Değişimi,H,0,0,34.6,0,1.4,1028,25.1,1000,116.032,100.8
3000065,900029,IE26900029,2026-05-28,2026,22,2026-05-28 19:15:00,2026-05-28 20:39:12,0,0,0,,89.3,5.1,84.2,A01,HAZIRLIK,,,E,84.2,0,0,0,1.7,1029,75.8,1000,107.692,186.8
3000066,900029,IE26900029,2026-05-28,2026,22,2026-05-28 20:39:12,2026-05-28 20:41:00,0,496,12,,1.9,0.1,1.8,A02,ISLEM,,,E,0,1.8,0,0,1.5,1029,75.8,1000,107.692,315.5
3000067,900030,IE26900030,2026-04-14,2026,16,2026-04-14 14:15:00,2026-04-14 16:31:24,0,0,0,,144.6,8.2,136.4,A01,HAZIRLIK,,,E,136.4,0,0,0,91.4,1030,122.8,1000,6.843,218.8
3000068,900030,IE26900030,2026-04-14,2026,16,2026-04-14 16:31:24,2026-04-14 18:12:06,0,7177,156,,106.7,6,100.7,A02,ISLEM,,,E,0,100.7,0,4.1,95.8,1030,122.8,1000,6.843,154.3
3000069,900031,IE26900031,2026-04-15,2026,16,2026-04-15 13:15:00,2026-04-15 14:01:48,0,0,0,,49.6,2.8,46.8,A01,HAZIRLIK,,,E,46.8,0,0,0,20.6,1031,42.1,1000,8.122,235.5
3000070,900031,IE26900031,2026-04-15,2026,16,2026-04-15 14:01:48,2026-04-15 14:25:24,0,6835,372,,25,1.4,23.6,A02,ISLEM,,,E,0,23.6,0,16.2,18.9,1031,42.1,1000,8.122,287.1
3000071,900032,IE26900032,2026-04-16,2026,16,2026-04-16 20:00:00,2026-04-16 21:21:42,0,0,0,,86.6,4.9,81.7,A01,HAZIRLIK,,,E,81.7,0,0,0,104.6,1032,73.5,1000,10.249,296.8
3000072,900032,IE26900032,2026-04-16,2026,16,2026-04-16 21:21:42,2026-04-16 23:05:00,0,7251,97,,109.5,6.2,103.3,A02,ISLEM,,,E,0,103.3,0,17.6,90.8,1032,73.5,1000,10.249,157.1
3000073,900032,IE26900032,2026-04-16,2026,16,2026-04-16 23:05:00,2026-04-16 23:16:24,0,0,0,Personel Yetersizliği,12.1,0.7,11.4,A03,DURMA,AR12,Personel Yetersizliği,H,0,0,11.4,0,95.7,1032,73.5,1000,10.249,162.5
3000074,900033,IE25900033,2025-12-31,2025,1,2025-12-31 20:45:00,2025-12-31 21:35:30,0,0,0,,53.5,3,50.5,A01,HAZIRLIK,,,E,50.5,0,0,0,8.7,1033,45.5,1000,76.944,259
3000075,900033,IE25900033,2025-12-31,2025,1,2025-12-31 21:35:30,2025-12-31 21:45:18,0,705,21,,10.4,0.6,9.8,A02,ISLEM,,,E,0,9.8,0,15.4,10.1,1033,45.5,1000,76.944,284.1
3000076,900034,IE26900034,2026-01-01,2026,1,2026-01-01 06:00:00,2026-01-01 07:52:42,0,0,0,,119.5,6.8,112.7,A01,HAZIRLIK,,,E,112.7,0,0,0,2.8,1034,101.4,1000,67.712,326.4
3000077,900034,IE26900034,2026-01-01,2026,1,2026-01-01 07:52:42,2026-01-01 07:55:24,0,731,13,,2.9,0.2,2.7,A02,ISLEM,,,E,0,2.7,0,12.7,2.7,1034,101.4,1000,67.712,86.8
3000078,900034,IE26900034,2026-01-01,2026,1,2026-01-01 07:55:24,2026-01-01 08:29:48,0,0,0,Kalıp Değişimi,36.5,2.1,34.4,A03,DURMA,AR01,Kalıp Değişimi,H,0,0,34.4,0,2.3,1034,101.4,1000,67.712,202.3
3000079,900035,IE26900035,2026-01-02,2026,1,2026-01-02 20:45:00,2026-01-02 21:05:18,0,0,0,,21.5,1.2,20.3,A01,HAZIRLIK,,,E,20.3,0,0,0,4,1035,18.3,1000,67.34,128.4
3000080,900035,IE26900035,2026-01-02,2026,1,2026-01-02 21:05:18,2026-01-02 21:10:12,0,701,24,,5.2,0.3,4.9,A02,ISLEM,,,E,0,4.9,0,16.5,4.6,1035,18.3,1000,67.34,339.4
3000081,900035,IE26900035,2026-01-02,2026,1,2026-01-02 21:10:12,2026-01-02 21:16:06,0,0,0,Kalite Duruşu,6.3,0.4,5.9,A03,DURMA,AR11,Kalite Duruşu,H,0,0,5.9,0,4.2,1035,18.3,1000,67.34,318.9
3000082,900036,IE26900036,2026-01-03,2026,1,2026-01-03 17:45:00,2026-01-03 19:16:18,0,0,0,,96.8,5.5,91.3,A01,HAZIRLIK,,,E,91.3,0,0,0,2.6,1036,82.2,1000,65.029,263.7
3000083,900036,IE26900036,2026-01-03,2026,1,2026-01-03 19:16:18,2026-01-03 19:19:30,0,736,3,,3.4,0.2,3.2,A02,ISLEM,,,E,0,3.2,0,8.8,3.4,1036,82.2,1000,65.029,153.9
3000084,900036,IE26900036,2026-01-03,2026,1,2026-01-03 19:19:30,2026-01-03 19:35:42,0,0,0,Kalıp Değişimi,17.2,1,16.2,A03,DURMA,AR01,Kalıp Değişimi,H,0,0,16.2,0,2.9,1036,82.2,1000,65.029,337.7
3000085,900041,IE26900041,2026-06-20,2026,25,2026-06-20 10:45:00,2026-06-20 12:10:24,0,0,0,,90.5,5.1,85.4,A01,HAZIRLIK,,,E,85.4,0,0,0,1.9,1001,76.9,1000,193.686,302
3000086,900041,IE26900041,2026-06-20,2026,25,2026-06-20 12:10:24,2026-06-20 12:12:18,0,250,2,,2,0.1,1.9,A02,ISLEM,,,E,0,1.9,0,12,1.5,1001,76.9,1000,193.686,250.5
3000087,900042,IE26900042,2026-06-21,2026,25,2026-06-21 13:30:00,2026-06-21 14:50:18,0,0,0,,85.1,4.8,80.3,A01,HAZIRLIK,,,E,80.3,0,0,0,2.7,1002,72.3,1000,168.475,204.4
3000088,900042,IE26900042,2026-06-21,2026,25,2026-06-21 14:50:18,2026-06-21 14:53:30,0,243,9,,3.4,0.2,3.2,A02,ISLEM,,,E,0,3.2,0,8.5,2.6,1002,72.3,1000,168.475,49.9
3000089,900042,IE26900042,2026-06-21,2026,25,2026-06-21 14:53:30,2026-06-21 15:54:12,0,0,0,Kalite Duruşu,64.3,3.6,60.7,A03,DURMA,AR11,Kalite Duruşu,H,0,0,60.7,0,3.1,1002,72.3,1000,168.475,283
3000090,900043,IE26900043,2026-06-22,2026,26,2026-06-22 11:15:00,2026-06-22 12:44:24,0,0,0,,94.8,5.4,89.4,A01,HAZIRLIK,,,E,89.4,0,0,0,1.3,1003,80.5,1000,164.859,262.3
3000091,900043,IE26900043,2026-06-22,2026,26,2026-06-22 12:44:24,2026-06-22 12:45:48,0,237,4,,1.5,0.1,1.4,A02,ISLEM,,,E,0,1.4,0,0.1,1.5,1003,80.5,1000,164.859,278
3000092,900043,IE26900043,2026-06-22,2026,26,2026-06-22 12:45:48,2026-06-22 13:20:30,0,0,0,Kalıp Değişimi,36.8,2.1,34.7,A03,DURMA,AR01,Kalıp Değişimi,H,0,0,34.7,0,1.4,1003,80.5,1000,164.859,246.1
3000093,900044,IE26900044,2026-06-23,2026,26,2026-06-23 10:45:00,2026-06-23 11:23:06,0,0,0,,40.4,2.3,38.1,A01,HAZIRLIK,,,E,38.1,0,0,0,2,1004,34.3,1000,164.12,195.5
3000094,900044,IE26900044,2026-06-23,2026,26,2026-06-23 11:23:06,2026-06-23 11:25:12,0,249,1,,2.2,0.1,2.1,A02,ISLEM,,,E,0,2.1,0,32.8,2.1,1004,34.3,1000,164.12,165.7
3000095,900045,IE26900045,2026-01-16,2026,3,2026-01-16 16:30:00,2026-01-16 18:36:18,0,0,0,,133.9,7.6,126.3,A01,HAZIRLIK,,,E,126.3,0,0,0,3.1,1005,113.7,1000,76.667,301.8
3000096,900045,IE26900045,2026-01-16,2026,3,2026-01-16 18:36:18,2026-01-16 18:39:54,0,982,14,,3.8,0.2,3.6,A02,ISLEM,,,E,0,3.6,0,1.3,3.4,1005,113.7,1000,76.667,54
3000097,900045,IE26900045,2026-01-16,2026,3,2026-01-16 18:39:54,2026-01-16 18:56:48,0,0,0,Mekanik Arıza,17.9,1,16.9,A03,DURMA,AR03,Mekanik Arıza,H,0,0,16.9,0,3.2,1005,113.7,1000,76.667,59.7
3000098,900046,IE26900046,2026-01-17,2026,3,2026-01-17 18:00:00,2026-01-17 19:30:18,0,0,0,,95.7,5.4,90.3,A01,HAZIRLIK,,,E,90.3,0,0,0,5.5,1006,81.3,1000,52.467,206.8
3000099,900046,IE26900046,2026-01-17,2026,3,2026-01-17 19:30:18,2026-01-17 19:35:18,0,959,22,,5.3,0.3,5,A02,ISLEM,,,E,0,5,0,0,4.9,1006,81.3,1000,52.467,153
3000100,900046,IE26900046,2026-01-17,2026,3,2026-01-17 19:35:18,2026-01-17 19:56:12,0,0,0,Planlı Bakım,22.2,1.3,20.9,A03,DURMA,AR08,Planlı Bakım,H,0,0,20.9,0,4.2,1006,81.3,1000,52.467,275.1
3000101,900047,IE26900047,2026-01-18,2026,3,2026-01-18 10:30:00,2026-01-18 11:36:42,0,0,0,,70.7,4,66.7,A01,HAZIRLIK,,,E,66.7,0,0,0,5.9,1007,60,1000,73.64,261.7
3000102,900047,IE26900047,2026-01-18,2026,3,2026-01-18 11:36:42,2026-01-18 11:42:36,0,996,17,,6.3,0.4,5.9,A02,ISLEM,,,E,0,5.9,0,17.7,6.3,1007,60,1000,73.64,50.7
3000103,900048,IE26900048,2026-01-19,2026,4,2026-01-19 07:45:00,2026-01-19 09:10:06,0,0,0,,90.2,5.1,85.1,A01,HAZIRLIK,,,E,85.1,0,0,0,4.7,1008,76.6,1000,63.098,92.8
3000104,900048,IE26900048,2026-01-19,2026,4,2026-01-19 09:10:06,2026-01-19 09:15:06,0,984,23,,5.3,0.3,5,A02,ISLEM,,,E,0,5,0,19.4,5.2,1008,76.6,1000,63.098,153.7
3000105,900048,IE26900048,2026-01-19,2026,4,2026-01-19 09:15:06,2026-01-19 10:03:42,0,0,0,Kalıp Değişimi,51.5,2.9,48.6,A03,DURMA,AR01,Kalıp Değişimi,H,0,0,48.6,0,4.8,1008,76.6,1000,63.098,43.4
3000106,900049,IE26900049,2026-07-12,2026,28,2026-07-12 13:15:00,2026-07-12 13:59:18,0,0,0,,47,2.7,44.3,A01,HAZIRLIK,,,E,44.3,0,0,0,8.5,1009,39.9,1000,38.656,266.6
3000107,900049,IE26900049,2026-07-12,2026,28,2026-07-12 13:59:18,2026-07-12 14:07:36,0,1424,23,,8.8,0.5,8.3,A02,ISLEM,,,E,0,8.3,0,11,8.7,1009,39.9,1000,38.656,98.7
3000108,900049,IE26900049,2026-07-12,2026,28,2026-07-12 14:07:36,2026-07-12 14:54:00,0,0,0,Kalıp Değişimi,49.2,2.8,46.4,A03,DURMA,AR01,Kalıp Değişimi,H,0,0,46.4,0,9,1009,39.9,1000,38.656,332.4
3000109,900050,IE26900050,2026-07-13,2026,29,2026-07-13 13:45:00,2026-07-13 14:21:36,0,0,0,,38.8,2.2,36.6,A01,HAZIRLIK,,,E,36.6,0,0,0,15.1,1010,32.9,1000,41.153,159.4
3000110,900050,IE26900050,2026-07-13,2026,29,2026-07-13 14:21:36,2026-07-13 14:39:18,0,1408,32,,18.8,1.1,17.7,A02,ISLEM,,,E,0,17.7,0,17.3,15.1,1010,32.9,1000,41.153,269.8
3000111,900050,IE26900050,2026-07-13,2026,29,2026-07-13 14:39:18,2026-07-13 14:46:48,0,0,0,Kalıp Değişimi,7.9,0.4,7.5,A03,DURMA,AR01,Kalıp Değişimi,H,0,0,7.5,0,18.8,1010,32.9,1000,41.153,77.8
