ID,BUGUNMU,TARIH,CALISMA_GRUP,KisiSayisi
73,FALSE,2026-06-29,MATBAA,8
74,FALSE,2026-06-29,DİJİTAL,4
75,FALSE,2026-06-29,MONTAJ,48
76,FALSE,2026-06-29,MONTAJ_USTA,5
77,FALSE,2026-06-29,MONTAJ_MEYDAN,8
78,FALSE,2026-06-30,PRES,26
79,FALSE,2026-06-30,KESİM,10
80,FALSE,2026-06-30,MATBAA,9
81,FALSE,2026-06-30,DİJİTAL,4
82,FALSE,2026-06-30,MONTAJ,48
83,FALSE,2026-06-30,MONTAJ_USTA,6
84,FALSE,2026-06-30,MONTAJ_MEYDAN,9
85,FALSE,2026-07-01,PRES,23
86,FALSE,2026-07-01,KESİM,11
87,FALSE,2026-07-01,MATBAA,9
88,FALSE,2026-07-01,DİJİTAL,3
89,FALSE,2026-07-01,MONTAJ,42
90,FALSE,2026-07-01,MONTAJ_USTA,6
91,FALSE,2026-07-01,MONTAJ_MEYDAN,9
92,FALSE,2026-07-02,PRES,26
93,FALSE,2026-07-02,KESİM,11
94,FALSE,2026-07-02,MATBAA,8
95,FALSE,2026-07-02,DİJİTAL,3
96,FALSE,2026-07-02,MONTAJ,55
97,FALSE,2026-07-02,MONTAJ_USTA,6
98,FALSE,2026-07-02,MONTAJ_MEYDAN,8
99,FALSE,2026-07-03,PRES,28
100,FALSE,2026-07-03,KESİM,9
101,FALSE,2026-07-03,MATBAA,8
102,FALSE,2026-07-03,DİJİTAL,4
103,FALSE,2026-07-03,MONTAJ,56
104,FALSE,2026-07-03,MONTAJ_USTA,5
105,FALSE,2026-07-03,MONTAJ_MEYDAN,9
106,FALSE,2026-07-06,PRES,30
107,FALSE,2026-07-06,KESİM,7
108,FALSE,2026-07-06,MATBAA,9
109,FALSE,2026-07-06,DİJİTAL,4
110,FALSE,2026-07-06,MONTAJ,49
111,FALSE,2026-07-06,MONTAJ_USTA,5
112,FALSE,2026-07-06,MONTAJ_MEYDAN,8
113,FALSE,2026-07-07,PRES,26
114,FALSE,2026-07-07,KESİM,11
115,FALSE,2026-07-07,MATBAA,7
116,FALSE,2026-07-07,DİJİTAL,4
117,FALSE,2026-07-07,MONTAJ,51
118,FALSE,2026-07-07,MONTAJ_USTA,5
119,FALSE,2026-07-07,MONTAJ_MEYDAN,7
120,FALSE,2026-07-08,PRES,22
121,FALSE,2026-07-08,KESİM,9
122,FALSE,2026-07-08,MATBAA,8
123,FALSE,2026-07-08,DİJİTAL,3
124,FALSE,2026-07-08,MONTAJ,50
125,FALSE,2026-07-08,MONTAJ_USTA,6
126,FALSE,2026-07-08,MONTAJ_MEYDAN,8
127,FALSE,2026-07-09,PRES,27
128,FALSE,2026-07-09,KESİM,8
129,FALSE,2026-07-09,MATBAA,9
130,FALSE,2026-07-09,DİJİTAL,4
131,FALSE,2026-07-09,MONTAJ,54
132,FALSE,2026-07-09,MONTAJ_USTA,4
133,FALSE,2026-07-09,MONTAJ_MEYDAN,10
134,FALSE,2026-07-10,PRES,30
135,FALSE,2026-07-10,KESİM,11
136,FALSE,2026-07-10,MATBAA,8
137,FALSE,2026-07-10,DİJİTAL,4
138,FALSE,2026-07-10,MONTAJ,39
139,FALSE,2026-07-10,MONTAJ_USTA,5
140,FALSE,2026-07-10,MONTAJ_MEYDAN,7
141,FALSE,2026-07-13,PRES,21
142,FALSE,2026-07-13,KESİM,11
143,FALSE,2026-07-13,MATBAA,9
144,FALSE,2026-07-13,DİJİTAL,3
145,FALSE,2026-07-13,MONTAJ,50
146,FALSE,2026-07-13,MONTAJ_USTA,4
147,FALSE,2026-07-13,MONTAJ_MEYDAN,11
148,FALSE,2026-07-14,PRES,27
149,FALSE,2026-07-14,KESİM,11
150,FALSE,2026-07-14,MATBAA,7
151,FALSE,2026-07-14,DİJİTAL,4
152,FALSE,2026-07-14,MONTAJ,45
153,FALSE,2026-07-14,MONTAJ_USTA,6
154,FALSE,2026-07-14,MONTAJ_MEYDAN,9
155,FALSE,2026-07-15,PRES,25
156,FALSE,2026-07-15,KESİM,12
157,FALSE,2026-07-15,MATBAA,7
158,FALSE,2026-07-15,DİJİTAL,3
159,FALSE,2026-07-15,MONTAJ,40
160,FALSE,2026-07-15,MONTAJ_USTA,5
161,FALSE,2026-07-15,MONTAJ_MEYDAN,9
162,FALSE,2026-07-16,PRES,23
163,FALSE,2026-07-16,KESİM,9
164,FALSE,2026-07-16,MATBAA,8
165,FALSE,2026-07-16,DİJİTAL,5
166,FALSE,2026-07-16,MONTAJ,42
167,FALSE,2026-07-16,MONTAJ_USTA,6
168,FALSE,2026-07-16,MONTAJ_MEYDAN,10
169,FALSE,2026-07-17,PRES,28
170,FALSE,2026-07-17,KESİM,10
171,FALSE,2026-07-17,MATBAA,8
172,FALSE,2026-07-17,DİJİTAL,4
173,FALSE,2026-07-17,MONTAJ,46
174,FALSE,2026-07-17,MONTAJ_USTA,5
175,FALSE,2026-07-17,MONTAJ_MEYDAN,8
176,FALSE,2026-07-20,PRES,27
177,FALSE,2026-07-20,KESİM,9
178,FALSE,2026-07-20,MATBAA,10
179,FALSE,2026-07-20,DİJİTAL,3
180,FALSE,2026-07-20,MONTAJ,45
181,FALSE,2026-07-20,MONTAJ_USTA,6
182,FALSE,2026-07-20,MONTAJ_MEYDAN,8
183,FALSE,2026-07-21,PRES,26
184,FALSE,2026-07-21,KESİM,11
185,FALSE,2026-07-21,MATBAA,8
186,FALSE,2026-07-21,DİJİTAL,4
187,FALSE,2026-07-21,MONTAJ,50
188,FALSE,2026-07-21,MONTAJ_USTA,5
189,FALSE,2026-07-21,MONTAJ_MEYDAN,9
190,FALSE,2026-07-22,PRES,31
191,FALSE,2026-07-22,KESİM,9
192,FALSE,2026-07-22,MATBAA,10
193,FALSE,2026-07-22,DİJİTAL,3
194,FALSE,2026-07-22,MONTAJ,48
195,FALSE,2026-07-22,MONTAJ_USTA,5
196,FALSE,2026-07-22,MONTAJ_MEYDAN,11
197,FALSE,2026-07-23,PRES,21
198,FALSE,2026-07-23,KESİM,8
199,FALSE,2026-07-23,MATBAA,10
200,FALSE,2026-07-23,DİJİTAL,4
201,FALSE,2026-07-23,MONTAJ,42
202,FALSE,2026-07-23,MONTAJ_USTA,6
203,FALSE,2026-07-23,MONTAJ_MEYDAN,8
204,FALSE,2026-07-24,PRES,25
205,FALSE,2026-07-24,KESİM,11
206,FALSE,2026-07-24,MATBAA,9
207,FALSE,2026-07-24,DİJİTAL,3
208,FALSE,2026-07-24,MONTAJ,44
209,FALSE,2026-07-24,MONTAJ_USTA,6
210,FALSE,2026-07-24,MONTAJ_MEYDAN,9
211,FALSE,2026-07-27,PRES,26
212,FALSE,2026-07-27,KESİM,9
213,FALSE,2026-07-27,MATBAA,9
214,FALSE,2026-07-27,DİJİTAL,4
215,FALSE,2026-07-27,MONTAJ,52
216,FALSE,2026-07-27,MONTAJ_USTA,5
217,FALSE,2026-07-27,MONTAJ_MEYDAN,9
218,FALSE,2026-07-28,PRES,24
219,FALSE,2026-07-28,KESİM,10
220,FALSE,2026-07-28,MATBAA,9
221,FALSE,2026-07-28,DİJİTAL,3
222,FALSE,2026-07-28,MONTAJ,41
223,FALSE,2026-07-28,MONTAJ_USTA,7
224,FALSE,2026-07-28,MONTAJ_MEYDAN,6
225,FALSE,2026-07-29,PRES,22
226,FALSE,2026-07-29,KESİM,14
227,FALSE,2026-07-29,MATBAA,8
228,FALSE,2026-07-29,DİJİTAL,3
229,FALSE,2026-07-29,MONTAJ,45
230,FALSE,2026-07-29,MONTAJ_USTA,7
231,FALSE,2026-07-29,MONTAJ_MEYDAN,7
232,TRUE,2026-07-30,PRES,28
233,TRUE,2026-07-30,KESİM,11
234,TRUE,2026-07-30,MATBAA,7
235,TRUE,2026-07-30,DİJİTAL,3
236,TRUE,2026-07-30,MONTAJ,53
237,TRUE,2026-07-30,MONTAJ_USTA,5
238,TRUE,2026-07-30,MONTAJ_MEYDAN,9
