STOK_KODU,STOK_ADI,GRUP_KODU,GRUP_ADI,KOD_1,AD1,KOD_2,AD2,KOD_3,AD3,KOD_4,AD4,KOD_5,AD5
M00021,SEKIZGEN KUTU 174-128 LITOGRAFI 3 PARÇA,01,Mamul,SK07,Sekizgen Kutu,KA2,Boya-Kimya,174-128,Kalıp 174-128,B1,Litografi,P3,3 Parça
M00022,SEKILLI KUTU 114-076 HAM TENEKE 3 PARÇA,01,Mamul,SK08,Sekilli Kutu,KA6,Bal-Reçel,114-076,Kalıp 114-076,B3,Ham Teneke,P3,3 Parça
M00023,SEKILLI KUTU 146-112 MAT LAK 2 PARÇA,01,Mamul,SK08,Sekilli Kutu,KA3,Kozmetik,146-112,Kalıp 146-112,B4,Mat Lak,P2,2 Parça
M00024,SEKILLI KUTU 186-148 VERNIKLI 2 PARÇA,01,Mamul,SK08,Sekilli Kutu,KA3,Kozmetik,186-148,Kalıp 186-148,B2,Vernikli,P2,2 Parça
M00025,KALP KUTU 108-046 LITOGRAFI 2 PARÇA,01,Mamul,SK09,Kalp Kutu,KA2,Boya-Kimya,108-046,Kalıp 108-046,B1,Litografi,P2,2 Parça
M00026,KALP KUTU 134-064 LITOGRAFI 2 PARÇA,01,Mamul,SK09,Kalp Kutu,KA1,Gıda,134-064,Kalıp 134-064,B1,Litografi,P2,2 Parça
M00027,KALP KUTU 172-088 MAT LAK 3 PARÇA,01,Mamul,SK09,Kalp Kutu,KA5,Endüstriyel,172-088,Kalıp 172-088,B4,Mat Lak,P3,3 Parça
M00028,KOSELI SIVAMA KUTU 092-056 HAM TENEKE 2 PARÇA,01,Mamul,SK10,Koseli Sivama Kutu,KA5,Endüstriyel,092-056,Kalıp 092-056,B3,Ham Teneke,P2,2 Parça
M00029,KOSELI SIVAMA KUTU 126-086 MAT LAK 2 PARÇA,01,Mamul,SK10,Koseli Sivama Kutu,KA1,Gıda,126-086,Kalıp 126-086,B4,Mat Lak,P2,2 Parça
M00030,KOSELI SIVAMA KUTU 158-114 VERNIKLI 2 PARÇA,01,Mamul,SK10,Koseli Sivama Kutu,KA4,Hediyelik,158-114,Kalıp 158-114,B2,Vernikli,P2,2 Parça
M00031,TEPSI 216-032 MAT LAK 2 PARÇA,01,Mamul,SK11,Tepsi,KA3,Kozmetik,216-032,Kalıp 216-032,B4,Mat Lak,P2,2 Parça
M00032,TEPSI 268-044 MAT LAK 2 PARÇA,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,268-044,Kalıp 268-044,B4,Mat Lak,P2,2 Parça
M00033,TEPSI 312-058 LITOGRAFI 3 PARÇA,01,Mamul,SK11,Tepsi,KA4,Hediyelik,312-058,Kalıp 312-058,B1,Litografi,P3,3 Parça
M00034,KAPAK 084-022 LITOGRAFI 3 PARÇA,01,Mamul,SK12,Kapak,KA4,Hediyelik,084-022,Kalıp 084-022,B1,Litografi,P3,3 Parça
M00035,KAPAK 116-028 MAT LAK 2 PARÇA,01,Mamul,SK12,Kapak,KA5,Endüstriyel,116-028,Kalıp 116-028,B4,Mat Lak,P2,2 Parça
M00036,KAPAK 148-034 HAM TENEKE 2 PARÇA,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,148-034,Kalıp 148-034,B3,Ham Teneke,P2,2 Parça
M00037,SADECE DIP 078-018 HAM TENEKE 3 PARÇA,01,Mamul,SK13,Sadece Dip,KA1,Gıda,078-018,Kalıp 078-018,B3,Ham Teneke,P3,3 Parça
M00038,SADECE DIP 106-024 MAT LAK 3 PARÇA,01,Mamul,SK13,Sadece Dip,KA2,Boya-Kimya,106-024,Kalıp 106-024,B4,Mat Lak,P3,3 Parça
M00039,SADECE DIP 142-030 MAT LAK 3 PARÇA,01,Mamul,SK13,Sadece Dip,KA2,Boya-Kimya,142-030,Kalıp 142-030,B4,Mat Lak,P3,3 Parça
M00040,SADECE KAPAK 094-020 VERNIKLI 3 PARÇA,01,Mamul,SK14,Sadece Kapak,KA5,Endüstriyel,094-020,Kalıp 094-020,B2,Vernikli,P3,3 Parça
M00041,SADECE KAPAK 128-026 HAM TENEKE 3 PARÇA,01,Mamul,SK14,Sadece Kapak,KA1,Gıda,128-026,Kalıp 128-026,B3,Ham Teneke,P3,3 Parça
M00042,SADECE KAPAK 162-032 LITOGRAFI 2 PARÇA,01,Mamul,SK14,Sadece Kapak,KA4,Hediyelik,162-032,Kalıp 162-032,B1,Litografi,P2,2 Parça
M00043,TEL MEKANIZMALI KUTU 138-104 VERNIKLI 3 PARÇA,01,Mamul,SK15,Tel Mekanizmali Kutu,KA4,Hediyelik,138-104,Kalıp 138-104,B2,Vernikli,P3,3 Parça
M00044,TEL MEKANIZMALI KUTU 176-132 MAT LAK 2 PARÇA,01,Mamul,SK15,Tel Mekanizmali Kutu,KA2,Boya-Kimya,176-132,Kalıp 176-132,B4,Mat Lak,P2,2 Parça
M00045,TEL MEKANIZMALI KUTU 224-166 MAT LAK 3 PARÇA,01,Mamul,SK15,Tel Mekanizmali Kutu,KA3,Kozmetik,224-166,Kalıp 224-166,B4,Mat Lak,P3,3 Parça
M00046,PLAKA-BARDAK ALTI 186-012 HAM TENEKE 3 PARÇA,01,Mamul,SK16,Plaka-Bardak Alti,KA4,Hediyelik,186-012,Kalıp 186-012,B3,Ham Teneke,P3,3 Parça
M00047,PLAKA-BARDAK ALTI 232-016 VERNIKLI 2 PARÇA,01,Mamul,SK16,Plaka-Bardak Alti,KA2,Boya-Kimya,232-016,Kalıp 232-016,B2,Vernikli,P2,2 Parça
M00048,PLAKA-BARDAK ALTI 286-020 LITOGRAFI 2 PARÇA,01,Mamul,SK16,Plaka-Bardak Alti,KA5,Endüstriyel,286-020,Kalıp 286-020,B1,Litografi,P2,2 Parça
M00049,YUVARLAK KUTU 073-062 MAT LAK 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,073-062,Kalıp 073-062,B4,Mat Lak,P3,3 Parça
M00050,YUVARLAK KUTU 099-084 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,099-084,Kalıp 099-084,B1,Litografi,P2,2 Parça
M00051,YUVARLAK-SIVAMA KUTU 066-048 HAM TENEKE 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA5,Endüstriyel,066-048,Kalıp 066-048,B3,Ham Teneke,P2,2 Parça
M00052,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,073-062,Kalıp 073-062,B2,Vernikli,P3,3 Parça
M00053,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,073-062,Kalıp 073-062,B2,Vernikli,P3,3 Parça
M00054,YUVARLAK KUTU 073-062 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,073-062,Kalıp 073-062,B1,Litografi,P2,2 Parça
M00055,OVAL KUTU 164-092 MAT LAK 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA2,Boya-Kimya,164-092,Kalıp 164-092,B4,Mat Lak,P3,3 Parça
M00056,OVAL KUTU 208-136 VERNIKLI 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA2,Boya-Kimya,208-136,Kalıp 208-136,B2,Vernikli,P3,3 Parça
M00057,KAPAK 148-034 LITOGRAFI 3 PARÇA,01,Mamul,SK12,Kapak,KA1,Gıda,148-034,Kalıp 148-034,B1,Litografi,P3,3 Parça
M00058,KARE KUTU 132-108 VERNIKLI 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA1,Gıda,132-108,Kalıp 132-108,B2,Vernikli,P3,3 Parça
M00059,PLAKA-BARDAK ALTI 286-020 VERNIKLI 2 PARÇA,01,Mamul,SK16,Plaka-Bardak Alti,KA3,Kozmetik,286-020,Kalıp 286-020,B2,Vernikli,P2,2 Parça
M00060,YUVARLAK-SIVAMA KUTU 112-096 VERNIKLI 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA2,Boya-Kimya,112-096,Kalıp 112-096,B2,Vernikli,P3,3 Parça
M00061,YUVARLAK KUTU 153-118 MAT LAK 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,153-118,Kalıp 153-118,B4,Mat Lak,P3,3 Parça
M00062,OVAL KUTU 164-092 VERNIKLI 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA5,Endüstriyel,164-092,Kalıp 164-092,B2,Vernikli,P3,3 Parça
M00063,KAPAK 116-028 VERNIKLI 2 PARÇA,01,Mamul,SK12,Kapak,KA1,Gıda,116-028,Kalıp 116-028,B2,Vernikli,P2,2 Parça
M00064,DIKDORTGEN KUTU 118-058 VERNIKLI 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA5,Endüstriyel,118-058,Kalıp 118-058,B2,Vernikli,P3,3 Parça
M00065,YUVARLAK-SIVAMA KUTU 066-048 VERNIKLI 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA4,Hediyelik,066-048,Kalıp 066-048,B2,Vernikli,P2,2 Parça
M00066,DIKDORTGEN KUTU 118-058 LITOGRAFI 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA4,Hediyelik,118-058,Kalıp 118-058,B1,Litografi,P3,3 Parça
M00067,SEKILLI KUTU 114-076 LITOGRAFI 2 PARÇA,01,Mamul,SK08,Sekilli Kutu,KA6,Bal-Reçel,114-076,Kalıp 114-076,B1,Litografi,P2,2 Parça
M00068,YUVARLAK-SIVAMA KUTU 112-096 MAT LAK 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA6,Bal-Reçel,112-096,Kalıp 112-096,B4,Mat Lak,P2,2 Parça
M00069,DIKDORTGEN KUTU 156-082 VERNIKLI 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA1,Gıda,156-082,Kalıp 156-082,B2,Vernikli,P3,3 Parça
M00070,TEL MEKANIZMALI KUTU 224-166 LITOGRAFI 3 PARÇA,01,Mamul,SK15,Tel Mekanizmali Kutu,KA2,Boya-Kimya,224-166,Kalıp 224-166,B1,Litografi,P3,3 Parça
M00071,KOSELI SIVAMA KUTU 092-056 VERNIKLI 3 PARÇA,01,Mamul,SK10,Koseli Sivama Kutu,KA1,Gıda,092-056,Kalıp 092-056,B2,Vernikli,P3,3 Parça
M00072,TEPSI 216-032 VERNIKLI 2 PARÇA,01,Mamul,SK11,Tepsi,KA2,Boya-Kimya,216-032,Kalıp 216-032,B2,Vernikli,P2,2 Parça
M00073,SADECE DIP 142-030 MAT LAK 3 PARÇA,01,Mamul,SK13,Sadece Dip,KA2,Boya-Kimya,142-030,Kalıp 142-030,B4,Mat Lak,P3,3 Parça
M00074,YUVARLAK-SIVAMA KUTU 112-096 LITOGRAFI 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA2,Boya-Kimya,112-096,Kalıp 112-096,B1,Litografi,P2,2 Parça
M00075,YUVARLAK KUTU 099-084 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,099-084,Kalıp 099-084,B3,Ham Teneke,P3,3 Parça
M00076,YUVARLAK KUTU 153-118 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,153-118,Kalıp 153-118,B3,Ham Teneke,P3,3 Parça
M00077,DIKDORTGEN KUTU 118-058 MAT LAK 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA4,Hediyelik,118-058,Kalıp 118-058,B4,Mat Lak,P3,3 Parça
M00078,TEL MEKANIZMALI KUTU 176-132 VERNIKLI 2 PARÇA,01,Mamul,SK15,Tel Mekanizmali Kutu,KA5,Endüstriyel,176-132,Kalıp 176-132,B2,Vernikli,P2,2 Parça
M00079,YUVARLAK-SIVAMA KUTU 066-048 HAM TENEKE 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA6,Bal-Reçel,066-048,Kalıp 066-048,B3,Ham Teneke,P3,3 Parça
M00080,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,073-062,Kalıp 073-062,B2,Vernikli,P3,3 Parça
M00081,KARE KUTU 105-072 LITOGRAFI 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA3,Kozmetik,105-072,Kalıp 105-072,B1,Litografi,P2,2 Parça
M00082,YUVARLAK KUTU 099-084 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,099-084,Kalıp 099-084,B2,Vernikli,P2,2 Parça
M00083,YUVARLAK-SIVAMA KUTU 066-048 VERNIKLI 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,066-048,Kalıp 066-048,B2,Vernikli,P3,3 Parça
M00084,KARE KUTU 132-108 HAM TENEKE 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA6,Bal-Reçel,132-108,Kalıp 132-108,B3,Ham Teneke,P3,3 Parça
M00085,KARE KUTU 132-108 HAM TENEKE 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA3,Kozmetik,132-108,Kalıp 132-108,B3,Ham Teneke,P3,3 Parça
M00086,KARE KUTU 168-142 VERNIKLI 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA3,Kozmetik,168-142,Kalıp 168-142,B2,Vernikli,P2,2 Parça
M00087,YUVARLAK-SIVAMA KUTU 088-071 VERNIKLI 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA6,Bal-Reçel,088-071,Kalıp 088-071,B2,Vernikli,P2,2 Parça
M00088,SADECE KAPAK 128-026 LITOGRAFI 3 PARÇA,01,Mamul,SK14,Sadece Kapak,KA6,Bal-Reçel,128-026,Kalıp 128-026,B1,Litografi,P3,3 Parça
M00089,KARE KUTU 132-108 VERNIKLI 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA5,Endüstriyel,132-108,Kalıp 132-108,B2,Vernikli,P3,3 Parça
M00090,YUVARLAK KUTU 153-118 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,153-118,Kalıp 153-118,B1,Litografi,P2,2 Parça
M00091,KARE KUTU 105-072 HAM TENEKE 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA5,Endüstriyel,105-072,Kalıp 105-072,B3,Ham Teneke,P3,3 Parça
M00092,OVAL KUTU 164-092 VERNIKLI 2 PARÇA,01,Mamul,SK05,Oval Kutu,KA6,Bal-Reçel,164-092,Kalıp 164-092,B2,Vernikli,P2,2 Parça
M00093,TEPSI 216-032 VERNIKLI 2 PARÇA,01,Mamul,SK11,Tepsi,KA1,Gıda,216-032,Kalıp 216-032,B2,Vernikli,P2,2 Parça
M00094,DIKDORTGEN KUTU 118-058 MAT LAK 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA1,Gıda,118-058,Kalıp 118-058,B4,Mat Lak,P3,3 Parça
M00095,YUVARLAK KUTU 073-062 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,073-062,Kalıp 073-062,B1,Litografi,P2,2 Parça
M00096,KAPAK 148-034 HAM TENEKE 2 PARÇA,01,Mamul,SK12,Kapak,KA1,Gıda,148-034,Kalıp 148-034,B3,Ham Teneke,P2,2 Parça
M00097,YUVARLAK-SIVAMA KUTU 112-096 HAM TENEKE 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA1,Gıda,112-096,Kalıp 112-096,B3,Ham Teneke,P2,2 Parça
M00098,YUVARLAK KUTU 099-084 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,099-084,Kalıp 099-084,B2,Vernikli,P3,3 Parça
M00099,TEPSI 216-032 VERNIKLI 3 PARÇA,01,Mamul,SK11,Tepsi,KA3,Kozmetik,216-032,Kalıp 216-032,B2,Vernikli,P3,3 Parça
M00100,OVAL KUTU 128-066 HAM TENEKE 2 PARÇA,01,Mamul,SK05,Oval Kutu,KA2,Boya-Kimya,128-066,Kalıp 128-066,B3,Ham Teneke,P2,2 Parça
M00101,TEL MEKANIZMALI KUTU 176-132 HAM TENEKE 3 PARÇA,01,Mamul,SK15,Tel Mekanizmali Kutu,KA4,Hediyelik,176-132,Kalıp 176-132,B3,Ham Teneke,P3,3 Parça
M00102,TEPSI 312-058 LITOGRAFI 2 PARÇA,01,Mamul,SK11,Tepsi,KA1,Gıda,312-058,Kalıp 312-058,B1,Litografi,P2,2 Parça
M00103,KAPAK 148-034 HAM TENEKE 2 PARÇA,01,Mamul,SK12,Kapak,KA3,Kozmetik,148-034,Kalıp 148-034,B3,Ham Teneke,P2,2 Parça
M00104,ALTIGEN KUTU 096-054 MAT LAK 3 PARÇA,01,Mamul,SK06,Altıgen Kutu,KA5,Endüstriyel,096-054,Kalıp 096-054,B4,Mat Lak,P3,3 Parça
M00105,YUVARLAK-SIVAMA KUTU 112-096 LITOGRAFI 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA1,Gıda,112-096,Kalıp 112-096,B1,Litografi,P2,2 Parça
M00106,OVAL KUTU 164-092 HAM TENEKE 2 PARÇA,01,Mamul,SK05,Oval Kutu,KA5,Endüstriyel,164-092,Kalıp 164-092,B3,Ham Teneke,P2,2 Parça
M00107,PLAKA-BARDAK ALTI 186-012 VERNIKLI 3 PARÇA,01,Mamul,SK16,Plaka-Bardak Alti,KA4,Hediyelik,186-012,Kalıp 186-012,B2,Vernikli,P3,3 Parça
M00108,OVAL KUTU 128-066 LITOGRAFI 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA5,Endüstriyel,128-066,Kalıp 128-066,B1,Litografi,P3,3 Parça
M00109,YUVARLAK KUTU 073-062 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,073-062,Kalıp 073-062,B4,Mat Lak,P2,2 Parça
M00110,OVAL KUTU 208-136 LITOGRAFI 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA1,Gıda,208-136,Kalıp 208-136,B1,Litografi,P3,3 Parça
M00111,YUVARLAK KUTU 153-118 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,153-118,Kalıp 153-118,B2,Vernikli,P2,2 Parça
M00112,YUVARLAK KUTU 153-118 HAM TENEKE 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,153-118,Kalıp 153-118,B3,Ham Teneke,P2,2 Parça
M00113,OVAL KUTU 208-136 MAT LAK 2 PARÇA,01,Mamul,SK05,Oval Kutu,KA4,Hediyelik,208-136,Kalıp 208-136,B4,Mat Lak,P2,2 Parça
M00114,YUVARLAK-SIVAMA KUTU 066-048 HAM TENEKE 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,066-048,Kalıp 066-048,B3,Ham Teneke,P3,3 Parça
M00115,OVAL KUTU 164-092 VERNIKLI 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA1,Gıda,164-092,Kalıp 164-092,B2,Vernikli,P3,3 Parça
M00116,KAPAK 084-022 MAT LAK 3 PARÇA,01,Mamul,SK12,Kapak,KA1,Gıda,084-022,Kalıp 084-022,B4,Mat Lak,P3,3 Parça
M00117,YUVARLAK KUTU 153-118 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,153-118,Kalıp 153-118,B4,Mat Lak,P2,2 Parça
M00118,KARE KUTU 168-142 VERNIKLI 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA6,Bal-Reçel,168-142,Kalıp 168-142,B2,Vernikli,P2,2 Parça
M00119,KAPAK 148-034 LITOGRAFI 3 PARÇA,01,Mamul,SK12,Kapak,KA3,Kozmetik,148-034,Kalıp 148-034,B1,Litografi,P3,3 Parça
M00120,ALTIGEN KUTU 096-054 VERNIKLI 3 PARÇA,01,Mamul,SK06,Altıgen Kutu,KA5,Endüstriyel,096-054,Kalıp 096-054,B2,Vernikli,P3,3 Parça
M00121,KARE KUTU 168-142 HAM TENEKE 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA6,Bal-Reçel,168-142,Kalıp 168-142,B3,Ham Teneke,P2,2 Parça
M00122,YUVARLAK-SIVAMA KUTU 088-071 HAM TENEKE 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,088-071,Kalıp 088-071,B3,Ham Teneke,P2,2 Parça
M00123,OVAL KUTU 208-136 HAM TENEKE 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA2,Boya-Kimya,208-136,Kalıp 208-136,B3,Ham Teneke,P3,3 Parça
M00124,YUVARLAK KUTU 153-118 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,153-118,Kalıp 153-118,B3,Ham Teneke,P3,3 Parça
M00125,SEKIZGEN KUTU 102-068 LITOGRAFI 2 PARÇA,01,Mamul,SK07,Sekizgen Kutu,KA5,Endüstriyel,102-068,Kalıp 102-068,B1,Litografi,P2,2 Parça
M00126,YUVARLAK-SIVAMA KUTU 112-096 MAT LAK 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA4,Hediyelik,112-096,Kalıp 112-096,B4,Mat Lak,P3,3 Parça
M00127,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,073-062,Kalıp 073-062,B2,Vernikli,P3,3 Parça
M00128,KAPAK 148-034 HAM TENEKE 2 PARÇA,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,148-034,Kalıp 148-034,B3,Ham Teneke,P2,2 Parça
M00129,YUVARLAK-SIVAMA KUTU 088-071 VERNIKLI 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA4,Hediyelik,088-071,Kalıp 088-071,B2,Vernikli,P3,3 Parça
M00130,DIKDORTGEN KUTU 118-058 LITOGRAFI 2 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA4,Hediyelik,118-058,Kalıp 118-058,B1,Litografi,P2,2 Parça
M00131,YUVARLAK KUTU 099-084 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,099-084,Kalıp 099-084,B1,Litografi,P2,2 Parça
M00132,TEPSI 268-044 MAT LAK 3 PARÇA,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,268-044,Kalıp 268-044,B4,Mat Lak,P3,3 Parça
M00133,KOSELI SIVAMA KUTU 092-056 HAM TENEKE 2 PARÇA,01,Mamul,SK10,Koseli Sivama Kutu,KA3,Kozmetik,092-056,Kalıp 092-056,B3,Ham Teneke,P2,2 Parça
M00134,YUVARLAK KUTU 153-118 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,153-118,Kalıp 153-118,B2,Vernikli,P3,3 Parça
M00135,YUVARLAK-SIVAMA KUTU 066-048 HAM TENEKE 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA1,Gıda,066-048,Kalıp 066-048,B3,Ham Teneke,P2,2 Parça
M00136,KARE KUTU 168-142 VERNIKLI 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA5,Endüstriyel,168-142,Kalıp 168-142,B2,Vernikli,P2,2 Parça
