TAKIP_ID,BAS_TAR,BIT_TAR,ISEMRINO,REFISEMRINO,SIPARIS_NO,STOKKODU,STOK_ADI,ISTISIM,MRPMAKINENO,DEMIR_KODU,DEMIR_ISMI,ISEMRI_MIKTARI,URETILENMIKTAR,FIREMIKTAR,G_HAZIRLIK,G_ISLEM,DURUSSURE,ISLEM_DURUMU,OPKODU,CARI_KODU,CARI_ISIM,KONFIG_ID,KONFIG_ADI,STD_SURE,BANT_LIDERI,SEKILLENDIRME,KALITECI,PAKETLEMECI,PRES_OPR,PRES_ISTIFLEYICI,MAKAS_OPR,BASKI_OPR
905738,2026-07-30 10:18:00,,IE26905738,RF905738,SIP26006722,M00025,KALP KUTU 108-046 LITOGRAFI 2 PARÇA,PRES,11,PRS-11,PRES 11 · 25 TON KAPAK,2063,1039,11,58.6,35.3,6.6,ARIZA/DURUŞ,OP03,120.01.0066,Dörtyollu Kahve San. ve Tic. A.Ş.,1,TEK VARDİYA,0.356,0,0,0,0,1,3,0,0
902918,2026-07-31 20:22:00,,IE26902918,RF902918,STKB26000517,M00040,SADECE KAPAK 094-020 VERNIKLI 3 PARÇA,PRES,12,PRS-12,PRES 12 · 25 TON KAPAK,2455,0,0,114.5,11.1,10.6,PASIF,OP03,120.01.0094,Yaylalı Konserve San. ve Tic. A.Ş.,3,SÜREKLİ,0.7,0,0,0,0,1,1,0,0
900825,2026-07-30 09:53:00,,IE26900825,RF900825,SIP26006757,M00010,DIKDORTGEN KUTU 118-058 HAM TENEKE 3 PARÇA,PRES,13,PRS-13,PRES 13 · 35 TON KAPAK,1801,896,24,96.5,22.9,0,ISLEM,OP03,120.01.0011,Akkavak Şekerleme A.Ş.,1,TEK VARDİYA,2.406,0,0,1,0,1,2,0,0
900088,2026-07-30 11:22:00,,IE26900088,RF900088,SIP26006903,M00001,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,PRES,14,PRS-14,PRES 14 · 35 TON DİP,148,35,0,37.3,0.6,26.8,ISLEM,OP03,120.01.0038,Narlıcan Makine San. Tic. Ltd. Şti.,2,ÇİFT VARDİYA,2.873,0,0,0,0,2,3,0,0
907704,2026-07-30 07:43:00,,IE26907704,RF907704,SIP26006789,M00001,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,PRES,15,PRS-15,PRES 15 · 35 TON DİP,242,211,2,81,0.9,11.2,ISLEM,OP02,120.01.0106,Cevizli Ambalaj Gıda San. A.Ş.,3,SÜREKLİ,1.745,0,0,1,0,2,2,0,0
908200,2026-07-31 13:22:00,,IE26908200,RF908200,SIP26006804,M00001,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,PRES,16,PRS-16,PRES 16 · 16 TON KULP,153,0,0,38.2,1.6,43.8,PASIF,OP03,120.01.0001,Ardıçlı Boya San. Tic. Ltd. Şti.,1,TEK VARDİYA,3.428,0,0,0,0,2,2,0,0
902227,2026-07-31 19:22:00,,IE26902227,RF902227,SIP26006928,M00161,YUVARLAK-SIVAMA KUTU 088-071 VERNIKLI 3 PARÇA,PRES,17,PRS-17,PRES 17 · 16 TON KULP,1209,0,0,54.1,4.5,72.6,PASIF,OP03,120.01.0014,Kavaklıdere Zeytin Ltd. Şti.,3,SÜREKLİ,1.17,0,0,1,0,2,2,0,0
900821,2026-07-31 05:22:00,,IE26900821,RF900821,STK26001025,M00001,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,PRES,18,PRS-18,PRES 18 · 20 TON HALKA,623,0,0,33.4,6,31.6,PASIF,OP03,120.01.0006,Umutlu Konserve A.Ş.,2,ÇİFT VARDİYA,1.3,0,0,1,0,1,2,0,0
903300,2026-07-30 13:09:00,,IE26903300,RF903300,STK26001024,M00118,KARE KUTU 168-142 VERNIKLI 2 PARÇA,PRES,19,PRS-19,PRES 19 · 20 TON HALKA,297,258,11,62.6,2.6,95.4,ISLEM,OP03,120.01.0001,Ardıçlı Boya San. Tic. Ltd. Şti.,2,ÇİFT VARDİYA,1.913,0,0,1,0,2,2,0,0
905145,2026-07-30 09:48:00,,IE26905145,RF905145,SIP26006923,M00029,KOSELI SIVAMA KUTU 126-086 MAT LAK 2 PARÇA,PRES,20,PRS-20,PRES 20 · 45 TON ÇOK KADEMELİ,149,31,0,114.3,0.5,66,HAZIRLIK,OP03,120.01.0009,Ardıçlı Endüstri Koll. Şti.,1,TEK VARDİYA,1.933,0,0,0,0,1,2,0,0
904748,2026-07-30 10:50:00,,IE26904748,RF904748,SIP26006892,M00001,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,PRES,21,PRS-21,PRES 21 · 45 TON ÇOK KADEMELİ,612,194,2,48.4,6.3,27.1,ISLEM,OP03,120.01.0035,Marmarist Kahve A.Ş.,2,ÇİFT VARDİYA,3.05,0,0,0,0,2,3,0,0
907514,2026-07-31 01:22:00,,IE26907514,RF907514,SIP26006890,M00030,KOSELI SIVAMA KUTU 158-114 VERNIKLI 2 PARÇA,PRES,22,PRS-22,PRES 22 · 60 TON TRANSFER,1243,0,0,66.3,4.4,3.3,PASIF,OP03,120.01.0012,Dörtyollu Kimya Gıda San. A.Ş.,2,ÇİFT VARDİYA,2.657,0,0,0,0,2,3,0,0
902397,2026-07-30 10:56:00,,IE26902397,RF902397,SIP26006739,M00008,KARE KUTU 132-108 HAM TENEKE 2 PARÇA,PRES,23,PRS-23,PVC KAPLAMA HATTI 01,148,119,5,22.4,0.6,0,ISLEM,OP03,120.01.0007,Marmarist Tarım Ltd. Şti.,1,TEK VARDİYA,3.206,0,0,1,0,2,3,0,0
904344,2026-07-31 01:22:00,,IE26904344,RF904344,SIP26006718,M00074,YUVARLAK-SIVAMA KUTU 112-096 LITOGRAFI 2 PARÇA,KESIM,24,KSM-01,KESİM HATTI 01 · GİYOTİN,9856,0,0,64.2,92.3,4.6,PASIF,OP01,120.01.0001,Ardıçlı Boya San. Tic. Ltd. Şti.,3,SÜREKLİ,1.461,0,0,0,0,0,1,2,0
900019,2026-07-30 13:18:00,,IE26900019,RF900019,STK26001053,M00010,DIKDORTGEN KUTU 118-058 HAM TENEKE 3 PARÇA,KESIM,25,KSM-02,KESİM HATTI 02 · GİYOTİN,3082,1905,21,30.4,10.2,62.5,HAZIRLIK,OP01,120.01.0131,Vantel Foods GmbH,2,ÇİFT VARDİYA,2.153,0,0,0,0,0,2,1,0
901469,2026-07-30 07:17:00,,IE26901469,RF901469,SIP26006827,M00025,KALP KUTU 108-046 LITOGRAFI 2 PARÇA,KESIM,26,KSM-03,KESİM HATTI 03 · DİLİMLEME,8299,7122,19,132.8,67.8,44,ISLEM,OP01,120.01.0073,Bahçelik Salça A.Ş.,3,SÜREKLİ,0.872,0,0,0,0,0,1,1,0
902593,2026-07-30 07:49:00,,IE26902593,RF902593,SIP26006850,M00051,YUVARLAK-SIVAMA KUTU 066-048 HAM TENEKE 2 PARÇA,KESIM,27,KSM-04,KESİM HATTI 04 · DİLİMLEME,3003,2372,66,128.8,13,88,HAZIRLIK,OP01,120.01.0118,Dalyanlı Turşu San. ve Tic. A.Ş.,2,ÇİFT VARDİYA,0.601,0,0,0,0,0,1,2,0
900086,2026-07-30 07:09:00,,IE26900086,RF900086,SIP26006903,M00001,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,KESIM,28,KSM-05,KESİM HATTI 06 · KÖŞE KESME,145,38,1,92,2.3,62.7,ISLEM,OP01,120.01.0038,Narlıcan Makine San. Tic. Ltd. Şti.,1,TEK VARDİYA,0.915,0,0,0,0,0,2,2,0
902654,2026-07-31 08:22:00,,IE26902654,RF902654,SIP26006723,M00001,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,KESIM,29,KSM-06,KESİM HATTI 07 · KÖŞE KESME,618,0,0,34.9,2.3,0,PASIF,OP01,120.01.0020,Meridian Trading B.V.,3,SÜREKLİ,0.875,0,0,0,0,0,1,1,0
900914,2026-07-28 09:20:43,2026-07-28 15:36:47,IE26900914,RF900914,SIP26006852,M00054,YUVARLAK KUTU 073-062 LITOGRAFI 2 PARÇA,MATBAA,30,MTB-01,OFSET BASKI 01 · 4 RENK,2507,2431,47,73,10.1,53.2,KAPATILDI,OP02,120.01.0014,Kavaklıdere Zeytin Ltd. Şti.,3,SÜREKLİ,3.465,0,0,0,0,0,0,0,2
900820,2026-07-29 19:27:14,2026-07-30 01:06:14,IE26900820,RF900820,STK26001025,M00001,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,MATBAA,31,MTB-02,OFSET BASKI 02 · 4 RENK,600,594,12,93.7,3,30.4,TAMAMLANDI,OP02,120.01.0006,Umutlu Konserve A.Ş.,3,SÜREKLİ,2.564,0,0,0,0,0,0,0,1
906735,2026-07-31 13:22:00,,IE26906735,RF906735,STKB26000515,M00002,YUVARLAK KUTU 099-084 VERNIKLI 3 PARÇA,MATBAA,32,MTB-03,OFSET BASKI 03 · 2 RENK + VERNİK,1467,0,0,129.3,4.7,9.5,PASIF,OP02,120.01.0056,Mercanlı Konserve San. Tic. Ltd. Şti.,3,SÜREKLİ,2.346,0,0,0,1,0,0,0,2
900916,2026-07-30 11:06:00,,IE26900916,RF900916,SIP26006852,M00054,YUVARLAK KUTU 073-062 LITOGRAFI 2 PARÇA,MONTAJ,33,MNT-01,MONTAJ HATTI 01 · OTOMATİK,2510,2018,28,101.9,11,44.3,ISLEM,OP04,120.01.0014,Kavaklıdere Zeytin Ltd. Şti.,1,TEK VARDİYA,1.743,1,3,1,2,0,0,0,0
905516,2026-07-31 10:22:00,,IE26905516,RF905516,SIP26006680,M00001,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,MONTAJ,34,MNT-02,MONTAJ HATTI 02 · OTOMATİK,76,0,0,120.5,0.3,22.8,PASIF,OP04,120.01.0009,Ardıçlı Endüstri Koll. Şti.,3,SÜREKLİ,1.873,1,3,1,2,0,0,0,0
905900,2026-07-30 13:45:00,,IE26905900,RF905900,SIP26006889,M00234,DIKDORTGEN KUTU 192-124 LITOGRAFI 3 PARÇA,MONTAJ,35,MNT-03,MONTAJ HATTI 03 · OTOMATİK,3084,2027,47,93.3,15.4,24.1,HAZIRLIK,OP03,120.01.0014,Kavaklıdere Zeytin Ltd. Şti.,1,TEK VARDİYA,3.096,1,5,1,3,0,0,0,0
903631,2026-07-27 16:47:51,2026-07-27 18:37:28,IE26903631,RF903631,SIP26006921,M00021,SEKIZGEN KUTU 174-128 LITOGRAFI 3 PARÇA,MONTAJ,36,MNT-04,MONTAJ HATTI 04 · YARI OTOMATİK,293,290,1,48.6,4.4,32.5,TAMAMLANDI,OP04,120.01.0050,Çınaraltı Tarım A.Ş.,3,SÜREKLİ,2.951,1,6,2,1,0,0,0,0
906547,2026-07-31 07:22:00,,IE26906547,RF906547,SIP26006735,M00077,DIKDORTGEN KUTU 118-058 MAT LAK 3 PARÇA,MONTAJ,37,MNT-05,MONTAJ HATTI 05 · YARI OTOMATİK,2452,0,0,28.7,9.4,0,PASIF,OP04,120.01.0061,Narlıcan Konserve A.Ş.,1,TEK VARDİYA,1.202,1,4,2,1,0,0,0,0
900089,2026-07-30 11:21:00,,IE26900089,RF900089,SIP26006903,M00001,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,MONTAJ,38,MNT-06,MONTAJ HATTI 06 · YARI OTOMATİK,152,21,0,76.2,0.7,10,ISLEM,OP04,120.01.0038,Narlıcan Makine San. Tic. Ltd. Şti.,3,SÜREKLİ,0.831,1,5,1,2,0,0,0,0
901631,2026-07-30 06:58:00,,IE26901631,RF901631,SIP26006849,M00001,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,MONTAJ,39,MNT-07,MONTAJ HATTI 08 · SIVAMA,2489,1275,27,98.6,10.6,23.8,ISLEM,OP03,120.01.0001,Ardıçlı Boya San. Tic. Ltd. Şti.,1,TEK VARDİYA,1.56,1,6,2,1,0,0,0,0
903523,2026-07-30 11:13:00,,IE26903523,RF903523,SIP26006881,M00235,KARE KUTU 168-142 VERNIKLI 3 PARÇA,MONTAJ,40,MNT-08,MONTAJ HATTI 09 · SIVAMA,1237,988,1,95.4,4,28.6,ISLEM,OP03,120.01.0050,Çınaraltı Tarım A.Ş.,3,SÜREKLİ,2.653,1,2,1,3,0,0,0,0
903094,2026-07-28 22:28:39,2026-07-29 02:31:45,IE26903094,RF903094,SIP26006805,M00007,KARE KUTU 105-072 LITOGRAFI 3 PARÇA,MONTAJ,41,MNT-09,MONTAJ HATTI 10 · KAPAK,373,357,1,30,1.5,20.7,TAMAMLANDI,OP04,120.01.0010,Erikçi Zeytin A.Ş.,1,TEK VARDİYA,0.675,1,6,2,4,0,0,0,0
902919,2026-07-30 13:52:00,,IE26902919,RF902919,STKB26000517,M00040,SADECE KAPAK 094-020 VERNIKLI 3 PARÇA,MONTAJ,42,MNT-10,MONTAJ HATTI 11 · KAPAK,2499,1020,10,63.4,33.4,54.6,ISLEM,OP04,120.01.0094,Yaylalı Konserve San. ve Tic. A.Ş.,1,TEK VARDİYA,0.777,1,6,1,3,0,0,0,0
901774,2026-07-31 13:22:00,,IE26901774,RF901774,SIP26006904,M00002,YUVARLAK KUTU 099-084 VERNIKLI 3 PARÇA,MONTAJ,43,MNT-11,MONTAJ HATTI 13 · ÖZEL ŞEKİL,9869,0,0,62.2,97.1,0,PASIF,OP03,120.01.0001,Ardıçlı Boya San. Tic. Ltd. Şti.,1,TEK VARDİYA,1.258,1,4,1,2,0,0,0,0
900822,2026-07-30 15:22:00,,IE26900822,RF900822,STK26001025,M00001,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,MONTAJ,44,MNT-12,MONTAJ HATTI 14 · ÖZEL ŞEKİL,601,0,0,102.2,5.1,29.8,PASIF,OP04,120.01.0006,Umutlu Konserve A.Ş.,1,TEK VARDİYA,2.226,1,4,1,2,0,0,0,0
900087,2026-07-30 03:34:17,2026-07-30 08:04:30,IE26900087,RF900087,SIP26006903,M00001,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,DIJITAL,45,DJT-01,DİJİTAL BASKI 01,152,150,1,76.2,0.9,25.5,KAPATILDI,OP02,120.01.0038,Narlıcan Makine San. Tic. Ltd. Şti.,2,ÇİFT VARDİYA,1.778,0,0,0,1,0,0,0,2
903092,2026-07-30 11:56:00,,IE26903092,RF903092,SIP26006805,M00007,KARE KUTU 105-072 LITOGRAFI 3 PARÇA,DIJITAL,46,DJT-02,DİJİTAL BASKI 02,375,215,7,74.4,2.3,11.8,ARIZA/DURUŞ,OP02,120.01.0010,Erikçi Zeytin A.Ş.,1,TEK VARDİYA,2.236,0,0,1,0,0,0,0,2
902228,2026-07-30 07:59:00,,IE26902228,RF902228,SIP26006928,M00161,YUVARLAK-SIVAMA KUTU 088-071 VERNIKLI 3 PARÇA,MONTAJ,47,MNT-13,MANUEL SARIM 01,1250,990,19,135.7,5.6,1.5,ISLEM,OP04,120.01.0014,Kavaklıdere Zeytin Ltd. Şti.,1,TEK VARDİYA,2.717,1,6,2,1,0,0,0,0
903055,2026-07-31 13:22:00,,IE26903055,RF903055,SIP26006859,M00001,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,MONTAJ,48,MNT-14,MANUEL SARIM 02,369,0,0,77.6,1.3,12.4,PASIF,OP03,120.01.0012,Dörtyollu Kimya Gıda San. A.Ş.,2,ÇİFT VARDİYA,2.909,1,3,2,2,0,0,0,0
