ID,YIL,HAFTA,GRUP,TOPLAM
900188,2026,4,MONTAJ,365.6
900189,2026,3,KESIM,276.5
900190,2026,3,MATBAA,314.5
900191,2026,3,MONTAJ,183.4
900192,2025,34,KESIM,132.6
900193,2025,34,PRES,335
900194,2025,34,MONTAJ,211.4
900198,2026,20,KESIM,626.5
900199,2026,20,MATBAA,284.4
900200,2026,20,PRES,351.5
900201,2026,20,MONTAJ,343.1
900202,2026,27,KESIM,171.2
900203,2026,27,DIJITAL,376.9
900204,2026,27,PRES,208.8
900205,2026,27,MONTAJ,405.8
900206,2025,46,KESIM,143.8
900207,2025,46,MATBAA,510.9
900208,2025,46,MONTAJ,381.8
900209,2026,17,KESIM,408.8
900210,2026,17,MATBAA,135.4
900211,2026,17,PRES,295.8
900212,2026,17,MONTAJ,538.5
900213,2025,33,KESIM,342.1
900214,2025,33,PRES,216.8
900215,2025,33,MONTAJ,287.3
900216,2026,5,KESIM,485.8
900217,2026,5,MATBAA,330.1
900218,2026,5,MONTAJ,538.7
900219,2026,17,KESIM,445.3
900220,2026,17,MATBAA,406.9
900221,2026,17,MONTAJ,178.9
900222,2025,33,KESIM,189.1
900223,2025,33,DIJITAL,392.1
900224,2025,33,PRES,639.8
900225,2025,33,MONTAJ,435.9
900230,2025,51,KESIM,560.7
900231,2025,51,DIJITAL,281
900232,2025,51,PRES,333
900233,2025,52,MONTAJ,437.1
900234,2025,48,KESIM,217.4
900235,2025,48,PRES,147.7
900236,2025,48,MONTAJ,146.7
900237,2026,24,KESIM,495.9
900238,2026,24,DIJITAL,264.6
900239,2026,24,PRES,125.3
900240,2026,24,MONTAJ,399.2
900241,2026,24,KESIM,635.8
900242,2026,24,MATBAA,361.3
900243,2026,24,MONTAJ,221
900244,2025,28,KESIM,188.2
900245,2025,28,DIJITAL,495.2
900246,2025,28,PRES,181.3
900247,2025,28,MONTAJ,133.7
900248,2026,29,KESIM,132
900249,2026,29,MATBAA,283.7
900250,2026,29,PRES,450.1
900251,2026,29,MONTAJ,138.8
900252,2026,2,KESIM,298.6
900253,2026,2,DIJITAL,196.1
900254,2026,2,PRES,419.5
900255,2026,2,MONTAJ,211.7
900256,2025,26,KESIM,288.1
900257,2025,26,DIJITAL,565.1
900258,2025,26,PRES,528.1
900259,2025,26,MONTAJ,557.5
900260,2025,44,KESIM,571.1
900261,2025,44,MATBAA,342.5
900262,2025,44,PRES,193.7
900263,2025,45,MONTAJ,263.3
900264,2025,48,KESIM,285.4
900265,2025,48,DIJITAL,175.2
900266,2025,48,PRES,599.4
900267,2025,48,MONTAJ,452.9
900268,2025,50,KESIM,466.5
900269,2025,50,MATBAA,624.7
900270,2025,50,PRES,555
900271,2025,50,MONTAJ,159.4
900272,2026,11,KESIM,230
900273,2026,11,DIJITAL,129.7
900274,2026,11,PRES,146.9
900275,2026,11,MONTAJ,402
900276,2026,19,KESIM,182.1
900277,2026,20,PRES,408.4
900278,2026,20,MONTAJ,171.9
900279,2025,28,KESIM,213.7
900280,2025,29,PRES,438.3
900281,2025,29,MONTAJ,351.1
900282,2025,34,KESIM,165
900283,2025,34,MATBAA,183.7
900284,2025,34,MONTAJ,635.2
900285,2026,10,KESIM,638.9
900286,2026,10,MATBAA,425.5
900287,2026,10,MONTAJ,254.8
900288,2026,14,KESIM,506
900289,2026,14,MATBAA,557.7
900290,2026,14,MONTAJ,522.9
900295,2025,28,KESIM,604.5
900296,2025,28,DIJITAL,249.4
900297,2025,28,PRES,316.1
900298,2025,28,MONTAJ,584.2
900299,2026,12,KESIM,303.7
900300,2026,12,MATBAA,269.4
900301,2026,12,PRES,467
900302,2026,12,MONTAJ,567.9
900303,2025,30,KESIM,582.1
900304,2025,30,DIJITAL,589.5
900305,2025,30,PRES,143.2
900306,2025,30,MONTAJ,297.6
900311,2026,25,KESIM,328
900312,2026,25,DIJITAL,262.7
900313,2026,26,PRES,222.3
900314,2026,26,MONTAJ,137.1
900315,2025,52,KESIM,398.3
900316,2025,52,MATBAA,457.6
900317,2025,52,MONTAJ,384.2
900318,2026,11,KESIM,619.9
900319,2026,11,DIJITAL,513
900320,2026,12,PRES,450
900321,2026,12,MONTAJ,172.1
900325,2026,7,KESIM,250.6
900326,2026,7,MATBAA,401.4
900327,2026,7,MONTAJ,168.8
900328,2025,31,KESIM,303.4
900329,2025,31,MATBAA,154.7
900330,2025,31,PRES,404.3
900331,2025,31,MONTAJ,398.3
900335,2026,5,KESIM,622.4
900336,2026,5,DIJITAL,383.1
900337,2026,6,PRES,490.3
900338,2026,6,MONTAJ,387
900339,2025,49,KESIM,312.4
900340,2025,49,MATBAA,344.9
900341,2025,49,MONTAJ,455.3
900342,2026,4,KESIM,277.5
900343,2026,4,MATBAA,621.5
900344,2026,4,MONTAJ,345
900345,2026,25,KESIM,356.8
900346,2026,25,DIJITAL,367.2
900347,2026,26,PRES,334.5
900348,2026,26,MONTAJ,592.4
900349,2026,25,KESIM,222.7
900350,2026,25,MATBAA,222.5
900351,2026,25,PRES,462.2
900352,2026,25,MONTAJ,457.5
900353,2026,25,KESIM,214.3
900354,2026,25,MATBAA,423.1
900355,2026,25,MONTAJ,486.2
900356,2025,52,KESIM,541.4
900357,2025,52,MATBAA,508.3
900358,2025,52,MONTAJ,582.2
900359,2026,29,KESIM,329.7
900360,2026,29,MATBAA,143.5
900361,2026,30,MONTAJ,629.4
900362,2025,49,KESIM,513.7
900363,2025,49,MATBAA,337.4
900364,2025,49,MONTAJ,478.4
900365,2026,22,KESIM,604.9
900366,2026,22,MATBAA,144
900367,2026,23,PRES,178.8
900368,2026,23,MONTAJ,330.2
900369,2026,15,KESIM,281.4
900370,2026,15,PRES,501.2
900371,2026,15,MONTAJ,312.6
900372,2026,16,KESIM,155.7
900373,2026,16,PRES,204.1
900374,2026,16,MONTAJ,178.4
900375,2026,13,KESIM,223
900376,2026,13,MATBAA,270
900377,2026,13,PRES,546.7
900378,2026,13,MONTAJ,394.1
900379,2025,50,KESIM,228.2
900380,2025,50,PRES,242.1
900381,2025,50,MONTAJ,144.5
900382,2026,9,KESIM,498.9
900383,2026,9,PRES,578.9
900384,2026,9,MONTAJ,592.9
900385,2025,52,KESIM,347.1
900386,2025,52,MATBAA,227.9
900387,2025,1,MONTAJ,305
900388,2025,27,KESIM,243.9
900389,2025,27,DIJITAL,632.7
900390,2025,27,PRES,256.5
900391,2025,27,MONTAJ,519.1
900392,2025,44,KESIM,334.7
900393,2025,44,MATBAA,598.2
900394,2025,44,PRES,485.8
900395,2025,44,MONTAJ,407.9
900396,2025,28,KESIM,394.1
900397,2025,28,PRES,304.5
900398,2025,29,MONTAJ,403.7
900399,2025,36,KESIM,233.5
900400,2025,36,PRES,367.8
900401,2025,36,MONTAJ,453.5
900402,2025,32,KESIM,495.1
900403,2025,32,PRES,226.2
900404,2025,32,MONTAJ,394.2
900405,2025,43,KESIM,372.8
900406,2025,43,MATBAA,129.1
900407,2025,43,PRES,156.9
900408,2025,44,MONTAJ,272.8
900409,2026,17,KESIM,368.7
900410,2026,17,PRES,464.9
900411,2026,17,MONTAJ,165.1
900412,2026,16,KESIM,613.1
900413,2026,16,MATBAA,516
900414,2026,16,PRES,125.3
900415,2026,16,MONTAJ,389.9
900416,2025,31,KESIM,556
900417,2025,31,PRES,584.6
900418,2025,31,MONTAJ,120.1
900419,2026,23,KESIM,302.8
900420,2026,23,MATBAA,432.6
900421,2026,23,MONTAJ,174.4
900422,2026,9,KESIM,219.6
900423,2026,9,MATBAA,189
900424,2026,9,PRES,139.5
900425,2026,9,MONTAJ,384.5
900426,2026,19,KESIM,169.1
900427,2026,19,MATBAA,462.7
900428,2026,19,PRES,282.4
900429,2026,20,MONTAJ,173
900430,2025,37,KESIM,276.4
900431,2025,38,PRES,496
900432,2025,38,MONTAJ,571.6
900433,2025,44,KESIM,379.6
900434,2025,45,DIJITAL,619.7
900435,2025,45,PRES,251.7
900436,2025,45,MONTAJ,311
900437,2026,18,KESIM,602.6
900438,2026,18,MATBAA,601.6
900439,2026,19,MONTAJ,343.2
900440,2025,38,KESIM,340.4
900441,2025,38,MATBAA,515.3
900442,2025,38,PRES,532.3
900443,2025,38,MONTAJ,559.8
900444,2026,28,KESIM,204.2
900445,2026,28,DIJITAL,638.8
900446,2026,28,PRES,524.4
900447,2026,28,MONTAJ,123.5
900448,2026,23,KESIM,355.9
900449,2026,23,MATBAA,251
900450,2026,23,MONTAJ,434.3
900451,2025,30,KESIM,497.8
900452,2025,30,MATBAA,296
900453,2025,30,PRES,328.6
900454,2025,30,MONTAJ,554.6
900455,2026,14,KESIM,200.1
900456,2026,14,PRES,592.5
900457,2026,15,MONTAJ,211.9
900458,2026,23,KESIM,196.1
900459,2026,23,MATBAA,511.4
900460,2026,23,MONTAJ,561.2
900461,2025,47,KESIM,316.6
900462,2025,47,MATBAA,597.2
900463,2025,47,PRES,120.5
900464,2025,47,MONTAJ,526.3
900465,2026,24,KESIM,434.8
900466,2026,24,MATBAA,565.1
900467,2026,24,MONTAJ,233
900468,2025,37,KESIM,228.2
900469,2025,38,DIJITAL,310.4
900470,2025,38,PRES,414.3
900471,2025,38,MONTAJ,266.2
900472,2025,37,KESIM,260.2
900473,2025,37,MATBAA,425.6
900474,2025,37,MONTAJ,557.7
900475,2025,41,KESIM,150.1
900476,2025,42,DIJITAL,639.2
900477,2025,42,PRES,599.8
900478,2025,42,MONTAJ,175.7
900479,2026,2,KESIM,334.8
900480,2026,3,MATBAA,345.5
900481,2026,3,PRES,607.9
900482,2026,3,MONTAJ,450.8
900483,2026,9,KESIM,196
900484,2026,9,DIJITAL,393.1
900485,2026,9,PRES,490
900486,2026,9,MONTAJ,623.9
900487,2026,20,KESIM,566.2
900488,2026,20,DIJITAL,440.7
900489,2026,20,PRES,233.1
900490,2026,20,MONTAJ,256.3
900491,2026,26,KESIM,261.1
900492,2026,26,MATBAA,496.7
900493,2026,26,PRES,601.6
900494,2026,26,MONTAJ,206.7
900495,2026,19,KESIM,437.2
900496,2026,19,MATBAA,211.6
900497,2026,19,PRES,515.6
900498,2026,19,MONTAJ,415.3
900499,2026,24,KESIM,475.8
900500,2026,24,PRES,161.6
900501,2026,24,MONTAJ,242.8
900502,2026,16,KESIM,156.3
900503,2026,16,MATBAA,396
900504,2026,16,MONTAJ,468
900505,2026,8,KESIM,347.8
900506,2026,8,PRES,362.8
900507,2026,8,MONTAJ,351.2
900508,2026,9,KESIM,532.9
900509,2026,10,MATBAA,614.6
900510,2026,10,PRES,450.8
900511,2026,10,MONTAJ,384.1
900512,2026,31,KESIM,235.7
900513,2026,31,MATBAA,344.3
900516,2026,21,KESIM,336
900517,2026,22,DIJITAL,532
900518,2026,22,PRES,515.1
900519,2026,22,MONTAJ,588.9
900520,2026,12,KESIM,582
900521,2026,12,PRES,518.9
900522,2026,12,MONTAJ,435.3
900523,2025,42,KESIM,236.2
900524,2025,42,DIJITAL,625.2
900525,2025,42,PRES,359.5
900526,2025,42,MONTAJ,156.4
900527,2025,43,KESIM,211.4
900528,2025,43,MATBAA,360.8
900529,2025,43,MONTAJ,427.5
900530,2025,29,KESIM,547.7
900531,2025,30,MATBAA,159.9
900532,2025,30,PRES,425.2
900533,2025,30,MONTAJ,509.7
900534,2025,47,KESIM,433
900535,2025,47,PRES,638.4
900536,2025,47,MONTAJ,602.3
900537,2025,39,KESIM,189
900538,2025,39,PRES,358.4
900539,2025,39,MONTAJ,355.2
900540,2026,5,KESIM,544.7
900541,2026,6,DIJITAL,451.6
900542,2026,6,PRES,370.5
900543,2026,6,MONTAJ,221
900544,2026,10,KESIM,265.6
900545,2026,10,MATBAA,455.9
900546,2026,11,MONTAJ,152.8
900547,2026,18,KESIM,583.6
900548,2026,18,MATBAA,565.8
900549,2026,18,MONTAJ,511.7
900550,2026,15,KESIM,410.9
900551,2026,16,MATBAA,216.6
900552,2026,16,PRES,429.1
900553,2026,16,MONTAJ,510.1
900554,2025,48,KESIM,330.5
900555,2025,48,PRES,320.9
900556,2025,48,MONTAJ,179.1
900557,2026,28,KESIM,606.8
900558,2026,28,MATBAA,442.7
900559,2026,28,MONTAJ,136.5
900560,2025,40,KESIM,326.7
900561,2025,40,MATBAA,479.9
900562,2025,40,PRES,428.3
900563,2025,40,MONTAJ,632.4
900564,2025,52,KESIM,452.8
900565,2025,52,DIJITAL,149.1
900566,2025,52,PRES,178.2
900567,2025,52,MONTAJ,120.9
900572,2025,38,KESIM,197.9
900573,2025,38,MATBAA,294.8
900574,2025,38,PRES,356.3
900575,2025,38,MONTAJ,228.3
900576,2026,20,KESIM,556.6
900577,2026,20,MATBAA,382.1
900578,2026,21,MONTAJ,180.1
900579,2026,1,KESIM,425.6
900580,2026,1,DIJITAL,624.1
900581,2026,1,PRES,549.5
900582,2026,2,MONTAJ,511.9
900583,2026,27,KESIM,250.7
900584,2026,27,DIJITAL,585.9
900585,2026,27,PRES,364.6
900586,2026,27,MONTAJ,161.9
900587,2025,29,KESIM,482.6
900588,2025,29,MATBAA,548.1
900589,2025,29,MONTAJ,502.4
900590,2026,27,KESIM,592.8
900591,2026,27,PRES,239
900592,2026,27,MONTAJ,579.3
900593,2026,22,KESIM,240
900594,2026,22,DIJITAL,218.4
900595,2026,22,PRES,126.8
900596,2026,23,MONTAJ,468.6
900597,2025,47,KESIM,407.2
900598,2025,47,PRES,475.8
900599,2025,48,MONTAJ,285.3
900600,2025,39,KESIM,295.6
900601,2025,39,MATBAA,493.6
900602,2025,39,PRES,465.3
900603,2025,39,MONTAJ,398.6
900604,2026,10,KESIM,619.3
900605,2026,10,MATBAA,442.6
900606,2026,10,PRES,551.8
900607,2026,10,MONTAJ,382.1
900608,2025,51,KESIM,521.2
900609,2025,51,DIJITAL,449.5
900610,2025,51,PRES,228.8
900611,2025,51,MONTAJ,284.3
900612,2025,52,KESIM,444.9
900613,2025,52,PRES,141.8
900614,2025,1,MONTAJ,265.1
900615,2025,43,KESIM,289.2
900616,2025,43,MATBAA,428.6
900617,2025,44,PRES,350.1
900618,2025,44,MONTAJ,312.8
900619,2025,39,KESIM,342.2
900620,2025,39,DIJITAL,560.9
900621,2025,39,PRES,635.1
900622,2025,39,MONTAJ,554.2
900623,2025,49,KESIM,397.7
900624,2025,49,DIJITAL,353.3
900625,2025,49,PRES,327.9
900626,2025,49,MONTAJ,467.2
900627,2025,40,KESIM,275.8
900628,2025,40,MATBAA,343.6
900629,2025,40,MONTAJ,613.1
900630,2026,21,KESIM,308.5
900631,2026,22,MATBAA,137.5
900632,2026,22,PRES,183.1
900633,2026,22,MONTAJ,153.9
900634,2025,30,KESIM,325.1
900635,2025,30,DIJITAL,449.8
900636,2025,30,PRES,533.8
900637,2025,30,MONTAJ,541.3
900638,2025,47,KESIM,586
900639,2025,48,PRES,601.5
900640,2025,48,MONTAJ,367.9
900641,2026,16,KESIM,163.8
900642,2026,16,PRES,411.5
900643,2026,16,MONTAJ,515.9
900644,2025,31,KESIM,576.9
900645,2025,31,DIJITAL,128
900646,2025,31,PRES,592.9
900647,2025,31,MONTAJ,235.1
900648,2025,45,KESIM,219.5
900649,2025,45,MATBAA,573.7
900650,2025,45,MONTAJ,203.1
900651,2025,27,KESIM,459.6
900652,2025,27,PRES,465.4
900653,2025,27,MONTAJ,146.2
900654,2025,49,KESIM,357.9
900655,2025,49,DIJITAL,405.3
900656,2025,49,PRES,594.9
900657,2025,49,MONTAJ,608.3
900658,2026,25,KESIM,126.9
900659,2026,25,DIJITAL,464.9
900660,2026,26,PRES,208.3
900661,2026,26,MONTAJ,310.8
900662,2025,28,KESIM,271.8
900663,2025,28,DIJITAL,361.7
900664,2025,28,PRES,484.6
900665,2025,28,MONTAJ,455.2
900666,2026,3,KESIM,438.7
900667,2026,3,DIJITAL,151.7
900668,2026,4,PRES,154
900669,2026,4,MONTAJ,120.7
900670,2026,8,KESIM,457.3
900671,2026,8,DIJITAL,350
900672,2026,8,PRES,516.5
900673,2026,9,MONTAJ,604
900674,2026,13,KESIM,126.6
900675,2026,13,MATBAA,257.4
900676,2026,13,PRES,473.1
900677,2026,13,MONTAJ,309.5
900678,2026,6,KESIM,233.3
900679,2026,6,DIJITAL,149.7
900680,2026,6,PRES,295.7
900681,2026,6,MONTAJ,592.5
900682,2025,27,KESIM,454.2
900683,2025,27,DIJITAL,159.9
900684,2025,27,PRES,493.3
900685,2025,28,MONTAJ,135.6
900690,2025,44,KESIM,418.1
900691,2025,44,MATBAA,177.8
900692,2025,44,PRES,572.8
900693,2025,44,MONTAJ,459.7
900694,2026,16,KESIM,556.8
900695,2026,17,MATBAA,306.7
900696,2026,17,MONTAJ,580.1
900697,2026,4,KESIM,275.9
900698,2026,4,PRES,506.7
900699,2026,4,MONTAJ,509.6
900700,2025,28,KESIM,406.8
900701,2025,28,MATBAA,243.9
900702,2025,28,MONTAJ,137.3
900703,2026,23,KESIM,275.9
900704,2026,23,PRES,264.6
900705,2026,23,MONTAJ,577.2
900706,2026,27,KESIM,430.3
900707,2026,28,MATBAA,357.3
900708,2026,28,PRES,480.5
900709,2026,28,MONTAJ,446.8
900710,2025,31,KESIM,232.9
900711,2025,31,MATBAA,514.5
900712,2025,32,PRES,173
900713,2025,32,MONTAJ,504.9
900714,2025,31,KESIM,500.7
900715,2025,32,DIJITAL,569.8
900716,2025,32,PRES,438.9
900717,2025,32,MONTAJ,356.4
900718,2025,45,KESIM,638.3
900719,2025,45,PRES,589.3
900720,2025,45,MONTAJ,329.3
900721,2025,29,KESIM,620.7
900722,2025,30,MATBAA,343
900723,2025,30,PRES,272.9
900724,2025,30,MONTAJ,233.7
900725,2025,46,KESIM,382.7
900726,2025,47,DIJITAL,269.9
900727,2025,47,PRES,632.9
900728,2025,47,MONTAJ,302.2
900729,2026,6,KESIM,403.1
900730,2026,6,PRES,512.1
900731,2026,6,MONTAJ,492.4
900732,2026,17,KESIM,403.5
900733,2026,17,PRES,431.3
900734,2026,18,MONTAJ,377.6
900735,2025,29,KESIM,633.9
900736,2025,29,MATBAA,193.4
900737,2025,29,PRES,221.9
900738,2025,29,MONTAJ,209
900739,2026,29,KESIM,333.3
900740,2026,29,PRES,552.1
900741,2026,29,MONTAJ,574.8
900746,2025,46,KESIM,522.3
900747,2025,46,DIJITAL,429.8
900748,2025,46,PRES,499.3
900749,2025,46,MONTAJ,555.7
900750,2025,36,KESIM,633.3
900751,2025,36,DIJITAL,146.5
900752,2025,36,PRES,616.3
900753,2025,36,MONTAJ,238
900754,2025,30,KESIM,630.8
900755,2025,30,DIJITAL,208.8
900756,2025,30,PRES,505.9
900757,2025,30,MONTAJ,519.5
900758,2025,46,KESIM,416.9
900759,2025,46,MATBAA,143.6
900760,2025,46,PRES,632.2
900761,2025,46,MONTAJ,286.3
900762,2025,40,KESIM,351.3
900763,2025,41,DIJITAL,187.2
900764,2025,41,PRES,239.6
900765,2025,41,MONTAJ,248.6
900766,2026,17,KESIM,120.9
900767,2026,17,PRES,370.7
900768,2026,18,MONTAJ,439.8
900769,2025,31,KESIM,363.8
900770,2025,31,DIJITAL,573.7
900771,2025,31,PRES,395.7
900772,2025,31,MONTAJ,309.5
900773,2026,26,KESIM,579.2
900774,2026,26,MATBAA,140
900775,2026,27,PRES,159.1
900776,2026,27,MONTAJ,249.8
900777,2026,16,KESIM,266.9
900778,2026,16,PRES,416.4
900779,2026,16,MONTAJ,270.6
900780,2025,33,KESIM,359.3
900781,2025,33,MATBAA,413.4
900782,2025,33,PRES,333.2
900783,2025,33,MONTAJ,208.1
900784,2026,20,KESIM,167.4
900785,2026,21,DIJITAL,519.3
900786,2026,21,PRES,381.2
900787,2026,21,MONTAJ,385.9
900788,2026,7,KESIM,283.6
900789,2026,8,DIJITAL,335.2
900790,2026,8,PRES,245.2
900791,2026,8,MONTAJ,188.9
900792,2026,16,KESIM,463.4
900793,2026,16,DIJITAL,407.8
900794,2026,16,PRES,267.6
900795,2026,16,MONTAJ,566.6
900796,2026,12,KESIM,229.7
900797,2026,12,DIJITAL,559.5
900798,2026,12,PRES,331.2
900799,2026,12,MONTAJ,166.1
900800,2025,43,KESIM,625
900801,2025,43,PRES,293.7
900802,2025,43,MONTAJ,394.9
900803,2026,17,KESIM,618.2
900804,2026,17,PRES,493.1
900805,2026,18,MONTAJ,589.2
900806,2025,28,KESIM,390.7
900807,2025,28,MATBAA,191.3
900808,2025,28,MONTAJ,188.9
900809,2026,9,KESIM,379.4
900810,2026,9,MATBAA,143.8
900811,2026,9,MONTAJ,592.6
900812,2026,10,KESIM,491.9
900813,2026,10,MATBAA,414.1
900814,2026,10,PRES,362.9
900815,2026,10,MONTAJ,574.2
900816,2025,40,KESIM,174.4
900817,2025,40,DIJITAL,393
900818,2025,40,PRES,212.2
900819,2025,40,MONTAJ,426.6
900820,2026,31,KESIM,576.5
900824,2025,26,KESIM,553
900825,2025,26,PRES,449.1
900826,2025,26,MONTAJ,435.5
900827,2026,13,KESIM,370.1
900828,2026,13,MATBAA,282.9
900829,2026,14,PRES,183.6
900830,2026,14,MONTAJ,170.8
900831,2026,20,KESIM,155.3
900832,2026,20,PRES,624.1
900833,2026,20,MONTAJ,246.4
900834,2026,4,KESIM,160.1
900835,2026,4,MATBAA,201.5
900836,2026,4,MONTAJ,583.1
900837,2026,5,KESIM,466.4
900838,2026,5,DIJITAL,548.2
900839,2026,5,PRES,623.4
900840,2026,5,MONTAJ,598.7
900841,2026,21,KESIM,275
900842,2026,21,PRES,555.2
900843,2026,22,MONTAJ,282.6
900844,2026,19,KESIM,287.6
900845,2026,19,PRES,220
900846,2026,19,MONTAJ,403.3
900847,2025,48,KESIM,545.6
900848,2025,48,MATBAA,298.7
900849,2025,48,MONTAJ,358.1
900850,2026,23,KESIM,122
900851,2026,23,PRES,261.2
