INCKEYNO,TAKIP_ID,ISEMRINO,STOK_KODU,STOK_ADI,BASLANGICTARIH,BITISTARIHSAAT,SURE,ACIKLAMA,ARIZA_ADI,DEVAM_EDIYOR
4000016,900028,IE26900028,M00013,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,2026-05-27 09:58:55,2026-05-27 10:33:31,34.6,Operatör müdahalesi,Kalıp Değişimi,0
4000017,900032,IE26900032,M00172,SEKIZGEN KUTU 135-145 VERNIKLI 3 PARÇA,2026-04-16 22:12:25,2026-04-16 22:23:49,11.4,Yedek parça bekleniyor,Mekanik Arıza,0
4000018,900034,IE26900034,M00309,YUVARLAK KUTU Y120-105 HAM TENEKE 3 PARÇA,2026-01-01 07:53:42,2026-01-01 08:28:06,34.4,Yedek parça bekleniyor,Personel Yetersizliği,0
4000019,900035,IE26900035,M00309,YUVARLAK KUTU Y120-105 HAM TENEKE 3 PARÇA,2026-01-02 21:07:06,2026-01-02 21:13:00,5.9,Operatör müdahalesi,Planlı Bakım,0
4000020,900036,IE26900036,M00309,YUVARLAK KUTU Y120-105 HAM TENEKE 3 PARÇA,2026-01-03 19:17:17,2026-01-03 19:33:29,16.2,Bakım çağrıldı,Vardiya Devri,0
4000021,900042,IE26900042,M00291,YUVARLAK KUTU 245-175 MAT LAK 3 PARÇA,2026-06-21 14:52:04,2026-06-21 15:52:46,60.7,Operatör müdahalesi,Sac Sıkışması,0
4000022,900043,IE26900043,M00291,YUVARLAK KUTU 245-175 MAT LAK 3 PARÇA,2026-06-22 12:45:21,2026-06-22 13:20:03,34.7,Kalıp söküldü,Vardiya Devri,0
4000023,900045,IE26900045,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,2026-01-16 18:38:46,2026-01-16 18:55:40,16.9,Kalıp söküldü,Ayar / Numune Onayı,0
4000024,900046,IE26900046,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,2026-01-17 19:34:39,2026-01-17 19:55:33,20.9,Bakım çağrıldı,Hidrolik Kaçak,0
4000025,900048,IE26900048,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,2026-01-19 09:13:36,2026-01-19 10:02:12,48.6,Yedek parça bekleniyor,Planlı Bakım,0
4000026,900049,IE26900049,M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,2026-07-12 14:02:36,2026-07-12 14:49:00,46.4,Operatör müdahalesi,Malzeme Bekleme,0
4000027,900050,IE26900050,M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,2026-07-13 14:31:21,2026-07-13 14:38:51,7.5,,Malzeme Bekleme,0
4000028,900053,IE26900053,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,2026-04-11 14:03:00,2026-04-11 14:35:06,32.1,Operatör müdahalesi,Malzeme Bekleme,0
4000029,900054,IE26900054,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,2026-04-12 14:33:10,2026-04-12 15:01:10,28,Kalıp söküldü,Elektrik Arızası,0
4000030,900055,IE26900055,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,2026-04-13 15:56:19,2026-04-13 16:01:25,5.1,Kalıp söküldü,Planlı Bakım,0
4000031,900056,IE26900056,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2026-02-15 09:56:21,2026-02-15 11:18:57,82.6,,Mekanik Arıza,0
4000032,900057,IE26900057,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2026-02-16 15:36:51,2026-02-16 16:12:39,35.8,Operatör müdahalesi,Vardiya Devri,0
4000033,900059,IE26900059,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2026-02-18 14:42:39,2026-02-18 15:23:09,40.5,Yedek parça bekleniyor,Kalıp Değişimi,0
4000034,900060,IE26900060,M00007,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,2026-04-13 19:20:59,2026-04-13 19:30:47,9.8,Kalıp söküldü,Kalıp Değişimi,0
4000035,900062,IE26900062,M00007,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,2026-04-15 20:41:40,2026-04-15 21:52:22,70.7,Bakım çağrıldı,Kalıp Değişimi,0
4000036,900063,IE25900063,M00011,YUVARLAK KUTU 120-105 HAM TENEKE 3 PARÇA,2025-07-13 08:20:04,2025-07-13 08:28:40,8.6,Bakım çağrıldı,Kalıp Değişimi,0
4000037,900065,IE25900065,M00011,YUVARLAK KUTU 120-105 HAM TENEKE 3 PARÇA,2025-07-15 19:31:45,2025-07-15 19:40:51,9.1,Operatör müdahalesi,Hidrolik Kaçak,0
4000038,900066,IE25900066,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-07-22 17:38:54,2025-07-22 18:31:30,52.6,Yedek parça bekleniyor,Kalite Duruşu,0
4000039,900068,IE25900068,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-07-24 15:34:47,2025-07-24 15:48:05,13.3,,Kalıp Değişimi,0
4000040,900069,IE25900069,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-07-25 17:36:35,2025-07-25 19:06:17,89.7,Kalıp söküldü,Kalıp Değişimi,0
4000041,900071,IE26900071,M00023,YUVARLAK KUTU 078-095 LITOGRAFI 2 PARÇA,2026-06-18 11:28:50,2026-06-18 12:04:56,36.1,Operatör müdahalesi,Sac Sıkışması,0
4000042,900072,IE26900072,M00023,YUVARLAK KUTU 078-095 LITOGRAFI 2 PARÇA,2026-06-19 16:42:34,2026-06-19 16:49:58,7.4,Bakım çağrıldı,Kalıp Değişimi,0
4000043,900073,IE26900073,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,2026-01-03 16:40:22,2026-01-03 16:59:22,19,Bakım çağrıldı,Sac Sıkışması,0
4000044,900074,IE26900074,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,2026-01-04 13:48:57,2026-01-04 14:14:27,25.5,Kalıp söküldü,Kalıp Değişimi,0
4000045,900076,IE26900076,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2026-06-18 20:21:29,2026-06-18 20:48:59,27.5,,Mekanik Arıza,0
4000046,900077,IE26900077,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2026-06-19 14:28:00,2026-06-19 14:35:36,7.6,,Kalıp Değişimi,0
4000047,900083,IE25900083,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2025-11-29 09:54:07,2025-11-29 10:09:01,14.9,Bakım çağrıldı,Mekanik Arıza,0
4000048,900086,IE25900086,M00012,YUVARLAK KUTU 205-050 LITOGRAFI 2 PARÇA,2025-12-04 06:45:24,2025-12-04 07:06:36,21.2,Kalıp söküldü,Planlı Bakım,0
4000049,900087,IE25900087,M00012,YUVARLAK KUTU 205-050 LITOGRAFI 2 PARÇA,2025-12-05 21:25:55,2025-12-05 21:58:07,32.2,,Malzeme Bekleme,0
4000050,900089,IE25900089,M00012,YUVARLAK KUTU 205-050 LITOGRAFI 2 PARÇA,2025-12-07 18:04:29,2025-12-07 18:55:35,51.1,Bakım çağrıldı,Sac Sıkışması,0
4000051,900094,IE25900094,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-08-17 10:50:56,2025-08-17 11:15:38,24.7,,Mekanik Arıza,0
4000052,900095,IE25900095,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-08-18 18:02:28,2025-08-18 18:19:04,16.6,Kalıp söküldü,Kalıp Değişimi,0
4000053,900096,IE25900096,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-08-19 15:19:34,2025-08-19 15:57:52,38.3,,Mekanik Arıza,0
4000054,900097,IE25900097,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,2025-08-14 14:09:26,2025-08-14 14:45:14,35.8,,Mekanik Arıza,0
4000055,900100,IE25900100,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,2025-08-17 12:14:04,2025-08-17 12:33:58,19.9,Operatör müdahalesi,Personel Yetersizliği,0
4000056,900102,IE25900102,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2025-10-23 17:44:00,2025-10-23 18:08:06,24.1,Kalıp söküldü,Kalıp Değişimi,0
4000057,900103,IE25900103,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2025-10-24 17:19:27,2025-10-24 17:27:45,8.3,Bakım çağrıldı,Ayar / Numune Onayı,0
4000058,900106,IE25900106,M00023,YUVARLAK KUTU 078-095 LITOGRAFI 2 PARÇA,2025-06-30 11:41:44,2025-06-30 12:21:50,40.1,,Elektrik Arızası,0
4000059,900107,IE25900107,M00023,YUVARLAK KUTU 078-095 LITOGRAFI 2 PARÇA,2025-07-01 17:54:51,2025-07-01 18:15:27,20.6,Operatör müdahalesi,Kalıp Değişimi,0
4000060,900108,IE26900108,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,2026-01-05 08:30:12,2026-01-05 09:05:48,35.6,Yedek parça bekleniyor,Planlı Bakım,0
4000061,900109,IE26900109,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,2026-01-06 10:38:38,2026-01-06 10:47:38,9,Kalıp söküldü,Kalıp Değişimi,0
4000062,900110,IE26900110,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,2026-01-07 07:06:04,2026-01-07 08:22:40,76.6,Kalıp söküldü,Elektrik Arızası,0
4000063,900111,IE26900111,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,2026-01-08 08:00:48,2026-01-08 09:00:30,59.7,Bakım çağrıldı,Ayar / Numune Onayı,0
4000064,900112,IE26900112,M00005,DIKDORTGEN KUTU 145-095 MAT LAK 2 PARÇA,2026-04-20 15:24:58,2026-04-20 16:07:46,42.8,,Malzeme Bekleme,0
4000065,900113,IE26900113,M00005,DIKDORTGEN KUTU 145-095 MAT LAK 2 PARÇA,2026-04-21 11:26:01,2026-04-21 12:15:13,49.2,Operatör müdahalesi,Hidrolik Kaçak,0
4000066,900115,IE25900115,M00032,TEPSI Ø068 VERNIKLI 3 PARÇA,2025-11-16 21:34:34,2025-11-16 21:48:58,14.4,Bakım çağrıldı,Kalite Duruşu,0
4000067,900117,IE25900117,M00032,TEPSI Ø068 VERNIKLI 3 PARÇA,2025-11-18 08:10:49,2025-11-18 08:34:37,23.8,Operatör müdahalesi,Kalıp Değişimi,0
4000068,900118,IE26900118,M00007,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,2026-02-21 15:39:23,2026-02-21 15:52:29,13.1,Yedek parça bekleniyor,Elektrik Arızası,0
4000069,900119,IE26900119,M00007,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,2026-02-22 09:23:44,2026-02-22 10:04:26,40.7,Kalıp söküldü,Planlı Bakım,0
4000070,900120,IE26900120,M00007,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,2026-02-23 19:28:48,2026-02-23 20:30:42,61.9,Bakım çağrıldı,Malzeme Bekleme,0
4000071,900122,IE25900122,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-07-31 19:06:40,2025-07-31 19:24:52,18.2,,Vardiya Devri,0
4000072,900123,IE25900123,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-08-01 10:08:04,2025-08-01 12:22:04,134,Kalıp söküldü,Ayar / Numune Onayı,0
4000073,900124,IE26900124,M00263,DIKDORTGEN KUTU 185-115 LITOGRAFI 2 PARÇA,2026-01-12 07:42:05,2026-01-12 09:19:17,97.2,Bakım çağrıldı,Kalıp Değişimi,0
4000074,900125,IE26900125,M00263,DIKDORTGEN KUTU 185-115 LITOGRAFI 2 PARÇA,2026-01-13 12:46:47,2026-01-13 14:51:29,124.7,Bakım çağrıldı,Elektrik Arızası,0
4000075,900127,IE25900127,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,2025-09-27 16:50:13,2025-09-27 17:19:25,29.2,,Kalıp Değişimi,0
4000076,900128,IE25900128,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,2025-09-28 19:35:36,2025-09-28 20:48:18,72.7,Yedek parça bekleniyor,Mekanik Arıza,0
4000077,900129,IE25900129,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,2025-09-29 20:12:30,2025-09-29 21:46:42,94.2,Yedek parça bekleniyor,Personel Yetersizliği,0
4000078,900130,IE25900130,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,2025-09-30 16:44:15,2025-09-30 17:10:45,26.5,Kalıp söküldü,Kalite Duruşu,0
4000079,900131,IE25900131,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-07-05 15:43:51,2025-07-05 16:03:09,19.3,Bakım çağrıldı,Malzeme Bekleme,0
4000080,900132,IE25900132,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-07-06 09:47:53,2025-07-06 10:00:23,12.5,Kalıp söküldü,Kalite Duruşu,0
4000081,900133,IE25900133,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-07-07 13:33:04,2025-07-07 13:59:28,26.4,,Kalıp Değişimi,0
4000082,900135,IE25900135,M00007,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,2025-07-23 12:09:29,2025-07-23 12:37:35,28.1,Operatör müdahalesi,Malzeme Bekleme,0
4000083,900136,IE25900136,M00007,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,2025-07-24 13:05:50,2025-07-24 13:46:32,40.7,Bakım çağrıldı,Kalıp Değişimi,0
4000084,900137,IE25900137,M00007,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,2025-07-25 16:07:03,2025-07-25 16:30:51,23.8,Bakım çağrıldı,Kalite Duruşu,0
4000085,900139,IE26900139,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-04-21 13:31:19,2026-04-21 13:43:25,12.1,Yedek parça bekleniyor,Kalite Duruşu,0
4000086,900141,IE26900141,M00109,DIKDORTGEN KUTU 145-095 HAM TENEKE 3 PARÇA,2026-02-17 23:04:29,2026-02-17 23:27:41,23.2,Bakım çağrıldı,Enerji Kesintisi,0
4000087,900142,IE26900142,M00109,DIKDORTGEN KUTU 145-095 HAM TENEKE 3 PARÇA,2026-02-18 09:31:07,2026-02-18 10:49:31,78.4,,Kalıp Değişimi,0
4000088,900143,IE26900143,M00109,DIKDORTGEN KUTU 145-095 HAM TENEKE 3 PARÇA,2026-02-19 09:57:29,2026-02-19 11:51:05,113.6,Bakım çağrıldı,Elektrik Arızası,0
4000089,900144,IE25900144,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-11-12 09:16:21,2025-11-12 09:55:39,39.3,Yedek parça bekleniyor,Malzeme Bekleme,0
4000090,900145,IE25900145,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-11-13 18:51:53,2025-11-13 19:29:23,37.5,Yedek parça bekleniyor,Kalite Duruşu,0
4000091,900146,IE25900146,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-11-14 09:14:50,2025-11-14 09:42:32,27.7,Yedek parça bekleniyor,Ayar / Numune Onayı,0
4000092,900148,IE26900148,M00008,YUVARLAK KUTU 210-255 HAM TENEKE 3 PARÇA,2026-03-10 19:13:56,2026-03-10 20:59:26,105.5,,Malzeme Bekleme,0
4000093,900149,IE26900149,M00008,YUVARLAK KUTU 210-255 HAM TENEKE 3 PARÇA,2026-03-11 17:31:47,2026-03-11 18:49:05,77.3,Yedek parça bekleniyor,Planlı Bakım,0
4000094,900150,IE26900150,M00008,YUVARLAK KUTU 210-255 HAM TENEKE 3 PARÇA,2026-03-12 14:29:47,2026-03-12 15:15:29,45.7,Kalıp söküldü,Elektrik Arızası,0
4000095,900152,IE26900152,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-01-10 11:57:50,2026-01-10 12:08:08,10.3,Kalıp söküldü,Ayar / Numune Onayı,0
4000096,900154,IE26900154,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-01-12 08:54:49,2026-01-12 09:13:55,19.1,Bakım çağrıldı,Kalıp Değişimi,0
4000097,900155,IE25900155,M00024,TEPSI 325-125 MAT LAK 3 PARÇA,2025-12-20 15:31:07,2025-12-20 16:31:19,60.2,Yedek parça bekleniyor,Mekanik Arıza,0
4000098,900157,IE25900157,M00024,TEPSI 325-125 MAT LAK 3 PARÇA,2025-12-22 19:40:01,2025-12-22 20:15:25,35.4,Bakım çağrıldı,Hidrolik Kaçak,0
4000099,900158,IE25900158,M00024,TEPSI 325-125 MAT LAK 3 PARÇA,2025-12-23 21:11:24,2025-12-23 21:48:42,37.3,,Ayar / Numune Onayı,0
4000100,900159,IE26900159,M00158,YUVARLAK KUTU 245-175 LITOGRAFI 2 PARÇA,2026-05-26 13:36:04,2026-05-26 14:12:22,36.3,Operatör müdahalesi,Kalıp Değişimi,0
4000101,900160,IE26900160,M00158,YUVARLAK KUTU 245-175 LITOGRAFI 2 PARÇA,2026-05-27 14:51:51,2026-05-27 16:25:39,93.8,Kalıp söküldü,Kalıp Değişimi,0
4000102,900161,IE26900161,M00158,YUVARLAK KUTU 245-175 LITOGRAFI 2 PARÇA,2026-05-28 14:42:22,2026-05-28 15:35:28,53.1,Operatör müdahalesi,Personel Yetersizliği,0
4000103,900165,IE25900165,M00008,YUVARLAK KUTU 210-255 HAM TENEKE 3 PARÇA,2025-08-09 16:11:08,2025-08-09 16:20:56,9.8,Bakım çağrıldı,Hidrolik Kaçak,0
4000104,900166,IE25900166,M00008,YUVARLAK KUTU 210-255 HAM TENEKE 3 PARÇA,2025-08-10 16:15:37,2025-08-10 16:39:31,23.9,Operatör müdahalesi,Elektrik Arızası,0
4000105,900167,IE25900167,M00008,YUVARLAK KUTU 210-255 HAM TENEKE 3 PARÇA,2025-08-11 10:07:26,2025-08-11 10:52:44,45.3,,Sac Sıkışması,0
4000106,900168,IE25900168,M00103,DIKDORTGEN KUTU 185-115 VERNIKLI 2 PARÇA,2025-10-15 15:17:25,2025-10-15 15:41:07,23.7,Bakım çağrıldı,Mekanik Arıza,0
4000107,900169,IE25900169,M00103,DIKDORTGEN KUTU 185-115 VERNIKLI 2 PARÇA,2025-10-16 14:18:17,2025-10-16 14:44:29,26.2,Kalıp söküldü,Kalıp Değişimi,0
4000108,900173,IE25900173,M00135,YUVARLAK KUTU 120-105 VERNIKLI 2 PARÇA,2025-07-17 13:19:38,2025-07-17 13:57:56,38.3,Kalıp söküldü,Sac Sıkışması,0
4000109,900174,IE25900174,M00135,YUVARLAK KUTU 120-105 VERNIKLI 2 PARÇA,2025-07-18 08:07:18,2025-07-18 08:20:18,13,Yedek parça bekleniyor,Hidrolik Kaçak,0
4000110,900175,IE25900175,M00135,YUVARLAK KUTU 120-105 VERNIKLI 2 PARÇA,2025-07-19 15:41:28,2025-07-19 15:53:52,12.4,Bakım çağrıldı,Ayar / Numune Onayı,0
4000111,900176,IE26900176,M00013,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,2026-01-23 21:39:50,2026-01-23 22:44:14,64.4,Bakım çağrıldı,Kalıp Değişimi,0
4000112,900177,IE26900177,M00013,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,2026-01-24 11:53:49,2026-01-24 12:14:49,21,Yedek parça bekleniyor,Hidrolik Kaçak,0
4000113,900178,IE26900178,M00013,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,2026-01-25 20:10:50,2026-01-25 20:21:08,10.3,,Ayar / Numune Onayı,0
4000114,900181,IE26900181,M00146,TEPSI 325-125 HAM TENEKE 3 PARÇA,2026-06-24 18:31:13,2026-06-24 18:44:55,13.7,,Planlı Bakım,0
4000115,900182,IE25900182,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-10-01 11:33:13,2025-10-01 11:55:55,22.7,Operatör müdahalesi,Kalıp Değişimi,0
4000116,900184,IE25900184,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-10-03 11:11:25,2025-10-03 12:05:43,54.3,Operatör müdahalesi,Kalıp Değişimi,0
4000117,900185,IE26900185,M00023,YUVARLAK KUTU 078-095 LITOGRAFI 2 PARÇA,2026-01-22 15:00:31,2026-01-22 15:23:31,23,Kalıp söküldü,Mekanik Arıza,0
4000118,900188,IE26900188,M00023,YUVARLAK KUTU 078-095 LITOGRAFI 2 PARÇA,2026-01-25 19:01:55,2026-01-25 19:19:07,17.2,Bakım çağrıldı,Kalıp Değişimi,0
4000119,900191,IE26900191,M00052,YUVARLAK KUTU 135-145 LITOGRAFI 2 PARÇA,2026-01-17 15:13:32,2026-01-17 15:55:50,42.3,,Vardiya Devri,0
4000120,900192,IE25900192,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-08-19 19:16:07,2025-08-19 19:29:49,13.7,Yedek parça bekleniyor,Ayar / Numune Onayı,0
4000121,900193,IE25900193,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-08-20 18:22:27,2025-08-20 19:15:21,52.9,Kalıp söküldü,Kalıp Değişimi,0
4000122,900194,IE25900194,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-08-21 12:16:58,2025-08-21 13:26:16,69.3,Yedek parça bekleniyor,Ayar / Numune Onayı,0
4000123,900198,IE26900198,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-05-11 22:38:33,2026-05-11 23:16:39,38.1,Yedek parça bekleniyor,Mekanik Arıza,0
4000124,900199,IE26900199,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-05-12 09:42:54,2026-05-12 10:06:06,23.2,Operatör müdahalesi,Kalıp Değişimi,0
4000125,900200,IE26900200,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-05-13 07:44:12,2026-05-13 08:09:06,24.9,Operatör müdahalesi,Personel Yetersizliği,0
4000126,900201,IE26900201,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-05-14 07:03:37,2026-05-14 07:14:01,10.4,Kalıp söküldü,Kalite Duruşu,0
4000127,900202,IE26900202,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-07-01 16:48:37,2026-07-01 17:51:49,63.2,Operatör müdahalesi,Elektrik Arızası,0
4000128,900203,IE26900203,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-07-02 18:29:27,2026-07-02 19:31:03,61.6,Yedek parça bekleniyor,Kalite Duruşu,0
4000129,900204,IE26900204,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-07-03 11:57:21,2026-07-03 12:28:21,31,Operatör müdahalesi,Kalıp Değişimi,0
4000130,900205,IE26900205,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-07-04 21:39:38,2026-07-04 23:32:08,112.5,Bakım çağrıldı,Malzeme Bekleme,0
4000131,900207,IE25900207,M00031,YUVARLAK KUTU 145-095 MAT LAK 2 PARÇA,2025-11-14 11:29:37,2025-11-14 11:52:43,23.1,Bakım çağrıldı,Kalıp Değişimi,0
4000132,900208,IE25900208,M00031,YUVARLAK KUTU 145-095 MAT LAK 2 PARÇA,2025-11-15 20:10:11,2025-11-15 20:43:53,33.7,Bakım çağrıldı,Kalıp Değişimi,0
4000133,900211,IE26900211,M00012,YUVARLAK KUTU 205-050 LITOGRAFI 2 PARÇA,2026-04-22 17:44:52,2026-04-22 19:30:58,106.1,Bakım çağrıldı,Kalite Duruşu,0
4000134,900212,IE26900212,M00012,YUVARLAK KUTU 205-050 LITOGRAFI 2 PARÇA,2026-04-23 22:06:46,2026-04-23 23:17:52,71.1,Yedek parça bekleniyor,Planlı Bakım,0
4000135,900213,IE25900213,M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,2025-08-11 09:57:25,2025-08-11 11:04:13,66.8,Bakım çağrıldı,Ayar / Numune Onayı,0
4000136,900214,IE25900214,M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,2025-08-12 14:38:07,2025-08-12 15:00:07,22,Operatör müdahalesi,Ayar / Numune Onayı,0
4000137,900215,IE25900215,M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,2025-08-13 13:20:10,2025-08-13 13:45:34,25.4,Kalıp söküldü,Kalite Duruşu,0
4000138,900216,IE26900216,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2026-01-26 12:36:32,2026-01-26 12:50:20,13.8,Operatör müdahalesi,Mekanik Arıza,0
