TAKIPNO,ISEMRINO,KALIPADI,STOK_KODU,STOK_ADI,CARI_KOD,CARI_ISIM,SIPARIS_NO,REFISEMRINO,SIPARIS_KONT,OPKODU,MAKINA_NO,MAKINE_ADI,ISTKODU,ISTISIM,MIKTAR,DURUM_KOD,DURUM_ADI,ACIKLAMA,TESLIM_TARIHI,TRA_ACIKLAMA,STOK_GRUPKODU,STOK_GRUPADI,STOK_KOD1,STOK_AD1,STOK_KOD2,STOK_AD2,STOK_KOD3,STOK_AD3,STOK_KOD4,STOK_AD4
900015,IE26900015,DIA-050,M00097,YUVARLAK KUTU Ø050 MAT LAK 2 PARÇA,120.01.0001,Nordwind Oy,SIP26005566,RF900015,1,OP01,25,KESİM HATTI 02 · GİYOTİN,KSM,KESIM,728,30,TAMAMLANDI,Acil iş,2026-02-19,,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,DIA-050,Kalıp DIA-050,B4,Mat Lak
900016,IE26900016,DIA-050,M00097,YUVARLAK KUTU Ø050 MAT LAK 2 PARÇA,120.01.0001,Nordwind Oy,SIP26005566,RF900016,1,OP02,30,OFSET BASKI 01 · 4 RENK,MTB,MATBAA,747,30,TAMAMLANDI,Müşteri baskı revizyonu,2026-02-07,Fazla üretim,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,DIA-050,Kalıp DIA-050,B4,Mat Lak
900017,IE26900017,DIA-050,M00097,YUVARLAK KUTU Ø050 MAT LAK 2 PARÇA,120.01.0001,Nordwind Oy,SIP26005566,RF900017,1,OP03,7,PRES 07 · 40 TON SIVAMA,PRS,PRES,721,30,TAMAMLANDI,Müşteri baskı revizyonu,2026-02-02,,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,DIA-050,Kalıp DIA-050,B4,Mat Lak
900018,IE26900018,DIA-050,M00097,YUVARLAK KUTU Ø050 MAT LAK 2 PARÇA,120.01.0001,Nordwind Oy,SIP26005566,RF900018,1,OP04,39,MONTAJ HATTI 08 · SIVAMA,MNT,MONTAJ,751,30,TAMAMLANDI,Müşteri baskı revizyonu,2026-02-17,Kısmi üretim,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,DIA-050,Kalıp DIA-050,B4,Mat Lak
900019,IE25900019,135-145,M00022,SEKIZGEN KUTU 135-145 VERNIKLI 2 PARÇA,120.01.0106,Rüzgarlı Şekerleme San. ve Tic. A.Ş.,STK25000709,RF900019,1,OP01,24,KESİM HATTI 01 · GİYOTİN,KSM,KESIM,1442,30,TAMAMLANDI,Acil iş,2025-11-08,Fazla üretim,01,Mamul,SK07,Sekizgen Kutu,KA1,Gıda,135-145,Kalıp 135-145,B2,Vernikli
900020,IE25900020,135-145,M00022,SEKIZGEN KUTU 135-145 VERNIKLI 2 PARÇA,120.01.0106,Rüzgarlı Şekerleme San. ve Tic. A.Ş.,STK25000709,RF900020,1,OP02,31,OFSET BASKI 02 · 4 RENK,MTB,MATBAA,1456,30,TAMAMLANDI,Müşteri baskı revizyonu,2025-11-09,,01,Mamul,SK07,Sekizgen Kutu,KA1,Gıda,135-145,Kalıp 135-145,B2,Vernikli
900021,IE25900021,135-145,M00022,SEKIZGEN KUTU 135-145 VERNIKLI 2 PARÇA,120.01.0106,Rüzgarlı Şekerleme San. ve Tic. A.Ş.,STK25000709,RF900021,1,OP03,34,MONTAJ HATTI 02 · OTOMATİK,MNT,MONTAJ,1446,30,TAMAMLANDI,Numune onayı bekleniyor,2025-11-01,Fazla üretim,01,Mamul,SK07,Sekizgen Kutu,KA1,Gıda,135-145,Kalıp 135-145,B2,Vernikli
900022,IE26900022,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0003,Alaçatı Süt Gıda San. A.Ş.,SIP26006370,RF900022,1,OP01,26,KESİM HATTI 03 · DİLİMLEME,KSM,KESIM,3081,30,TAMAMLANDI,Müşteri baskı revizyonu,2026-06-23,Kısmi üretim,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900023,IE26900023,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0003,Alaçatı Süt Gıda San. A.Ş.,SIP26006370,RF900023,1,OP02,30,OFSET BASKI 01 · 4 RENK,MTB,MATBAA,3100,30,TAMAMLANDI,,2026-07-09,Kısmi üretim,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900024,IE26900024,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0003,Alaçatı Süt Gıda San. A.Ş.,SIP26006370,RF900024,1,OP03,23,PVC KAPLAMA HATTI 01,PRS,PRES,3154,30,TAMAMLANDI,,2026-07-10,,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900025,IE26900025,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0003,Alaçatı Süt Gıda San. A.Ş.,SIP26006370,RF900025,1,OP04,41,MONTAJ HATTI 10 · KAPAK,MNT,MONTAJ,3122,30,TAMAMLANDI,Numune onayı bekleniyor,2026-07-03,Fazla üretim,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900026,IE26900026,210-080,M00013,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,120.01.0012,Ferahlı Ambalaj Gıda San. A.Ş.,STK26000923,RF900026,1,OP01,27,KESİM HATTI 04 · DİLİMLEME,KSM,KESIM,492,30,TAMAMLANDI,,2026-06-05,,01,Mamul,SK10,Koseli Sivama Kutu,KA3,Kozmetik,210-080,Kalıp 210-080,B1,Litografi
900027,IE26900027,210-080,M00013,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,120.01.0012,Ferahlı Ambalaj Gıda San. A.Ş.,STK26000923,RF900027,1,OP02,46,DİJİTAL BASKI 02,DJT,DIJITAL,508,30,TAMAMLANDI,,2026-06-19,Fazla üretim,01,Mamul,SK10,Koseli Sivama Kutu,KA3,Kozmetik,210-080,Kalıp 210-080,B1,Litografi
900028,IE26900028,210-080,M00013,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,120.01.0012,Ferahlı Ambalaj Gıda San. A.Ş.,STK26000923,RF900028,1,OP03,20,PRES 20 · 45 TON ÇOK KADEMELİ,PRS,PRES,506,30,TAMAMLANDI,Numune onayı bekleniyor,2026-06-19,Fazla üretim,01,Mamul,SK10,Koseli Sivama Kutu,KA3,Kozmetik,210-080,Kalıp 210-080,B1,Litografi
900029,IE26900029,210-080,M00013,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,120.01.0012,Ferahlı Ambalaj Gıda San. A.Ş.,STK26000923,RF900029,1,OP04,43,MONTAJ HATTI 13 · ÖZEL ŞEKİL,MNT,MONTAJ,508,30,TAMAMLANDI,Acil iş,2026-06-14,,01,Mamul,SK10,Koseli Sivama Kutu,KA3,Kozmetik,210-080,Kalıp 210-080,B1,Litografi
900030,IE26900030,135-145,M00172,SEKIZGEN KUTU 135-145 VERNIKLI 3 PARÇA,120.01.0010,Narlıcan Makine Gıda San. A.Ş.,SIP26006125,RF900030,1,OP01,24,KESİM HATTI 01 · GİYOTİN,KSM,KESIM,7333,30,TAMAMLANDI,Müşteri baskı revizyonu,2026-05-08,,01,Mamul,SK07,Sekizgen Kutu,KA6,Bal-Reçel,135-145,Kalıp 135-145,B2,Vernikli
900031,IE26900031,135-145,M00172,SEKIZGEN KUTU 135-145 VERNIKLI 3 PARÇA,120.01.0010,Narlıcan Makine Gıda San. A.Ş.,SIP26006125,RF900031,1,OP02,30,OFSET BASKI 01 · 4 RENK,MTB,MATBAA,7207,30,TAMAMLANDI,,2026-05-19,Kısmi üretim,01,Mamul,SK07,Sekizgen Kutu,KA6,Bal-Reçel,135-145,Kalıp 135-145,B2,Vernikli
900032,IE26900032,135-145,M00172,SEKIZGEN KUTU 135-145 VERNIKLI 3 PARÇA,120.01.0010,Narlıcan Makine Gıda San. A.Ş.,SIP26006125,RF900032,1,OP03,44,MONTAJ HATTI 14 · ÖZEL ŞEKİL,MNT,MONTAJ,7348,30,TAMAMLANDI,Acil iş,2026-04-21,,01,Mamul,SK07,Sekizgen Kutu,KA6,Bal-Reçel,135-145,Kalıp 135-145,B2,Vernikli
900033,IE25900033,Y120-105,M00309,YUVARLAK KUTU Y120-105 HAM TENEKE 3 PARÇA,120.01.0022,Efelik Şekerleme Koll. Şti.,SIP25005517,RF900033,2,OP01,26,KESİM HATTI 03 · DİLİMLEME,KSM,KESIM,726,30,TAMAMLANDI,Acil iş,2026-02-01,,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,Y120-105,Kalıp Y120-105,B3,Ham Teneke
900034,IE26900034,Y120-105,M00309,YUVARLAK KUTU Y120-105 HAM TENEKE 3 PARÇA,120.01.0022,Efelik Şekerleme Koll. Şti.,SIP25005517,RF900034,2,OP02,30,OFSET BASKI 01 · 4 RENK,MTB,MATBAA,744,30,TAMAMLANDI,Acil iş,2026-02-06,Kısmi üretim,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,Y120-105,Kalıp Y120-105,B3,Ham Teneke
900035,IE26900035,Y120-105,M00309,YUVARLAK KUTU Y120-105 HAM TENEKE 3 PARÇA,120.01.0022,Efelik Şekerleme Koll. Şti.,SIP25005517,RF900035,2,OP03,17,PRES 17 · 16 TON KULP,PRS,PRES,725,30,TAMAMLANDI,,2026-02-05,,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,Y120-105,Kalıp Y120-105,B3,Ham Teneke
900036,IE26900036,Y120-105,M00309,YUVARLAK KUTU Y120-105 HAM TENEKE 3 PARÇA,120.01.0022,Efelik Şekerleme Koll. Şti.,SIP25005517,RF900036,2,OP04,41,MONTAJ HATTI 10 · KAPAK,MNT,MONTAJ,739,30,TAMAMLANDI,Acil iş,2026-02-08,,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,Y120-105,Kalıp Y120-105,B3,Ham Teneke
900041,IE26900041,245-175,M00291,YUVARLAK KUTU 245-175 MAT LAK 3 PARÇA,120.01.0037,Poyrazlı Boya Koll. Şti.,SIP26006472,RF900041,1,OP01,27,KESİM HATTI 04 · DİLİMLEME,KSM,KESIM,252,30,TAMAMLANDI,Numune onayı bekleniyor,2026-07-07,Fazla üretim,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,245-175,Kalıp 245-175,B4,Mat Lak
900042,IE26900042,245-175,M00291,YUVARLAK KUTU 245-175 MAT LAK 3 PARÇA,120.01.0037,Poyrazlı Boya Koll. Şti.,SIP26006472,RF900042,1,OP02,31,OFSET BASKI 02 · 4 RENK,MTB,MATBAA,252,30,TAMAMLANDI,,2026-07-02,Fazla üretim,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,245-175,Kalıp 245-175,B4,Mat Lak
900043,IE26900043,245-175,M00291,YUVARLAK KUTU 245-175 MAT LAK 3 PARÇA,120.01.0037,Poyrazlı Boya Koll. Şti.,SIP26006472,RF900043,1,OP03,17,PRES 17 · 16 TON KULP,PRS,PRES,241,30,TAMAMLANDI,Müşteri baskı revizyonu,2026-06-28,,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,245-175,Kalıp 245-175,B4,Mat Lak
900044,IE26900044,245-175,M00291,YUVARLAK KUTU 245-175 MAT LAK 3 PARÇA,120.01.0037,Poyrazlı Boya Koll. Şti.,SIP26006472,RF900044,1,OP04,35,MONTAJ HATTI 03 · OTOMATİK,MNT,MONTAJ,250,30,TAMAMLANDI,Acil iş,2026-07-02,Fazla üretim,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,245-175,Kalıp 245-175,B4,Mat Lak
900045,IE26900045,120-105,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,120.01.0008,Narlıcan Makine San. Tic. Ltd. Şti.,SIP26005552,RF900045,1,OP01,26,KESİM HATTI 03 · DİLİMLEME,KSM,KESIM,996,30,TAMAMLANDI,Numune onayı bekleniyor,2026-02-19,Kısmi üretim,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,120-105,Kalıp 120-105,B3,Ham Teneke
900046,IE26900046,120-105,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,120.01.0008,Narlıcan Makine San. Tic. Ltd. Şti.,SIP26005552,RF900046,1,OP02,45,DİJİTAL BASKI 01,DJT,DIJITAL,981,30,TAMAMLANDI,Acil iş,2026-01-28,Kısmi üretim,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,120-105,Kalıp 120-105,B3,Ham Teneke
900047,IE26900047,120-105,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,120.01.0008,Narlıcan Makine San. Tic. Ltd. Şti.,SIP26005552,RF900047,1,OP03,11,PRES 11 · 25 TON KAPAK,PRS,PRES,1013,30,TAMAMLANDI,Numune onayı bekleniyor,2026-01-23,Fazla üretim,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,120-105,Kalıp 120-105,B3,Ham Teneke
900048,IE26900048,120-105,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,120.01.0008,Narlıcan Makine San. Tic. Ltd. Şti.,SIP26005552,RF900048,1,OP04,37,MONTAJ HATTI 05 · YARI OTOMATİK,MNT,MONTAJ,1007,30,TAMAMLANDI,Numune onayı bekleniyor,2026-01-21,Fazla üretim,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,120-105,Kalıp 120-105,B3,Ham Teneke
900049,IE26900049,210-255,M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,120.01.0009,Narlıcan Kozmetik Koll. Şti.,STK26000969,RF900049,1,OP01,24,KESİM HATTI 01 · GİYOTİN,KSM,KESIM,1447,30,TAMAMLANDI,Müşteri baskı revizyonu,2026-08-05,Kısmi üretim,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,210-255,Kalıp 210-255,B4,Mat Lak
900050,IE26900050,210-255,M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,120.01.0009,Narlıcan Kozmetik Koll. Şti.,STK26000969,RF900050,1,OP02,32,OFSET BASKI 03 · 2 RENK + VERNİK,MTB,MATBAA,1440,30,TAMAMLANDI,Müşteri baskı revizyonu,2026-08-13,Fazla üretim,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,210-255,Kalıp 210-255,B4,Mat Lak
900051,IE26900051,210-255,M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,120.01.0009,Narlıcan Kozmetik Koll. Şti.,STK26000969,RF900051,1,OP03,10,PRES 10 · 100 TON DERİN ÇEKME,PRS,PRES,1446,30,TAMAMLANDI,Müşteri baskı revizyonu,2026-08-05,Kısmi üretim,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,210-255,Kalıp 210-255,B4,Mat Lak
900052,IE26900052,210-255,M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,120.01.0009,Narlıcan Kozmetik Koll. Şti.,STK26000969,RF900052,1,OP04,34,MONTAJ HATTI 02 · OTOMATİK,MNT,MONTAJ,1464,30,TAMAMLANDI,Numune onayı bekleniyor,2026-08-10,Kısmi üretim,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,210-255,Kalıp 210-255,B4,Mat Lak
900053,IE26900053,175-205,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,120.01.0003,Alaçatı Süt Gıda San. A.Ş.,SIP26006040,RF900053,2,OP01,24,KESİM HATTI 01 · GİYOTİN,KSM,KESIM,3949,30,TAMAMLANDI,Acil iş,2026-04-29,Kısmi üretim,01,Mamul,SK08,Sekilli Kutu,KA4,Hediyelik,175-205,Kalıp 175-205,B3,Ham Teneke
900054,IE26900054,175-205,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,120.01.0003,Alaçatı Süt Gıda San. A.Ş.,SIP26006040,RF900054,2,OP02,2,PRES 02 · 63 TON EKSANTRİK,PRS,PRES,4021,30,TAMAMLANDI,Müşteri baskı revizyonu,2026-04-27,Kısmi üretim,01,Mamul,SK08,Sekilli Kutu,KA4,Hediyelik,175-205,Kalıp 175-205,B3,Ham Teneke
900055,IE26900055,175-205,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,120.01.0003,Alaçatı Süt Gıda San. A.Ş.,SIP26006040,RF900055,2,OP03,44,MONTAJ HATTI 14 · ÖZEL ŞEKİL,MNT,MONTAJ,3985,30,TAMAMLANDI,Numune onayı bekleniyor,2026-04-28,Fazla üretim,01,Mamul,SK08,Sekilli Kutu,KA4,Hediyelik,175-205,Kalıp 175-205,B3,Ham Teneke
900056,IE26900056,325-125,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,120.01.0069,Kavaklıdere Zeytin Ltd. Şti.,SIP26005751,RF900056,2,OP01,27,KESİM HATTI 04 · DİLİMLEME,KSM,KESIM,3052,30,TAMAMLANDI,,2026-02-25,,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B4,Mat Lak
900057,IE26900057,325-125,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,120.01.0069,Kavaklıdere Zeytin Ltd. Şti.,SIP26005751,RF900057,2,OP02,30,OFSET BASKI 01 · 4 RENK,MTB,MATBAA,3164,30,TAMAMLANDI,Acil iş,2026-03-20,Fazla üretim,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B4,Mat Lak
900058,IE26900058,325-125,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,120.01.0069,Kavaklıdere Zeytin Ltd. Şti.,SIP26005751,RF900058,2,OP03,15,PRES 15 · 35 TON DİP,PRS,PRES,3150,30,TAMAMLANDI,Numune onayı bekleniyor,2026-02-23,Fazla üretim,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B4,Mat Lak
900059,IE26900059,325-125,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,120.01.0069,Kavaklıdere Zeytin Ltd. Şti.,SIP26005751,RF900059,2,OP04,42,MONTAJ HATTI 11 · KAPAK,MNT,MONTAJ,3027,30,TAMAMLANDI,,2026-03-20,,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B4,Mat Lak
900060,IE26900060,185-115,M00007,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,120.01.0047,Vişneli Endüstri Ltd. Şti.,SIP26005973,RF900060,3,OP01,29,KESİM HATTI 07 · KÖŞE KESME,KSM,KESIM,2495,30,TAMAMLANDI,Acil iş,2026-05-14,,01,Mamul,SK04,Dikdortgen Kutu,KA5,Endüstriyel,185-115,Kalıp 185-115,B4,Mat Lak
900061,IE26900061,185-115,M00007,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,120.01.0047,Vişneli Endüstri Ltd. Şti.,SIP26005973,RF900061,3,OP02,16,PRES 16 · 16 TON KULP,PRS,PRES,2453,30,TAMAMLANDI,,2026-04-23,,01,Mamul,SK04,Dikdortgen Kutu,KA5,Endüstriyel,185-115,Kalıp 185-115,B4,Mat Lak
900062,IE26900062,185-115,M00007,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,120.01.0047,Vişneli Endüstri Ltd. Şti.,SIP26005973,RF900062,3,OP03,39,MONTAJ HATTI 08 · SIVAMA,MNT,MONTAJ,2430,30,TAMAMLANDI,,2026-05-17,Fazla üretim,01,Mamul,SK04,Dikdortgen Kutu,KA5,Endüstriyel,185-115,Kalıp 185-115,B4,Mat Lak
900063,IE25900063,120-105,M00011,YUVARLAK KUTU 120-105 HAM TENEKE 3 PARÇA,120.01.0009,Narlıcan Kozmetik Koll. Şti.,SIP25004048,RF900063,1,OP01,25,KESİM HATTI 02 · GİYOTİN,KSM,KESIM,1843,30,TAMAMLANDI,Acil iş,2025-08-09,,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,120-105,Kalıp 120-105,B3,Ham Teneke
900064,IE25900064,120-105,M00011,YUVARLAK KUTU 120-105 HAM TENEKE 3 PARÇA,120.01.0009,Narlıcan Kozmetik Koll. Şti.,SIP25004048,RF900064,1,OP02,12,PRES 12 · 25 TON KAPAK,PRS,PRES,1842,30,TAMAMLANDI,Müşteri baskı revizyonu,2025-08-10,Kısmi üretim,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,120-105,Kalıp 120-105,B3,Ham Teneke
900065,IE25900065,120-105,M00011,YUVARLAK KUTU 120-105 HAM TENEKE 3 PARÇA,120.01.0009,Narlıcan Kozmetik Koll. Şti.,SIP25004048,RF900065,1,OP03,44,MONTAJ HATTI 14 · ÖZEL ŞEKİL,MNT,MONTAJ,1835,30,TAMAMLANDI,Numune onayı bekleniyor,2025-07-19,Fazla üretim,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,120-105,Kalıp 120-105,B3,Ham Teneke
900066,IE25900066,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0001,Nordwind Oy,SIP25004244,RF900066,1,OP01,27,KESİM HATTI 04 · DİLİMLEME,KSM,KESIM,3029,30,TAMAMLANDI,Numune onayı bekleniyor,2025-08-31,Kısmi üretim,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900067,IE25900067,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0001,Nordwind Oy,SIP25004244,RF900067,1,OP02,31,OFSET BASKI 02 · 4 RENK,MTB,MATBAA,3025,30,TAMAMLANDI,Müşteri baskı revizyonu,2025-08-24,Fazla üretim,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900068,IE25900068,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0001,Nordwind Oy,SIP25004244,RF900068,1,OP03,23,PVC KAPLAMA HATTI 01,PRS,PRES,3007,30,TAMAMLANDI,Acil iş,2025-07-28,,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900069,IE25900069,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0001,Nordwind Oy,SIP25004244,RF900069,1,OP04,35,MONTAJ HATTI 03 · OTOMATİK,MNT,MONTAJ,3054,30,TAMAMLANDI,,2025-08-16,,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
