CARI_KOD,SON_TARIH,ALACAK_TL,BORC_TL,BAKIYE_TL,KUR,SONGUNKU_KUR,DURUM,BAKIYE_USD,MUTLAK_USD
120.01.0028,2025-12-31,6362321.89,682385.88,5679936.01,43.45,47.6,ALACAK,119326.39,119326.39
120.01.0029,2026-01-06,10860902.97,2198186.05,8662716.92,44.1,47.6,ALACAK,181989.85,181989.85
120.01.0030,2026-06-24,9649801.63,1865693.32,7784108.31,47.0167,47.6,ALACAK,163531.69,163531.69
120.01.0031,2026-01-25,9010178.38,332059.47,8678118.91,44.1,47.6,ALACAK,182313.42,182313.42
120.01.0032,2026-03-13,5351986.48,133582.5,5218403.98,45.2667,47.6,ALACAK,109630.34,109630.34
120.01.0033,2026-05-20,12441457.03,211423.08,12230033.95,46.4333,47.6,ALACAK,256933.49,256933.49
120.01.0034,2026-01-03,4932211.91,1219731.51,3712480.4,44.1,47.6,ALACAK,77993.29,77993.29
120.01.0035,2026-06-14,7817358.99,79904.94,7737454.05,47.0167,47.6,ALACAK,162551.56,162551.56
120.01.0036,2026-05-03,3916138.38,354412.48,3561725.9,46.4333,47.6,ALACAK,74826.17,74826.17
120.01.0037,2026-04-22,114771.96,2303503.31,-2188731.35,45.85,47.6,BORC,-45981.75,45981.75
120.01.0038,2026-04-17,600391.4,1398412.57,-798021.17,45.85,47.6,BORC,-16765.15,16765.15
120.01.0039,2026-05-25,32644586.07,2195690.81,30448895.26,46.4333,47.6,ALACAK,639682.67,639682.67
120.01.0040,2026-06-12,5159046.02,330836.48,4828209.54,47.0167,47.6,ALACAK,101432.97,101432.97
120.01.0041,2026-05-21,4501781.11,975788.64,3525992.47,46.4333,47.6,ALACAK,74075.47,74075.47
120.01.0042,2026-02-01,442404.57,4857579.17,-4415174.6,44.6833,47.6,BORC,-92755.77,92755.77
120.01.0043,2026-07-17,6681403.98,1087383.71,5594020.27,47.6,47.6,ALACAK,117521.43,117521.43
120.01.0044,2026-07-18,8620561.54,2024918.69,6595642.85,47.6,47.6,ALACAK,138563.93,138563.93
120.01.0045,2025-12-11,2374216.05,616118.84,1758097.21,43.45,47.6,ALACAK,36934.82,36934.82
120.01.0046,2026-02-02,2641971.14,428276.75,2213694.39,44.6833,47.6,ALACAK,46506.18,46506.18
120.01.0047,2025-12-15,4084315.56,130009.06,3954306.5,43.45,47.6,ALACAK,83073.67,83073.67
120.01.0048,2026-06-21,2890417.81,170952.12,2719465.69,47.0167,47.6,ALACAK,57131.63,57131.63
120.01.0049,2026-01-30,7657302.66,652307.81,7004994.85,44.1,47.6,ALACAK,147163.76,147163.76
120.01.0050,2026-03-01,3620647.5,76789.89,3543857.61,45.2667,47.6,ALACAK,74450.79,74450.79
120.01.0051,2026-02-16,2431842.63,13952.54,2417890.09,44.6833,47.6,ALACAK,50796.01,50796.01
120.01.0052,2026-06-01,7369185.43,1279065.29,6090120.14,47.0167,47.6,ALACAK,127943.7,127943.7
120.01.0053,2026-03-30,6519935.3,831078.45,5688856.85,45.2667,47.6,ALACAK,119513.8,119513.8
120.01.0054,2026-02-14,8738835.18,1044339.2,7694495.98,44.6833,47.6,ALACAK,161649.08,161649.08
120.01.0055,2026-05-25,3093311.93,237933.07,2855378.86,46.4333,47.6,ALACAK,59986.95,59986.95
120.01.0056,2026-05-23,10517148.19,502042.17,10015106.02,46.4333,47.6,ALACAK,210401.39,210401.39
120.01.0057,2026-03-07,503777.41,27310.12,476467.29,45.2667,47.6,ALACAK,10009.82,10009.82
120.01.0058,2026-01-03,2419387.36,322316.78,2097070.58,44.1,47.6,ALACAK,44056.1,44056.1
120.01.0059,2026-03-18,431898.54,2761959.11,-2330060.57,45.2667,47.6,BORC,-48950.85,48950.85
120.01.0060,2026-03-01,34924.42,817092.98,-782168.56,45.2667,47.6,BORC,-16432.11,16432.11
120.01.0061,2026-04-29,2176252.46,252556.84,1923695.62,45.85,47.6,ALACAK,40413.77,40413.77
120.01.0063,2026-03-05,723244.26,57953.9,665290.36,45.2667,47.6,ALACAK,13976.69,13976.69
120.01.0064,2026-01-29,404988.36,45585.78,359402.58,44.1,47.6,ALACAK,7550.47,7550.47
120.01.0065,2026-05-20,4064746.7,342685.22,3722061.48,46.4333,47.6,ALACAK,78194.57,78194.57
120.01.0066,2025-12-13,3726911.82,376768.25,3350143.57,43.45,47.6,ALACAK,70381.17,70381.17
120.01.0067,2026-01-23,4589594.83,935881.02,3653713.81,44.1,47.6,ALACAK,76758.69,76758.69
120.01.0068,2026-07-29,6723497.32,328030.62,6395466.7,47.6,47.6,ALACAK,134358.54,134358.54
120.01.0070,2026-04-17,3439062.89,572576.61,2866486.28,45.85,47.6,ALACAK,60220.3,60220.3
120.01.0071,2026-01-11,42454.71,1441505.71,-1399051,44.1,47.6,BORC,-29391.83,29391.83
120.01.0072,2025-12-19,1219614.18,44948.38,1174665.8,43.45,47.6,ALACAK,24677.85,24677.85
120.01.0073,2026-02-24,1696234.65,60816.97,1635417.68,44.6833,47.6,ALACAK,34357.51,34357.51
120.01.0074,2026-07-08,1175781.33,68735.75,1107045.58,47.6,47.6,ALACAK,23257.26,23257.26
120.01.0075,2026-02-01,295281.34,2782849.48,-2487568.14,44.6833,47.6,BORC,-52259.83,52259.83
120.01.0076,2026-06-29,681830.51,162483.18,519347.33,47.0167,47.6,ALACAK,10910.66,10910.66
120.01.0078,2025-12-06,8140774.93,565349.82,7575425.11,43.45,47.6,ALACAK,159147.59,159147.59
120.01.0079,2026-04-08,429359.81,2962821.99,-2533462.18,45.85,47.6,BORC,-53224,53224
120.01.0080,2026-03-26,6256988.64,759384.15,5497604.49,45.2667,47.6,ALACAK,115495.89,115495.89
120.01.0081,2026-07-26,40148.44,5040.95,35107.49,47.6,47.6,ALACAK,737.55,737.55
120.01.0082,2026-03-28,2552941.32,16694.28,2536247.04,45.2667,47.6,ALACAK,53282.5,53282.5
120.01.0083,2026-01-29,5996406.45,455966.18,5540440.27,44.1,47.6,ALACAK,116395.8,116395.8
120.01.0084,2026-05-04,907044.2,243584.57,663459.63,46.4333,47.6,ALACAK,13938.23,13938.23
120.01.0085,2026-05-16,7164136.64,529366.96,6634769.68,46.4333,47.6,ALACAK,139385.92,139385.92
120.01.0086,2026-05-03,2441592.32,135664.48,2305927.84,46.4333,47.6,ALACAK,48443.86,48443.86
120.01.0088,2026-01-13,2560263.89,266211.45,2294052.44,44.1,47.6,ALACAK,48194.38,48194.38
120.01.0089,2026-01-01,146345.86,403781.24,-257435.38,44.1,47.6,BORC,-5408.31,5408.31
120.01.0090,2026-06-09,2385783.77,205385.96,2180397.81,47.0167,47.6,ALACAK,45806.68,45806.68
120.01.0091,2025-12-26,7520575.97,773937.06,6746638.91,43.45,47.6,ALACAK,141736.11,141736.11
120.01.0092,2026-01-23,36645.39,3676.33,32969.06,44.1,47.6,ALACAK,692.63,692.63
120.01.0093,2026-06-19,1140741.6,149903.59,990838.01,47.0167,47.6,ALACAK,20815.92,20815.92
120.01.0094,2026-04-18,8392797.47,1288152.6,7104644.87,45.85,47.6,ALACAK,149257.25,149257.25
120.01.0095,2026-03-04,176208.07,390479.51,-214271.44,45.2667,47.6,BORC,-4501.5,4501.5
120.01.0096,2026-03-15,252586.74,2451748.13,-2199161.39,45.2667,47.6,BORC,-46200.87,46200.87
120.01.0097,2026-06-25,2273902.54,143193.82,2130708.72,47.0167,47.6,ALACAK,44762.79,44762.79
120.01.0098,2026-06-22,5783285.71,910749.73,4872535.98,47.0167,47.6,ALACAK,102364.2,102364.2
120.01.0100,2026-04-05,2435972.56,481903.06,1954069.5,45.85,47.6,ALACAK,41051.88,41051.88
120.01.0101,2026-03-22,4213284.52,1074171.16,3139113.36,45.2667,47.6,ALACAK,65947.76,65947.76
120.01.0102,2026-02-28,103859.76,7189,96670.76,44.6833,47.6,ALACAK,2030.9,2030.9
120.01.0103,2026-06-20,69854.36,505945.47,-436091.11,47.0167,47.6,BORC,-9161.58,9161.58
120.01.0104,2025-12-17,1572222.21,187659.85,1384562.36,43.45,47.6,ALACAK,29087.44,29087.44
120.01.0105,2026-04-08,19776.96,3415.9,16361.06,45.85,47.6,ALACAK,343.72,343.72
120.01.0106,2026-01-18,1055010.33,151003.91,904006.42,44.1,47.6,ALACAK,18991.73,18991.73
120.01.0107,2026-07-24,84781.3,692291.4,-607510.1,47.6,47.6,BORC,-12762.82,12762.82
120.01.0108,2026-01-04,5634687.87,601882.35,5032805.52,44.1,47.6,ALACAK,105731.21,105731.21
120.01.0109,2026-05-29,703564.56,13774.96,689789.6,46.4333,47.6,ALACAK,14491.38,14491.38
120.01.0110,2026-02-06,2743984.14,370863.69,2373120.45,44.6833,47.6,ALACAK,49855.47,49855.47
120.01.0111,2026-05-04,6759460.66,1123591.22,5635869.44,46.4333,47.6,ALACAK,118400.62,118400.62
120.01.0112,2026-07-25,2197302.42,363454.02,1833848.4,47.6,47.6,ALACAK,38526.23,38526.23
120.01.0113,2026-07-16,163342.16,15834.91,147507.25,47.6,47.6,ALACAK,3098.89,3098.89
120.01.0114,2025-12-22,3091126.53,224715.01,2866411.52,43.45,47.6,ALACAK,60218.73,60218.73
120.01.0116,2026-06-22,1498198.09,14392.2,1483805.89,47.0167,47.6,ALACAK,31172.39,31172.39
120.01.0117,2025-12-17,242213.13,26200.06,216013.07,43.45,47.6,ALACAK,4538.09,4538.09
120.01.0118,2026-03-20,592980.34,121133.17,471847.17,45.2667,47.6,ALACAK,9912.76,9912.76
120.01.0119,2026-05-29,3469885.99,872903.57,2596982.42,46.4333,47.6,ALACAK,54558.45,54558.45
120.01.0120,2026-05-30,187439.03,80265.53,107173.5,46.4333,47.6,ALACAK,2251.54,2251.54
120.01.0121,2026-04-30,4876443.11,409319.88,4467123.23,45.85,47.6,ALACAK,93847.13,93847.13
120.01.0122,2026-03-29,6799519.5,443626.92,6355892.58,45.2667,47.6,ALACAK,133527.16,133527.16
120.01.0123,2026-05-24,2337105.6,172749.11,2164356.49,46.4333,47.6,ALACAK,45469.67,45469.67
120.01.0124,2026-06-21,1318378.27,1765.63,1316612.64,47.0167,47.6,ALACAK,27659.93,27659.93
120.01.0125,2025-12-13,116333.28,17019.69,99313.59,43.45,47.6,ALACAK,2086.42,2086.42
120.01.0126,2026-05-15,3705940.23,353580.18,3352360.05,46.4333,47.6,ALACAK,70427.73,70427.73
120.01.0127,2026-05-23,278927.41,1639.96,277287.45,46.4333,47.6,ALACAK,5825.37,5825.37
120.01.0128,2026-05-31,2256449.97,43635.46,2212814.51,46.4333,47.6,ALACAK,46487.7,46487.7
120.01.0129,2026-02-13,244902.72,55126.8,189775.92,44.6833,47.6,ALACAK,3986.89,3986.89
120.01.0130,2026-02-14,23739.23,5228.38,18510.85,44.6833,47.6,ALACAK,388.88,388.88
120.01.0131,2026-04-28,2339741.99,37203.18,2302538.81,45.85,47.6,ALACAK,48372.66,48372.66
120.01.0133,2026-04-18,1081203.74,56638.66,1024565.08,45.85,47.6,ALACAK,21524.48,21524.48
120.01.0134,2026-06-29,458135.37,43711.93,414423.44,47.0167,47.6,ALACAK,8706.37,8706.37
120.01.0135,2026-02-16,1633333.29,580135.86,1053197.43,44.6833,47.6,ALACAK,22126,22126
120.01.0136,2026-07-27,210437.23,5251.71,205185.52,47.6,47.6,ALACAK,4310.62,4310.62
120.01.0137,2026-05-26,745867.04,18960.61,726906.43,46.4333,47.6,ALACAK,15271.14,15271.14
120.01.0138,2025-12-06,10440.79,2118.31,8322.48,43.45,47.6,ALACAK,174.84,174.84
120.01.0139,2026-03-19,434649.54,100555.8,334093.74,45.2667,47.6,ALACAK,7018.78,7018.78
120.01.0140,2025-12-30,14201.63,3021016.78,-3006815.15,43.45,47.6,BORC,-63168.39,63168.39
320.01.0001,2026-04-25,2093956.26,12337302.63,-10243346.37,45.85,47.6,BORC,-215196.35,215196.35
320.01.0002,2026-02-06,1139699.42,6137688.29,-4997988.87,44.6833,47.6,BORC,-104999.77,104999.77
320.01.0003,2025-12-24,773783.08,11784766.97,-11010983.89,43.45,47.6,BORC,-231323.19,231323.19
320.01.0004,2025-12-02,571624.76,6135315.3,-5563690.54,43.45,47.6,BORC,-116884.26,116884.26
320.01.0005,2026-01-18,66544.14,4300659.04,-4234114.9,44.1,47.6,BORC,-88951.99,88951.99
320.01.0006,2026-06-04,108803.41,2473338.97,-2364535.56,47.0167,47.6,BORC,-49675.12,49675.12
320.01.0007,2025-12-30,123826.44,2179662.21,-2055835.77,43.45,47.6,BORC,-43189.83,43189.83
320.01.0008,2026-02-17,236794.12,3518410.02,-3281615.9,44.6833,47.6,BORC,-68941.51,68941.51
320.01.0009,2026-03-01,128236.45,1406217.99,-1277981.54,45.2667,47.6,BORC,-26848.35,26848.35
320.01.0010,2026-07-08,1013379.37,2493068.96,-1479689.59,47.6,47.6,BORC,-31085.92,31085.92
320.01.0011,2026-06-01,592273.72,2798984.16,-2206710.44,47.0167,47.6,BORC,-46359.46,46359.46
320.01.0012,2026-05-10,1514953.2,477069.04,1037884.16,46.4333,47.6,ALACAK,21804.29,21804.29
320.01.0013,2025-12-04,578015.6,2673896.75,-2095881.15,43.45,47.6,BORC,-44031.12,44031.12
320.01.0014,2026-03-27,2726707.12,297029.05,2429678.07,45.2667,47.6,ALACAK,51043.66,51043.66
320.01.0015,2026-06-20,18245.71,1013383.37,-995137.66,47.0167,47.6,BORC,-20906.25,20906.25
320.01.0016,2026-03-08,71608.72,590587.3,-518978.58,45.2667,47.6,BORC,-10902.91,10902.91
320.01.0017,2026-03-06,1950451.99,155163.63,1795288.36,45.2667,47.6,ALACAK,37716.14,37716.14
320.01.0018,2026-03-19,9904.19,188779.75,-178875.56,45.2667,47.6,BORC,-3757.89,3757.89
320.01.0019,2026-06-13,72816.78,1882659.65,-1809842.87,47.0167,47.6,BORC,-38021.91,38021.91
320.01.0020,2026-01-08,2034847.76,198175.84,1836671.92,44.1,47.6,ALACAK,38585.54,38585.54
320.01.0021,2025-12-22,9036.74,33615.26,-24578.52,43.45,47.6,BORC,-516.36,516.36
320.01.0022,2026-07-21,245257.14,1376982.68,-1131725.54,47.6,47.6,BORC,-23775.75,23775.75
320.01.0023,2026-06-05,1181296.48,180195.99,1001100.49,47.0167,47.6,ALACAK,21031.52,21031.52
320.01.0024,2026-03-06,26289.58,104249.67,-77960.09,45.2667,47.6,BORC,-1637.82,1637.82
320.01.0025,2026-01-11,164702.93,547649.33,-382946.4,44.1,47.6,BORC,-8045.09,8045.09
320.01.0026,2026-05-09,139807.84,454031.88,-314224.04,46.4333,47.6,BORC,-6601.35,6601.35
320.01.0027,2026-03-26,1250.59,3677.55,-2426.96,45.2667,47.6,BORC,-50.99,50.99
320.01.0028,2026-07-04,432805.3,3063576.08,-2630770.78,47.6,47.6,BORC,-55268.29,55268.29
320.01.0029,2026-01-04,70139.83,989498.14,-919358.31,44.1,47.6,BORC,-19314.25,19314.25
320.01.0030,2025-12-22,94310.42,282707.69,-188397.27,43.45,47.6,BORC,-3957.93,3957.93
320.01.0032,2026-04-09,2038.06,138408.23,-136370.17,45.85,47.6,BORC,-2864.92,2864.92
320.01.0033,2026-03-28,30477.98,435716.27,-405238.29,45.2667,47.6,BORC,-8513.41,8513.41
320.01.0034,2026-07-02,182434.37,1822845.92,-1640411.55,47.6,47.6,BORC,-34462.43,34462.43
320.01.0035,2026-07-26,3766.08,51455.04,-47688.96,47.6,47.6,BORC,-1001.87,1001.87
320.01.0036,2026-01-17,16716.2,83867.41,-67151.21,44.1,47.6,BORC,-1410.74,1410.74
320.01.0037,2026-06-21,6317.94,42916.24,-36598.3,47.0167,47.6,BORC,-768.87,768.87
320.01.0038,2026-05-05,54132.42,253056.19,-198923.77,46.4333,47.6,BORC,-4179.07,4179.07
320.01.0039,2026-07-10,444754.45,2524409.34,-2079654.89,47.6,47.6,BORC,-43690.23,43690.23
320.01.0040,2026-03-16,1324240.01,283711.08,1040528.93,45.2667,47.6,ALACAK,21859.85,21859.85
320.01.0041,2026-01-07,13156.64,148354.12,-135197.48,44.1,47.6,BORC,-2840.28,2840.28
320.01.0042,2026-02-03,57632.03,853502.36,-795870.33,44.6833,47.6,BORC,-16719.96,16719.96
320.01.0043,2025-12-04,152410.12,561536.84,-409126.72,43.45,47.6,BORC,-8595.1,8595.1
320.01.0045,2026-02-07,1910403.95,63733.78,1846670.17,44.6833,47.6,ALACAK,38795.59,38795.59
320.01.0046,2026-06-27,42509.28,1367526.93,-1325017.65,47.0167,47.6,BORC,-27836.51,27836.51
320.01.0047,2026-03-18,2713.08,48686.51,-45973.43,45.2667,47.6,BORC,-965.83,965.83
320.01.0048,2026-06-21,4848.77,29012.66,-24163.89,47.0167,47.6,BORC,-507.64,507.64
320.01.0049,2026-01-06,510086.81,3878256.32,-3368169.51,44.1,47.6,BORC,-70759.86,70759.86
320.01.0050,2026-01-26,125956.17,411083.37,-285127.2,44.1,47.6,BORC,-5990.07,5990.07
320.01.0051,2026-04-29,42456.32,253642.75,-211186.43,45.85,47.6,BORC,-4436.69,4436.69
320.01.0052,2026-03-31,4441.19,42087.97,-37646.78,45.2667,47.6,BORC,-790.9,790.9
320.01.0053,2026-02-09,4238.09,423581.27,-419343.18,44.6833,47.6,BORC,-8809.73,8809.73
320.01.0054,2026-01-20,40948.51,157536.28,-116587.77,44.1,47.6,BORC,-2449.32,2449.32
320.01.0055,2026-07-28,374321.17,1323872.08,-949550.91,47.6,47.6,BORC,-19948.55,19948.55
